ano,clube,pos,pontos,posto_valor,valor_eur,jogadores_usados,conc_onze_pct,trocas_treinador,idade_onze,chegaram_no_ano_pct,n_estrangeiros_500min,xg,xg_sof,dist_rem,saldo_bp,gols_por_escanteio_pct,duel_aer_pct,psv_min_kmh,spr_n
2023,Criciúma,3,64,12.0,10900000.0,30,71.04060913705584,0,29.60573581473903,50.0,2,1.13,1.23,19.48263157894737,3,2.6595744680851063,45.225,26.62,8.706498461099033
2025,Chapecoense,3,62,18.0,10000000.0,29,70.63391516516516,0,29.220812435646195,54.16666666666666,2,1.1721052631578948,1.3497368421052631,20.355263157894736,0,2.6178010471204187,43.88026315789474,27.35,8.36875253929783
