ano,clube,min_de_quem_ja_estava_pct,titulares_que_ja_estavam,titulares,jogos,pontos,gp,gc,sg,pos,dist_g4,ppj,faixa,valor_eur,log_valor,posto_valor,ppj_esperado,rendimento
2025,Novorizontino,50.441879445027396,5.0,8.0,38,60,43.0,32.0,11.0,7,-2,1.5789473684210527,Meio,13375000.0,16.408897850746346,14.0,1.3392541484474396,0.23969321997361304
2025,Operário-PR,36.704083840107685,3.0,6.0,38,48,40.0,44.0,-4.0,12,-14,1.263157894736842,Meio,19100000.0,16.76519889301686,9.0,1.4329074741846686,-0.16974957944782654
2025,Paysandu,24.079146896248105,0.0,1.0,38,28,36.0,52.0,-16.0,20,-34,0.7368421052631579,Cai,14100000.0,16.461685355348397,13.0,1.3531292842928124,-0.6162871790296546
2025,Vila Nova,32.56789946824999,2.0,5.0,38,47,40.0,44.0,-4.0,13,-15,1.236842105263158,Meio,11175000.0,16.229189698463905,16.0,1.2920180639945489,-0.05517595873139092
2026,América-MG,41.63615405478709,1.0,1.0,27,17,21.0,46.0,-25.0,19,-30,0.6296296296296297,Cai,5875000.0,15.586216617994497,18.0,1.1230133174416244,-0.4933836878119947
2026,Athletic,24.703734439834026,2.0,6.0,27,37,31.0,30.0,1.0,12,-10,1.3703703703703705,Meio,12375000.0,16.331188866419026,7.0,1.3188284298597566,0.05154194051061389
2026,Atlético-GO,16.065820019117847,2.0,10.0,26,40,30.0,25.0,5.0,9,-7,1.5384615384615385,Meio,10550000.0,16.17163641788635,12.0,1.2768902493274128,0.26157128913412575
2026,Avaí,21.453877443905,3.0,6.0,27,29,28.0,35.0,-7.0,17,-18,1.0740740740740742,Cai,8000000.0,15.89495209964411,14.0,1.2041640893992858,-0.13009001532521158
2026,Botafogo-SP,28.407465318207525,2.0,7.0,27,31,30.0,32.0,-2.0,15,-16,1.1481481481481481,Meio,6450000.0,15.679590688771956,16.0,1.14755658627465,0.0005915618734981809
2026,CRB,58.431372549019606,5.0,7.0,27,42,40.0,39.0,1.0,7,-5,1.5555555555555556,Meio,11450000.0,16.253500287964524,9.0,1.2984080749326505,0.25714748062290504
2026,Criciúma,48.348505458477206,5.0,9.0,26,44,26.0,21.0,5.0,5,-3,1.6923076923076923,Meio,12750000.0,16.36104182956871,5.0,1.3266752474392458,0.3656324448684465
2026,Cuiabá,16.249032995862905,1.0,4.0,27,39,26.0,21.0,5.0,10,-8,1.4444444444444444,Meio,10850000.0,16.199675637950744,11.0,1.2842603265895347,0.1601841178549097
2026,Goiás,38.97095938351785,0.0,4.0,27,36,25.0,33.0,-8.0,13,-11,1.3333333333333333,Meio,12500000.0,16.34123920227253,6.0,1.3214701492649503,0.011863184068382937
2026,Novorizontino,39.39924176144648,5.0,7.0,27,49,47.0,24.0,23.0,2,2,1.8148148148148149,Sobe,12250000.0,16.32103649495501,8.0,1.3161598905098124,0.49865492430500247
2026,Operário-PR,37.43988779054234,3.0,9.0,27,43,36.0,33.0,3.0,6,-4,1.5925925925925926,Meio,9275000.0,16.042833166457772,13.0,1.2430344604552133,0.3495581321373793
2026,Vila Nova,32.80532126448605,3.0,7.0,26,47,39.0,28.0,11.0,3,0,1.8076923076923077,Sobe,11000000.0,16.213405830762646,10.0,1.2878692922317736,0.5198230154605341
