ano,clube,jogador,pos11,idade,Altura,minutos,fatia,Contrato termina,Golos de cabeça/90,Golos de cabeça,Duelos aéreos/90,"Duelos aéreos ganhos, %",Golos esperados/90,Remates/90,Toques na área/90,rendimento,faixa,aereos_ganhos_90
2022,CSA,Lucão,ZD,26.0,187.0,3435,0.9187618538151049,,0.03,1,4.79,65.57,0.02,0.34,0.47,-0.2412591642698685,Cai,3.1408029999999996
2022,CSA,Geovane,VOL,33.0,179.0,2749,0.7352769537518845,2026-11-30,0.03,1,3.31,50.5,0.02,0.62,0.65,-0.2412591642698685,Cai,1.67155
2022,CSA,Lucas Barcelos,CA,23.0,182.0,1779,0.4758303749452901,2027-06-30,0.05,1,4.15,23.17,0.29,2.23,3.09,-0.2412591642698685,Cai,0.9615550000000002
2022,Chapecoense,Victor Ramos,ZE,33.0,192.0,2848,0.764582418118807,,0.03,1,4.49,63.38,0.05,0.38,0.51,-0.16469053487358654,Meio,2.845762
2022,Chapecoense,Léo,ZD,34.0,186.0,2480,0.665788060721433,,0.04,1,4.61,63.78,0.06,0.25,0.44,-0.16469053487358654,Meio,2.940258
2022,Chapecoense,Matheus Bianqui,MED,24.0,187.0,2013,0.5404158734807438,2026-12-31,0.04,1,6.93,49.68,0.26,2.1,1.74,-0.16469053487358654,Meio,3.442824
2022,Chapecoense,Chrystian Barletta,ED,21.0,178.0,1922,0.5159857470591106,2029-07-31,0.05,1,2.62,32.14,0.16,1.97,2.9,-0.16469053487358654,Meio,0.842068
2022,Chapecoense,Pablo Oliveira,MED,27.0,183.0,1104,0.29638307219212184,,0.08,1,2.36,62.07,0.07,0.65,0.98,-0.16469053487358654,Meio,1.4648519999999998
2022,Criciúma,Rodrigo,ZD,35.0,187.0,3497,0.9160990712074303,2027-12-31,0.03,1,4.17,62.35,0.07,0.54,0.51,0.3122380378239036,Meio,2.5999950000000003
2022,Criciúma,Marquinhos Gabriel,CA,32.0,174.0,1731,0.4534651107406525,2027-11-30,0.05,1,1.87,19.44,0.21,2.29,2.76,0.3122380378239036,Meio,0.363528
2022,Criciúma,Thiago Alagoano,EE,33.0,171.0,1671,0.4377470826387235,,0.05,1,1.62,16.67,0.19,1.62,2.85,0.3122380378239036,Meio,0.27005400000000007
2022,Criciúma,Léo Costa,VOL,26.0,182.0,1544,0.4044772564896404,2026-10-31,0.06,1,4.55,55.13,0.15,1.87,0.99,0.3122380378239036,Meio,2.508415
2022,Criciúma,Lohan,CA,26.0,191.0,1194,0.31278875922838767,2027-12-30,0.08,1,10.48,43.17,0.4,2.41,3.62,0.3122380378239036,Meio,4.524216
2022,Cruzeiro,Lucas Oliveira,ZD,26.0,187.0,3374,0.9003226354219732,2026-12-31,0.03,1,2.91,56.88,0.04,0.48,0.45,0.5032450477868315,Sobe,1.655208
2022,Cruzeiro,Eduardo Brock,ZE,31.0,186.0,3000,0.8005239793319263,2027-12-31,0.03,1,5.01,62.87,0.09,0.66,0.27,0.5032450477868315,Sobe,3.1497869999999994
2022,Cruzeiro,Zé Ivaldo,ZD,25.0,185.0,2702,0.7210052640516217,2028-12-31,0.03,1,3.26,43.88,0.06,1.17,0.63,0.5032450477868315,Sobe,1.430488
2022,Cruzeiro,Edu,CA,29.0,184.0,2278,0.6078645416393761,,0.04,1,3.71,36.17,0.36,2.25,3.67,0.5032450477868315,Sobe,1.341907
2022,Cruzeiro,Luvannor,CA,32.0,182.0,1800,0.4803143875991558,,0.05,1,4.5,44.44,0.3,2.8,4.35,0.5032450477868315,Sobe,1.9997999999999998
2022,Cruzeiro,Geovane Jesus,LD,20.0,181.0,1611,0.42988137690124445,2026-12-31,0.06,1,5.87,57.14,0.05,1.06,1.62,0.5032450477868315,Sobe,3.354118
2022,Grêmio,Bruno Alves,ZE,31.0,185.0,3205,0.9458081824279008,2027-12-31,0.03,1,4.44,62.03,0.04,0.34,0.42,0.025855751827733586,Sobe,2.7541320000000002
2022,Grêmio,Bitello,VOL,22.0,179.0,2835,0.8366197183098592,2031-06-30,0.03,1,1.33,33.33,0.16,1.78,2.22,0.025855751827733586,Sobe,0.443289
2022,Grêmio,Thiago Santos,MED,32.0,181.0,967,0.2853655264922871,2026-12-31,0.09,1,5.86,57.14,0.09,0.65,0.74,0.025855751827733586,Sobe,3.3484040000000004
2022,Guarani,Nícolas Careca,CA,25.0,188.0,948,0.25580767815528027,2026-11-30,0.09,1,8.26,28.74,0.19,1.33,2.47,0.053639264952930255,Meio,2.3739239999999997
2022,Ituano,Lucas Siqueira,VOL,33.0,181.0,2964,0.7861121157323689,,0.03,1,5.22,54.65,0.04,0.64,0.79,0.3504136826485551,Meio,2.8527299999999998
2022,Ituano,Kaio Mendes,ED,27.0,173.0,2336,0.6195539481615431,,0.04,1,2.77,36.11,0.09,1.0,1.04,0.3504136826485551,Meio,1.0002469999999999
2022,Ituano,J. Jiménez,VOL,29.0,181.0,950,0.25195901145268235,2026-11-30,0.09,1,3.41,63.89,0.09,0.66,0.66,0.3504136826485551,Meio,2.178649
2022,Novorizontino,Douglas Baggio,ED,27.0,172.0,2670,0.714320459188637,2026-11-30,0.03,1,3.78,41.07,0.28,2.02,2.46,-0.13704714893867997,Meio,1.552446
2022,Novorizontino,Ligger,ZE,34.0,186.0,2595,0.6942552777507539,2026-10-30,0.03,1,4.61,61.65,0.06,0.35,0.45,-0.13704714893867997,Meio,2.842065
2022,Novorizontino,D. Torres,MEI,31.0,174.0,1790,0.4788889969841424,,0.05,1,1.21,20.83,0.16,1.81,1.11,-0.13704714893867997,Meio,0.25204299999999996
2022,Novorizontino,Paulinho,LE,37.0,180.0,1277,0.3416431559490223,,0.07,1,4.86,56.52,0.03,0.7,0.28,-0.13704714893867997,Meio,2.746872
2022,Náutico,Wellington,ZD,30.0,188.0,1241,0.3286546610169492,,0.07,1,4.28,59.32,0.03,0.29,0.73,-0.5603728775246417,Cai,2.5388960000000003
2022,Náutico,Kieza,CA,35.0,180.0,1141,0.3021716101694915,,0.08,1,7.81,29.29,0.1,0.63,1.5,-0.5603728775246417,Cai,2.287549
2022,Operário-PR,Giovanni Pavani,EE,25.0,178.0,1840,0.49875557526921466,2027-12-31,0.05,1,4.7,44.79,0.1,1.52,1.61,-0.39133416123100295,Cai,2.10513
2022,Operário-PR,Paulo Victor,ED,21.0,180.0,1491,0.4041546536556517,2026-12-31,0.06,1,5.86,35.05,0.17,1.15,2.47,-0.39133416123100295,Cai,2.05393
2022,Operário-PR,Felipe Garcia,CA,31.0,185.0,1346,0.3648505458219364,2026-11-30,0.07,1,10.03,39.33,0.12,1.6,2.81,-0.39133416123100295,Cai,3.9447989999999993
2022,Operário-PR,Júnior Brandao,CA,27.0,187.0,1261,0.34181020674699986,,0.07,1,9.21,21.71,0.21,1.86,3.21,-0.39133416123100295,Cai,1.9994910000000001
2022,Ponte Preta,Élvis,MEI,31.0,175.0,1412,0.37332051436125463,2026-11-30,0.06,1,1.47,21.74,0.14,1.4,0.76,-0.16202681237652006,Meio,0.319578
2022,Sampaio Corrêa,André Luiz,VOL,27.0,183.0,3136,0.8345671844002517,2026-11-30,0.03,1,3.07,60.75,0.08,1.32,0.57,0.4733855144264345,Meio,1.865025
2022,Sampaio Corrêa,Joécio,ZE,36.0,189.0,1405,0.37390525959258725,2026-09-13,0.06,1,3.84,76.67,0.05,0.38,0.51,0.4733855144264345,Meio,2.944128
2022,Sport,Fabinho,MED,35.0,180.0,2715,0.724087768214329,,0.03,1,6.07,60.11,0.09,0.83,1.16,0.10876017669562454,Meio,3.648677
2022,Sport,Rafael Thyere,ZD,29.0,189.0,2375,0.633410110316402,2026-12-31,0.04,1,5.12,60.74,0.05,0.3,0.49,0.10876017669562454,Meio,3.109888
2022,Sport,Vágner Love,CA,38.0,172.0,1468,0.3915141229239908,,0.06,1,5.21,37.65,0.57,2.33,4.05,0.10876017669562454,Meio,1.961565
2022,Tombense,Ednei,ZD,32.0,185.0,2213,0.5928641013151486,,0.04,1,5.68,54.48,0.07,0.51,0.68,0.17052437043767044,Meio,3.094464
2022,Tombense,Ciel,CA,40.0,179.0,2117,0.5671456405260594,,0.04,1,2.89,19.7,0.42,2.1,2.5,0.17052437043767044,Meio,0.56933
2022,Tombense,Kleiton,ED,23.0,182.0,1228,0.32898197759376524,,0.07,1,4.57,39.34,0.26,1.87,3.37,0.17052437043767044,Meio,1.797838
2022,Tombense,Marcondes,ZD,29.0,184.0,1178,0.3155869459327813,,0.08,1,6.34,55.42,0.02,0.31,0.61,0.17052437043767044,Meio,3.5136279999999998
2022,Vasco,Anderson Conceição,ZE,32.0,188.0,3493,0.923563204576593,,0.03,1,4.69,62.09,0.03,0.28,0.46,0.0703163200791106,Sobe,2.912021
2022,Vasco,J. Quintero,ZD,27.0,184.0,2662,0.7038434728264789,2026-12-31,0.03,1,3.14,58.06,0.02,0.17,0.34,0.0703163200791106,Sobe,1.8230840000000001
2022,Vasco,Raniel,CA,26.0,181.0,2189,0.5787803764151623,2027-06-30,0.04,1,6.54,40.88,0.48,2.22,2.75,0.0703163200791106,Sobe,2.6735520000000004
2022,Vasco,Léo Matos,LD,36.0,184.0,1400,0.3701656130567507,,0.06,1,3.34,61.54,0.01,0.13,0.45,0.0703163200791106,Sobe,2.055436
2022,Vila Nova,Arthur Rezende,VOL,28.0,179.0,2653,0.6887168715927595,,0.03,1,2.41,47.89,0.14,1.8,0.37,0.0046557676533542924,Meio,1.154149
2022,Vila Nova,Pablo Dyego,EE,28.0,174.0,2028,0.5264673258914875,2026-11-30,0.04,1,3.11,28.57,0.23,2.26,2.75,0.0046557676533542924,Meio,0.888527
2022,Vila Nova,Wagner,MEI,37.0,173.0,1559,0.404715266797253,,0.06,1,1.73,33.33,0.12,1.33,1.67,0.0046557676533542924,Meio,0.5766089999999999
2022,Bahia,Patrick De Lucca,VOL,22.0,180.0,2836,0.7644204851752021,2026-11-30,0.0,0,3.59,48.67,0.05,0.48,0.86,0.16512566879886736,Sobe,1.747253
2022,Bahia,Danielzinho,MEI,26.0,173.0,2828,0.7622641509433963,2026-12-31,0.0,0,1.5,27.66,0.13,1.4,1.3,0.16512566879886736,Sobe,0.41490000000000005
