ano,clube,jogos_sofa,gp_x,gc_x,pen,pen_sof,esc_fav,esc_contra,xg_bp_pro,xg_bp_sof,pro_esc,sof_esc,pro_fd,sof_fd,pro_fi,sof_fi,pro_lat,sof_lat,bp_pro_sem_pen,bp_sof_sem_pen,bp_pro,bp_sof,saldo_bp,saldo_bp_sem_pen,saldo_bola_rolando,pct_gols_bp,gols_por_escanteio_pct,gols_sof_por_escanteio_pct,saldo_xg_bp,bp_com_rem_pct,cantos_com_rem_pct,livres_com_rem_pct,cantos_pj,duel_aer_pct,altura_media,jogos,pontos,gp_y,gc_y,sg,pos,dist_g4,ppj,faixa,valor_eur,log_valor,posto_valor,ppj_esperado,rendimento
2022,Bahia,38,43,29,4,2,205,205,0.0,0.0,9,5,0,0,3,4,0,0,12,9,16,11,5,3,9,37.2093023255814,4.390243902439025,2.4390243902439024,0.0,14.13684210526316,32.251315789473686,24.78078947368421,5.394736842105263,46.933684210526316,1.8145901639344262,38,62,43.0,29.0,14.0,3,0,1.631578947368421,Sobe,21700000.0,16.892822818510687,4.0,1.4664532785695537,0.16512566879886736
2022,Brusque,38,21,38,4,4,186,195,0.0,0.0,4,3,0,1,3,2,0,0,7,6,11,10,1,1,-18,52.38095238095238,2.150537634408602,1.5384615384615385,0.0,12.527894736842105,31.517105263157898,26.09631578947368,4.894736842105263,44.93526315789474,1.8115217391304348,38,34,21.0,38.0,-17.0,18,-28,0.8947368421052632,Cai,4375000.0,15.291417077773852,19.0,1.045525591917353,-0.15078874981208978
2022,CRB,38,35,43,5,8,132,226,0.0,0.0,5,6,0,0,3,1,0,0,8,7,13,15,-2,1,-6,37.142857142857146,3.787878787878788,2.6548672566371683,0.0,10.228684210526316,23.49421052631579,28.402105263157893,3.473684210526316,45.52973684210526,1.80921875,38,50,35.0,43.0,-8.0,11,-12,1.3157894736842106,Meio,15925000.0,16.583400759422503,7.0,1.3851220405091595,-0.06933256682494893
2022,CSA,38,29,37,4,1,198,208,0.0,0.0,3,5,1,0,0,4,0,0,4,9,8,10,-2,-5,-6,27.586206896551722,1.5151515151515151,2.4038461538461537,0.0,12.48842105263158,25.14657894736842,17.258684210526315,5.2105263157894735,46.40657894736842,1.81,38,42,29.0,37.0,-8.0,17,-20,1.105263157894737,Cai,13750000.0,16.436549382076855,10.0,1.3465223221646054,-0.2412591642698685
2022,Chapecoense,38,37,39,1,5,204,179,0.0,0.0,7,8,0,1,2,3,0,0,9,12,10,17,-7,-3,5,27.027027027027028,3.4313725490196076,4.4692737430167595,0.0,14.092894736842105,32.277631578947364,17.377894736842105,5.368421052631579,44.06657894736842,1.8069491525423729,38,45,37.0,39.0,-2.0,14,-17,1.1842105263157894,Meio,13875000.0,16.445599217596772,9.0,1.348901061189376,-0.16469053487358654
2022,Criciúma,38,43,31,3,3,198,192,0.0,0.0,3,3,0,1,5,4,0,1,8,9,11,12,-1,-1,13,25.58139534883721,1.5151515151515151,1.5625,0.0,14.055263157894737,32.07394736842105,29.348157894736843,5.2105263157894735,46.903684210526315,1.808478260869565,38,56,43.0,31.0,12.0,8,-6,1.4736842105263157,Meio,6800000.0,15.732433170146335,16.0,1.1614461727024121,0.3122380378239036
2022,Cruzeiro,38,57,26,2,1,263,153,0.0,0.0,5,4,0,0,4,1,0,0,9,5,11,6,5,4,26,19.29824561403509,1.9011406844106464,2.6143790849673203,0.0,14.235263157894739,28.925526315789476,15.877105263157896,6.921052631578948,45.84368421052631,1.801639344262295,38,78,57.0,26.0,31.0,1,16,2.0526315789473686,Sobe,29750000.0,17.208339689955913,3.0,1.549386531160537,0.5032450477868315
2022,Grêmio,38,50,26,6,4,203,158,0.0,0.0,5,6,0,0,3,1,0,0,8,7,14,11,3,1,21,28.0,2.4630541871921183,3.7974683544303796,0.0,12.567105263157895,28.54736842105263,21.622631578947367,5.342105263157895,47.046578947368424,1.8140983606557377,38,65,50.0,26.0,24.0,2,3,1.7105263157894737,Sobe,49775000.0,17.723023407914535,1.0,1.68467056396174,0.025855751827733586
2022,Guarani,38,33,36,4,6,214,236,0.0,0.0,3,4,0,1,2,3,0,1,5,9,9,15,-6,-4,3,27.272727272727273,1.4018691588785046,1.694915254237288,0.0,15.30078947368421,31.829473684210527,28.230263157894736,5.578947368421052,47.58157894736842,1.8014583333333334,38,51,33.0,36.0,-3.0,10,-11,1.3421052631578947,Meio,11025000.0,16.215675979297185,12.0,1.2884659982049644,0.053639264952930255
2022,Ituano,38,42,34,2,5,189,192,0.0,0.0,8,4,0,1,5,6,1,0,14,11,16,16,0,3,8,38.095238095238095,4.232804232804233,2.0833333333333335,0.0,14.043157894736842,32.15552631578947,24.768157894736845,4.947368421052632,47.708684210526314,1.8136363636363635,38,57,42.0,34.0,8.0,6,-5,1.5,Meio,6500000.0,15.687312734865866,17.0,1.149586317351445,0.3504136826485551
