ano,clube,jogos,pontos,gp,gc,sg,pos,dist_g4,ppj,faixa,valor_eur,log_valor,posto_valor,ppj_esperado,rendimento,gols,artilheiro_pct,top3_pct,marcadores,gols_zaga_vol,gols_laterais,pts_apos_derrota,pts_apos_vitoria,maior_seq_sem_vencer,pts_casa,pts_fora,dias_lesao,lesionados,elenco_tm
2022,Cruzeiro,38,78,57.0,26.0,31.0,1,16,2.0526315789473686,Sobe,29750000.0,17.208339689955913,3.0,1.549386531160537,0.5032450477868315,53.0,20.754716981132077,43.39622641509434,21.0,5.0,6.0,2.0,2.227272727272727,4,2.526315789473684,1.5789473684210527,567,7,63
2022,Grêmio,38,65,50.0,26.0,24.0,2,3,1.7105263157894737,Sobe,49775000.0,17.723023407914535,1.0,1.68467056396174,0.025855751827733586,31.0,22.580645161290324,48.38709677419355,13.0,9.0,0.0,2.0,1.375,5,2.3684210526315788,1.0526315789473684,569,7,61
2022,Bahia,38,62,43.0,29.0,14.0,3,0,1.631578947368421,Sobe,21700000.0,16.892822818510687,4.0,1.4664532785695537,0.16512566879886736,41.0,21.951219512195124,51.21951219512195,18.0,10.0,2.0,2.3,1.125,5,2.1578947368421053,1.105263157894737,301,4,64
2022,Vasco,38,62,48.0,36.0,12.0,4,0,1.631578947368421,Sobe,31125000.0,17.253521912749147,2.0,1.5612626272893104,0.0703163200791106,46.0,21.73913043478261,54.34782608695652,16.0,10.0,2.0,1.8,1.25,3,2.210526315789474,1.0526315789473684,431,8,53
2022,Sampaio Corrêa,38,58,48.0,42.0,6.0,5,-4,1.5263157894736843,Meio,4500000.0,15.319587954740548,18.0,1.0529302750472498,0.4733855144264345,47.0,40.42553191489362,68.08510638297872,13.0,6.0,2.0,2.1666666666666665,1.0666666666666667,5,2.4210526315789473,0.631578947368421,12,1,53
2022,Ituano,38,57,42.0,34.0,8.0,6,-5,1.5,Meio,6500000.0,15.687312734865866,17.0,1.149586317351445,0.3504136826485551,42.0,23.80952380952381,45.23809523809524,17.0,8.0,3.0,1.9,1.1333333333333333,6,1.894736842105263,1.105263157894737,356,2,44
2022,Sport,38,57,37.0,31.0,6.0,7,-5,1.5,Meio,16300000.0,16.60667566577699,6.0,1.3912398233043755,0.10876017669562454,37.0,18.91891891891892,45.945945945945944,16.0,3.0,2.0,2.3636363636363638,1.2,6,2.3157894736842106,0.6842105263157895,494,8,55
2022,Criciúma,38,56,43.0,31.0,12.0,8,-6,1.4736842105263157,Meio,6800000.0,15.732433170146335,16.0,1.1614461727024121,0.3122380378239036,40.0,25.0,50.0,13.0,6.0,5.0,2.1,1.1538461538461537,5,2.0,0.9473684210526315,538,7,47
2022,Londrina,37,52,35.0,36.0,-1.0,9,-10,1.4054054054054055,Meio,7200000.0,15.789591583986283,15.0,1.176470197094437,0.22893520831096859,35.0,20.0,45.714285714285715,15.0,8.0,3.0,1.5833333333333333,1.0,5,1.6666666666666667,1.1578947368421053,306,3,63
2022,Guarani,38,51,33.0,36.0,-3.0,10,-11,1.3421052631578947,Meio,11025000.0,16.215675979297185,12.0,1.2884659982049644,0.053639264952930255,32.0,21.875,37.5,18.0,6.0,6.0,1.7692307692307692,1.25,7,1.736842105263158,0.9473684210526315,161,4,48
2022,CRB,38,50,35.0,43.0,-8.0,11,-12,1.3157894736842106,Meio,15925000.0,16.583400759422503,7.0,1.3851220405091595,-0.06933256682494893,35.0,25.714285714285715,62.857142857142854,11.0,3.0,1.0,1.6923076923076923,1.2307692307692308,5,1.6842105263157894,0.9473684210526315,453,8,67
2022,Ponte Preta,38,49,34.0,36.0,-2.0,12,-13,1.2894736842105263,Meio,20500000.0,16.835935444108635,5.0,1.4515004965870464,-0.16202681237652006,34.0,44.11764705882353,67.6470588235294,11.0,3.0,1.0,1.6923076923076923,0.45454545454545453,6,1.631578947368421,0.9473684210526315,42,2,63
2022,Vila Nova,38,47,28.0,31.0,-3.0,13,-15,1.236842105263158,Meio,8900000.0,16.00156183470237,14.0,1.2321863376098037,0.0046557676533542924,28.0,21.428571428571427,50.0,11.0,9.0,0.0,1.1111111111111112,1.2222222222222223,13,1.5263157894736843,0.9473684210526315,67,1,66
2022,Chapecoense,38,45,37.0,39.0,-2.0,14,-17,1.1842105263157894,Meio,13875000.0,16.445599217596772,9.0,1.348901061189376,-0.16469053487358654,34.0,17.647058823529413,41.1764705882353,16.0,6.0,1.0,1.7857142857142858,0.45454545454545453,7,1.4210526315789473,0.9473684210526315,12,2,59
2022,Novorizontino,38,44,44.0,49.0,-5.0,15,-18,1.1578947368421053,Meio,11300000.0,16.240313283682568,11.0,1.2949418857807853,-0.13704714893867997,43.0,20.930232558139537,46.51162790697674,17.0,6.0,1.0,1.5625,1.1,6,1.5789473684210527,0.7368421052631579,0,0,53
2022,Tombense,37,44,37.0,46.0,-9.0,16,-18,1.1891891891891893,Meio,3950000.0,15.189226136877304,20.0,1.0186648187515188,0.17052437043767044,38.0,26.31578947368421,57.89473684210526,13.0,6.0,0.0,1.6666666666666667,1.1,8,1.894736842105263,0.4444444444444444,93,2,49
2022,CSA,38,42,29.0,37.0,-8.0,17,-20,1.105263157894737,Cai,13750000.0,16.436549382076855,10.0,1.3465223221646054,-0.2412591642698685,29.0,31.03448275862069,58.62068965517241,13.0,3.0,1.0,1.6923076923076923,0.8888888888888888,8,1.5263157894736843,0.6842105263157895,616,5,52
2022,Brusque,38,34,21.0,38.0,-17.0,18,-28,0.8947368421052632,Cai,4375000.0,15.291417077773852,19.0,1.045525591917353,-0.15078874981208978,20.0,15.0,45.0,13.0,7.0,0.0,1.263157894736842,0.125,10,1.263157894736842,0.5263157894736842,13,1,46
