ano,clube,treinador,jogos,ppj,xppj,sorte,xg,xg_sof,gp,gc,rendimento
2022,Náutico,Roberto Fernandes,16,1.125,1.306,-0.181,1.358,1.535,1.062,1.25,-0.225
2023,Londrina,Roberto Fonseca,11,1.0,1.135,-0.135,1.267,1.703,0.818,1.545,-0.194
2026,Ponte Preta,Rodrigo Santana,10,0.7,1.099,-0.399,1.326,1.855,0.9,2.0,-0.33
2022,Grêmio,Roger Machado,27,1.63,1.613,0.016,1.278,0.879,1.111,0.593,-0.055
2025,Athletic,Roger Silva,10,0.6,1.339,-0.739,1.147,1.071,0.8,1.8,-0.813
2026,Atlético-GO,Roger Silva,10,1.9,1.633,0.267,1.549,1.09,1.2,0.6,0.623
2025,Volta Redonda,Rogério Corrêa,38,0.947,1.252,-0.304,1.156,1.325,0.684,1.132,-0.147
2026,Londrina,Rogério Micale,18,0.944,1.323,-0.379,1.331,1.434,1.222,1.333,-0.188
2025,Athletic,Rui Duarte,28,1.357,1.435,-0.078,1.249,1.116,1.25,1.25,-0.056
2023,Juventude,Thiago Carpini,32,1.938,1.504,0.433,1.21,0.959,1.219,0.75,0.538
2026,Fortaleza,Thiago Carpini,19,1.632,1.444,0.188,1.306,1.334,1.158,1.0,0.072
2023,Guarani,Umberto Louzer,26,1.577,1.384,0.193,1.107,0.96,1.038,0.846,0.222
2024,Chapecoense,Umberto Louzer,18,1.056,1.2,-0.144,1.161,1.448,0.778,0.944,-0.239
2025,Novorizontino,Umberto Louzer,22,1.591,1.447,0.144,1.354,1.176,1.091,0.909,0.252
2026,América-MG,Umberto Louzer,12,0.667,1.068,-0.402,1.162,1.803,0.833,1.417,-0.456
2023,Ceará,Vagner Mancini,13,1.154,1.509,-0.355,1.379,1.103,1.077,1.462,-0.442
2024,Ceará,Vagner Mancini,12,1.333,1.687,-0.354,1.692,1.199,1.333,1.25,-0.167
2024,Goiás,Vagner Mancini,20,1.9,1.46,0.44,1.51,1.36,1.55,0.65,0.36
2025,Goiás,Vagner Mancini,32,1.625,1.456,0.169,1.312,1.112,1.125,0.906,0.204
2025,Avaí,Vinícius,11,1.727,1.21,0.517,1.249,1.475,1.364,0.909,0.391
2025,Ferroviária,Vinícius,25,1.24,1.197,0.043,1.143,1.412,1.08,1.2,0.084
2025,América-MG,William Batista,10,1.3,1.519,-0.219,1.271,1.017,0.9,1.2,-0.183
2022,Vasco,Zé Ricardo,10,1.8,1.518,0.282,1.079,0.853,0.8,0.3,0.239
