pos11,jogador,clube,liga,mercado,idade,minutos,contrato,livre,tec_A,fis_A,patamar_A,psv,aderencia
LD,F. Perdomo,Liverpool,Uruguai,Sul-americano,26.0,920,2027-12-31,False,67.0,21.0,44.0,28.21,67.0
ED,E. de los Santos,Racing,Uruguai,Sul-americano,27.0,1080,2026-12-31,True,60.0,27.0,44.0,28.75,55.2
EE,S. Ramírez,Metropolitanos,Venezuela,Sul-americano,24.0,1304,2027-12-31,False,44.0,,44.0,,62.1
MED,P. Azogue,Nacional Potosí,Bolivia,Sul-americano,31.0,1360,2026-12-31,True,44.0,,44.0,,33.6
MEI,N. Barrientos,All Boys,Argentina B,Sul-americano,31.0,992,2026-12-31,True,44.0,,44.0,,59.5
MEI,F. Chamorro,La Serena,Chile,Sul-americano,25.0,1465,2027-12-31,False,27.0,62.0,44.0,27.85,21.1
ED,Luis Palacios,Santa Fe,Colombia A,Sul-americano,25.0,1469,2027-12-31,False,32.0,56.0,44.0,30.2,38.6
GOL,L. Bruera,Carabobo,Venezuela,Sul-americano,28.0,1813,2027-06-30,True,44.0,,44.0,,36.5
ED,Jean Carlos,Goiás,Brasil B,Série B,21.0,1364,2028-12-31,False,25.0,63.0,44.0,29.93,34.7
ZD,Luis Palma,Independiente Petrolero,Bolivia,Sul-americano,32.0,959,2026-12-31,True,44.0,,44.0,,39.9
EE,M. Aguilera,Central Español,Uruguai,Sul-americano,22.0,1326,,True,39.0,50.0,44.0,28.79,54.6
LD,Hereda,CRB,Brasil B,Série B,27.0,1404,2026-12-31,True,53.0,35.0,44.0,29.74,63.3
ED,E. Bello,Deportivo Cali,Colombia A,Sul-americano,30.0,1058,2027-12-31,False,40.0,48.0,44.0,28.62,40.7
MED,C. Trujillo,Tolima,Colombia A,Sul-americano,28.0,1039,,True,27.0,61.0,44.0,28.23,23.0
LD,B. Bernardi,Estudiantes Caseros,Argentina B,Sul-americano,25.0,927,2026-12-31,True,44.0,,44.0,,39.5
LE,F. Silvera,Torque,Uruguai,Sul-americano,29.0,1655,2026-12-31,True,48.0,39.0,44.0,28.6,54.5
MEI,D. Camacho,Universitario de Vinto,Bolivia,Sul-americano,27.0,1166,,True,44.0,,44.0,,38.6
LE,Pará,São Bernardo,Brasil B,Série B,31.0,2238,2027-03-31,True,41.0,48.0,44.0,29.02,37.3
LE,A. Torrico,Nacional Potosí,Bolivia,Sul-americano,22.0,1184,2027-12-31,False,44.0,,44.0,,52.3
MED,Judá,Sitra,Bahrain,Exterior,27.0,1729,2026-12-31,True,44.0,,44.0,,35.2
LD,Y. Gonzalez,Deportes Limache,Chile,Sul-americano,24.0,1159,2026-12-31,True,61.0,27.0,44.0,29.12,58.8
VOL,D. Zalzman,Metropolitanos,Venezuela,Sul-americano,30.0,1316,2026-12-31,True,44.0,,44.0,,62.8
ED,D. Rodríguez,Jaguares de Córdoba,Colombia A,Sul-americano,30.0,969,,True,55.0,33.0,44.0,28.87,59.8
MED,M. García,Millonarios,Colombia A,Sul-americano,27.0,1702,2028-12-30,False,44.0,,44.0,,39.4
MEI,Jean Lucas,Avaí,Brasil B,Série B,31.0,1972,2026-12-31,True,42.0,47.0,44.0,27.48,50.8
MED,J. Velázquez,Almirante Brown,Argentina B,Sul-americano,24.0,1040,,True,44.0,,44.0,,39.8
VOL,J. Soto,Portuguesa,Venezuela,Sul-americano,32.0,1008,,True,44.0,,44.0,,56.3
VOL,J. Moreno,Academia Puerto Cabello,Venezuela,Sul-americano,33.0,939,2026-12-31,True,44.0,,44.0,,51.4
ZD,J. Ortiz,Atlético Bucaramanga,Colombia A,Sul-americano,27.0,1828,2026-12-31,True,41.0,48.0,44.0,29.65,47.2
GOL,Christian Bravo,Huachipato,Chile,Sul-americano,20.0,1090,,True,44.0,,44.0,,46.7
LD,J. Ponce,Acassuso,Argentina B,Sul-americano,26.0,1054,2026-12-31,True,44.0,,44.0,,44.7
MED,Pedro Castro,CRB,Brasil B,Série B,33.0,2179,2026-11-30,True,51.0,37.0,44.0,27.77,57.9
ZD,S. Garcia Valero,Atlético Nacional,Colombia A,Sul-americano,21.0,1669,,True,27.0,60.0,44.0,30.07,35.1
ZE,R. Johnson,9 de Octubre,Equador B,Sul-americano,31.0,1675,2026-12-31,True,43.0,,43.0,,52.7
ZD,L. Lucero,Atlético Vinotinto,Equador B,Sul-americano,23.0,1570,2027-12-31,False,43.0,,43.0,,42.4
ZD,M. Mendoza,Godoy Cruz,Argentina B,Sul-americano,21.0,1360,2028-12-31,False,43.0,,43.0,,45.1
LD,W. Saucedo,The Strongest,Bolivia,Sul-americano,29.0,1243,,True,43.0,,43.0,,47.3
ED,A. Hausch,Defensa y Justicia,Argentina A,Sul-americano,23.0,945,2028-12-31,False,60.0,26.0,43.0,28.08,57.6
EE,L. Herrera,Newell's Old Boys,Argentina A,Sul-americano,30.0,900,2028-12-31,False,58.0,28.0,43.0,28.95,68.8
LD,G. Asís,Almagro,Argentina B,Sul-americano,30.0,2067,2026-12-31,True,43.0,,43.0,,52.4
CA,G. Gomez,Crotone,Italia C,Exterior,32.0,2945,2027-06-30,True,43.0,,43.0,,41.7
LD,V. Salazar,San Martín Tucumán,Argentina B,Sul-americano,33.0,1317,2026-12-31,True,43.0,,43.0,,39.1
VOL,F. Figueroa,Patriotas Boyacá,Colombia B,Sul-americano,28.0,1203,,True,43.0,,43.0,,42.1
LD,Igor Julião,Marítimo,Portugal B,Exterior,31.0,1513,2027-06-30,True,55.0,31.0,43.0,28.37,53.1
ZD,M. Maitan,Monagas,Venezuela,Sul-americano,18.0,993,2027-12-31,False,43.0,,43.0,,67.5
ZD,G. Fernández,Atlético Rafaela,Argentina B,Sul-americano,33.0,1293,2026-12-31,True,43.0,,43.0,,39.9
LD,J. Lovera,Anzoátegui FC,Venezuela,Sul-americano,27.0,1142,2026-12-31,True,43.0,,43.0,,66.4
ZE,J. Rodríguez Silva,Comerciantes Unidos,Peru,Sul-americano,29.0,1975,2026-12-31,True,70.0,16.0,43.0,27.9,75.8
ED,Gabriel Tigrão,Yongin,Coreia B,Exterior,24.0,1502,,True,43.0,,43.0,,42.6
GOL,F. Abadía,Cúcuta Deportivo,Colombia A,Sul-americano,28.0,1650,,True,43.0,,43.0,,49.0
LE,P. Silva,Gimnasia La Plata,Argentina A,Sul-americano,29.0,2109,2026-12-31,True,63.0,23.0,43.0,27.46,67.7
MED,M. Galarza,Talleres Córdoba,Argentina A,Sul-americano,24.0,1933,2028-12-31,False,60.0,26.0,43.0,27.23,45.1
MED,F. Montes,Palestino,Chile,Sul-americano,22.0,1011,,True,45.0,41.0,43.0,27.43,19.5
ZD,Calebe Costa,Cuiabá,Brasil B,Série B,23.0,2318,2026-11-30,True,50.0,36.0,43.0,27.53,45.8
ED,K. Montano,Independiente Juniors,Equador B,Sul-americano,19.0,1065,,True,43.0,,43.0,,41.3
CA, Cecilio Waterman,Univ. Concepción,Chile,Sul-americano,35.0,1363,,True,64.0,22.0,43.0,29.23,54.6
VOL,E. Brítez,San Telmo,Argentina B,Sul-americano,25.0,1871,2026-12-31,True,43.0,,43.0,,30.1
LD,T. Guidara,Lanús,Argentina A,Sul-americano,30.0,1475,2028-12-31,False,51.0,35.0,43.0,28.92,50.5
GOL,R. Romo,Universidad Católica,Equador A,Sul-americano,36.0,1413,2026-11-30,True,43.0,,43.0,,47.2
ZE,J. Canale,Lanús,Argentina A,Sul-americano,30.0,1419,2026-12-31,True,39.0,47.0,43.0,28.9,42.3
GOL,B. Olivera,Racing Córdoba,Argentina B,Sul-americano,32.0,1826,2026-12-31,True,43.0,,43.0,,21.7
MEI,F. Boné,Inter Bogotá,Colombia A,Sul-americano,30.0,1867,2027-12-31,False,55.0,31.0,43.0,28.69,41.2
VOL,J. Perez,Bogotá,Colombia B,Sul-americano,21.0,1677,,True,43.0,,43.0,,46.0
ED,R. Gonzalez,Almirante Brown,Argentina B,Sul-americano,24.0,997,2026-12-31,True,43.0,,43.0,,39.1
MED,M. Vázquez,Club Atlético Mitre,Argentina B,Sul-americano,23.0,1164,,True,43.0,,43.0,,41.5
LD,D. Mera,Unión Magdalena,Colombia B,Sul-americano,26.0,2274,,True,43.0,,43.0,,54.5
ZE,Yuri Matias,Ajman,Emirados,Exterior,31.0,1928,,True,62.0,24.0,43.0,28.78,72.3
ZE,N. Olivera,Wanderers,Uruguai,Sul-americano,33.0,1528,2027-06-30,True,75.0,11.0,43.0,27.4,81.9
LE,R. Sosa,Atlanta,Argentina B,Sul-americano,24.0,1145,2026-12-31,True,43.0,,43.0,,51.5
LE,E. Londoño,Envigado,Colombia B,Sul-americano,20.0,1340,,True,43.0,,43.0,,49.4
ZD,S. Flórez,Real Soacha Cundinamarca,Colombia B,Sul-americano,23.0,1974,,True,43.0,,43.0,,44.2
VOL,Y. Congo,Unión Magdalena,Colombia B,Sul-americano,28.0,2024,,True,43.0,,43.0,,51.6
ZD,O. Vanegas,Club Atlético Güemes,Argentina B,Sul-americano,30.0,982,,True,43.0,,43.0,,46.5
CA,Patrick Luan,Arda,Bulgaria,Exterior,27.0,1282,2027-12-31,False,43.0,,43.0,,34.9
LD,G. Paredes,UTC Cajamarca,Peru,Sul-americano,23.0,1139,,True,40.0,46.0,43.0,28.38,49.7
ZE,N. Palma,Unión La Calera,Chile,Sul-americano,24.0,1228,,True,20.0,63.0,42.0,28.55,21.5
ZE,N. Giménez,Club Libertad,Paraguai,Sul-americano,29.0,1934,2026-12-31,True,47.0,38.0,42.0,28.72,51.2
VOL,A. Cardozo,Lanús,Argentina A,Sul-americano,29.0,1730,2027-12-31,False,52.0,33.0,42.0,27.47,44.6
ED,G. Peredo,Guabirá,Bolivia,Sul-americano,26.0,961,,True,42.0,,42.0,,43.8
ZD,A. Leguizamón,Emelec,Equador A,Sul-americano,34.0,1523,2026-12-31,True,61.0,23.0,42.0,28.28,69.2
LD,A. Cáceres,Concepción,Chile,Sul-americano,26.0,1316,,True,45.0,40.0,42.0,29.06,45.5
VOL,J. Méndez,Independiente del Valle,Equador A,Sul-americano,29.0,1515,2026-12-31,True,47.0,37.0,42.0,28.21,55.9
ED,A. Preciado,Aucas,Equador A,Sul-americano,32.0,1377,2026-12-31,True,54.0,30.0,42.0,29.76,59.8
LE,J. Cano,Tigres,Colombia B,Sul-americano,28.0,1909,,True,42.0,,42.0,,48.2
ZE,Rafael Barcelos,América-MG,Brasil B,Série B,22.0,1519,2026-12-31,True,42.0,41.0,42.0,29.32,44.2
VOL,Samuel,Náutico,Brasil B,Série B,22.0,957,2027-12-31,False,42.0,,42.0,,48.2
ZE,O. Moscarelli,Manta,Equador A,Sul-americano,25.0,2410,2026-12-31,True,46.0,38.0,42.0,29.14,56.2
LE,Filipe Garcia,Sporting Covilhã,Portugal C,Exterior,26.0,1197,2026-06-30,True,42.0,,42.0,,47.9
CA,D. Reasco,Independiente del Valle,Equador A,Sul-americano,27.0,1301,,True,71.0,13.0,42.0,27.8,65.2
CA,G. Carrillo,Estudiantes,Argentina A,Sul-americano,35.0,1339,2026-12-31,True,76.0,8.0,42.0,27.04,76.3
