pos11,jogador,clube,liga,mercado,idade,minutos,contrato,livre,tec_A,fis_A,patamar_A,psv,aderencia
GOL,J. Mero,Atletico FC,Equador B,Sul-americano,31.0,1712,2026-12-31,True,95.0,,95.0,,84.1
MED,A. Alfonso,Bogotá,Colombia B,Sul-americano,21.0,1219,,True,95.0,,95.0,,91.3
MED,F. Rodríguez,Los Andes,Argentina B,Sul-americano,26.0,1343,,True,93.0,,93.0,,93.3
CA,A. Spetale,Quilmes,Argentina B,Sul-americano,26.0,1146,2026-12-31,True,92.0,,92.0,,92.4
GOL,A. Eras,Gualaceo,Equador B,Sul-americano,27.0,969,2026-12-31,True,92.0,,92.0,,77.3
ZE,F. Rivero,Colegiales,Argentina B,Sul-americano,33.0,1850,,True,91.0,,91.0,,89.9
MED,E. Hoyos,Ferro Carril Oeste,Argentina B,Sul-americano,26.0,1388,2027-12-31,False,90.0,,90.0,,82.5
MED,J. Meneses,Deportes Limache,Chile,Sul-americano,33.0,1762,2026-12-31,True,95.0,86.0,90.0,28.98,83.5
MED,J. Elitim,Legia Warszawa,Polonia,Exterior,26.0,2071,2026-06-30,True,90.0,,90.0,,84.2
LE,Samuel Toscas,Al Riffa,Bahrain,Exterior,26.0,2048,2031-06-30,False,90.0,,90.0,,94.5
CA,K. Valencia,Cuenca Juniors,Equador B,Sul-americano,26.0,1567,2026-12-31,True,89.0,,89.0,,93.9
MED,M. Fuentes,Audax Italiano,Chile,Sul-americano,28.0,925,2028-12-31,False,79.0,99.0,89.0,29.48,57.6
MED,K. Castro,Bogotá,Colombia B,Sul-americano,27.0,2187,,True,89.0,,89.0,,81.4
ED,C. Mena,Lechia Gdańsk,Polonia,Exterior,23.0,2958,2028-06-30,False,89.0,,89.0,,90.2
GOL,E. Valencia,San Antonio,Equador B,Sul-americano,23.0,1485,,True,89.0,,89.0,,90.9
GOL,G. Napa,Guayaquil City,Equador A,Sul-americano,23.0,2305,2026-12-31,True,89.0,,89.0,,84.7
GOL,E. Mastrolía,Temperley,Argentina B,Sul-americano,35.0,1867,2026-12-31,True,88.0,,88.0,,73.0
LE,J. Carabalí,Universitario,Peru,Sul-americano,29.0,1077,2029-12-31,False,79.0,98.0,88.0,31.03,85.3
ED,F. González,O'Higgins,Chile,Sul-americano,25.0,1256,2028-12-31,False,88.0,87.0,88.0,30.92,85.9
CA,Rafael Ratão,Shanghai Shenhua,China,Exterior,30.0,1480,2028-12-31,False,88.0,88.0,88.0,29.93,85.8
GOL,M. Miño,Barracas Central,Argentina A,Sul-americano,28.0,1551,2026-12-31,True,88.0,,88.0,,87.9
GOL,M. Bergia,Atlético Rafaela,Argentina B,Sul-americano,25.0,2433,2026-12-31,True,87.0,,87.0,,76.1
MED,G. Wilson Da Silva Moreira,Khalidiya ,Bahrain,Exterior,30.0,1437,2026-06-30,True,87.0,,87.0,,81.2
GOL,T. Cardozo,Belgrano,Argentina A,Sul-americano,30.0,2387,2028-12-31,False,86.0,,86.0,,77.1
VOL,G. Capomaggio,Salernitana,Italia C,Exterior,29.0,3101,2028-06-30,False,86.0,,86.0,,80.4
LD,E. Meza,Estudiantes,Argentina A,Sul-americano,27.0,1251,2027-12-31,False,73.0,98.0,86.0,31.49,63.6
MED,S. Cáceres,Torque,Uruguai,Sul-americano,26.0,906,2026-12-31,True,86.0,,86.0,,76.1
ED,J. Montes,Patriotas Boyacá,Colombia B,Sul-americano,21.0,1064,,True,86.0,,86.0,,88.1
GOL,J. Bigo,Tristán Suárez,Argentina B,Sul-americano,28.0,2128,2026-12-31,True,86.0,,86.0,,76.2
LD,L. Arce,Godoy Cruz,Argentina B,Sul-americano,29.0,1338,2026-12-31,True,86.0,,86.0,,85.2
GOL,B. Galván,Almirante Brown,Argentina B,Sul-americano,32.0,2344,2026-12-31,True,86.0,,86.0,,77.8
MED,Kaku,Al Ain,Emirados,Exterior,31.0,1996,2026-06-30,True,86.0,,86.0,,83.8
MEI,N. Wunsch,Defensor Sporting,Uruguai,Sul-americano,23.0,1379,2028-12-31,False,77.0,94.0,86.0,28.96,78.6
LE,Jean Carlos,Raków Częstochowa,Polonia,Exterior,30.0,1618,2027-12-31,False,85.0,,85.0,,75.0
GOL,J. Reinatti,Newell's Old Boys,Argentina A,Sul-americano,23.0,990,2027-12-31,False,85.0,,85.0,,78.7
GOL,A. Rufinetti,Ciudad de Bolívar,Argentina B,Sul-americano,26.0,2466,2026-12-31,True,85.0,,85.0,,67.5
ED,Wellington Machado,Al Riffa,Bahrain,Exterior,27.0,1669,2030-06-30,False,85.0,,85.0,,79.3
MED,A. Batista,Quilmes,Argentina B,Sul-americano,24.0,1740,,True,85.0,,85.0,,72.7
EE,Reinaldo,Chaves,Portugal B,Exterior,24.0,2672,2026-06-30,True,78.0,92.0,85.0,30.39,85.2
GOL,Rodolfo,Central Español,Uruguai,Sul-americano,35.0,2113,2026-12-31,True,85.0,,85.0,,83.6
GOL,D. Cabezas,Libertad,Equador A,Sul-americano,31.0,2532,2026-12-31,True,85.0,,85.0,,82.6
MED,J. Castellanos,Deportivo La Guaira,Venezuela,Sul-americano,30.0,941,2026-12-31,True,85.0,,85.0,,86.4
ED,Mario Briceño,Huachipato,Chile,Sul-americano,30.0,937,2027-12-31,False,86.0,83.0,84.0,30.33,78.7
LD,R. González,Aldosivi,Argentina A,Sul-americano,26.0,1391,2026-12-31,True,75.0,94.0,84.0,30.43,76.7
LD,K. Amaro,Liverpool,Uruguai,Sul-americano,22.0,1428,2028-10-29,False,71.0,97.0,84.0,31.23,77.0
MED,M. Acosta,Rubio Ñú,Paraguai,Sul-americano,25.0,1265,2026-12-31,True,91.0,77.0,84.0,27.72,88.5
CA,E. Castillo,Alianza Lima,Peru,Sul-americano,31.0,1871,2028-12-31,False,88.0,81.0,84.0,31.26,79.2
LE,E. Matus,Audax Italiano,Chile,Sul-americano,24.0,1365,2030-12-31,False,78.0,91.0,84.0,30.26,72.6
LD,C. Graciano,Real Cartagena,Colombia B,Sul-americano,23.0,2025,,True,84.0,,84.0,,80.6
GOL,D. Zamora Mendoza,Cumbayá,Equador B,Sul-americano,25.0,1365,,True,84.0,,84.0,,56.8
GOL,L. García,Cartagena,Espanha C,Exterior,28.0,2671,2027-06-30,True,84.0,,84.0,,72.0
VOL,R. Ramírez,Nacional Asunción,Paraguai,Sul-americano,26.0,1665,2026-12-31,True,77.0,90.0,84.0,28.36,68.0
GOL,Jandrei,Juventude,Brasil B,Série B,33.0,2395,2026-12-31,True,84.0,,84.0,,83.2
ED,R. Ivey,Estudiantes de Mérida,Venezuela,Sul-americano,32.0,1465,2027-12-31,False,84.0,,84.0,,88.2
ZE,M. Guanini,Gimnasia y Tiro,Argentina B,Sul-americano,30.0,2131,2026-12-31,True,84.0,,84.0,,74.7
ZE,A. Kippes,Quilmes,Argentina B,Sul-americano,32.0,2235,2026-12-31,True,84.0,,84.0,,77.7
MED,M. García,Cerro Largo,Uruguai,Sul-americano,26.0,1716,2027-12-31,False,79.0,90.0,84.0,28.81,55.9
GOL,J. Enrico,San Telmo,Argentina B,Sul-americano,24.0,2243,2027-12-31,False,84.0,,84.0,,67.8
MED,Jesús Díaz,Independiente Yumbo,Colombia B,Sul-americano,22.0,994,2026-12-31,True,83.0,,83.0,,78.8
MED,Bruno Lamas,Cheonan City,Coreia B,Exterior,32.0,2161,,True,83.0,,83.0,,86.9
EE,J. Maraude,Always Ready,Bolivia,Sul-americano,18.0,993,,True,83.0,,83.0,,86.6
VOL,K. Salazar,Unión Magdalena,Colombia B,Sul-americano,28.0,1413,,True,83.0,,83.0,,87.3
LE,J. Mena,Águilas Doradas,Colombia A,Sul-americano,22.0,1895,2028-12-31,False,70.0,95.0,82.0,31.23,66.7
CA,A. Valera,Universitario,Peru,Sul-americano,30.0,1713,2026-12-31,True,93.0,71.0,82.0,30.65,92.9
ZE,Joaquín Sosa,Colo Colo,Chile,Sul-americano,24.0,1628,2028-06-30,False,72.0,92.0,82.0,29.48,66.9
ED,Caio Vidal,Ludogorets,Bulgaria,Exterior,25.0,1531,2029-06-30,False,90.0,74.0,82.0,30.64,92.0
GOL,C. Martínez,Real Potosí,Bolivia,Sul-americano,29.0,927,,True,82.0,,82.0,,84.1
MED,Fabricio,Tenerife,Espanha C,Exterior,28.0,2203,2028-06-30,False,82.0,,82.0,,79.1
GOL,W. Cuesta,Internacional Palmira,Colombia B,Sul-americano,33.0,1934,2026-12-31,True,82.0,,82.0,,75.0
GOL,Airton,Criciúma,Brasil B,Série B,32.0,1797,2026-11-30,True,82.0,,82.0,,70.1
ED,E. Obregón,Torque,Uruguai,Sul-americano,24.0,1523,2027-12-31,False,80.0,85.0,82.0,30.0,66.1
GOL,I. Arce,Deportivo Riestra,Argentina A,Sul-americano,34.0,2053,2026-12-31,True,82.0,,82.0,,75.8
MED,M. Kabalin,Ferro Carril Oeste,Argentina B,Sul-americano,27.0,1561,2026-12-31,True,82.0,,82.0,,68.8
MED,S. Quintana,Olimpia,Paraguai,Sul-americano,23.0,1815,2026-12-31,True,81.0,84.0,82.0,29.11,70.3
MED,M. Espindola,Deportivo Maldonado,Uruguai,Sul-americano,22.0,1620,2026-12-31,True,87.0,76.0,82.0,28.01,76.4
GOL,H. Arango,Orsomarso,Colombia B,Sul-americano,24.0,1214,,True,82.0,,82.0,,73.8
MED,S. Kubiszyn,Deportivo Morón,Argentina B,Sul-americano,23.0,1623,2026-12-31,True,82.0,,82.0,,71.2
MED,J. Vélez,Alianza Lima,Peru,Sul-americano,31.0,1929,2028-12-31,False,91.0,72.0,82.0,28.02,82.6
ED,F. Benítez,Temperley,Argentina B,Sul-americano,24.0,1595,2026-12-31,True,82.0,,82.0,,81.8
GOL,B. Heras,Delfin,Equador A,Sul-americano,31.0,1942,2027-12-31,False,81.0,,81.0,,78.5
GOL,G. Marinelli,Quilmes,Argentina B,Sul-americano,37.0,1551,2026-12-31,True,81.0,,81.0,,63.8
GOL,J. Cabezudo,Melgar,Peru,Sul-americano,24.0,1488,2027-12-31,False,81.0,,81.0,,79.4
GOL,Jhohan Gutiérrez,Independiente Petrolero,Bolivia,Sul-americano,29.0,1108,,True,81.0,,81.0,,71.6
MEI,J. Barrera,Real Cartagena,Colombia B,Sul-americano,30.0,1042,2026-12-31,True,81.0,,81.0,,82.3
MED,Erwin Sánchez,Aurora,Bolivia,Sul-americano,34.0,1184,2026-12-31,True,81.0,,81.0,,75.5
VOL,F. Obradovich,Ferro Carril Oeste,Argentina B,Sul-americano,19.0,2218,2028-12-31,False,81.0,,81.0,,65.1
ZD,J. Rodriguez,Los Andes,Argentina B,Sul-americano,26.0,1808,2026-12-31,True,81.0,,81.0,,82.5
CA,E. Pernía,Academia Puerto Cabello,Venezuela,Sul-americano,31.0,1179,,True,81.0,,81.0,,85.4
MED,Hernán Rodríguez,Universitario de Vinto,Bolivia,Sul-americano,29.0,1285,,True,81.0,,81.0,,80.0
GOL,Vitor Caetano,CRB,Brasil B,Série B,27.0,1937,2027-11-30,False,81.0,,81.0,,73.9
GOL,J. Méndez,Independiente Yumbo,Colombia B,Sul-americano,25.0,1195,,True,81.0,,81.0,,70.3
MED,A. Montero,Estudiantes de Mérida,Venezuela,Sul-americano,32.0,939,2026-12-31,True,81.0,,81.0,,80.1
ED,Kevin Méndez,Unión La Calera,Chile,Sul-americano,30.0,1481,,True,86.0,76.0,81.0,29.41,82.6
GOL,N. Carrizo,All Boys,Argentina B,Sul-americano,35.0,2426,2026-12-31,True,81.0,,81.0,,63.1
EE,J. Campaña,Patriotas Boyacá,Colombia B,Sul-americano,23.0,1228,,True,81.0,,81.0,,72.5
LD,A. Benítez,Club Libertad,Paraguai,Sul-americano,32.0,969,2026-12-31,True,62.0,97.0,80.0,30.86,60.2
GOL,C. Varela,Deportivo La Guaira,Venezuela,Sul-americano,26.0,1640,2026-12-31,True,80.0,,80.0,,67.3
GOL,J. Burrai,Sarmiento,Argentina A,Sul-americano,35.0,1550,2027-06-30,True,80.0,,80.0,,52.1
GOL,J. Reyes Alberti,Portuguesa,Venezuela,Sul-americano,31.0,1823,2026-12-31,True,80.0,,80.0,,76.4
GOL,O. Gill,San Lorenzo,Argentina A,Sul-americano,26.0,1873,2027-12-31,False,80.0,,80.0,,67.9
MED,Santiago Silva,Huachipato,Chile,Sul-americano,21.0,1305,2028-12-31,False,67.0,93.0,80.0,29.73,45.5
LE,A. Fretes,Club Libertad,Paraguai,Sul-americano,20.0,1363,2028-12-31,False,72.0,87.0,80.0,30.11,78.9
MED,A. Astudillo,Cobresal,Chile,Sul-americano,26.0,1187,2026-12-31,True,65.0,94.0,80.0,29.66,42.1
GOL,P. Zubczuk,Deportivo Garcilaso,Peru,Sul-americano,31.0,2205,2027-12-31,False,80.0,,80.0,,72.8
MED,M. Peralta,Danubio,Uruguai,Sul-americano,20.0,2020,2027-12-31,False,76.0,84.0,80.0,28.67,61.3
LD,L. Faggioli,Deportivo Maipú,Argentina B,Sul-americano,29.0,2110,,True,80.0,,80.0,,66.8
GOL,Mateus Pasinato,Felgueiras 1932,Portugal B,Exterior,33.0,1198,2026-06-30,True,80.0,,80.0,,79.0
MED,Luann,Lokomotiv Sofia 1929,Bulgaria,Exterior,24.0,1231,2028-06-30,False,80.0,,80.0,,69.4
GOL,B. Castro,Deportivo Santo Domingo,Equador B,Sul-americano,24.0,1862,2026-12-31,True,80.0,,80.0,,60.2
CA,D. Bulacio,Midland,Argentina B,Sul-americano,24.0,965,,True,80.0,,80.0,,77.7
CA,José Fajardo,Universidad Católica,Equador A,Sul-americano,32.0,1603,,True,76.0,84.0,80.0,30.21,76.4
GOL,D. Aguilar,Bogotá,Colombia B,Sul-americano,22.0,2318,,True,79.0,,79.0,,60.9
MED,N. Ospina,Llaneros,Colombia A,Sul-americano,23.0,1253,,True,91.0,67.0,79.0,28.12,86.4
CA,Matheus Davó,Maccabi Netanya,Israel,Exterior,26.0,2359,2027-06-30,True,72.0,86.0,79.0,31.32,72.2
ZE,Heitor,Maccabi Tel Aviv,Israel,Exterior,26.0,1775,2028-06-30,False,79.0,,79.0,,82.0
LE,Adriano,Raków Częstochowa,Polonia,Exterior,24.0,1600,2028-06-30,False,79.0,,79.0,,75.7
VOL,G. Tomasetti,Temperley,Argentina B,Sul-americano,26.0,1047,2026-12-31,True,79.0,,79.0,,65.1
ZD,Gabriel Bahia,Novorizontino,Brasil B,Série B,27.0,1246,2027-03-31,True,63.0,95.0,79.0,30.86,68.3
MED,Michel Costa,Felgueiras 1932,Portugal B,Exterior,24.0,1289,2026-06-30,True,63.0,95.0,79.0,28.69,64.0
ZE, Renzo Malanca,Huachipato,Chile,Sul-americano,23.0,975,2026-12-31,True,63.0,95.0,79.0,29.59,66.0
MEI,N. Retamar,Platense,Argentina A,Sul-americano,27.0,946,2027-12-31,False,58.0,100.0,79.0,30.14,60.8
GOL,N. Araya,Concepción,Chile,Sul-americano,27.0,1213,,True,79.0,,79.0,,80.0
CA,T. Molina,Argentinos Juniors,Argentina A,Sul-americano,31.0,1618,2029-12-31,False,78.0,77.0,78.0,28.82,79.3
ED,B. Palacios,Al Wasl,Emirados,Exterior,23.0,907,2030-06-30,False,85.0,71.0,78.0,31.11,89.8
GOL,P. Álvarez,Atlético Grau,Peru,Sul-americano,32.0,2013,2026-12-31,True,78.0,,78.0,,66.9
ZD,C. Áñez,Guabirá,Bolivia,Sul-americano,31.0,1204,,True,78.0,,78.0,,76.4
LD,G. Cuellar,Universitario de Vinto,Bolivia,Sul-americano,27.0,1260,,True,78.0,,78.0,,71.5
CA,A. Alcaraz,Olimpia,Paraguai,Sul-americano,26.0,1124,2026-12-31,True,94.0,61.0,78.0,29.6,93.4
CA,Nicolás Souza,Atlético CP,Portugal C,Exterior,25.0,1732,2027-06-30,True,78.0,,78.0,,90.2
ED,Vinícius,Náutico,Brasil B,Série B,33.0,1750,2027-12-31,False,80.0,76.0,78.0,30.44,90.9
GOL,P. González,Cerro Largo,Uruguai,Sul-americano,27.0,1885,2026-12-31,True,78.0,,78.0,,79.7
CA,Derek,Náutico,Brasil B,Série B,28.0,1526,2027-12-31,False,78.0,79.0,78.0,29.16,82.8
GOL,V. Brid,Tigres,Colombia B,Sul-americano,25.0,2071,2026-12-31,True,78.0,,78.0,,69.1
ZE,Patrick,Novorizontino,Brasil B,Série B,27.0,2357,2027-12-31,False,63.0,93.0,78.0,30.55,69.2
VOL,Pedro Naressi,Ludogorets,Bulgaria,Exterior,28.0,1859,2026-06-30,True,72.0,84.0,78.0,27.96,71.1
GOL,Lucas Paes,Torreense,Portugal B,Exterior,28.0,3085,2026-06-30,True,78.0,,78.0,,73.0
MED,T. Porra,Barracas Central,Argentina A,Sul-americano,22.0,1766,2026-12-31,True,78.0,77.0,78.0,27.86,66.3
LD,Italo,Vizela,Portugal B,Exterior,23.0,1529,2027-06-30,True,75.0,81.0,78.0,30.65,75.6
CA,F. Coronel,Alianza Atlético,Peru,Sul-americano,33.0,922,,True,65.0,92.0,78.0,30.28,61.3
EE,E. Tortolero,Carabobo,Venezuela,Sul-americano,28.0,995,2027-12-31,False,78.0,,78.0,,83.5
MED,C. Yanis,Cobresal,Chile,Sul-americano,30.0,1141,,True,87.0,68.0,78.0,27.58,67.7
VOL,M. Burruchaga,Deportivo Morón,Argentina B,Sul-americano,28.0,1827,2026-12-31,True,78.0,,78.0,,65.7
ZD,E. Chichande Márquez,9 de Octubre,Equador B,Sul-americano,23.0,1190,2026-12-31,True,78.0,,78.0,,77.7
LD,A. Benítez,Belgrano,Argentina A,Sul-americano,24.0,1131,2029-12-31,False,58.0,97.0,78.0,31.16,57.0
CA,Danrlei,Daegu,Coreia B,Exterior,30.0,1003,,True,81.0,76.0,78.0,29.76,84.0
MEI,Serginho,Beijing Guoan,China,Exterior,31.0,1312,2028-12-31,False,77.0,,77.0,,80.9
LE,J. Pérez,Carabobo,Venezuela,Sul-americano,27.0,1462,2026-12-31,True,77.0,,77.0,,88.2
ED,C. Souza,Cienciano,Peru,Sul-americano,30.0,1436,2026-12-31,True,79.0,75.0,77.0,30.92,92.5
GOL,N. Galardi,Deportivo Maipú,Argentina B,Sul-americano,24.0,2330,2028-12-31,False,77.0,,77.0,,73.4
VOL,F. Charrupí,Atlético Bucaramanga,Colombia A,Sul-americano,25.0,1558,,True,77.0,77.0,77.0,28.0,77.4
VOL,G. Mansilla,Deportivo Maipú,Argentina B,Sul-americano,29.0,1946,,True,77.0,,77.0,,68.6
GOL,D. Romero,Universitario,Peru,Sul-americano,25.0,1502,2027-12-31,False,77.0,,77.0,,82.5
GOL,F. Zenobio,Tigre,Argentina A,Sul-americano,26.0,1875,2029-12-31,False,77.0,,77.0,,52.1
MED,E. Trinidad,Colegiales,Argentina B,Sul-americano,29.0,1404,2026-12-31,True,77.0,,77.0,,79.1
MEI,Y. González,Boston River,Uruguai,Sul-americano,24.0,1145,2026-12-31,True,59.0,95.0,77.0,28.92,53.6
ZE,R. Ríos,Atletico FC,Equador B,Sul-americano,30.0,1773,2026-12-31,True,77.0,,77.0,,75.9
VOL,J. Rubiano,Independiente Yumbo,Colombia B,Sul-americano,24.0,900,,True,77.0,,77.0,,81.7
CA,D. Castro,Deportes Limache,Chile,Sul-americano,32.0,1743,2026-12-31,True,75.0,79.0,77.0,30.07,55.6
GOL,G. Olveira,Olimpia,Paraguai,Sul-americano,33.0,2203,2026-12-31,True,77.0,,77.0,,66.7
EE,M. Diaz Perez,Real Santander,Colombia B,Sul-americano,21.0,1401,,True,77.0,,77.0,,71.7
LD,Willean Lepo,Criciúma,Brasil B,Série B,29.0,1710,2027-12-31,False,75.0,79.0,77.0,29.58,77.8
MED,L. Acosta,Liverpool,Uruguai,Sul-americano,24.0,1029,2027-06-30,True,81.0,73.0,77.0,28.18,64.0
GOL,M. Álvarez,Gimnasia Jujuy,Argentina B,Sul-americano,37.0,2243,2027-12-31,False,77.0,,77.0,,63.1
MEI,S. Montiel,Independiente,Argentina A,Sul-americano,25.0,1087,2028-12-31,False,70.0,81.0,76.0,28.05,72.7
LE,J. Chala,Manta,Equador A,Sul-americano,20.0,1040,2026-12-31,True,62.0,90.0,76.0,30.06,68.0
VOL,J. Caicedo,Deportivo Pasto,Colombia A,Sul-americano,22.0,1443,2027-12-31,False,72.0,80.0,76.0,27.38,72.9
VOL,C. Ramos,Deportivo Garcilaso,Peru,Sul-americano,27.0,1726,2027-12-31,False,52.0,100.0,76.0,29.31,51.7
VOL,Dudu,Vila Nova,Brasil B,Série B,24.0,1685,2029-11-30,False,55.0,98.0,76.0,30.73,64.3
MED,R. Peralta,Juventud,Uruguai,Sul-americano,23.0,1958,2027-12-31,False,85.0,66.0,76.0,27.64,72.7
ED,Reixon Saya,El Nacional,Equador B,Sul-americano,18.0,1321,,True,76.0,,76.0,,71.2
ED,Á. González,Ferro Carril Oeste,Argentina B,Sul-americano,32.0,1450,2026-12-31,True,76.0,,76.0,,79.3
VOL,M. Amaro,Defensor Sporting,Uruguai,Sul-americano,21.0,1930,2029-06-30,False,81.0,70.0,76.0,28.17,71.9
ED,J. Córdoba,Instituto,Argentina A,Sul-americano,26.0,1223,2029-06-30,False,68.0,83.0,76.0,29.95,72.7
LE,M. Perea,Mushuc Runa,Equador A,Sul-americano,26.0,1740,2026-12-31,True,72.0,81.0,76.0,31.45,80.4
CA,Hygor,Botafogo-SP,Brasil B,Série B,34.0,1584,2026-11-30,True,59.0,92.0,76.0,29.7,62.8
GOL,G. Castellón,Universidad de Chile,Chile,Sul-americano,32.0,1934,2027-12-31,False,76.0,,76.0,,70.0
GOL,Thiago Couto,Sport,Brasil B,Série B,27.0,2741,2027-12-31,False,76.0,,76.0,,60.9
GOL,C. Grados,CD Moquegua,Peru,Sul-americano,31.0,1913,2026-12-31,True,76.0,,76.0,,78.1
VOL,L. Jara,Almirante Brown,Argentina B,Sul-americano,35.0,1046,2026-12-31,True,76.0,,76.0,,71.5
GOL,W. Aguerre,Peñarol,Uruguai,Sul-americano,33.0,1910,2027-12-31,False,76.0,,76.0,,68.8
LD,E. Cabal,Atlético Vinotinto,Equador B,Sul-americano,22.0,1349,2026-12-31,True,76.0,,76.0,,87.1
MED,M. Bonfigli,Deportivo Maipú,Argentina B,Sul-americano,22.0,1880,,True,76.0,,76.0,,75.9
GOL,Jean,América de Cali,Colombia A,Sul-americano,30.0,1613,2026-12-31,True,76.0,,76.0,,79.8
ZD,G. Rizzo,Los Chankas,Peru,Sul-americano,30.0,973,2026-12-31,True,65.0,87.0,76.0,29.78,76.3
MEI,Fábio Lima,Juventude,Brasil B,Série B,29.0,1360,2026-11-30,True,53.0,100.0,76.0,31.77,51.9
ZE,M. Gamarra,Olimpia,Paraguai,Sul-americano,25.0,1774,2027-12-31,False,78.0,73.0,76.0,28.83,84.5
ZE,E. Lazza,Deportivo Morón,Argentina B,Sul-americano,32.0,1508,2026-12-31,True,76.0,,76.0,,68.0
CA,M. Estigarribia,Unión Santa Fe,Argentina A,Sul-americano,31.0,1618,2027-12-31,False,85.0,68.0,76.0,28.78,85.1
VOL,João Miguel,Athletic,Brasil B,Série B,22.0,2249,2026-11-30,True,61.0,90.0,76.0,28.65,68.5
GOL,M. Dufour,Sportivo Trinidense,Paraguai,Sul-americano,27.0,2356,2026-12-31,True,76.0,,76.0,,65.6
CA,M. Romero,Chaco For Ever,Argentina B,Sul-americano,32.0,1150,2026-12-31,True,76.0,,76.0,,77.3
CA,J. Marabel,Sarmiento,Argentina A,Sul-americano,28.0,1680,2027-12-31,False,67.0,83.0,75.0,29.27,67.6
ZD,M. Chiatti,The Strongest,Bolivia,Sul-americano,33.0,1090,,True,75.0,,75.0,,77.1
GOL,J. Camacaro,Rayo Zuliano,Venezuela,Sul-americano,24.0,911,,True,75.0,,75.0,,74.0
CA,A. González,Deportivo Recoleta,Paraguai,Sul-americano,29.0,1201,2026-12-31,True,64.0,86.0,75.0,31.11,50.2
MED,F. Nicola,Atlético Tucumán,Argentina A,Sul-americano,24.0,1357,2026-12-31,True,51.0,99.0,75.0,29.76,46.5
ED,Anderson Ceará,Csikszereda Miercurea Ciuc,Romenia,Exterior,27.0,2919,2027-06-30,True,75.0,,75.0,,79.8
CA,F. Posse,Macará,Equador A,Sul-americano,25.0,1794,2026-12-31,True,76.0,74.0,75.0,30.11,73.1
LD,E. Cabezas Rico,Real Soacha Cundinamarca,Colombia B,Sul-americano,21.0,1170,,True,75.0,,75.0,,72.7
GOL,Alan Aguerre,Central Córdoba SdE,Argentina A,Sul-americano,35.0,1707,2026-12-31,True,75.0,,75.0,,62.5
VOL,A. Arregui,Temperley,Argentina B,Sul-americano,34.0,1310,,True,75.0,,75.0,,70.2
CA,N. Da Silva,Palestino,Chile,Sul-americano,29.0,1343,2029-12-31,False,85.0,65.0,75.0,29.26,79.4
LD,M. Peinipil,Colón,Argentina B,Sul-americano,27.0,2114,2026-12-31,True,75.0,,75.0,,81.4
LE,G. Olivera,Muharraq,Bahrain,Exterior,25.0,1588,,True,75.0,,75.0,,80.9
MED,M. Palacios,Al Ain,Emirados,Exterior,24.0,2482,2029-06-30,False,77.0,71.0,74.0,28.18,71.7
ED,K. Cuellar,Real Soacha Cundinamarca,Colombia B,Sul-americano,22.0,1004,,True,74.0,,74.0,,77.3
ZE,S. Valencia,Ñublense,Chile,Sul-americano,26.0,1343,,True,76.0,71.0,74.0,30.27,74.5
VOL,F. Amarfil,Platense,Argentina A,Sul-americano,24.0,1049,2026-12-31,True,73.0,75.0,74.0,27.46,66.7
CA,E. Vera,Club Libertad,Paraguai,Sul-americano,25.0,1828,2026-12-31,True,55.0,93.0,74.0,30.22,50.5
LD,Rafael Ramos,Ceará,Brasil B,Série B,31.0,902,2026-12-31,True,72.0,75.0,74.0,29.73,72.1
MEI,E. Batalla Martinez,Atlético Bucaramanga,Colombia A,Sul-americano,25.0,1388,,True,73.0,74.0,74.0,29.5,72.4
ZE,D. Marmolejo,Leones,Colombia B,Sul-americano,22.0,1362,2027-12-31,False,74.0,,74.0,,78.6
LD,Pastor,CSKA Sofia,Bulgaria,Exterior,26.0,2596,2028-06-30,False,74.0,,74.0,,60.7
MED,J. Iritier,San Telmo,Argentina B,Sul-americano,31.0,921,2026-12-31,True,74.0,,74.0,,74.4
ED,J. Berríos,Carabobo,Venezuela,Sul-americano,29.0,1900,2026-12-31,True,74.0,,74.0,,66.4
MED,V. Poggi,Godoy Cruz,Argentina B,Sul-americano,24.0,2043,2027-12-31,False,74.0,,74.0,,70.2
ZD,G. Meneses,Leones,Colombia B,Sul-americano,24.0,1642,,True,74.0,,74.0,,78.2
ZE,J. Garcia,Atlético Bucaramanga,Colombia A,Sul-americano,23.0,1548,2029-12-31,False,64.0,83.0,74.0,28.97,78.8
CA,S. Godoy,CSKA Sofia,Bulgaria,Exterior,25.0,2356,2028-06-30,False,74.0,,74.0,,65.6
GOL,Y. Yustiz,Metropolitanos,Venezuela,Sul-americano,34.0,2084,2026-12-31,True,74.0,,74.0,,64.9
GOL,Mariano Monllor,Acassuso,Argentina B,Sul-americano,37.0,2341,2026-12-31,True,74.0,,74.0,,63.4
CA,Mascote,Botev Plovdiv,Bulgaria,Exterior,29.0,2034,2028-06-30,False,73.0,75.0,74.0,29.82,71.9
GOL,D. Ospina,Atlético Nacional,Colombia A,Sul-americano,37.0,1177,2026-12-31,True,74.0,,74.0,,75.0
MED,W. Montoya,Gimnasia y Tiro,Argentina B,Sul-americano,33.0,1399,2026-12-31,True,74.0,,74.0,,68.5
ED,R. Flores,Academia Puerto Cabello,Venezuela,Sul-americano,28.0,1489,2026-12-31,True,74.0,,74.0,,65.5
MED,F. Solé,UCV,Venezuela,Sul-americano,29.0,1595,2026-12-31,True,74.0,,74.0,,81.8
