ano,clube,bc_criadas,bc_cedidas,bc_perdidas,bc_conv,chutes_area,chutes_area_adv,pct_area,pct_area_adv,terco_final,terco_final_adv,posse_1t,posse_2t,chutes_sof_1t,chutes_sof_2t,defesas_gk,mom_pct,mom_ult15,mom_t2,jogador_jogos_lesao,jogador_jogos_suspensao,titulares_distintos,titularidades_top11,jogos,onze_fixo_pct,nota_media,nota_desvio,pontos,ppj,rendimento,faixa,valor_eur
2023,Botafogo-SP,0.647,1.382,0.545,0.641,6.342,7.132,0.528,0.525,55.079,63.395,43.395,45.842,6.395,6.737,3.211,0.439,-77.105,-114.658,0.0,0.0,32,279,38,0.667,6.859,0.451,47,1.237,0.014,Meio,8600000.0
2023,CRB,1.353,1.471,1.04,0.62,7.447,7.105,0.547,0.513,61.474,61.684,52.395,50.842,6.158,7.921,3.342,0.505,15.921,-42.184,0.0,0.0,29,293,38,0.701,6.954,0.478,57,1.5,0.151,Meio,13900000.0
2023,Ceará,1.333,1.727,0.7,0.598,7.211,7.737,0.533,0.557,59.711,56.184,52.921,52.737,6.368,7.316,3.105,0.519,25.289,34.368,0.0,0.0,39,228,38,0.545,6.886,0.5,50,1.316,-0.28,Meio,35475000.0
2023,Chapecoense,1.455,1.515,1.038,0.602,7.105,7.868,0.528,0.501,58.316,59.421,49.553,51.0,8.105,7.605,3.263,0.51,2.079,69.053,0.0,0.0,37,244,38,0.584,6.926,0.479,40,1.053,-0.339,Meio,16325000.0
2023,Criciúma,1.457,1.057,0.857,0.632,7.737,7.158,0.598,0.516,60.895,59.053,49.342,48.658,6.605,7.184,3.053,0.503,1.421,-37.211,0.0,0.0,27,318,38,0.761,6.966,0.528,64,1.684,0.399,Sobe,10900000.0
2023,Guarani,1.516,1.29,1.0,0.603,6.868,7.868,0.576,0.518,57.132,68.158,52.184,47.211,6.789,8.263,3.132,0.458,-80.105,-260.368,0.0,0.0,28,312,38,0.746,6.918,0.471,57,1.5,0.145,Meio,14200000.0
2023,Ituano,1.057,1.543,0.719,0.531,6.632,7.053,0.526,0.555,59.158,60.737,51.184,49.211,6.447,6.711,3.132,0.503,-58.447,-25.789,0.0,0.0,37,252,38,0.603,6.893,0.461,42,1.105,-0.033,Meio,6225000.0
2023,Juventude,1.324,1.0,0.786,0.688,7.289,6.289,0.555,0.55,53.737,56.184,52.368,50.632,5.526,5.868,2.632,0.536,25.368,83.026,0.0,0.0,33,311,38,0.744,6.977,0.48,65,1.711,0.311,Sobe,16825000.0
2023,Londrina,1.286,1.657,0.909,0.456,6.763,8.289,0.509,0.562,55.868,63.026,46.789,47.0,6.684,8.237,3.237,0.435,-68.474,-158.132,0.0,0.0,41,243,38,0.581,6.848,0.51,31,0.816,-0.378,Cai,7700000.0
2023,Mirassol,1.848,0.97,1.37,0.636,6.974,5.263,0.525,0.474,61.816,57.421,57.579,54.711,4.763,6.184,2.5,0.572,6.816,156.342,0.0,0.0,26,333,38,0.797,6.954,0.483,63,1.658,0.29,Meio,14900000.0
2023,Novorizontino,1.545,1.091,1.062,0.49,9.421,5.316,0.542,0.502,68.263,57.553,49.553,48.763,4.553,5.816,2.553,0.572,97.395,157.105,0.0,0.0,26,329,38,0.787,7.012,0.445,63,1.658,0.309,Meio,13900000.0
2023,Ponte Preta,1.176,1.618,0.933,0.5,5.632,7.789,0.479,0.526,57.658,63.184,45.658,47.158,6.526,8.105,3.105,0.439,-101.395,-234.921,0.0,0.0,34,281,38,0.672,6.909,0.433,42,1.105,-0.175,Meio,10675000.0
2023,Sampaio Corrêa,1.135,1.73,0.871,0.504,6.395,7.632,0.483,0.618,64.474,58.632,49.711,50.0,5.658,6.395,2.211,0.512,-0.605,49.921,0.0,0.0,39,255,38,0.61,6.884,0.501,39,1.026,-0.194,Cai,8500000.0
2023,Sport,1.875,1.188,1.222,0.61,7.711,6.605,0.567,0.581,68.553,57.237,51.0,52.026,5.658,5.895,2.342,0.564,53.921,276.132,0.0,0.0,36,268,38,0.641,6.939,0.536,63,1.658,0.242,Meio,17900000.0
2023,Tombense,1.118,1.412,0.885,0.526,7.421,7.579,0.543,0.563,55.237,58.684,49.211,50.526,6.395,7.342,3.026,0.481,28.526,-20.5,0.0,0.0,33,279,38,0.667,6.901,0.472,37,0.974,-0.193,Cai,6950000.0
2023,Vila Nova,1.861,1.222,1.258,0.53,9.368,5.947,0.553,0.518,63.763,60.447,46.842,49.684,5.605,5.842,2.395,0.524,82.211,107.368,0.0,0.0,26,334,38,0.799,6.953,0.518,61,1.605,0.33,Meio,10475000.0
2023,Vitória,1.514,1.086,1.0,0.585,7.342,7.237,0.526,0.515,62.237,61.079,49.816,52.684,7.447,6.237,3.0,0.512,54.5,73.579,0.0,0.0,31,268,38,0.641,6.98,0.483,72,1.895,0.543,Sobe,14025000.0
2024,Amazonas,1.062,1.312,0.84,0.756,7.5,7.184,0.549,0.548,55.132,58.789,50.211,52.737,6.947,6.474,3.553,0.484,9.811,-12.027,0.0,0.0,35,289,38,0.691,6.985,0.456,52,1.368,0.114,Meio,9675000.0
2024,América-MG,1.562,1.0,1.0,0.74,7.553,6.237,0.547,0.523,62.211,51.263,56.579,54.395,5.105,6.421,2.605,0.584,99.105,124.158,9.0,0.0,29,279,38,0.667,7.052,0.48,58,1.526,0.041,Meio,23325000.0
2024,Avaí,1.257,1.057,0.964,0.569,6.526,6.579,0.522,0.549,60.237,59.579,47.316,50.158,5.316,6.974,2.974,0.498,34.639,29.833,0.0,0.0,30,309,38,0.739,7.015,0.443,53,1.395,-0.037,Meio,19000000.0
2024,Botafogo-SP,0.75,1.528,0.652,0.654,6.474,7.237,0.55,0.605,52.237,61.974,43.684,49.816,6.289,5.658,2.789,0.447,21.605,-5.553,10.0,0.0,31,257,38,0.615,6.861,0.465,45,1.184,-0.066,Meio,9525000.0
2024,Brusque,1.097,1.677,1.143,0.498,5.447,7.868,0.462,0.525,57.105,62.895,48.026,46.0,7.5,7.632,3.474,0.42,-101.263,-272.658,0.0,0.0,34,274,38,0.656,6.92,0.453,36,0.947,-0.24,Cai,7500000.0
2024,CRB,1.182,1.424,0.783,0.621,6.421,6.737,0.51,0.543,62.211,55.289,53.026,53.5,6.553,5.816,3.0,0.519,68.368,159.816,3.0,0.0,33,295,38,0.706,6.957,0.439,43,1.132,-0.214,Meio,13675000.0
2024,Ceará,1.405,1.0,1.0,0.799,8.921,5.184,0.612,0.511,60.474,51.868,49.658,49.105,4.842,5.421,2.5,0.573,59.368,218.684,13.0,0.0,27,310,38,0.742,7.013,0.494,64,1.684,0.183,Sobe,24725000.0
2024,Chapecoense,0.938,1.406,0.571,0.655,6.763,7.895,0.541,0.502,50.711,66.447,45.5,45.763,6.711,8.737,3.579,0.408,-96.368,-299.158,5.0,0.0,37,267,38,0.639,6.926,0.471,44,1.189,-0.109,Meio,11425000.0
2024,Coritiba,1.257,1.0,0.958,0.604,7.211,6.921,0.51,0.539,55.921,58.711,51.895,49.132,6.605,6.316,3.184,0.52,19.816,3.316,0.0,0.0,31,293,38,0.701,7.045,0.495,50,1.316,-0.253,Meio,32050000.0
2024,Goiás,1.667,0.848,0.84,0.708,7.486,7.324,0.569,0.528,57.568,56.865,49.459,49.216,6.243,7.784,3.054,0.495,-43.757,-56.892,0.0,0.0,30,291,38,0.696,7.055,0.521,63,1.658,0.117,Meio,28750000.0
2024,Guarani,0.906,1.438,0.714,0.588,6.553,6.211,0.448,0.544,59.368,62.158,49.684,49.342,5.342,5.605,2.184,0.492,-23.158,73.237,0.0,0.0,41,269,38,0.644,6.904,0.476,33,0.868,-0.584,Cai,20600000.0
2024,Ituano,1.029,1.618,0.682,0.667,6.184,9.921,0.533,0.596,53.553,59.947,43.289,46.421,8.132,8.579,3.474,0.414,-20.946,-204.297,0.0,0.0,40,279,38,0.667,6.907,0.483,37,0.974,-0.322,Cai,11350000.0
2024,Mirassol,1.233,1.033,0.75,0.849,6.211,6.605,0.596,0.459,54.921,56.289,52.421,48.5,5.737,8.5,3.026,0.489,-48.243,-228.162,0.0,0.0,23,349,38,0.835,7.072,0.461,67,1.763,0.361,Sobe,16975000.0
2024,Novorizontino,1.267,0.733,0.95,0.684,7.0,5.868,0.498,0.511,60.079,66.868,42.711,43.395,5.211,6.158,3.053,0.457,-47.053,-93.921,0.0,0.0,27,287,38,0.687,6.98,0.461,64,1.684,0.396,Meio,11000000.0
2024,Operário-PR,1.097,1.226,0.76,0.542,6.605,6.158,0.459,0.541,62.526,55.447,55.526,53.263,5.211,5.816,2.763,0.563,36.053,228.605,0.0,0.0,37,242,38,0.579,6.974,0.424,55,1.486,0.166,Meio,12450000.0
