ano,clube,jogos,pontos,gp,gc,sg,pos,dist_g4,ppj,faixa,valor_eur,log_valor,posto_valor,ppj_esperado,rendimento,idade_onze,idade_elenco,jogadores_usados,conc_onze_pct,estrangeiros_min_pct,n_estrangeiros_500min,emprestados_min_pct,altura_onze,valor_onze_eur,valor_elenco_wy,sub23_min_pct,vet30_min_pct,chegaram_no_ano_pct,trocas_treinador,xg,xg_sof,dist_rem,xg_por_rem,xg_por_rem_sof,rem_fora_sof_pct,duel_aer_pct,posse,ppda,saldo_bp,bp_pro,bp_sof,gols_por_escanteio_pct,esc_contra,spr_n,hi_n,dist,runs_area,psv_min_kmh,psv_amp_kmh,referencia
2022,Cruzeiro,38,78,57.0,26.0,31.0,1,16,2.0526315789473686,Sobe,29750000.0,17.208339689955913,3.0,1.549386531160537,0.5032450477868315,27.443146672488446,24.244444444444444,37,66.66909249690707,26.351793901462777,6,100.0,181.86031364843723,12200000.0,26750000.0,25.51730829876525,28.205128205128204,66.66666666666666,0,1.253157894736842,1.0434210526315788,21.07578947368421,0.0873616821868592,0.0924652687099822,48.94741453708447,45.84368421052631,61.55657894736842,6.028947368421052,5,11,6,1.9011406844106464,153,10.335457928239649,61.99089616804932,9723.262696110758,4.662577248309459,26.37,4.859999999999999,True
2022,Grêmio,38,65,50.0,26.0,24.0,2,3,1.7105263157894737,Sobe,49775000.0,17.723023407914535,1.0,1.68467056396174,0.025855751827733586,26.34041309431021,24.885714285714286,32,68.83970489604292,37.95305164319249,7,100.0,181.0205378020265,20200000.0,39950000.0,38.604963112005365,31.259557344064387,36.0655737704918,1,1.3973684210526316,0.8278947368421052,20.69763157894737,0.1035543234996501,0.0781914558394821,57.71634067686699,47.04657894736842,50.10868421052632,8.936052631578947,3,14,11,2.4630541871921183,158,10.590485890238458,64.52966838023234,9983.433933324992,4.563582281507987,27.47,3.1099999999999994,False
2022,Bahia,38,62,43.0,29.0,14.0,3,0,1.631578947368421,Sobe,21700000.0,16.892822818510687,4.0,1.4664532785695537,0.16512566879886736,26.236401918353025,25.057142857142857,33,62.8448909580985,14.680225434942416,5,100.0,183.75096502514913,6150000.0,19450000.0,34.60181328105856,22.666013232050968,48.4375,2,1.4107894736842106,0.911578947368421,19.560526315789478,0.1078436022268065,0.0818071199921961,55.89595845828533,46.93368421052632,50.291315789473686,8.758684210526315,5,16,11,4.390243902439025,205,9.468412519962587,58.24756476183087,9563.164379393302,3.3689205431185067,27.72,3.3100000000000023,False
2022,Vasco,38,62,48.0,36.0,12.0,4,0,1.631578947368421,Sobe,31125000.0,17.253521912749147,2.0,1.5612626272893104,0.0703163200791106,28.882171478389164,24.78048780487805,33,71.68473427397063,20.868687354277334,4,100.0,181.91835160781946,16950000.0,33000000.0,32.5337115111891,36.37237699204384,62.264150943396224,2,1.0828947368421051,1.1352631578947368,19.165,0.1083278943278943,0.0920335112598933,50.819985448291305,49.13789473684211,51.319736842105264,8.719736842105263,8,19,11,4.232804232804233,193,8.979026384500905,56.247832925780166,9865.90292323338,2.5264277432017224,27.62,2.619999999999997,False
2022,Sampaio Corrêa,38,58,48.0,42.0,6.0,5,-4,1.5263157894736843,Meio,4500000.0,15.319587954740548,18.0,1.0529302750472498,0.4733855144264345,28.744849219362656,27.41176470588235,31,67.8714859437751,7.947452460444186,2,100.0,179.56277179724816,1350000.0,3150000.0,19.23839938065515,37.02037063918324,69.81132075471697,0,1.2107894736842104,1.3473684210526315,21.655,0.0926716273017804,0.109593797177195,46.75107765471543,50.040263157894735,43.99921052631579,11.337105263157897,8,18,10,3.6809815950920246,191,8.07502533155822,48.96057594332036,9216.726943411437,3.1768133720137794,27.69,2.77,True
2022,Ituano,38,57,42.0,34.0,8.0,6,-5,1.5,Meio,6500000.0,15.687312734865866,17.0,1.149586317351445,0.3504136826485551,28.713182751540042,27.36111111111111,33,58.71006630500301,9.608197709463532,2,100.0,182.175318275154,2500000.0,5600000.0,22.4376130198915,38.91983122362869,59.09090909090909,1,1.2907894736842105,1.148421052631579,19.323947368421056,0.1117778292613819,0.0944394071700573,50.80147685991339,47.70868421052632,43.78394736842105,11.55578947368421,0,16,16,4.232804232804233,192,9.577544426919768,59.23864532786588,9670.28919716627,2.913383961789797,26.82,3.3000000000000007,True
2022,Sport,38,57,37.0,31.0,6.0,7,-5,1.5,Meio,16300000.0,16.60667566577699,6.0,1.3912398233043755,0.10876017669562454,28.3946673270596,27.35135135135135,35,58.7416656564432,13.669535701297127,7,100.0,180.08919432062078,7300000.0,12850000.0,23.033094920596437,33.40768578009456,58.18181818181818,2,1.2457894736842103,0.8823684210526316,20.971052631578942,0.096806107635055,0.0737756302649878,60.001840479781656,48.30184210526316,54.17526315789473,8.619736842105263,3,12,9,1.851851851851852,178,8.577424413360985,54.30243421106992,9468.133871035709,3.0238240810715133,25.6,4.789999999999999,False
2022,Criciúma,38,56,43.0,31.0,12.0,8,-6,1.4736842105263157,Meio,6800000.0,15.732433170146335,16.0,1.1614461727024121,0.3122380378239036,30.617700343059784,27.92105263157895,32,61.783758037628004,7.563705644201001,3,100.0,180.43522337432063,2550000.0,7100000.0,6.7658966420576325,43.0316742081448,70.2127659574468,0,1.389736842105263,1.0642105263157895,19.987368421052636,0.0987156764563753,0.0961314290126617,48.1738594584855,46.90368421052632,49.29526315789474,8.807105263157895,-1,11,12,1.5151515151515151,192,8.208629448815289,55.91309645901844,9780.23662481046,3.286394028544572,25.41,4.140000000000001,True
2022,Londrina,37,52,35.0,36.0,-1.0,9,-10,1.4054054054054055,Meio,7200000.0,15.789591583986283,15.0,1.176470197094437,0.22893520831096859,28.667506475994465,25.441860465116278,35,68.27619624470019,0.6081162931556632,0,100.0,180.7495830524112,1550000.0,3525000.0,31.827983040581465,34.502725620835854,57.14285714285714,0,1.0064864864864866,1.1067567567567569,21.991891891891893,0.0884238062105709,0.1089412904149746,44.07751565646302,46.59621621621621,45.59351351351352,11.131351351351352,4,14,10,2.3529411764705883,184,8.519266795695705,54.842126763679175,9513.46235264401,2.821331533621282,27.33,4.350000000000001,True
2022,Guarani,38,51,33.0,36.0,-3.0,10,-11,1.3421052631578947,Meio,11025000.0,16.215675979297185,12.0,1.2884659982049644,0.053639264952930255,26.611977856064417,25.414634146341463,38,58.491352876241876,6.037041579786582,3,100.0,180.04546217077672,5750000.0,11450000.0,13.604808046117993,23.027106586532565,68.75,2,1.1502631578947369,1.1781578947368423,20.201052631578943,0.0959804082000595,0.0964061219245273,51.53393553166226,47.58157894736842,51.37052631578947,9.53921052631579,-6,9,15,1.4018691588785046,236,9.254851810004888,58.12818844066008,9629.286814600797,3.0369048810426897,26.58,3.940000000000001,False
