ano,clube,pos,J,V,E,D,GP,GC,pts,SG,posse,passes,passes_certos,passes_pct,xg,remates,remates_baliza,remates_baliza_pct,dist_remate,ppda,intensidade,passe_longo_pct,compr_passe,duelos_pct,duelos_aereos_pct,duelos_aereos,cruzamentos,cruz_certos_pct,bolas_paradas,bp_remates,cantos,cantos_remates,livres,livres_remates,atq_posicional,atq_pos_remates,contra_ataques,ca_remates,toques_area,entradas_area,faltas,amarelos,recuperacoes,perdas,passes_frente_pct,passes_frente,passes_terco_final,passes_progressivos,xg_contra,remates_contra,remates_baliza_contra,remates_contra_alvo,penaltis,penaltis_conv,dp_remates,dp_remates_baliza,dp_remates_contra,dp_remates_baliza_contra,pontos_casa,pontos_fora,jogos_base,xg_saldo,finalizacao,defesa_vs_xg,gp_jogo,gc_jogo,subiu,caiu,faixa,clean_sheets,brancos,goleadas_pro,goleadas_con,aprovG6,aprovMeio,aprovZ6,aprovTop6,aprovMio7,aprovBot6,jG6,jogos56,pts56,xgd56,pts1t,pts2t,pts10ini,pts10fim,maxSemVencer,maxVitorias,ptsAposDerrota,ptsAposVitoria,formacoes,formPrincipal,formPrincipalPct,jCasa,jFora,semVencer,vitSeguidas,ptsAposD,ptsAposDcasa,ptsAposDfora,ptsAposV,espSemVencer,espVitSeguidas,pSemVencer,pVitSeguidas,espAposV,espAposD,pAposD,espAposDcasa,pAposDcasa,espAposDfora,pAposDfora,espSemVencerM,espVitSeguidasM,pSemVencerM,pVitSeguidasM,espAposVM,espAposDM,pAposDM,espAposDcasaM,pAposDcasaM,espAposDforaM,pAposDforaM,espSemVencerMT,espVitSeguidasMT,pSemVencerMT,pVitSeguidasMT,espAposVMT,espAposDMT,pAposDMT,espAposDcasaMT,pAposDcasaMT,espAposDforaMT,pAposDforaMT,xg_por_remate,xg_por_remate_contra,bp_conv,punicao_pts,jogos_faltando
2018,Atlético-GO,6,38,16,11,11,57,51,59,6,53.191315789473684,428.6842105263158,357.7105263157895,82.72,1.2521052631578946,13.736842105263158,4.605263157894737,33.43421052631579,21.768947368421053,9.926578947368421,16.107105263157894,11.421842105263158,20.210263157894737,46.78736842105263,43.79815789473684,51.36842105263158,18.63157894736842,31.138947368421054,29.81578947368421,3.5789473684210527,6.421052631578948,1.868421052631579,3.3421052631578947,0.5,34.68421052631579,7.684210526315789,3.5,1.1578947368421053,13.131578947368421,23.157894736842106,14.552631578947368,2.5,88.89473684210526,108.55263157894737,75.35763157894738,147.07894736842104,61.921052631578945,82.6842105263158,1.406842105263158,13.68421052631579,4.473684210526316,4.631578947368421,6.0,5.0,5.139587797786143,2.3997688366625622,5.337806327220315,2.1901109697328023,32,27,38,-0.15473684210526328,0.2478947368421054,0.0647368421052632,1.5,1.3421052631578947,False,False,meio,12,7,1,1,43.333333333333336,52.083333333333336,58.333333333333336,41.66666666666667,54.761904761904766,58.333333333333336,10,2,6,0.7849999999999999,30,29,12,16,5,4,1.8181818181818181,1.4,5,4-2-3-1,86.8421052631579,19,19,5,4,1.8181818181818181,1.4,2.1666666666666665,1.4,5.538,3.7033,1.0,1.0,1.51229375,1.59537,0.5506,1.5706599952924585,0.7746,1.5743091872342723,0.3164,5.5533,3.7402,1.0,1.0,1.5282254166666667,1.5750618181818181,0.5236,1.4872,1.0,1.6539166666666665,0.404,5.5266,3.5328,1.0,0.8612,1.4367295833333333,1.742963636363636,0.901,1.38998,1.0,2.0371166666666665,0.949,0.09114942528735631,0.10280769230769231,12.003530450132391,0,0
2018,Avaí,3,38,16,13,9,50,32,61,18,45.78052631578947,319.5,248.0,76.55368421052631,1.7181578947368423,14.973684210526315,5.0,33.921052631578945,19.64421052631579,9.775526315789474,14.484473684210526,16.60842105263158,22.253684210526316,48.613684210526316,46.14710526315789,63.63157894736842,19.0,32.86473684210526,29.736842105263158,4.421052631578948,5.973684210526316,2.0,4.657894736842105,0.9736842105263158,31.842105263157894,7.973684210526316,3.9473684210526314,1.2894736842105263,16.55263157894737,24.18421052631579,16.657894736842106,2.6052631578947367,92.60526315789474,115.44736842105263,70.08315789473684,128.18421052631578,57.94736842105263,75.78947368421052,1.0478947368421052,11.68421052631579,3.3947368421052633,3.5,8.0,5.0,5.005331439225649,2.336548621248755,4.827316769979368,1.9526762464553205,29,32,38,0.6702631578947371,-0.4023684210526317,0.20578947368421052,1.3157894736842106,0.8421052631578947,True,False,sobe,14,10,2,0,40.0,54.166666666666664,63.888888888888886,41.66666666666667,54.761904761904766,63.888888888888886,10,4,4,0.5325,29,32,18,16,4,3,1.8888888888888888,1.375,6,3-4-3,52.63157894736842,19,19,4,3,1.8888888888888888,2.5,1.4,1.375,5.5397,3.7041,0.5622,0.9948,1.56797125,1.6464361111111112,0.583,1.615410781005757,0.1738,1.6133130134581442,0.753,5.5901,3.7335,0.5462,0.966,1.58583,1.6082166666666666,0.5098,1.676225,0.2508,1.55764,0.8806,5.4923,4.049,0.525,0.728,1.62228625,1.6959222222222223,0.6302,1.83575,0.3614,1.59464,0.8122,0.11474516695957823,0.08968468468468468,14.867256637168143,0,0
2018,Boa,20,38,7,9,22,26,49,30,-23,47.268157894736845,330.2368421052632,262.2631578947368,78.55394736842106,1.1639473684210526,12.263157894736842,3.3947368421052633,26.990789473684213,21.281052631578945,8.707105263157894,14.502894736842105,14.850526315789475,21.99842105263158,47.20184210526316,42.72289473684211,57.36842105263158,16.789473684210527,31.298684210526314,29.68421052631579,4.105263157894737,5.394736842105263,1.3421052631578947,4.526315789473684,1.2105263157894737,31.105263157894736,6.473684210526316,2.973684210526316,0.7368421052631579,11.868421052631579,18.94736842105263,17.92105263157895,2.5789473684210527,89.15789473684211,112.6842105263158,72.38236842105263,128.55263157894737,55.28947368421053,73.76315789473684,1.1405263157894736,11.18421052631579,3.6842105263157894,4.078947368421052,4.0,3.0,3.3099702825996404,1.8821993128254428,3.6970058239863386,1.8614911656750355,22,8,38,0.02342105263157901,-0.47973684210526313,-0.14894736842105272,0.6842105263157895,1.2894736842105263,False,True,cai,6,20,1,0,33.33333333333333,22.916666666666664,23.333333333333332,33.33333333333333,23.809523809523807,22.22222222222222,12,4,3,0.2225,14,16,6,4,8,1,0.7727272727272727,0.2857142857142857,7,4-2-3-1,44.73684210526316,19,19,8,1,0.7727272727272727,0.5555555555555556,0.9230769230769231,0.2857142857142857,11.3651,1.8838,0.3582,0.5224,0.7324261904761905,0.80828658008658,0.8942,0.7969983003108003,0.4752,0.7966085580514256,0.6332,10.9655,1.7169,0.4026,0.736,0.6259619047619047,0.8469374458874459,0.7108,0.6039986111111111,1.0,1.006823076923077,0.87,10.8676,1.6935,0.4652,0.7284,0.6394190476190476,0.8341554112554113,0.7756,0.5832222222222223,1.0,0.9985,0.9242,0.09491416309012875,0.1019764705882353,13.829787234042554,0,0
2018,Brasil de Pelotas,11,38,13,11,14,36,35,50,1,49.54078947368421,337.5,271.2894736842105,79.64368421052632,1.2826315789473686,12.342105263157896,3.5,27.689473684210526,20.44473684210526,8.358421052631579,14.496842105263157,14.324736842105263,21.285526315789475,46.72578947368421,43.634473684210526,61.36842105263158,15.026315789473685,34.49131578947369,30.07894736842105,3.8157894736842106,5.026315789473684,1.4736842105263157,4.7894736842105265,1.2105263157894737,30.789473684210527,6.631578947368421,2.526315789473684,0.868421052631579,12.5,18.31578947368421,18.210526315789473,2.8157894736842106,87.47368421052632,113.1842105263158,71.55105263157895,125.15789473684211,53.10526315789474,72.78947368421052,1.0102631578947368,13.210526315789474,3.8947368421052633,4.157894736842105,1.0,1.0,3.967954853365891,2.3795298195572507,4.243646409709474,2.063707941889255,26,24,38,0.2723684210526318,-0.33526315789473704,0.0892105263157894,0.9473684210526315,0.9210526315789473,False,False,meio,15,11,2,0,30.555555555555557,47.61904761904761,52.77777777777778,30.555555555555557,47.61904761904761,52.77777777777778,12,4,3,-0.1200000000000001,21,29,10,19,5,3,2.0,0.75,6,4-2-3-1,68.42105263157895,19,19,5,3,2.0,1.8571428571428572,2.142857142857143,0.75,6.8264,3.0278,0.5376,1.0,1.273897435897436,1.354036263736264,0.0282,1.3297811255411256,0.2676,1.33807101010101,0.094,6.8418,3.0528,0.527,1.0,1.291998717948718,1.3308274725274725,0.0264,1.3007428571428572,0.2658,1.3634309523809522,0.1266,6.9149,2.9804,0.5176,1.0,1.2575134615384613,1.3657912087912087,0.0264,1.3113857142857142,0.2514,1.4228023809523809,0.1558,0.10392324093816632,0.07647410358565736,12.685914260717412,0,0
2018,CRB,12,38,12,12,14,35,39,48,-4,49.95710526315789,370.2368421052632,303.55263157894734,80.87105263157895,1.2113157894736843,13.447368421052632,3.736842105263158,28.650263157894738,21.835263157894737,8.813684210526317,14.984210526315788,12.259473684210526,20.69236842105263,48.4228947368421,46.96605263157895,54.26315789473684,17.210526315789473,34.11447368421052,30.763157894736842,3.6052631578947367,5.2105263157894735,1.1578947368421053,4.657894736842105,0.9473684210526315,29.736842105263158,7.105263157894737,3.6578947368421053,0.8947368421052632,11.710526315789474,20.42105263157895,16.894736842105264,2.263157894736842,83.23684210526316,105.05263157894737,74.34947368421054,139.39473684210526,54.421052631578945,76.78947368421052,1.0897368421052631,12.473684210526315,3.973684210526316,4.157894736842105,3.0,2.0,5.350914892326522,2.101276452814385,3.516269845633511,1.7931829183501815,34,14,38,0.12157894736842123,-0.290263157894737,0.06342105263157882,0.9210526315789473,1.0263157894736843,False,False,meio,10,17,0,1,38.88888888888889,30.952380952380953,58.333333333333336,38.88888888888889,30.952380952380953,58.333333333333336,12,4,6,0.7024999999999999,21,27,8,18,7,2,1.3571428571428572,1.2727272727272727,6,4-2-3-1,60.526315789473685,19,19,7,2,1.3571428571428572,0.3333333333333333,1.6363636363636365,1.2727272727272727,7.3683,2.8032,1.0,0.8252,1.2122643939393938,1.2984368131868131,0.9062,1.2832284884559886,0.0516,1.2777260389610388,0.4136,7.0532,2.66,1.0,0.9758,1.1048484848484847,1.4619582417582417,0.7738,0.9971666666666668,0.5724,1.5819272727272726,0.971,7.3005,2.5407,1.0,1.0,1.0426409090909092,1.417592857142857,0.9038,0.8302,0.7938,1.5706363636363636,0.9306,0.09007827788649707,0.08736286919831224,11.719418306244652,0,0
2018,CSA,2,38,17,11,10,51,37,62,14,47.021842105263154,346.57894736842104,280.05263157894734,80.08184210526316,1.0999999999999999,12.657894736842104,3.8421052631578947,31.89657894736842,23.19736842105263,9.659210526315789,15.11578947368421,13.083947368421052,20.24157894736842,48.58868421052631,47.1221052631579,53.5,13.789473684210526,29.058157894736844,29.18421052631579,3.3157894736842106,4.657894736842105,1.0526315789473684,3.8421052631578947,0.7105263157894737,25.81578947368421,6.368421052631579,3.289473684210526,1.105263157894737,11.368421052631579,18.789473684210527,15.578947368421053,2.5,86.60526315789474,110.26315789473684,72.17289473684211,126.55263157894737,51.89473684210526,67.57894736842105,1.3171052631578946,13.447368421052632,4.157894736842105,4.473684210526316,5.0,4.0,4.883930161914484,1.9524941193042034,3.83227663915013,2.2363860299837963,34,28,38,-0.2171052631578947,0.24210526315789482,0.34342105263157874,1.3421052631578947,0.9736842105263158,True,False,sobe,16,10,4,3,30.0,58.333333333333336,69.44444444444444,33.33333333333333,59.523809523809526,69.44444444444444,10,4,3,-0.012500000000000011,34,28,19,16,5,4,2.1,1.25,4,4-2-3-1,78.94736842105263,19,19,5,4,2.1,1.6,2.6,1.25,5.1762,3.9543,1.0,1.0,1.5985514705882353,1.6763700000000001,0.2976,1.6588017206615926,0.9516,1.649622624882703,0.1068,5.1874,3.9675,1.0,1.0,1.595773161764706,1.6472133333333332,0.252,1.5616,1.0,1.73837,0.1472,4.7913,4.0301,0.9994,1.0,1.5733606617647058,1.6800577777777777,0.2892,1.42924,0.8842,1.9523650000000001,0.274,0.0869022869022869,0.09794520547945204,11.361587015329125,0,0
2018,Coritiba,10,38,13,13,12,40,44,52,-4,51.65078947368421,366.13157894736844,300.2631578947368,81.0828947368421,1.1018421052631577,11.842105263157896,3.736842105263158,31.281315789473684,21.460526315789473,7.416052631578947,14.652105263157894,12.166315789473684,21.440526315789473,46.40105263157895,43.90894736842105,55.86842105263158,13.868421052631579,31.542105263157893,30.394736842105264,3.736842105263158,5.157894736842105,1.4473684210526316,4.2894736842105265,1.0263157894736843,28.236842105263158,6.447368421052632,2.6578947368421053,0.7368421052631579,12.657894736842104,17.68421052631579,19.31578947368421,2.763157894736842,83.13157894736842,108.55263157894737,73.22894736842106,129.44736842105263,52.44736842105263,72.07894736842105,1.5107894736842105,13.973684210526315,4.605263157894737,4.973684210526316,5.0,4.0,4.389953615401529,1.898565753494304,4.868469108985838,2.3312155938678134,38,14,38,-0.4089473684210527,-0.04921052631578937,0.35289473684210515,1.0526315789473684,1.1578947368421053,False,False,meio,12,9,0,1,50.0,42.857142857142854,44.44444444444444,50.0,42.857142857142854,44.44444444444444,12,4,4,-0.1725,28,24,17,15,6,2,1.6666666666666667,1.0833333333333333,6,4-2-3-1,68.42105263157895,19,19,6,2,1.6666666666666667,1.3333333333333333,1.7777777777777777,1.0833333333333333,6.8031,3.0072,1.0,0.6258,1.323723076923077,1.403793181818182,0.4376,1.3780071753246754,0.9718,1.369548575036075,0.4118,6.3228,2.5951,1.0,0.9888,1.030170512820513,1.6366371212121211,0.9934,0.8908166666666668,0.6644,1.871677777777778,0.8978,6.3987,2.6182,1.0,0.9862,1.0420865384615383,1.5436166666666666,0.7602,0.7128333333333333,0.4772,1.8205444444444445,1.0,0.09304444444444443,0.10811676082862523,12.294372294372295,0,0
2018,Criciúma,14,38,11,14,13,45,49,47,-4,47.83736842105263,337.07894736842104,265.36842105263156,77.8892105263158,1.1734210526315791,10.973684210526315,3.710526315789474,35.63842105263158,19.95394736842105,8.792368421052632,14.983947368421052,14.03,21.021842105263158,46.78105263157895,46.39,55.526315789473685,17.05263157894737,27.645263157894735,32.13157894736842,3.763157894736842,6.421052631578948,1.8157894736842106,5.184210526315789,1.1842105263157894,30.36842105263158,5.552631578947368,2.0526315789473686,0.5789473684210527,12.052631578947368,19.736842105263158,19.105263157894736,3.026315789473684,89.42105263157895,116.6842105263158,70.90184210526316,128.28947368421052,54.81578947368421,74.47368421052632,1.1931578947368422,12.842105263157896,4.0,4.2105263157894735,8.0,7.0,3.7739279279935785,1.9851869642611868,4.600389617985508,2.4823702709632505,30,17,38,-0.019736842105263053,0.010789473684210238,-0.09631578947368413,1.1842105263157894,1.2894736842105263,False,False,meio,12,11,1,1,30.555555555555557,35.714285714285715,58.333333333333336,30.555555555555557,35.714285714285715,58.333333333333336,12,4,1,-0.06499999999999984,23,24,8,11,8,3,1.1538461538461537,1.8,8,4-2-3-1,47.368421052631575,19,19,8,3,1.1538461538461537,0.3333333333333333,1.4,1.8,7.9279,2.6194,1.0,0.9642,1.1894363636363636,1.2693166666666669,0.7304,1.2529646392496394,0.0556,1.249230606060606,0.7606,7.9403,2.6394,1.0,0.9816,1.1764781818181818,1.3617955128205128,0.5022,1.0781166666666668,0.469,1.4419899999999999,1.0,7.7083,2.5951,0.9938,0.8928,1.1235681818181815,1.3852615384615385,0.4614,0.9719666666666666,0.585,1.50925,0.8742,0.10693045563549163,0.09290983606557378,11.711711711711713,0,0
2018,Figueirense,15,38,11,13,14,48,51,46,-3,52.45789473684211,394.9736842105263,328.9736842105263,82.27000000000001,1.204736842105263,11.236842105263158,3.789473684210526,35.95263157894737,20.016315789473683,8.888684210526316,15.256578947368421,11.850526315789473,20.129210526315788,47.005,44.43105263157895,51.421052631578945,13.68421052631579,31.60263157894737,34.23684210526316,4.078947368421052,5.473684210526316,1.736842105263158,4.2368421052631575,0.7631578947368421,26.94736842105263,5.368421052631579,2.8157894736842106,0.6842105263157895,12.421052631578947,18.55263157894737,15.947368421052632,2.5789473684210527,80.07894736842105,106.63157894736842,73.92447368421053,136.55263157894737,51.94736842105263,72.3157894736842,1.6757894736842105,15.552631578947368,5.368421052631579,5.631578947368421,4.0,3.0,4.884803852469222,2.1829547882163913,5.274607035041658,2.4541311296886663,22,24,38,-0.4710526315789474,0.05842105263157893,0.3336842105263158,1.263157894736842,1.3421052631578947,False,False,meio,9,10,1,0,38.88888888888889,37.5,46.666666666666664,38.88888888888889,33.33333333333333,50.0,12,4,4,-1.1400000000000001,29,17,17,7,8,3,1.3076923076923077,1.5454545454545454,4,4-2-3-1,73.68421052631578,19,19,8,3,1.3076923076923077,1.5714285714285714,1.0,1.5454545454545454,7.9514,2.6127,1.0,0.9544,1.1581118181818184,1.2449175824175824,0.8218,1.2184175474525474,0.4526,1.2197620815295813,0.7402,8.0186,2.6611,1.0,1.0,1.200462727272727,1.220328021978022,0.7592,1.259485714285714,0.5608,1.1794214285714286,0.7982,8.5401,2.5635,1.0,0.9946,1.2111554545454546,1.0823543956043955,0.4068,1.0648857142857142,0.1996,1.10355,0.957,0.10721311475409837,0.10774957698815567,11.913912375096078,0,0
2018,Fortaleza,1,38,21,8,9,54,33,71,21,57.90315789473684,443.36842105263156,373.44736842105266,83.65947368421052,1.384736842105263,14.710526315789474,4.657894736842105,32.21026315789474,20.380526315789474,8.363947368421051,15.406052631578946,9.968947368421052,20.91894736842105,49.647368421052626,51.03052631578947,49.078947368421055,19.289473684210527,34.18657894736842,32.21052631578947,5.342105263157895,6.868421052631579,2.236842105263158,3.1315789473684212,0.7105263157894737,32.26315789473684,7.578947368421052,2.5526315789473686,0.7631578947368421,15.657894736842104,24.236842105263158,13.447368421052632,2.5789473684210527,84.15789473684211,103.5,76.38684210526316,148.42105263157896,62.63157894736842,83.84210526315789,1.0002631578947367,10.526315789473685,3.026315789473684,3.210526315789474,6.0,5.0,5.172212108361697,2.3627322227006107,4.536559251627574,1.68437721436871,43,28,38,0.3844736842105263,0.0363157894736843,0.13184210526315776,1.4210526315789473,0.868421052631579,True,False,sobe,14,8,3,0,43.333333333333336,66.66666666666666,72.22222222222221,47.22222222222222,66.66666666666666,72.22222222222221,10,4,4,0.3074999999999998,37,34,23,21,4,4,1.75,1.8095238095238095,7,4-1-4-1,31.57894736842105,19,19,4,4,1.75,2.0,1.6666666666666667,1.8095238095238095,3.9592,5.1439,1.0,0.7622,1.8370002380952382,1.9195375,0.6356,1.8918361164709339,1.0,1.8971192739226757,0.7002,3.864,5.0606,1.0,0.8168,1.7931490476190477,1.998088888888889,0.523,1.6612,0.867,2.1007333333333333,0.3398,3.9811,4.9283,1.0,0.9076,1.759410476190476,2.0030402777777776,0.542,1.704,0.927,2.096519047619047,0.3528,0.0941323792486583,0.09502499999999998,16.584967320261438,0,0
