id_jogador,jogador,temporada_tm,lesao,de,ate,dias,jogos_perdidos,dias_2022,dias_2023,dias_2024,dias_2025,dias_2026
250144,Lucas Hernández,25/26,Lesão meniscal,2026-01-08,2026-02-03,27,1,0,0,0,0,0
250144,Lucas Hernández,23/24,Lesão na mão,2024-05-30,2024-07-01,33,4,0,0,33,0,0
250144,Lucas Hernández,22/23,Lesão muscular,2023-03-19,2023-03-28,10,1,0,0,0,0,0
250144,Lucas Hernández,18/19,Gestão de esforço,2019-05-03,2019-05-05,3,1,0,0,0,0,0
250144,Lucas Hernández,18/19,Gestão de esforço,2019-03-29,2019-04-01,4,1,0,0,0,0,0
250144,Lucas Hernández,18/19,Síndrome gripal,2018-09-21,2018-09-25,5,1,0,0,0,0,0
250144,Lucas Hernández,17/18,Lesão muscular,2018-05-04,2018-05-08,5,1,0,0,0,0,0
250144,Lucas Hernández,17/18,Problemas no Joelho,2017-10-16,2017-10-31,16,0,0,0,0,0,0
250144,Lucas Hernández,16/17,Queixas adutores,2017-03-17,2017-03-22,6,1,0,0,0,0,0
250144,Lucas Hernández,15/16,Lesão desconhecida,2016-05-16,2016-05-25,10,1,0,0,0,0,0
676035,Luciano Juba,25/26,Lesão na coxa,2026-05-18,2026-07-16,60,2,0,0,0,0,60
676035,Luciano Juba,25/26,Problemas musculares na coxa,2025-10-06,2025-10-21,16,2,0,0,0,16,0
676035,Luciano Juba,22/23,Problemas musculares,2023-06-24,2023-06-29,6,1,0,6,0,0,0
353722,Sander,23/24,Lesão na coxa,2023-08-01,2023-10-02,63,9,0,63,0,0,0
353722,Sander,19/20,Problemas musculares,2019-11-11,2019-11-16,6,1,0,0,0,0,0
353722,Sander,19/20,Corte,2019-08-22,2019-09-06,16,3,0,0,0,0,0
353722,Sander,19/20,Lesão no cotovelo,2019-07-17,2019-08-15,30,5,0,0,0,0,0
353722,Sander,18/19,Edema do osso,2019-04-24,2019-05-15,22,3,0,0,0,0,0
353722,Sander,18/19,Lesão no pé,2018-10-28,2018-12-10,44,7,0,0,0,0,0
671292,Bruno Matias,25/26,Rotura dos ligamentos cruzados,2025-09-17,2026-07-16,303,12,0,0,0,75,107
643937,João Igor,21/22,Rotura de ligamentos no joelho,2021-08-19,2022-06-01,287,54,62,0,0,0,0
643937,João Igor,19/20,Problemas musculares,2019-10-26,2019-11-18,24,5,0,0,0,0,0
643937,João Igor,19/20,Fratura do nariz,2019-09-16,2019-10-10,25,5,0,0,0,0,0
643937,João Igor,19/20,Entorse do tornozelo,2019-07-05,2019-07-23,19,3,0,0,0,0,0
393835,Thiago Lopes,21/22,Rotura do tendão de Aquiles,2021-10-05,2022-05-01,209,43,31,0,0,0,0
393835,Thiago Lopes,21/22,Problemas no tendão de Aquiles,2021-08-17,2021-09-30,45,6,0,0,0,0,0
428786,Alan,24/25,Lesão desconhecida,2024-11-29,2024-12-01,3,1,0,0,2,0,0
428786,Alan,24/25,Lesão desconhecida,2024-08-19,2024-08-27,9,1,0,0,9,0,0
428786,Alan,20/21,Perna fraturada,2020-10-03,2021-04-01,181,43,0,0,0,0,0
593653,Denner,21/22,Problemas no flexor esquerdo da anca,2021-11-17,2021-12-15,29,5,0,0,0,0,0
593653,Denner,20/21,lesão na perna,2020-10-16,2020-11-09,25,6,0,0,0,0,0
593653,Denner,20/21,Lesão no bíceps femoral,2020-08-10,2020-09-04,26,5,0,0,0,0,0
419420,Everton Felipe,21/22,Problemas no Joelho,2022-06-05,2022-07-20,46,9,46,0,0,0,0
419420,Everton Felipe,17/18,Rotura de ligamentos no joelho,2017-09-11,2018-03-17,188,32,0,0,0,0,0
486211,Facundo Labandeira,25/26,Lesão desconhecida,2026-08-10,2026-09-04,26,4,0,0,0,0,26
486211,Facundo Labandeira,22/23,Problemas no Joelho,2023-04-23,2023-07-03,72,18,0,72,0,0,0
486211,Facundo Labandeira,21/22,Distensão dos adutores,2021-09-19,2021-11-07,50,1,0,0,0,0,0
486211,Facundo Labandeira,20/21,Lesão desconhecida,2021-02-16,2021-02-20,5,1,0,0,0,0,0
866880,Paulinho,22/23,Entorse do tornozelo,2023-05-01,2023-07-01,62,11,0,62,0,0,0
265822,Wanderson,21/22,Innenbandzerrung,2021-08-29,2022-02-26,182,24,0,0,0,0,0
265822,Wanderson,20/21,Operado ao joelho,2020-07-27,2021-02-10,199,26,0,0,0,0,0
265822,Wanderson,19/20,Lesão desconhecida,2019-07-01,2019-07-19,19,4,0,0,0,0,0
653349,Jáderson,25/26,Lesão desconhecida,2026-01-29,2026-02-03,6,1,0,0,0,0,0
255977,Ray Vanegas,22/23,Lesão na coxa,2023-04-12,2023-05-02,21,4,0,21,0,0,0
255977,Ray Vanegas,18/19,Lesão muscular,2018-07-01,2018-08-31,62,8,0,0,0,0,0
210548,Fabinho,22/23,Problemas no Joelho,2023-06-12,2023-07-24,43,9,0,43,0,0,0
646679,Pedro Naressi,24/25,Rotura do ligamento externo do joelho,2025-03-30,2025-05-31,63,13,0,0,0,61,0
328758,Ronaldo Henrique,18/19,Lesão na coxa,2019-04-29,2019-06-06,39,5,0,0,0,0,0
544254,Fábio Alemão,24/25,Lesão do ligamento cruzado,2024-07-29,2025-05-17,293,49,0,0,125,47,0
292152,Rafael Thyere,25/26,Lesão na coxa,2026-05-04,2026-07-16,74,8,0,0,0,0,74
292152,Rafael Thyere,25/26,Lesão na coxa,2026-01-12,2026-03-07,55,12,0,0,0,0,0
292152,Rafael Thyere,25/26,Lesão desconhecida,2025-10-26,2025-11-07,13,2,0,0,0,13,0
292152,Rafael Thyere,24/25,Hérnia discal,2025-01-27,2025-05-16,110,25,0,0,0,46,0
292152,Rafael Thyere,23/24,Problemas musculares na coxa,2023-08-27,2023-09-12,17,2,0,17,0,0,0
292152,Rafael Thyere,22/23,Lesão muscular,2022-07-20,2022-09-09,52,10,52,0,0,0,0
292152,Rafael Thyere,21/22,Problemas musculares,2021-08-09,2021-09-10,33,4,0,0,0,0,0
292152,Rafael Thyere,19/20,Problemas musculares,2019-11-15,2019-11-18,4,1,0,0,0,0,0
292152,Rafael Thyere,18/19,Problemas musculares,2019-06-11,2019-07-01,21,1,0,0,0,0,0
866842,Renzo,23/24,Lesão do ligamento cruzado,2024-03-01,2025-01-21,327,54,0,0,244,0,0
546033,Sabino,25/26,Lesão na coxa,2026-05-24,2026-07-20,58,2,0,0,0,0,58
