posicao,indicador,qtd_jogadores_liga,liga_p25,liga_mediana,liga_p75,titulares_mediana,qtd_titulares,ref_mediana,qtd_titulares_referencia,outros_titulares_mediana,ref_vs_outros_pct
LE,Corridas sem bola/30min posse,173,20.96,24.07,27.56,23.52,42,24.33,12,23.14,5.14
LE,Corridas p/ área/30min posse,173,0.72,1.28,1.96,1.34,42,1.58,12,1.16,36.64
LE,Corridas perigosas/30min posse,173,3.24,4.41,6.0,4.53,42,4.65,12,3.97,17.13
VOL,Distância/90 (m),184,9754.79,10045.54,10336.74,9993.12,38,9855.48,5,10030.61,-1.75
VOL,Alta velocidade/90 (m),184,410.64,455.05,519.64,453.04,38,478.57,5,452.56,5.75
VOL,Sprint/90 (m),184,87.42,113.82,141.74,112.16,38,110.6,5,113.73,-2.75
VOL,Sprints/90,184,4.49,5.73,7.46,5.61,38,5.68,5,5.54,2.53
VOL,Ações alta intensidade/90,184,41.7,47.57,54.59,47.05,38,48.56,5,46.22,5.06
VOL,Acelerações fortes/90,184,4.33,4.79,5.56,4.62,38,5.04,5,4.5,12.0
VOL,Desacelerações fortes/90,184,11.97,13.46,15.24,13.28,38,14.72,5,13.01,13.14
VOL,Arrancadas explosivas/90,184,0.38,0.59,0.88,0.59,38,0.78,5,0.57,36.84
VOL,Mudanças de direção/90,184,27.49,32.06,36.44,31.75,38,27.46,5,32.31,-15.01
VOL,PSV-99 (km/h),184,26.69,27.44,28.24,27.72,38,27.69,5,27.74,-0.18
VOL,PSV-99 top5 (km/h),184,28.41,29.57,30.46,30.14,38,30.52,5,30.0,1.73
VOL,Sprint/30min com bola (m),184,28.96,40.92,57.52,39.33,38,46.95,5,36.3,29.34
VOL,Sprint/30min sem bola (m),184,67.14,87.95,112.18,91.99,38,84.9,5,92.56,-8.28
VOL,Alta vel./30min com bola (m),184,122.8,171.22,211.74,159.32,38,175.12,5,157.56,11.14
VOL,Alta vel./30min sem bola (m),184,332.26,380.88,427.02,391.32,38,339.11,5,394.0,-13.93
VOL,Corridas sem bola/30min posse,184,14.82,20.4,26.19,20.06,38,20.08,5,20.03,0.25
VOL,Corridas p/ área/30min posse,184,0.34,0.8,1.76,0.84,38,0.87,5,0.82,6.1
VOL,Corridas perigosas/30min posse,184,1.27,2.45,4.68,2.49,38,2.92,5,2.46,18.7
MED,Distância/90 (m),237,9949.42,10247.83,10521.25,10274.74,46,10384.09,18,10139.79,2.41
MED,Alta velocidade/90 (m),237,448.02,510.28,580.36,525.64,46,557.67,18,512.43,8.83
MED,Sprint/90 (m),237,99.12,125.89,156.75,130.29,46,137.45,18,127.04,8.2
MED,Sprints/90,237,5.11,6.48,8.21,7.0,46,7.0,18,7.06,-0.85
MED,Ações alta intensidade/90,237,45.4,52.42,58.9,53.44,46,53.44,18,53.13,0.58
MED,Acelerações fortes/90,237,4.29,4.97,5.89,4.76,46,5.24,18,4.43,18.28
MED,Desacelerações fortes/90,237,11.85,13.72,15.57,13.44,46,14.08,18,12.76,10.26
MED,Arrancadas explosivas/90,237,0.43,0.62,0.96,0.68,46,0.75,18,0.6,26.05
MED,Mudanças de direção/90,237,30.34,34.68,40.74,33.65,46,35.63,18,31.3,13.85
MED,PSV-99 (km/h),237,26.77,27.48,28.19,27.85,46,28.05,18,27.73,1.15
MED,PSV-99 top5 (km/h),237,28.58,29.36,30.32,30.13,46,30.39,18,29.96,1.44
MED,Sprint/30min com bola (m),237,36.84,59.46,81.87,58.24,46,66.34,18,54.49,21.75
MED,Sprint/30min sem bola (m),237,68.75,87.94,110.06,94.86,46,94.2,18,95.42,-1.27
MED,Alta vel./30min com bola (m),237,167.08,236.08,305.42,235.12,46,302.21,18,225.08,34.27
MED,Alta vel./30min sem bola (m),237,332.32,373.55,437.27,382.94,46,381.89,18,383.81,-0.5
MED,Corridas sem bola/30min posse,237,21.38,27.3,33.14,27.41,46,32.66,18,26.02,25.5
MED,Corridas p/ área/30min posse,237,0.82,1.77,3.41,2.16,46,2.94,18,1.71,72.22
MED,Corridas perigosas/30min posse,237,2.92,5.5,8.94,6.68,46,7.94,18,5.87,35.18
MEI,Distância/90 (m),104,9826.51,10182.81,10478.91,10029.8,14,9996.28,6,10111.38,-1.14
MEI,Alta velocidade/90 (m),104,471.57,543.63,616.04,518.41,14,473.07,6,574.66,-17.68
MEI,Sprint/90 (m),104,118.36,143.2,174.77,142.28,14,124.77,6,145.67,-14.35
