ano,clube,duelos_def_cru,duelos_def_padj,duelos_def_pct,aereos_pct,duelos_pct,intercep_padj,duelos_of_padj,duelos_of_pct,jogos,pontos,gp,gc,sg,pos,dist_g4,ppj,faixa,valor_eur,log_valor,posto_valor,ppj_esperado,rendimento,posse
2022,Bahia,4.7075000000000005,4.735088118670358,65.125,50.455,56.4275,3.75688882065508,2.860831889988331,45.4475,38,62,43.0,29.0,14.0,3,0,1.631578947368421,Sobe,21700000.0,16.892822818510687,4.0,1.4664532785695537,0.16512566879886736,50.291315789473686
2022,Brusque,5.9775,6.231140201683253,68.95,53.1025,59.54,4.792583367166667,2.5175235417277757,51.7525,38,34,21.0,38.0,-17.0,18,-28,0.8947368421052632,Cai,4375000.0,15.291417077773852,19.0,1.045525591917353,-0.15078874981208978,52.03526315789473
2022,CRB,4.916666666666667,4.8616785237844935,60.53666666666667,44.89333333333334,48.00666666666667,4.176099450599968,5.0437137234652285,45.06666666666666,38,50,35.0,43.0,-8.0,11,-12,1.3157894736842106,Meio,15925000.0,16.583400759422503,7.0,1.3851220405091595,-0.06933256682494893,49.43447368421052
2022,CSA,5.8725,5.689246379767488,58.1875,56.067499999999995,53.56,4.543646746889658,3.469246247552752,45.167500000000004,38,42,29.0,37.0,-8.0,17,-20,1.105263157894737,Cai,13750000.0,16.436549382076855,10.0,1.3465223221646054,-0.2412591642698685,48.38947368421052
2022,Chapecoense,5.492,5.504805916922526,68.812,55.902,59.624,4.275947203494445,3.4140578233792964,51.128,38,45,37.0,39.0,-2.0,14,-17,1.1842105263157894,Meio,13875000.0,16.445599217596772,9.0,1.348901061189376,-0.16469053487358654,50.11631578947369
2022,Criciúma,6.2375,6.15080600795109,62.802499999999995,49.5325,53.19,4.139159634208369,4.815371392575351,44.8975,38,56,43.0,31.0,12.0,8,-6,1.4736842105263157,Meio,6800000.0,15.732433170146335,16.0,1.1614461727024121,0.3122380378239036,49.29526315789474
2022,Cruzeiro,6.038333333333334,7.853532760607409,61.095,49.855,50.69833333333333,4.441592223705377,3.024317950252584,42.95166666666666,38,78,57.0,26.0,31.0,1,16,2.0526315789473686,Sobe,29750000.0,17.208339689955913,3.0,1.549386531160537,0.5032450477868315,61.55657894736842
2022,Grêmio,7.001666666666666,7.016919233210435,64.45166666666667,48.949999999999996,54.93833333333333,4.414595937485166,4.59501189519623,46.696666666666665,38,65,50.0,26.0,24.0,2,3,1.7105263157894737,Sobe,49775000.0,17.723023407914535,1.0,1.68467056396174,0.025855751827733586,50.10868421052632
2022,Guarani,5.735,5.896629724230486,58.9225,51.79,53.792500000000004,3.5498019394778986,6.08568808655383,51.2825,38,51,33.0,36.0,-3.0,10,-11,1.3421052631578947,Meio,11025000.0,16.215675979297185,12.0,1.2884659982049644,0.053639264952930255,51.37052631578947
2022,Ituano,6.4799999999999995,5.763478309716741,60.166,49.994,53.932,3.673327996779343,3.576653303602017,48.08,38,57,42.0,34.0,8.0,6,-5,1.5,Meio,6500000.0,15.687312734865866,17.0,1.149586317351445,0.3504136826485551,43.78394736842105
