treinador,passagens,clubes,jogos,anos,ppj,ppj_pior,ppj_melhor,rendimento_medio,rendimento_pior,passagens_com_valor,clubes_com_rendimento_positivo,posto_valor_medio,temporadas_inteiras,acessos,g4_ao_sair,subiu_posicoes_media,xg,xg_sof,dist_rem,ppda,posse,clubes_lista
Paulo Pezzolano,1,1,38,2022–2022,2.05,2.05,2.05,0.5,0.5,1,1,3.0,1,1,1,,1.25,1.04,21.1,6.0,61.6,"Cruzeiro 2022 (38j, 2.05)"
Paulo Roberto Santos,1,1,12,2018–2018,1.42,1.42,1.42,,,0,0,,0,0,0,,1.02,1.25,22.4,11.0,46.4,"São Bento 2018 (12j, 1.42)"
Pepa,1,1,17,2024–2024,2.0,2.0,2.0,0.54,0.54,1,1,6.0,0,0,1,3.0,1.56,0.85,17.6,9.2,51.3,"Sport 2024 (17j, 2.00)"
Pintado,3,3,55,2020–2023,1.51,1.0,1.67,-0.28,-0.28,1,0,13.0,0,0,1,-2.0,1.11,1.16,21.3,9.4,48.6,"Juventude 2020 (32j, 1.62), Goiás 2021 (12j, 1.67), Ponte Preta 2023 (11j, 1.00)"
Rafael Guanaes,2,2,52,2022–2024,1.42,1.27,1.49,0.11,-0.03,2,1,11.5,1,0,0,1.0,1.14,1.3,21.0,7.9,54.6,"Novorizontino 2022 (15j, 1.27), Operário-PR 2024 (37j, 1.49)"
Rafael Lacerda,3,3,63,2024–2025,1.43,1.42,1.45,0.07,-0.11,3,2,11.7,0,0,0,1.5,1.17,1.13,20.5,9.8,50.2,"Amazonas 2024 (31j, 1.42), Atlético-GO 2025 (21j, 1.43), Vila Nova 2025 (11j, 1.45)"
Ramon Menezes,1,1,13,2021–2021,0.92,0.92,0.92,,,0,0,,0,0,0,-2.0,1.26,0.88,21.6,9.5,52.8,"Vitória 2021 (13j, 0.92)"
Renan Freitas,2,1,49,2019–2020,0.96,0.55,1.08,,,0,0,,1,0,0,,0.95,1.39,20.9,9.7,49.5,"Oeste 2019 (38j, 1.08), Oeste 2020 (11j, 0.55)"
Renato Gaúcho,1,1,10,2022–2022,1.8,1.8,1.8,0.12,0.12,1,1,1.0,0,0,1,1.0,1.8,0.66,18.8,8.7,51.7,"Grêmio 2022 (10j, 1.80)"
Ricardo Catalá,2,2,30,2021–2026,1.37,1.35,1.4,0.15,0.15,1,1,15.0,0,0,0,,1.19,1.21,20.7,11.2,52.3,"Operário-PR 2021 (10j, 1.40), São Bernardo 2026 (20j, 1.35)"
Roberto Cavalo,4,3,80,2018–2020,1.23,0.93,1.64,,,0,0,,1,0,1,1.5,1.19,1.2,21.1,9.4,49.5,"Oeste 2018 (38j, 1.21), Botafogo-SP 2019 (14j, 1.64), Criciúma 2019 (14j, 1.14), Oeste 2020 (14j, 0.93)"
Roberto Fernandes,3,3,38,2018–2022,1.32,1.12,1.73,-0.2,-0.22,2,0,9.0,0,0,0,2.5,1.29,1.34,21.1,10.1,46.0,"CRB 2018 (11j, 1.73), CSA 2022 (11j, 1.18), Náutico 2022 (16j, 1.12)"
Roberto Fonseca,4,2,52,2018–2023,1.23,0.7,1.79,-0.19,-0.19,1,0,18.0,0,0,0,2.0,1.16,1.44,20.9,9.8,48.8,"Londrina 2018 (19j, 1.79), Sampaio Corrêa 2018 (12j, 1.00), Londrina 2021 (10j, 0.70), Londrina 2023 (11j, 1.00)"
Rodrigo Santana,2,2,24,2021–2026,0.71,0.7,0.71,-0.33,-0.33,1,0,19.0,0,0,0,,1.43,1.37,20.2,10.0,47.0,"Confiança 2021 (14j, 0.71), Ponte Preta 2026 (10j, 0.70)"
Roger Machado,1,1,27,2022–2022,1.63,1.63,1.63,-0.06,-0.06,1,0,1.0,0,0,1,,1.28,0.88,21.4,9.0,49.8,"Grêmio 2022 (27j, 1.63)"
Roger Silva,2,2,20,2025–2026,1.25,0.6,1.9,-0.09,-0.81,2,1,11.5,0,0,0,5.0,1.35,1.08,19.0,12.0,49.8,"Athletic 2025 (10j, 0.60), Atlético-GO 2026 (10j, 1.90)"
Rogério Ceni,1,1,38,2018–2018,1.87,1.87,1.87,,,0,0,,1,0,1,,1.38,1.0,20.4,8.4,57.9,"Fortaleza 2018 (38j, 1.87)"
Rogério Corrêa,1,1,38,2025–2025,0.95,0.95,0.95,-0.15,-0.15,1,0,20.0,1,0,0,,1.16,1.33,21.6,11.2,53.2,"Volta Redonda 2025 (38j, 0.95)"
Rogério Micale,2,2,30,2018–2026,0.83,0.67,0.94,-0.19,-0.19,1,0,17.0,0,0,0,-8.0,1.37,1.5,20.2,10.2,50.2,"Figueirense 2018 (12j, 0.67), Londrina 2026 (18j, 0.94)"
Rogério Zimermann,1,1,14,2018–2018,1.79,1.79,1.79,,,0,0,,0,0,0,7.0,1.29,1.04,20.0,10.4,43.7,"Brasil de Pelotas 2018 (14j, 1.79)"
Rui Duarte,1,1,28,2025–2025,1.36,1.36,1.36,-0.06,-0.06,1,0,11.0,0,0,0,4.0,1.25,1.12,17.2,10.6,52.2,"Athletic 2025 (28j, 1.36)"
Thiago Carpini,3,3,72,2019–2026,1.72,1.48,1.94,0.36,0.07,2,2,3.0,0,0,1,12.5,1.16,1.16,20.1,9.4,50.9,"Guarani 2019 (21j, 1.48), Juventude 2023 (32j, 1.94), Fortaleza 2026 (19j, 1.63)"
Umberto Louzer,7,5,167,2018–2026,1.49,0.67,2.0,0.02,-0.46,4,2,13.5,0,0,2,2.7,1.23,1.24,20.3,11.0,49.9,"Guarani 2018 (36j, 1.39), Coritiba 2019 (23j, 1.48), Chapecoense 2020 (31j, 2.00), Guarani 2023 (26j, 1.58), Chapecoense 2024 (17j, 1.06), Novorizontino 2025 (22j, 1.59), América-MG 2026 (12j, 0.67)"
Vagner Mancini,4,2,77,2023–2025,1.57,1.15,1.9,0.08,-0.44,4,1,4.5,0,0,1,1.5,1.47,1.19,19.9,8.4,50.8,"Ceará 2023 (13j, 1.15), Ceará 2024 (12j, 1.33), Goiás 2024 (20j, 1.90), Goiás 2025 (32j, 1.62)"
Vanderlei Luxemburgo,1,1,23,2021–2021,1.52,1.52,1.52,,,0,0,,0,0,0,3.0,1.36,0.92,21.8,9.1,50.8,"Cruzeiro 2021 (23j, 1.52)"
Vinícius,2,2,36,2025–2025,1.39,1.24,1.73,0.18,0.08,2,2,17.0,0,0,0,2.0,1.2,1.44,21.5,13.5,49.2,"Avaí 2025 (11j, 1.73), Ferroviária 2025 (25j, 1.24)"
Wagner Lopes,2,2,49,2019–2021,1.49,1.24,1.68,,,0,0,,0,0,1,,1.14,0.95,21.0,9.2,48.9,"Atlético-GO 2019 (28j, 1.68), Vitória 2021 (21j, 1.24)"
Waguinho Dias,1,1,15,2021–2021,1.4,1.4,1.4,,,0,0,,0,0,0,2.0,1.61,1.66,19.7,11.1,47.8,"Brusque 2021 (15j, 1.40)"
William Batista,1,1,10,2025–2025,1.3,1.3,1.3,-0.18,-0.18,1,0,5.0,0,0,0,,1.27,1.02,20.3,8.8,57.0,"América-MG 2025 (10j, 1.30)"
Zé Ricardo,1,1,10,2022–2022,1.8,1.8,1.8,0.24,0.24,1,1,2.0,0,0,1,,1.08,0.85,19.1,7.6,52.1,"Vasco 2022 (10j, 1.80)"
