jogador,Team,clube,Position,idade,valor,contrato,Matches played,minutos,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",nascido_em,passaporte,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %",liga,"Conversão de penaltis, %",Aerial duels per 90.1,pos11,mercado,sul_americano,ocupa_vaga_estrangeiro,"Aerial duels won, %_pct",Passes to penalty area per 90_pct,Progressive runs per 90_pct,Touches in box per 90_pct,Long passes per 90_pct,"Defensive duels won, %_pct",Head goals per 90_pct,xG per 90_pct,Crosses per 90_pct,Key passes per 90_pct,Successful defensive actions per 90_pct,Smart passes per 90_pct,Free kicks per 90_pct,Progressive passes per 90_pct,"Save rate, %_pct",Corners per 90_pct,Exits per 90_pct,Shots per 90_pct,Prevented goals per 90_pct,PAdj Interceptions_pct,"Accurate passes, %_pct",Accelerations per 90_pct,Fouls suffered per 90_pct,xA per 90_pct,aderencia,criterios_com_dado,chave,nivel_overall,rank_na_liga,nivel_ofensivo,nivel_defensivo,nivel_passe,nivel_bola_parada,nivel_fisico,aderencia_ajustada,nota,livre,ordem
C. Zabala,Sarmiento,Sarmiento,"RCMF, LCMF",28.0,600000,2026-12-31,20,1826,1,0.6,1,1.23,16.86,50.29,Argentina,Argentina,direito,187,72,sim,8.72,6.01,59.84,3.55,50.0,0.35,0.49,0.25,4.78,6.81,0.89,5,0.25,0,0.0,0.74,0.05,1,0.05,0.03,0,0.0,9,0.44,22.22,11.111,0.05,0.54,36.36,0.1,50.0,0.44,33.33,0.2,1.13,39.13,5.03,38.24,0.54,1.38,0.0,28.78,0.35,0.74,46.77,83.77,17.1,72.62,6.95,92.91,13.9,91.13,41.45,87.87,4.78,53.61,17.22,31.6,0.06,0.69,0.05,0.0,0.1,0.0,0.35,5.96,64.46,1.04,42.86,0.3,16.67,0.39,0.25,6.9,70.71,0,,0,,0,0.0,0.0,0.0,,,0.79,,0.25,0.1,0.0,0.89,0.0,0.0,Argentina A,,,MED,Sul-americano,True,True,66.66666666666666,20.0,73.33333333333333,40.0,71.11111111111111,37.77777777777778,44.44444444444444,27.77777777777778,28.888888888888886,77.77777777777779,60.0,63.33333333333333,57.77777777777777,66.66666666666666,51.11111111111111,68.88888888888889,,18.88888888888889,,84.44444444444444,62.22222222222222,13.333333333333334,22.22222222222222,52.22222222222223,48.9,6,c zabala,39.19,36.0,27.5,62.57,47.47,0.0,41.34,33.9,36.5,True,6
B. Leyes,Tigre,Tigre,"LCMF, LDMF, DMF",24.0,0,2026-12-31,15,1218,0,0.38,0,0.14,14.93,50.99,Argentina,Argentina,esquerdo,173,69,sim,9.09,6.58,60.67,3.62,40.82,0.44,0.61,0.0,4.66,6.45,1.77,4,0.3,0,0.0,0.52,0.0,0,0.0,0.03,0,0.0,8,0.59,12.5,0.0,0.0,0.44,50.0,0.3,25.0,0.15,100.0,0.0,0.52,42.86,2.81,52.63,0.07,0.96,0.0,22.32,0.15,1.26,38.94,80.83,16.4,75.68,3.25,95.45,13.67,83.78,32.36,87.67,6.28,47.06,19.66,35.67,0.01,0.37,0.0,0.07,0.0,0.0,0.0,8.65,70.09,1.4,47.37,0.59,37.5,0.44,0.15,7.76,75.24,0,,0,,0,0.0,0.0,0.0,,,0.67,,0.22,0.15,0.0,0.0,0.0,0.0,Argentina A,,,MED,Sul-americano,True,True,44.44444444444444,40.0,50.0,2.2222222222222223,97.77777777777777,51.11111111111111,44.44444444444444,27.77777777777778,21.11111111111111,6.666666666666667,72.22222222222221,20.0,53.333333333333336,84.44444444444444,51.11111111111111,14.444444444444443,,28.888888888888886,,75.55555555555556,46.666666666666664,13.333333333333334,55.55555555555556,6.666666666666667,36.3,6,b leyes,37.01,42.0,22.7,55.25,50.48,0.0,37.85,21.299999999999997,29.2,True,6
I. Tapia,Barracas Central,Barracas Central,"LCMF, DMF",27.0,0,2026-12-31,21,1629,1,0.43,2,2.48,11.38,39.81,Argentina,"Argentina, Italy",direito,179,76,sim,4.03,3.92,46.48,1.44,30.77,0.28,0.3,0.0,1.93,2.09,0.5,0,0.0,0,0.0,1.1,0.06,1,0.06,0.02,0,0.0,22,1.22,36.36,4.545,0.11,0.66,50.0,0.5,44.44,0.17,66.67,0.06,0.61,54.55,4.31,35.9,0.11,0.44,0.11,22.27,0.28,1.27,30.94,83.75,9.56,70.52,5.86,92.45,10.0,86.19,28.18,86.86,2.1,52.63,16.62,30.61,0.14,1.33,0.0,0.0,0.0,0.0,0.22,4.36,70.89,1.05,47.37,0.17,33.33,0.22,0.39,4.31,78.21,0,,0,,0,0.0,0.0,0.0,,,0.06,,2.15,0.28,80.0,1.6,0.0,0.0,Argentina A,,,MED,Sul-americano,True,True,22.22222222222222,22.22222222222222,15.555555555555555,6.666666666666667,13.333333333333334,4.444444444444445,44.44444444444444,17.77777777777778,42.22222222222222,36.666666666666664,4.444444444444445,20.0,97.77777777777777,11.11111111111111,51.11111111111111,80.0,,66.66666666666666,,4.444444444444445,60.0,60.0,60.0,87.77777777777777,33.3,6,i tapia,35.38,47.0,27.68,57.18,39.3,0.0,34.15,18.299999999999997,26.8,True,6
J. Goitía,Deportivo Riestra,Deportivo Riestra,"RCMF, LCMF",32.0,375000,2026-12-31,18,930,0,0.29,0,0.17,15.68,53.09,Argentina,Argentina,direito,177,73,sim,9.87,7.74,58.75,2.81,44.83,0.68,0.86,0.29,4.65,5.9,2.42,6,0.58,1,0.1,0.58,0.0,0,0.0,0.03,0,0.0,13,1.26,0.0,0.0,0.0,1.06,45.45,0.48,40.0,0.39,50.0,0.0,0.39,25.0,2.32,37.5,0.19,0.0,0.0,8.32,0.19,1.16,23.9,63.97,10.55,48.62,3.0,90.32,6.48,70.15,18.68,69.43,4.16,44.19,17.28,24.4,0.02,0.29,0.0,0.0,0.0,0.0,0.0,6.19,54.69,2.13,63.64,0.58,66.67,0.97,0.39,5.81,76.67,0,,0,,0,0.0,0.0,0.0,,,0.77,,0.19,0.0,0.0,0.29,0.0,0.0,Argentina A,,,MED,Sul-americano,True,True,53.333333333333336,71.11111111111111,2.2222222222222223,12.222222222222221,58.88888888888889,31.11111111111111,44.44444444444444,27.77777777777778,62.22222222222222,6.666666666666667,82.22222222222221,20.0,50.0,42.22222222222222,51.11111111111111,51.11111111111111,,70.0,,66.66666666666666,4.444444444444445,13.333333333333334,44.44444444444444,16.666666666666664,36.2,6,j goitia,31.02,55.0,19.36,45.72,43.81,0.0,36.96,21.200000000000003,26.1,True,6
G. Abregú,Instituto,Instituto,"RCMF, DMF, LCMF",29.0,250000,2026-12-31,19,1618,0,0.32,1,0.3,13.85,57.83,Argentina,Argentina,direito,170,73,sim,7.73,6.79,67.21,3.28,57.63,0.06,0.07,0.11,3.11,4.17,0.67,1,0.06,0,0.0,0.33,0.0,0,0.0,0.02,0,0.0,5,0.28,20.0,0.0,0.06,0.17,33.33,0.06,0.0,0.11,50.0,0.0,0.28,60.0,2.61,31.91,0.39,0.22,0.0,18.86,0.0,0.44,31.87,85.69,8.07,73.1,4.17,93.33,14.68,89.77,28.2,88.56,3.5,65.08,19.04,32.18,0.02,0.39,0.0,0.0,0.06,100.0,0.17,4.17,73.33,0.67,66.67,0.06,100.0,0.33,0.06,4.84,68.97,0,,0,,0,0.0,0.0,0.0,,,0.17,,0.0,0.0,0.0,0.06,0.0,0.0,Argentina A,,,MED,Sul-americano,True,True,84.44444444444444,6.666666666666667,6.666666666666667,33.33333333333333,46.666666666666664,80.0,44.44444444444444,17.77777777777778,4.444444444444445,27.77777777777778,42.22222222222222,44.44444444444444,15.555555555555555,15.555555555555555,51.11111111111111,35.55555555555556,,6.666666666666667,,25.555555555555554,80.0,13.333333333333334,6.666666666666667,16.666666666666664,27.1,6,g abregu,33.31,51.0,17.57,66.64,43.97,0.0,37.44,12.100000000000001,22.7,True,6
M. Pittón,Unión Santa Fe,Unión Santa Fe,RCMF,31.0,1800000,2026-12-31,18,1704,0,0.83,0,0.27,16.11,54.75,Argentina,Argentina,direito,181,70,sim,10.25,5.81,66.36,3.33,52.38,0.21,0.3,0.32,6.18,8.8,0.9,6,0.32,0,0.0,0.74,0.0,0,0.0,0.04,0,0.0,13,0.69,15.38,0.0,0.0,0.58,36.36,0.05,0.0,0.48,44.44,0.11,0.63,66.67,4.38,45.78,0.32,0.85,0.11,23.35,0.26,1.0,42.31,85.52,13.47,70.2,7.02,93.98,16.06,94.08,36.23,89.5,5.55,63.81,18.84,34.45,0.01,0.26,0.05,0.0,0.05,0.0,0.0,5.65,71.03,0.9,47.06,0.21,25.0,0.21,0.21,5.33,73.27,0,,0,,0,0.0,0.0,0.0,,,0.32,,0.26,0.21,25.0,0.0,0.0,0.0,Argentina A,,,MED,Sul-americano,True,True,75.55555555555556,11.11111111111111,44.44444444444444,20.0,88.88888888888889,73.33333333333333,44.44444444444444,41.11111111111111,35.55555555555556,6.666666666666667,86.66666666666667,41.11111111111111,60.0,20.0,51.11111111111111,14.444444444444443,,41.11111111111111,,97.77777777777777,76.66666666666667,60.0,34.44444444444444,6.666666666666667,24.6,6,m pitton,34.11,48.0,26.07,64.36,41.67,0.0,40.42,9.600000000000001,21.9,True,6
M. Lanzini,Vélez Sarsfield,Vélez Sarsfield,"AMF, LAMF",33.0,2000000,2026-12-31,22,1764,5,2.61,0,2.78,17.7,42.94,Argentina,"Argentina, Italy",direito,170,69,sim,5.36,3.42,59.7,1.12,31.82,0.56,0.8,0.2,2.76,3.9,0.87,3,0.15,0,0.0,2.7,0.26,5,0.26,0.13,0,0.0,30,1.53,43.33,16.667,0.0,1.07,28.57,0.66,23.08,0.41,37.5,0.15,2.6,60.78,10.92,41.59,2.04,2.09,0.41,31.94,1.89,2.55,42.65,83.85,12.7,77.51,8.42,93.94,11.07,88.02,39.64,86.1,1.94,68.42,14.62,28.61,0.14,1.43,0.1,0.15,0.26,60.0,0.41,5.36,80.95,2.35,50.0,0.46,55.56,1.33,0.31,5.71,79.46,0,,0,,0,0.0,0.0,0.0,,,0.1,,1.07,0.26,20.0,2.09,0.0,0.0,Argentina A,,,MEI,Sul-americano,True,True,61.53846153846154,38.46153846153847,30.76923076923077,61.53846153846154,23.076923076923077,61.53846153846154,53.84615384615385,50.0,15.384615384615385,23.076923076923077,61.53846153846154,46.15384615384615,38.46153846153847,76.92307692307693,53.84615384615385,53.84615384615385,,38.46153846153847,,76.92307692307693,92.3076923076923,61.53846153846154,92.3076923076923,26.923076923076923,38.5,7,m lanzini,46.65,9.0,53.44,63.39,46.31,18.5,31.84,23.5,35.1,True,7
Franco Cristaldo,Talleres Córdoba,Talleres Córdoba,AMF,30.0,10000000,2026-12-31,14,1114,1,1.13,2,1.7,14.38,45.51,Argentina,"Argentina, Paraguay",direito,175,69,sim,5.01,4.36,59.26,2.18,44.44,0.57,0.85,0.08,1.86,2.8,0.73,1,0.08,0,0.0,1.62,0.08,1,0.08,0.09,0,0.0,12,0.97,33.33,8.333,0.16,1.05,30.77,0.48,16.67,0.57,42.86,0.16,1.29,75.0,6.38,37.97,1.7,0.73,0.08,29.0,1.45,1.13,37.24,84.6,8.48,73.33,8.81,92.66,12.44,90.26,34.34,87.53,1.86,60.87,16.37,30.69,0.14,1.62,0.08,0.0,0.32,0.0,0.4,4.93,75.41,2.02,60.0,0.81,30.0,0.89,0.4,5.01,72.58,0,,0,,0,0.0,0.0,0.0,,,0.24,,0.65,0.08,0.0,2.59,0.0,0.0,Argentina A,,,MEI,Sul-americano,True,True,92.3076923076923,7.6923076923076925,7.6923076923076925,38.46153846153847,15.384615384615385,53.84615384615385,53.84615384615385,15.384615384615385,7.6923076923076925,15.384615384615385,46.15384615384615,57.692307692307686,30.76923076923077,42.30769230769231,53.84615384615385,84.61538461538461,,7.6923076923076925,,34.61538461538461,100.0,7.6923076923076925,38.46153846153847,26.923076923076923,27.3,7,franco cristaldo,34.82,17.0,32.76,70.31,40.37,12.88,38.28,12.3,23.6,True,7
H. López,Argentinos Juniors,Argentinos Juniors,"RWF, AMF, CF",25.0,0,2026-12-31,19,1187,4,3.89,2,2.85,20.32,41.04,Argentina,Argentina,esquerdo,169,67,sim,5.23,5.31,60.0,1.06,21.43,0.23,0.42,0.0,1.82,3.36,1.36,0,0.0,1,0.08,3.11,0.3,4,0.3,0.29,0,0.0,35,2.65,45.71,11.429,0.15,2.27,16.67,0.76,0.0,1.44,21.05,0.45,3.49,41.3,12.51,35.15,2.81,2.73,0.3,25.32,1.82,2.27,31.54,70.67,10.01,56.82,5.84,94.81,9.63,70.08,26.61,77.78,2.73,44.44,17.58,21.02,0.22,1.36,0.0,0.08,0.68,11.11,0.61,5.16,58.82,5.31,32.86,1.36,22.22,1.82,0.45,4.4,77.59,0,,0,,0,0.0,0.0,0.0,,,0.23,,0.68,0.08,100.0,1.9,0.0,0.0,Argentina A,,,ED,Sul-americano,True,True,11.11111111111111,100.0,83.33333333333334,66.66666666666666,88.88888888888889,77.77777777777779,50.0,100.0,33.33333333333333,66.66666666666666,16.666666666666664,100.0,83.33333333333334,61.111111111111114,52.77777777777778,88.88888888888889,,94.44444444444444,,11.11111111111111,44.44444444444444,38.88888888888889,100.0,97.22222222222221,62.1,6,h lopez,70.69,1.0,70.82,64.42,69.16,0.0,36.36,47.1,58.9,True,8
J. Palacios,Unión Santa Fe,Unión Santa Fe,"RW, LW",27.0,450000,2026-12-31,22,1896,3,2.65,5,4.44,18.51,48.97,Argentina,Argentina,direito,169,68,sim,5.93,5.98,53.97,1.47,38.71,0.0,0.0,0.09,2.71,3.97,1.38,5,0.24,0,0.0,3.13,0.14,3,0.14,0.13,0,0.0,37,1.76,27.03,8.108,0.24,2.8,40.68,0.81,41.18,1.99,40.48,0.19,2.33,57.14,8.64,48.9,2.85,2.8,0.76,24.02,2.18,2.14,33.28,73.89,9.21,67.01,6.88,89.66,9.16,76.68,28.67,77.98,1.8,60.53,16.38,29.36,0.21,1.95,0.0,0.05,0.33,57.14,0.81,4.03,75.29,4.03,55.29,0.76,43.75,1.47,1.19,5.93,84.8,0,,0,,0,0.0,0.0,0.0,,,0.24,,0.28,0.0,0.0,1.33,0.0,0.0,Argentina A,,,ED,Sul-americano,True,True,66.66666666666666,88.88888888888889,88.88888888888889,75.0,50.0,22.22222222222222,50.0,44.44444444444444,66.66666666666666,94.44444444444444,44.44444444444444,94.44444444444444,66.66666666666666,88.88888888888889,52.77777777777778,72.22222222222221,,80.55555555555556,,50.0,61.111111111111114,94.44444444444444,94.44444444444444,88.88888888888889,62.4,6,j palacios,67.41,2.0,63.44,72.85,74.53,0.0,48.85,47.4,57.4,True,8
M. Pellegrini,Vélez Sarsfield,Vélez Sarsfield,"RAMF, LAMF",26.0,2200000,2026-12-31,17,1225,3,3.01,3,2.55,24.47,45.65,Argentina,Argentina,direito,176,68,sim,7.64,6.61,62.22,5.22,45.07,0.96,1.32,0.22,2.57,3.56,1.54,6,0.44,0,0.0,2.35,0.22,3,0.22,0.22,1,0.07,24,1.76,41.67,12.5,0.22,2.13,27.59,1.18,18.75,0.96,38.46,0.22,2.06,50.0,8.67,36.44,3.38,2.13,0.29,25.49,2.42,1.32,31.96,76.55,8.67,73.73,7.64,85.58,9.04,69.11,28.73,80.31,1.18,68.75,15.68,18.35,0.19,1.4,0.15,0.0,0.0,0.0,0.96,2.94,77.5,3.31,48.89,0.0,0.0,1.47,0.66,3.82,88.46,0,,0,,0,0.0,0.0,0.0,,,0.0,,0.51,0.0,0.0,0.96,0.0,0.0,Argentina A,,,ED,Sul-americano,True,True,83.33333333333334,72.22222222222221,55.55555555555556,94.44444444444444,33.33333333333333,83.33333333333334,100.0,91.66666666666666,22.22222222222222,100.0,88.88888888888889,25.0,72.22222222222221,27.77777777777778,52.77777777777778,66.66666666666666,,80.55555555555556,,27.77777777777778,77.77777777777779,30.555555555555557,55.55555555555556,83.33333333333334,71.7,6,m pellegrini,54.83,4.0,60.08,84.33,45.1,0.0,47.99,56.7,55.8,True,8
J. Campaz,Rosario Central,Rosario Central,"LAMF, AMF",26.0,0,2026-12-31,16,1144,2,3.16,4,3.05,21.08,52.99,Colombia,Colombia,esquerdo,165,65,sim,4.25,4.09,67.31,1.97,52.0,0.31,0.53,0.0,1.18,1.99,1.02,0,0.0,0,0.0,7.87,0.16,2,0.16,0.25,1,0.08,38,2.99,44.74,5.263,0.31,6.45,30.49,6.37,29.63,0.08,100.0,0.63,6.45,70.73,12.82,52.76,3.46,2.52,0.08,25.8,2.91,1.42,32.88,68.18,8.02,68.63,6.69,96.47,12.04,54.25,24.7,80.57,1.97,36.0,19.33,28.97,0.24,1.49,0.0,0.0,0.24,0.0,0.87,3.3,61.9,7.32,39.78,0.24,0.0,1.26,1.97,7.0,83.15,0,,0,,0,0.0,0.0,0.0,,,0.0,,0.47,0.16,50.0,1.81,0.0,0.0,Argentina A,,,EE,Sul-americano,True,True,100.0,100.0,68.0,100.0,74.0,80.0,100.0,92.0,100.0,100.0,8.0,72.0,68.0,96.0,52.0,88.0,,92.0,,4.0,16.0,8.0,52.0,100.0,85.6,6,j campaz,58.73,3.0,79.65,92.67,53.06,0.0,51.95,70.6,64.7,True,9
F. Jainikoski,Argentinos Juniors,Argentinos Juniors,"LWF, LW, LAMF",18.0,0,,22,1007,1,1.67,2,1.67,21.9,40.0,Argentina,Argentina,,0,0,sim,5.72,4.92,69.09,0.71,12.5,0.27,0.53,0.09,2.06,4.04,0.89,0,0.0,0,0.0,3.57,0.09,1,0.09,0.15,0,0.0,23,2.06,21.74,4.348,0.18,3.31,29.73,1.34,26.67,1.97,31.82,0.54,4.92,41.82,15.1,33.73,2.77,2.06,0.54,18.41,2.06,2.68,22.25,70.68,5.36,58.33,5.36,91.67,6.79,68.42,17.79,79.4,1.61,44.44,21.17,20.17,0.15,0.71,0.0,0.0,0.27,33.33,0.45,2.77,70.97,2.95,27.27,0.45,20.0,0.54,0.63,3.22,75.0,0,,0,,0,0.0,0.0,0.0,,,0.0,,0.36,0.09,0.0,0.98,0.0,0.0,Argentina A,,,EE,Sul-americano,True,True,4.0,72.0,48.0,72.0,42.0,96.0,50.0,54.0,84.0,60.0,48.0,84.0,60.0,28.000000000000004,52.0,60.0,,84.0,,56.00000000000001,36.0,64.0,92.0,78.0,63.8,6,f jainikoski,42.08,17.0,50.69,59.31,43.35,0.0,56.01,48.8,45.4,True,9
S. López,Tigre,Tigre,"LAMF, LW, CF",20.0,0,2026-12-31,20,1345,0,2.05,2,3.05,27.57,43.93,Argentina,Argentina,direito,170,60,sim,7.9,8.03,63.33,1.94,31.03,0.13,0.19,0.07,2.68,3.79,1.81,3,0.2,0,0.0,3.88,0.0,0,0.0,0.14,0,0.0,26,1.74,23.08,0.0,0.13,2.74,26.83,1.41,28.57,1.34,25.0,0.27,6.02,45.56,15.32,37.12,2.68,2.34,0.87,20.28,2.28,2.07,26.63,70.1,7.03,62.86,5.82,86.21,7.23,69.44,22.22,77.71,2.01,40.0,16.85,32.37,0.2,1.67,0.07,0.0,0.0,0.0,0.67,2.81,66.67,2.14,37.5,0.07,100.0,0.74,0.67,4.55,57.35,0,,0,,0,0.0,0.0,0.0,,,0.0,,1.2,0.07,0.0,2.28,0.0,0.0,Argentina A,,,EE,Sul-americano,True,True,52.0,44.0,64.0,64.0,80.0,72.0,50.0,44.0,76.0,88.0,84.0,12.0,96.0,76.0,52.0,100.0,,60.0,,36.0,28.000000000000004,96.0,76.0,96.0,61.2,6,s lopez,39.86,19.0,56.67,71.51,37.12,0.0,54.2,46.2,43.0,True,9
F. González Metilli,Belgrano,Belgrano,"LAMF, LCMF, RW",29.0,2000000,2026-12-31,17,908,4,1.49,0,1.47,14.37,46.9,Argentina,Argentina,esquerdo,178,70,sim,7.53,5.25,62.26,1.69,17.65,0.5,0.67,0.4,3.77,5.11,0.69,0,0.0,0,0.0,1.69,0.4,4,0.4,0.15,0,0.0,18,1.78,50.0,22.222,0.0,0.89,22.22,0.5,20.0,0.4,25.0,0.1,1.19,50.0,4.86,46.94,1.98,1.69,0.3,24.19,0.99,1.39,33.8,78.59,9.91,66.0,5.15,90.38,9.91,82.0,30.33,82.03,2.58,57.69,17.5,22.06,0.15,0.89,0.0,0.0,0.0,0.0,0.5,4.66,65.96,1.88,36.84,0.3,0.0,0.79,0.2,4.46,64.44,0,,0,,0,0.0,0.0,0.0,,,0.0,,0.2,0.0,0.0,0.2,0.0,0.0,Argentina A,,,EE,Sul-americano,True,True,12.0,24.0,28.000000000000004,32.0,92.0,64.0,50.0,54.0,12.0,76.0,80.0,12.0,42.0,72.0,52.0,22.0,,72.0,,88.0,80.0,42.0,48.0,78.0,47.8,6,f gonzalez metilli,39.16,20.0,44.57,59.04,36.76,0.0,38.57,32.8,36.0,True,9
B. Cuello,Unión Santa Fe,Unión Santa Fe,"LW, RW",28.0,350000,2026-12-31,16,997,3,2.4,0,0.21,18.6,45.63,Argentina,Argentina,direito,170,66,sim,6.5,6.5,61.11,4.06,46.67,0.0,0.0,0.18,2.53,3.68,1.9,4,0.36,0,0.0,1.81,0.27,3,0.27,0.22,0,0.0,17,1.53,35.29,17.647,0.0,2.44,18.52,1.62,16.67,0.81,22.22,0.18,2.26,36.0,6.32,35.71,1.9,1.99,0.27,20.94,2.17,1.26,29.52,72.48,7.76,60.47,6.77,86.67,9.03,69.0,25.37,80.07,1.72,36.84,16.36,21.19,0.02,0.36,0.27,0.0,0.18,0.0,0.18,3.61,57.5,2.71,33.33,0.27,0.0,0.63,0.63,3.97,70.45,0,,0,,0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.09,0.0,0.0,Argentina A,,,EE,Sul-americano,True,True,92.0,64.0,44.0,24.0,48.0,56.00000000000001,50.0,80.0,60.0,16.0,64.0,54.0,10.0,52.0,52.0,16.0,,34.0,,28.000000000000004,52.0,28.000000000000004,40.0,4.0,46.6,6,b cuello,37.46,23.0,40.88,83.66,34.74,0.0,44.51,31.6,34.5,True,9
N. Laméndola,Atlético Tucumán,Atlético Tucumán,"LW, LAMF, LWF",27.0,375000,2026-12-31,19,1502,1,1.43,0,1.68,23.43,47.57,Argentina,Argentina,direito,178,68,sim,6.53,5.15,62.79,1.32,27.27,0.42,0.6,0.18,2.88,4.11,1.32,4,0.24,0,0.0,5.33,0.06,1,0.06,0.09,0,0.0,16,0.96,25.0,6.25,0.0,3.54,27.12,2.76,26.09,0.78,30.77,0.66,7.73,52.71,15.1,45.63,1.38,3.54,0.3,18.81,1.8,1.5,27.2,62.33,9.17,56.86,4.61,76.62,7.13,62.18,21.99,69.75,1.86,41.94,16.61,32.64,0.1,0.9,0.06,0.0,0.18,33.33,0.48,3.24,62.96,4.61,32.47,0.54,33.33,0.72,1.08,5.27,73.86,0,,0,,0,0.0,0.0,0.0,,,0.06,,0.78,0.18,0.0,1.62,0.0,0.0,Argentina A,,,EE,Sul-americano,True,True,44.0,96.0,96.0,12.0,62.0,68.0,50.0,12.0,92.0,68.0,68.0,54.0,90.0,84.0,52.0,84.0,,10.0,,60.0,4.0,42.0,56.00000000000001,66.0,38.6,6,n lamendola,43.7,13.0,54.95,67.84,48.44,0.0,44.15,23.6,33.7,True,9
Horacio Tijanovich,Central Córdoba SdE,Central Córdoba SdE,"LW, LDMF, CF",30.0,100000,2026-12-31,17,942,0,1.45,2,0.28,20.54,36.74,Argentina,"Argentina, Uruguay",direito,173,68,sim,5.45,4.87,41.18,4.59,35.42,0.29,0.35,0.48,3.15,3.87,1.53,5,0.48,0,0.0,2.2,0.0,0,0.0,0.14,0,0.0,10,0.96,70.0,0.0,0.19,1.43,40.0,0.86,33.33,0.57,50.0,0.19,2.01,47.62,8.79,39.13,1.43,0.57,0.19,14.33,0.67,2.77,21.59,72.57,6.69,52.86,3.63,92.11,6.69,85.71,18.34,77.6,1.82,47.37,19.01,16.75,0.03,0.57,0.0,0.1,0.0,0.0,0.48,2.01,66.67,1.15,50.0,0.1,0.0,0.19,0.57,2.77,55.17,0,,0,,0,0.0,0.0,0.0,,,0.0,,0.38,0.1,100.0,0.86,0.0,0.0,Argentina A,,,EE,Sul-americano,True,True,70.0,12.0,4.0,16.0,54.0,4.0,50.0,44.0,32.0,68.0,34.0,12.0,64.0,16.0,52.0,52.0,,10.0,,44.0,56.00000000000001,16.0,96.0,8.0,34.6,6,horacio tijanovich,29.37,35.0,35.3,59.86,28.61,0.0,48.5,19.6,24.5,True,9
R. Auzmendi,San Lorenzo,San Lorenzo,CF,25.0,0,2026-12-31,20,1218,6,4.54,0,0.57,21.35,37.02,Argentina,Argentina,direito,0,0,sim,2.51,2.66,47.22,9.16,44.35,0.15,0.22,0.0,1.11,1.69,1.55,3,0.22,0,0.0,1.77,0.44,6,0.44,0.34,4,0.3,37,2.73,45.95,16.216,0.0,0.52,42.86,0.22,33.33,0.3,50.0,0.0,0.74,40.0,5.84,31.65,3.62,0.15,0.07,10.05,3.47,0.89,15.37,63.94,4.29,43.1,3.69,86.0,4.21,68.42,14.26,64.25,0.81,63.64,14.97,18.35,0.04,0.22,0.0,0.0,0.0,0.0,0.3,2.07,57.14,0.89,41.67,0.07,100.0,0.81,0.0,1.55,76.19,0,,0,,0,0.0,0.0,0.0,,,0.07,,0.07,0.07,0.0,0.0,0.0,0.0,Argentina A,,,CA,Sul-americano,True,True,79.06976744186046,36.04651162790697,4.651162790697675,79.06976744186046,58.139534883720934,30.23255813953488,100.0,62.7906976744186,37.2093023255814,43.02325581395349,16.27906976744186,20.930232558139537,76.74418604651163,48.837209302325576,51.162790697674424,40.69767441860465,,90.69767441860465,,10.465116279069768,13.953488372093023,43.02325581395349,36.04651162790697,31.3953488372093,71.7,6,r auzmendi,34.3,35.0,39.02,74.05,27.31,0.0,59.03,56.7,45.5,True,10
