mercado,liga,pos11,jogador,clube,idade,minutos,contrato,valor,nascido_em,passaporte,aderencia,aderencia_ajustada,nivel_overall,rank_na_liga,nota,nota_completa,nivel_bola_parada,nivel_fisico,criterios_com_dado,posse_est,Duelos def/90 PAdj,Aéreos/90 PAdj,Duelos of/90 PAdj,xG per 90,Goals per 90,xG,Goals,sul_americano,ocupa_vaga_estrangeiro,On loan,livre_2027,contrato_vencido,nivel
Exterior,Bulgaria,LD,Pastor,CSKA Sofia,26.0,2596,2028-06-30,1000000,Brazil,Brazil,60.7,49.2,47.21,9.0,48.2,True,0.0,,6,51.48657481829188,5.97,2.07,5.92,0.01,0.0,0.22,0,True,False,sim,False,False,N1
Exterior,Mexico,LD,Gustavo Ferrareis,Atlas,30.0,3142,2027-06-30,2000000,Brazil,"Brazil, Italy",63.4,50.0,45.74,10.0,47.9,True,0.0,38.51,6,44.991918788282014,4.37,1.41,4.33,0.03,0.0,1.19,0,True,False,sim,True,False,N1
Exterior,Grecia,ZD,Fabiano,Aris,34.0,2024,2027-06-30,800000,Brazil,Brazil,81.8,55.5,71.98,1.0,63.7,True,0.0,31.01,7,50.16249730452494,3.26,4.37,0.53,0.06,0.09,1.34,2,True,False,sim,True,False,N1
Exterior,China,ZD,Lucão,Chongqing Tongliang Long,30.0,1430,,400000,Brazil,Brazil,81.6,55.5,68.09,2.0,61.8,True,0.0,32.13,7,60.1380208550186,4.74,5.21,0.94,0.04,0.06,0.6,1,True,False,sim,True,False,N1
Exterior,Israel,ZD,B. Carabalí,Beitar Jerusalem,27.0,3268,2028-06-30,250000,Colombia,Colombia,70.2,52.1,70.7,2.0,61.4,True,0.0,,7,59.64174654406269,5.05,5.53,2.05,0.09,0.06,3.18,2,True,True,sim,False,False,N1
Exterior,Italia C,ZD,Gregorio Tanco,Lecco,26.0,2368,2026-06-30,100000,Argentina,"Argentina, Spain",77.0,54.1,63.17,1.0,58.6,True,0.0,,7,61.722344917267485,6.26,4.86,1.11,0.07,0.04,1.73,1,True,True,sim,True,True,N1
Exterior,Turquia,ZD,Gabriel Paulista,Beşiktaş,35.0,954,2027-12-31,2000000,Brazil,"Brazil, Spain",76.7,54.0,63.06,5.0,58.5,True,0.0,32.9,7,56.82250415403909,4.37,4.15,0.75,0.06,0.0,0.64,0,True,False,sim,False,False,N1
Exterior,Ucrania,ZD,Jordan,Zorya,27.0,2644,2028-06-30,800000,Brazil,Brazil,75.2,53.6,63.25,4.0,58.4,True,0.0,28.39,7,53.19166522797107,5.38,4.95,2.17,0.06,0.07,1.64,2,True,False,sim,False,False,N1
Exterior,Emirados,ZD,Iago Santos,Dibba Al Fujairah,33.0,1554,2026-06-30,1000000,Brazil,Brazil,73.9,53.2,60.99,5.0,57.1,True,0.0,22.76,7,36.910200004808544,2.98,3.76,1.72,0.04,0.06,0.72,1,True,False,sim,True,True,N1
Exterior,Mexico,ZD,M. Capasso,Atlas,30.0,1947,2028-12-31,1000000,Argentina,"Argentina, Italy",69.9,52.0,61.81,4.0,56.9,True,0.0,25.01,7,44.991918788282014,4.62,3.91,1.08,0.11,0.09,2.3,2,True,True,sim,False,False,N1
Exterior,Hungria,ZD,M. Gómez,Ferencváros,27.0,1336,2028-06-30,300000,Argentina,Argentina,57.5,48.2,64.45,2.0,56.3,True,0.0,,7,56.39006367834913,7.11,4.63,1.07,0.23,0.2,3.4,3,True,True,no,False,False,N1
Exterior,Mexico,ZD,Joaquim,Tigres UANL,27.0,2833,2027-06-30,0,Brazil,Brazil,71.6,52.5,58.71,10.0,55.6,True,0.0,25.13,7,55.66098437820196,5.12,5.55,2.08,0.09,0.06,2.8,2,True,False,sim,True,False,N1
Exterior,Italia C,ZD,M. Curado,Ascoli,31.0,3802,2027-06-30,350000,Argentina,"Argentina, Italy",63.0,49.9,60.82,5.0,55.4,True,0.0,,7,62.47432543416467,7.75,7.13,1.14,0.08,0.02,3.17,1,True,True,sim,True,False,N1
Exterior,Mexico,ZD,W. Ditta,Cruz Azul,28.0,4311,2028-06-30,0,Colombia,Colombia,65.7,50.7,59.6,8.0,55.2,True,0.0,35.8,7,54.28441341279396,5.77,3.57,1.54,0.04,0.0,1.95,0,True,True,sim,False,False,N1
Exterior,Espanha B,ZE,Rubén Alves,Córdoba,31.0,1834,2028-06-30,800000,Brazil,"Brazil, Spain",80.7,55.2,65.97,4.0,60.6,True,0.0,26.32,7,50.775569592540016,5.78,4.54,1.21,0.08,0.1,1.63,2,True,False,sim,False,False,N1
Exterior,Bulgaria,ZE,C. Makoun,Levski Sofia,26.0,2133,2027-06-30,0,Venezuela,"Venezuela, Cameroon",60.0,49.0,69.42,1.0,59.2,True,0.0,,7,60.84483357621762,4.74,3.88,1.39,0.07,0.04,1.57,1,True,True,sim,True,False,N1
