mercado,liga,pos11,jogador,clube,idade,minutos,contrato,valor,nascido_em,passaporte,aderencia,aderencia_ajustada,nivel_overall,rank_na_liga,nota,nota_completa,nivel_bola_parada,nivel_fisico,criterios_com_dado,posse_est,Duelos def/90 PAdj,Aéreos/90 PAdj,Duelos of/90 PAdj,xG per 90,Goals per 90,xG,Goals,sul_americano,ocupa_vaga_estrangeiro,On loan,livre_2027,contrato_vencido,nivel
Sul-americano,Argentina B,LD,M. Peinipil,Colón,27.0,2114,2026-12-31,0,Argentina,"Argentina, Italy",81.4,55.4,55.21,3.0,55.3,True,0.0,,6,53.787353932238595,4.37,2.67,1.42,0.02,0.04,0.42,1,True,True,sim,True,False,N1
Sul-americano,Bolivia,LD,G. Cuellar,Universitario de Vinto,27.0,1260,,0,Bolivia,Bolivia,71.5,52.4,58.16,1.0,55.3,True,0.0,,6,55.62271401338699,5.15,1.61,6.74,0.08,0.14,1.17,2,True,True,sim,True,False,N1
Sul-americano,Argentina B,LD,L. Arce,Godoy Cruz,29.0,1338,2026-12-31,0,Argentina,Argentina,85.2,56.6,53.56,6.0,55.1,True,0.0,,6,60.18039385054685,8.61,1.95,3.13,0.05,0.0,0.71,0,True,True,sim,True,False,N1
Sul-americano,Equador A,LD,D. Romero,Independiente del Valle,25.0,1343,,300000,Ecuador,Ecuador,75.0,53.5,56.75,1.0,55.1,True,0.0,36.52,6,63.07231894005964,4.81,1.99,2.34,0.07,0.07,1.0,1,True,True,sim,True,False,N1/N2
Sul-americano,Venezuela,LD,K. Silva,UCV,32.0,1867,2026-12-31,275000,Venezuela,Venezuela,62.2,49.7,58.9,1.0,54.3,True,0.0,,6,49.300692490617266,4.8,2.24,5.04,0.1,0.19,2.08,4,True,True,sim,True,False,N1
Sul-americano,Paraguai,ZD,G. Vargas,Olimpia,24.0,1315,2026-12-31,400000,Paraguay,Paraguay,62.0,49.6,83.85,1.0,66.7,True,0.0,31.66,7,55.66224907205915,5.71,7.25,1.1,0.06,0.21,0.85,3,True,True,sim,True,False,N1/N2
Sul-americano,Argentina A,ZD,F. Álvarez,Argentinos Juniors,26.0,2307,2029-12-31,0,Argentina,Argentina,77.6,54.3,69.73,2.0,62.0,True,0.0,29.19,7,60.33083833201971,7.32,8.26,1.26,0.07,0.12,1.84,3,True,True,sim,False,False,N1
Sul-americano,Bolivia,ZD,C. Áñez,Guabirá,31.0,1204,,500000,Bolivia,Bolivia,76.4,53.9,68.3,1.0,61.1,True,0.0,,7,50.859793486656024,4.95,2.28,2.05,0.13,0.15,1.7,2,True,True,sim,True,False,N1
Sul-americano,Peru,ZD,R. Garcés,Alianza Lima,30.0,1944,2028-12-31,800000,Peru,Peru,63.4,50.0,72.29,1.0,61.1,True,0.0,22.23,7,57.00345105471285,4.09,4.14,1.42,0.12,0.23,2.57,5,True,True,sim,False,False,N1
Sul-americano,Venezuela,ZD,G. Fratta,Deportivo Táchira,30.0,1528,2026-12-31,500000,Uruguay,Uruguay,76.2,53.9,67.9,1.0,60.9,True,0.0,,7,48.43614956806169,4.92,3.94,1.16,0.15,0.24,2.54,4,True,True,sim,True,False,N1
Sul-americano,Equador B,ZD,E. Chichande Márquez,9 de Octubre,23.0,1190,2026-12-31,0,Ecuador,Ecuador,77.7,54.3,66.97,2.0,60.6,True,0.0,,7,55.36381340981495,4.57,3.81,0.89,0.07,0.08,0.89,1,True,True,sim,True,False,N2 jovem
Sul-americano,Argentina A,ZD,C. Ferreira,Atlético Tucumán,23.0,1303,2026-12-31,0,Paraguay,Paraguay,79.7,54.9,64.14,4.0,59.5,True,0.0,27.18,7,39.941236271412386,3.4,6.73,2.08,0.17,0.14,2.43,2,True,True,sim,True,False,N2 jovem
Sul-americano,Peru,ZD,H. González,Los Chankas,33.0,1082,2026-12-31,75000,Argentina,Argentina,78.2,54.5,63.92,3.0,59.2,True,0.0,21.04,7,44.354034897349095,2.77,3.51,1.41,0.02,0.0,0.29,0,True,True,sim,True,False,N1
Sul-americano,Colombia A,ZD,Y. Díaz,Fortaleza,29.0,2206,,250000,Colombia,Colombia,76.2,53.9,64.05,1.0,59.0,True,0.0,33.75,7,55.00569880081893,4.9,2.36,1.11,0.02,0.0,0.38,0,True,True,sim,True,False,N1
Sul-americano,Peru,ZD,G. Rizzo,Los Chankas,30.0,973,2026-12-31,400000,Uruguay,Uruguay,76.3,53.9,63.61,4.0,58.8,True,0.0,33.3,7,44.354034897349095,6.24,2.99,2.82,0.08,0.09,0.88,1,True,True,sim,True,False,N1
Sul-americano,Equador B,ZD,Eduardo Bumbila,San Antonio,20.0,1533,,0,Ecuador,Ecuador,74.3,53.3,63.59,4.0,58.4,True,0.0,,7,53.27617328413389,3.52,2.95,1.05,0.03,0.06,0.51,1,True,True,sim,True,False,N2 jovem
Sul-americano,Paraguai,ZD,N. Marotta,Deportivo Recoleta,29.0,1861,2026-12-31,400000,Argentina,Argentina,58.8,48.6,68.06,2.0,58.3,True,0.0,31.42,7,52.3995012346095,4.37,6.66,0.7,0.09,0.1,1.81,2,True,True,sim,True,False,N1
Sul-americano,Paraguai,ZE,M. Gamarra,Olimpia,25.0,1774,2027-12-31,2000000,Paraguay,Paraguay,84.5,56.4,75.32,1.0,65.9,True,0.0,32.14,7,55.66224907205915,4.75,5.27,1.37,0.05,0.1,1.02,2,True,True,sim,False,False,N1/N2
Sul-americano,Equador A,ZE,S. Morales,Aucas,24.0,1911,2026-12-31,0,Argentina,Argentina,84.4,56.3,65.28,1.0,60.8,True,0.0,20.22,7,60.004902926617696,5.54,4.48,0.55,0.09,0.09,1.86,2,True,True,sim,True,False,N1/N2
Sul-americano,Chile,ZE,J. Díaz,Universidad Católica,28.0,1229,,500000,Argentina,Argentina,77.8,54.3,66.4,1.0,60.4,True,0.0,26.06,7,52.859895874917214,6.36,5.21,1.17,0.05,0.07,0.62,1,True,True,sim,True,False,N1
Sul-americano,Equador B,ZE,C. García,Independiente Juniors,22.0,1213,2028-06-30,0,Spain,"Spain, Ecuador",65.8,50.7,70.0,1.0,60.4,True,0.0,,7,56.34902568450451,6.19,4.62,1.14,0.04,0.0,0.49,0,True,True,sim,False,False,N2 jovem
Sul-americano,Colombia A,ZE,C. Haydar,Atlético Nacional,25.0,1544,,800000,Colombia,Colombia,68.7,51.6,69.04,1.0,60.3,True,0.0,29.31,7,56.687399673222785,4.24,1.95,1.96,0.03,0.0,0.45,0,True,True,sim,True,False,N1/N2
Sul-americano,Colombia B,ZE,D. Marmolejo,Leones,22.0,1362,2027-12-31,0,Colombia,Colombia,78.6,54.6,64.31,1.0,59.5,True,0.0,,7,50.343756699162824,3.99,2.06,0.92,0.05,0.07,0.73,1,True,True,sim,False,False,N2 jovem
Sul-americano,Uruguai,ZE,N. Olivera,Wanderers,33.0,1528,2027-06-30,200000,Uruguay,Uruguay,81.9,55.6,62.51,2.0,59.1,True,0.0,21.96,7,45.75948403026608,5.6,2.55,0.78,0.04,0.06,0.7,1,True,True,sim,True,False,N1
Sul-americano,Argentina B,ZE,F. Rivero,Colegiales,33.0,1850,,0,Argentina,Argentina,89.9,58.0,59.83,5.0,58.9,True,0.0,,7,47.38229957184611,5.68,4.99,1.65,0.15,0.15,3.08,3,True,True,sim,True,False,N1
Sul-americano,Chile,ZE,M. Brizuela,O'Higgins,29.0,1340,2027-12-31,600000,Argentina,Argentina,77.1,54.1,62.9,2.0,58.5,True,0.0,22.82,7,53.276241818493205,2.66,5.39,0.95,0.06,0.07,0.88,1,True,True,sim,False,False,N1
Sul-americano,Uruguai,ZE,T. Viera Alegre,Nacional,20.0,1079,2028-12-31,0,Uruguay,Uruguay,66.5,51.0,65.74,1.0,58.4,True,0.0,24.86,7,49.75420271590323,7.06,2.91,2.26,0.05,0.0,0.58,0,True,True,sim,False,False,N2 jovem
Sul-americano,Colombia A,ZE,D. Londoño,Once Caldas,31.0,1296,2028-12-31,450000,Colombia,Colombia,75.2,53.6,62.93,3.0,58.3,True,0.0,25.11,7,54.32090941372286,3.64,1.98,1.34,0.04,0.07,0.59,1,True,True,sim,False,False,N1
Sul-americano,Argentina A,ZE,R. De Jesús,Lanús,25.0,950,2027-12-31,0,Paraguay,"Paraguay, Brazil",74.3,53.3,62.96,1.0,58.1,True,0.0,27.35,7,64.91198849765725,6.61,7.15,1.17,0.07,0.0,0.79,0,True,False,sim,False,False,N1/N2
Sul-americano,Peru,LE,J. Carabalí,Universitario,29.0,1077,2029-12-31,600000,Ecuador,Ecuador,85.3,56.6,72.48,1.0,64.5,True,0.0,52.36,6,57.87477079232248,6.24,3.07,5.42,0.03,0.08,0.39,1,True,True,sim,False,False,N1
Sul-americano,Argentina A,LE,M. Del Blanco,Unión Santa Fe,22.0,1700,2031-06-30,0,Argentina,Argentina,82.3,55.7,70.55,1.0,63.1,True,0.0,42.67,6,48.24361696352757,6.6,2.45,8.45,0.09,0.11,1.74,2,True,True,sim,False,False,N2 jovem
Sul-americano,Venezuela,LE,J. Pérez,Carabobo,27.0,1462,2026-12-31,300000,Venezuela,"Venezuela, Colombia",88.2,57.5,64.96,1.0,61.2,True,0.0,,6,56.39110341896443,6.71,2.55,4.69,0.1,0.12,1.62,2,True,True,sim,True,False,N1
Sul-americano,Equador A,LE,J. Mohor,Macará,25.0,958,2026-12-31,100000,Ecuador,Ecuador,85.0,56.5,65.37,1.0,60.9,True,0.0,39.51,6,47.2198593031832,7.47,1.96,6.97,0.09,0.09,0.98,1,True,True,sim,True,False,N1/N2
Sul-americano,Paraguai,LE,A. Fretes,Club Libertad,20.0,1363,2028-12-31,0,Paraguay,Paraguay,78.9,54.7,64.91,2.0,59.8,True,0.0,49.45,6,54.848652900990636,6.66,3.43,7.05,0.07,0.13,1.11,2,True,True,sim,False,False,N2 jovem
Sul-americano,Paraguai,LE,M. Espinoza,Club Libertad,28.0,1884,2026-12-31,0,Paraguay,Paraguay,69.4,51.8,65.52,1.0,58.7,True,0.0,34.29,6,54.848652900990636,3.6,5.87,3.87,0.11,0.14,2.37,3,True,True,sim,True,False,N1
Sul-americano,Chile,LE,M. Morales,Universidad de Chile,23.0,1257,2027-12-31,0,Chile,Chile,79.4,54.8,60.73,1.0,57.8,True,0.0,38.83,6,57.59181476483694,6.08,3.37,4.41,0.07,0.07,1.0,1,True,True,sim,False,False,N2 jovem
Sul-americano,Colombia A,LE,F. Fabra,Medellín,35.0,1014,2027-06-30,500000,Colombia,"Colombia, Argentina",90.6,58.2,57.5,3.0,57.8,True,0.0,38.18,6,48.95902906309901,5.39,2.0,7.43,0.04,0.0,0.45,0,True,True,sim,True,False,N1
Sul-americano,Chile,LE,C. Cuevas,Universidad Católica,31.0,1476,2026-12-31,750000,Chile,Chile,90.0,58.0,57.41,4.0,57.7,True,0.0,40.4,6,52.859895874917214,5.89,2.78,4.84,0.05,0.06,0.83,1,True,True,sim,True,False,N1
Sul-americano,Colombia B,LE,O. Acosta,Real Soacha Cundinamarca,26.0,1535,,400000,Colombia,Colombia,68.2,51.5,63.58,1.0,57.5,True,0.0,,6,49.46997015368251,5.69,2.15,4.09,0.14,0.23,2.4,4,True,True,sim,True,False,N1
Sul-americano,Argentina B,LE,T. Ortega,Quilmes,25.0,1750,2026-12-31,150000,Argentina,Argentina,79.1,54.7,58.9,1.0,56.8,True,0.0,,6,52.52069987264648,7.15,2.93,2.79,0.05,0.05,1.04,1,True,True,sim,True,False,N1/N2
