pos11,jogador,clube,idade,minutos,contrato,livre,grupo,valor,aderencia,adc,nivel_overall,nota,psv,tipo,sal
MEI,Gabriel Mec,Grêmio,18,821,2027-06-30,True,não aproveitado,0.0,32.2,57.016000000000005,26.55,42.0,28.78,—,30K - 45K
MEI,Dudu Kogitzki,Athletico Paranaense,20,776,2029-12-31,False,não aproveitado,0.0,31.0,56.68,25.34,41.0,27.18,—,60K - 90K
VOL,Matheus Pereira,Corinthians,28,656,2027-12-31,False,não aproveitado,1200000.0,77.6,69.72800000000001,47.07,58.0,27.22,—,200K - 280K
VOL,Neto Moura,Mirassol,30,861,2026-12-31,True,não aproveitado,800000.0,77.5,69.7,37.95,54.0,27.06,—,250K - 350K
VOL,Patrick,Remo,34,1409,2026-12-31,True,"fim de contrato, 30+",2000000.0,56.8,63.903999999999996,37.92,51.0,27.09,—,250K - 350K
VOL,Zé Welison,Remo,31,1341,2026-12-31,True,"fim de contrato, 30+",2000000.0,76.0,69.28,28.62,49.0,27.52,—,600K - 800K
VOL,Evertton,Flamengo,23,1074,2028-12-31,False,não aproveitado,,45.6,60.768,36.37,49.0,,—,
VOL,Wallisson,Mirassol,28,655,2028-12-31,False,não aproveitado,500000.0,60.3,64.884,33.86,49.0,28.69,—,350K - 480K
VOL,Rodriguinho,Red Bull Bragantino,22,654,2030-12-31,False,não aproveitado,0.0,26.4,55.392,42.62,49.0,28.49,—,400K - 550K
VOL,A. Carrillo,Corinthians,35,1045,2026-12-31,True,não aproveitado,1500000.0,44.7,60.516000000000005,,48.0,27.67,—,350K - 480K
VOL,Denilson,Mirassol,25,957,2028-12-31,False,não aproveitado,0.0,35.3,57.884,37.71,48.0,27.27,—,350K - 480K
VOL,Thiago Santos,Coritiba,36,929,2026-12-31,True,não aproveitado,250000.0,51.0,62.28,34.26,48.0,27.11,—,500K - 680K
VOL,L. Picco,Remo,27,1077,2028-12-31,False,não aproveitado,800000.0,55.7,63.596000000000004,23.83,44.0,27.01,—,400K - 550K
ZD,A. Saldivia,Vasco da Gama,24,1078,2028-12-31,False,não aproveitado,0.0,46.0,60.88,54.53,58.0,29.52,—,500K - 680K
ZD,R. Arboleda,São Paulo,34,783,2027-12-31,False,não aproveitado,1200000.0,54.8,63.344,47.13,55.0,28.19,—,500K - 680K
ZD,Gabriel Justino,Botafogo,20,774,2028-11-30,False,não aproveitado,0.0,41.1,59.508,48.81,54.0,30.13,—,300K - 420K
ZD,Bruno Leonardo,Chapecoense,30,1478,,True,"fim de contrato, 30+",0.0,34.9,57.772,45.04,51.0,28.53,—,500K - 680K
ZD,Victor Caetano,Chapecoense,28,719,2027-12-15,False,não aproveitado,0.0,46.7,61.076,41.11,51.0,27.75,—,60K - 90K
ZD,Marllon,Remo,34,2138,2026-12-31,True,"fim de contrato, 30+",500000.0,38.7,58.836,40.44,50.0,30.94,—,600K - 800K
ZE,Wagner Leonardo,Grêmio,27,785,2028-12-31,False,não aproveitado,1500000.0,29.0,56.120000000000005,40.99,49.0,28.76,—,300K - 420K
