pos11,mercado_l,jogador,clube,liga,idade,minutos,contrato,livre,br,fisico,psv99,sprint_count_p90,hi_count_p90,expl_accel_sprint_p90,runs_p30tip,tipo,tipo_pref,nota
VOL,Série B,André Luiz,Londrina,Série B,31.0,1438,2026-11-30,True,True,49.0,27.52,6.35,48.0,0.68,17.25,Intermediário,True,54.2
VOL,Brasileiros e sul-americanos no exterior,Cláudio Falcão,Farense,Portugal B,31.0,2806,2029-06-30,False,True,47.0,28.13,5.68,42.62,0.73,,Intermediário,True,51.3
VOL,Série B,Zé Ricardo,Avaí,Série B,30.0,1697,2026-12-31,True,True,42.0,27.37,5.42,44.4,0.68,22.81,Intermediário,True,37.3
VOL,Brasileiros e sul-americanos no exterior,Dani Borges,União de Leiria,Portugal B,23.0,2186,2030-06-30,False,True,39.0,27.42,5.87,52.83,0.25,,Mais intenso,True,50.3
VOL,Série B,Pierre,Fortaleza,Série B,24.0,1114,2029-12-31,False,True,36.0,27.43,4.92,47.3,0.32,30.05,Menos intenso,False,49.6
VOL,Série B,Willian Maranhão,Vila Nova,Série B,30.0,973,2027-11-30,False,True,19.0,27.19,4.45,39.15,0.1,20.43,Menos intenso,False,42.9
ZD,Série B,César Martins,Criciúma,Série B,33.0,2035,2026-11-30,True,True,99.0,31.32,11.78,59.85,2.0,12.33,Explosivo e rápido,False,53.3
ZD,Série B,Sergio Palacios,Ponte Preta,Série B,21.0,1053,2029-08-31,False,False,98.0,31.94,12.43,60.42,2.47,8.54,Explosivo e rápido,False,44.0
ZD,Sul-americanas,L. Souto,Defensa y Justicia,Argentina A,27.0,1642,2026-12-31,True,False,95.0,29.29,11.26,65.87,1.7,20.8,Explosivo e rápido,False,45.2
ZD,Sul-americanas,G. Rizzo,Los Chankas,Peru,30.0,973,2026-12-31,True,False,94.0,29.78,8.27,43.8,2.35,8.7,Explosivo e rápido,False,58.8
ZD,Série B,Gabriel Bahia,Novorizontino,Série B,27.0,1246,2027-03-31,True,True,93.0,30.91,8.69,46.92,1.74,7.34,Explosivo e rápido,False,61.2
ZD,Série B,Rodrigo Sam,Juventude,Série B,31.0,2267,2027-12-31,False,True,92.0,29.11,8.52,48.5,1.5,16.88,Explosivo e rápido,False,50.4
ZD,Sul-americanas,W. Guzmán,Alianza Atlético,Peru,25.0,1129,2026-12-31,True,False,92.0,28.51,8.81,48.73,1.91,11.6,Explosivo e rápido,False,42.8
ZD,Sul-americanas,L. Alarcón,La Serena,Chile,26.0,1136,,True,False,90.0,30.16,7.33,43.24,1.67,8.3,Explosivo e rápido,False,50.9
ZD,Sul-americanas,Jonathan Villagra,Colo Colo,Chile,25.0,1911,2028-12-31,False,False,89.0,29.31,7.27,46.43,1.29,15.8,Explosivo e rápido,False,52.4
ZD,Sul-americanas,Y. Díaz,Fortaleza,Colombia A,29.0,2206,,True,False,87.0,29.29,7.81,44.99,1.14,11.0,Explosivo e rápido,False,59.0
ZD,Sul-americanas,J. Castaño,Once Caldas,Colombia A,27.0,1290,2028-12-31,False,False,87.0,30.55,7.43,42.54,1.89,5.6,Explosivo e rápido,False,44.7
ZD,Sul-americanas,G. Velázquez,Cerro Porteño,Paraguai,35.0,1518,2026-12-31,True,False,87.0,28.92,7.72,45.73,1.48,7.9,Explosivo e rápido,False,56.7
ZD,Sul-americanas,E. Ferrario,Audax Italiano,Chile,26.0,1607,2026-12-31,True,False,84.0,28.91,9.94,57.67,0.9,15.6,Explosivo e rápido,False,51.0
ZD,Sul-americanas,M. Cagua,Técnico Universitario,Equador A,22.0,932,2026-12-31,True,False,84.0,30.19,7.74,41.79,1.93,3.6,Explosivo e rápido,False,46.5
ZD,Sul-americanas,L. Quintana,Cerro Porteño,Paraguai,21.0,1396,2028-12-31,False,False,84.0,29.13,7.49,43.38,1.23,7.1,Explosivo e rápido,False,55.5
ZD,Sul-americanas,F. Wiechniak,Sportivo Luqueño,Paraguai,23.0,2051,2026-12-31,True,False,83.0,30.12,7.77,43.37,1.81,3.0,Explosivo e rápido,False,47.8
ZD,Sul-americanas,V. Vidal,Everton,Chile,22.0,977,2026-12-31,True,False,81.0,28.9,7.1,43.37,1.17,7.3,Motor de volume,True,43.1
