pos11,mercado_l,jogador,clube,liga,idade,minutos,contrato,livre,br,fisico,psv99,sprint_count_p90,hi_count_p90,expl_accel_sprint_p90,runs_p30tip,tipo,tipo_pref,nota
CA,Sul-americanas,D. Castro,Deportes Limache,Chile,32.0,1743,2026-12-31,True,False,83.0,30.07,13.75,74.1,2.08,44.5,Explosivo e rápido,False,52.2
CA,Série B,Derek,Náutico,Série B,28.0,1526,2027-12-31,False,True,81.0,29.44,13.5,72.79,3.1,30.64,Explosivo e rápido,False,61.1
CA,Sul-americanas,T. Molina,Argentinos Juniors,Argentina A,31.0,1618,2029-12-31,False,False,80.0,28.82,13.69,79.3,2.66,30.5,Explosivo e rápido,False,46.7
CA,Sul-americanas,F. Sartori,Independiente Rivadavia,Argentina A,24.0,1567,2027-12-31,False,False,80.0,29.52,15.43,79.73,2.24,27.6,Explosivo e rápido,False,39.0
CA,Sul-americanas,G. Chiaverano,Audax Italiano,Chile,21.0,1239,2026-12-31,True,False,80.0,29.69,14.8,86.49,1.97,28.3,Explosivo e rápido,False,37.0
CA,Sul-americanas,J. Ordoñez,Deportivo Cuenca,Equador A,31.0,1569,,True,False,80.0,30.92,13.62,69.8,2.7,29.8,Explosivo e rápido,False,46.4
CA,Sul-americanas,J. Vidales,Melgar,Peru,34.0,1741,2026-12-31,True,False,80.0,30.06,12.96,69.5,2.46,38.2,Explosivo e rápido,False,54.1
CA,Brasileiros e sul-americanos no exterior,Welinton Júnior,Portimonense,Portugal B,32.0,1107,2026-06-30,True,True,80.0,29.34,13.41,71.03,3.9,,Explosivo e rápido,False,34.6
CA,Série B,William Pottker,Londrina,Série B,32.0,1425,2026-11-30,True,True,78.0,30.31,14.39,75.1,1.96,29.36,Explosivo e rápido,False,57.8
CA,Série B,Gustavo Coutinho,Atlético-GO,Série B,27.0,1728,2027-12-31,False,True,77.0,29.66,14.45,76.58,1.81,31.75,Explosivo e rápido,False,49.0
CA,Série B,Kauan Cristtyan,Cuiabá,Série B,20.0,1285,2026-11-30,True,True,77.0,29.02,12.8,80.5,1.96,37.62,Motor de volume,True,46.6
CA,Brasileiros e sul-americanos no exterior,Cléber,Yunnan Yukun,China,29.0,1437,,True,True,77.0,30.27,12.98,69.99,2.39,,Explosivo e rápido,False,41.1
CA,Brasileiros e sul-americanos no exterior,Angelo Chagal,Larissa,Grecia,33.0,1972,2026-06-30,True,False,77.0,28.92,12.57,81.45,2.33,,Explosivo e rápido,False,52.9
CA,Brasileiros e sul-americanos no exterior,Diego Fernandes,Paços de Ferreira,Portugal B,24.0,918,2026-06-30,True,True,75.0,28.59,12.56,73.3,2.85,,Explosivo e rápido,False,43.6
CA,Série B,Felipe Garcia,São Bernardo,Série B,35.0,1526,2026-11-30,True,True,72.0,29.85,13.49,71.07,1.69,32.16,Explosivo e rápido,False,30.1
CA,Série B,André Luis,Vila Nova,Série B,29.0,1319,2026-11-30,True,True,72.0,30.82,11.77,64.75,2.74,29.65,Explosivo e rápido,False,47.1
CA,Brasileiros e sul-americanos no exterior,J. Bartolo,Asteras Tripolis,Grecia,30.0,2529,2026-06-30,True,False,71.0,29.57,12.1,69.74,2.21,,Explosivo e rápido,False,52.0
CA,Série B,Robson,Novorizontino,Série B,35.0,2272,2026-12-31,True,True,69.0,29.08,11.39,71.42,1.71,42.98,Motor de volume,True,70.8
CA,Brasileiros e sul-americanos no exterior,Andre Clóvis,Académico de Viseu F.C.,Portugal B,28.0,3206,2028-06-30,False,True,69.0,29.9,11.82,64.04,2.39,,Explosivo e rápido,False,50.5
CA,Série B,Daniel Penha,Avaí,Série B,27.0,1313,2026-12-31,True,True,67.0,28.21,10.95,73.18,2.06,48.18,Motor de volume,True,35.8
CA,Brasileiros e sul-americanos no exterior,Lucas Duarte,Felgueiras 1932,Portugal B,25.0,2420,2026-06-30,True,True,63.0,28.4,11.78,70.45,1.91,,Motor de volume,True,44.4
CA,Série B,Dellatorre,Vila Nova,Série B,34.0,920,2027-11-30,False,True,57.0,28.39,11.33,67.01,1.33,41.02,Motor de volume,True,40.6
CA,Brasileiros e sul-americanos no exterior,F. Pedrozo,Levadiakos,Grecia,33.0,1570,2026-06-30,True,False,54.0,28.11,11.05,70.65,1.53,,Motor de volume,True,49.3
CA,Série B,Mikael,CRB,Série B,27.0,2236,2027-11-30,False,True,49.0,29.65,10.33,57.11,1.59,27.99,Baixa intensidade,False,78.9
CA,Brasileiros e sul-americanos no exterior,L. Garate,Larissa,Grecia,32.0,1252,2026-12-31,True,False,39.0,27.98,9.37,62.54,0.94,35.2,Motor de volume,True,41.5
CA,Série B,Lucca,Ceará,Série B,23.0,1200,2027-12-31,False,True,32.0,27.89,8.49,60.73,0.81,33.53,Baixa intensidade,False,45.7
CA,Brasileiros e sul-americanos no exterior,E. Salcedo,OFI,Grecia,24.0,2011,2026-06-30,True,False,32.0,27.41,8.42,59.5,1.14,,Baixa intensidade,False,49.9
CA,Brasileiros e sul-americanos no exterior,Wesley,Shenzhen Peng City,China,29.0,1486,2027-12-31,False,True,28.0,29.32,5.74,36.49,1.38,,Baixa intensidade,False,43.5
CA,Série B,G. Mastriani,América-MG,Série B,33.0,1408,2026-12-31,True,False,27.0,28.05,7.45,52.44,1.29,27.85,Baixa intensidade,False,34.4
CA,Série B,Alisson Safira,Juventude,Série B,31.0,1585,2027-12-31,False,True,27.0,28.28,7.38,51.83,1.16,28.43,Baixa intensidade,False,54.2
CA,Série B,J. Miritello,Fortaleza,Série B,27.0,1800,2026-12-31,True,False,24.0,28.24,6.84,45.74,1.55,24.31,Baixa intensidade,False,46.7
CA,Brasileiros e sul-americanos no exterior,Gustavo,Henan,China,32.0,1282,,True,True,24.0,27.51,6.76,48.09,1.24,,Baixa intensidade,False,41.5
CA,Série B,Perotti,Sport,Série B,28.0,2493,2026-11-30,True,True,23.0,28.34,7.48,49.61,0.94,26.92,Baixa intensidade,False,44.9
CA,Série B,Pablo,Operário-PR,Série B,34.0,1912,2026-11-30,True,True,16.0,27.02,5.53,47.0,0.76,35.57,Baixa intensidade,False,38.2
ED,Sul-americanas,F. González,O'Higgins,Chile,25.0,1256,2028-12-31,False,False,97.0,30.92,20.1,94.33,3.5,44.9,Explosivo e rápido,True,63.4
ED,Sul-americanas,J. Córdoba,Instituto,Argentina A,26.0,1223,2029-06-30,False,False,94.0,29.95,18.51,91.16,3.91,51.3,Explosivo e rápido,True,46.2
ED,Sul-americanas,E. Obregón,Torque,Uruguai,24.0,1523,2027-12-31,False,False,94.0,30.0,19.25,98.95,3.18,42.4,Explosivo e rápido,True,51.6
ED,Sul-americanas,F. de León,Progreso,Uruguai,22.0,1125,2026-12-31,True,False,91.0,30.71,18.16,94.46,3.8,32.9,Explosivo e rápido,True,41.1
ED,Sul-americanas,Mario Briceño,Huachipato,Chile,30.0,937,2027-12-31,False,False,90.0,30.33,17.58,89.48,3.42,36.5,Explosivo e rápido,True,53.7
ED,Sul-americanas,F. Perez,Estudiantes,Argentina A,20.0,1060,2027-12-31,False,False,89.0,29.47,19.15,100.31,2.75,37.9,Explosivo e rápido,True,51.3
ED,Sul-americanas,A. Jara,Concepción,Chile,25.0,1004,2028-12-31,False,False,88.0,30.08,16.18,84.72,3.47,41.3,Explosivo e rápido,True,52.3
ED,Sul-americanas,Kevin Méndez,Unión La Calera,Chile,30.0,1481,,True,False,86.0,29.41,17.56,94.78,3.45,33.3,Explosivo e rápido,True,65.0
ED,Sul-americanas,H. Toledo,Albion,Uruguai,30.0,1366,2026-12-31,True,False,86.0,30.44,17.9,96.48,3.08,29.3,Explosivo e rápido,True,47.2
ED,Sul-americanas,D. Moncada,Inter Bogotá,Colombia A,18.0,1049,2031-06-30,False,False,84.0,31.3,18.77,91.93,3.31,22.1,Explosivo e rápido,True,44.0
ED,Sul-americanas,J. Gutiérrez,La Serena,Chile,24.0,1076,2026-12-31,True,False,83.0,29.76,16.39,86.05,2.33,39.5,Explosivo e rápido,True,33.8
ED,Sul-americanas,C. Souza,Cienciano,Peru,30.0,1436,2026-12-31,True,False,83.0,30.92,15.29,77.19,3.7,32.7,Explosivo e rápido,True,60.1
ED,Sul-americanas,S. Solari,Racing Club,Argentina A,28.0,1447,2027-12-31,False,False,82.0,29.49,19.09,94.59,2.38,30.8,Explosivo e rápido,True,48.8
ED,Sul-americanas,M. Guerrero,Universidad de Chile,Chile,26.0,1492,2028-12-31,False,False,82.0,29.44,16.14,90.81,2.24,42.1,Explosivo e rápido,True,55.0
ED,Sul-americanas,A. Torterolo Del Arco,Defensor Sporting,Uruguai,18.0,905,2027-07-31,False,False,82.0,30.44,16.37,87.48,2.88,30.3,Explosivo e rápido,True,42.2
ED,Sul-americanas,D. Camacho,UTC Cajamarca,Peru,29.0,1557,2026-12-31,True,False,79.0,28.97,15.26,90.05,2.58,35.9,Explosivo e rápido,True,40.8
ED,Sul-americanas,L. Suhr,Boston River,Uruguai,28.0,1682,2026-12-31,True,False,79.0,29.96,16.74,85.02,1.94,34.8,Explosivo e rápido,True,44.0
ED,Série B,Hildeberto Pereira,Operário-PR,Série B,30.0,1576,2026-11-30,True,False,78.0,30.16,14.49,74.75,3.22,35.16,Explosivo e rápido,True,50.2
ED,Sul-americanas,J. Palacios,Unión Santa Fe,Argentina A,27.0,1896,2026-12-31,True,False,78.0,29.13,14.48,80.28,2.61,49.4,Explosivo e rápido,True,58.6
ED,Brasileiros e sul-americanos no exterior,S. Palacios,Levadiakos,Grecia,34.0,2496,2026-06-30,True,False,77.0,30.0,14.72,80.08,2.08,37.1,Explosivo e rápido,True,53.3
ED,Sul-americanas,J. Contrera,Sarmiento,Argentina A,23.0,1176,2027-12-31,False,False,73.0,29.1,15.12,81.32,2.4,30.8,Explosivo e rápido,True,40.9
ED,Sul-americanas,R. Tesuri,Atlético Tucumán,Argentina A,30.0,1738,2028-12-31,False,False,72.0,28.88,14.85,87.82,1.84,36.1,Motor de volume,False,39.5
ED,Série B,Chrystian Barletta,Sport,Série B,25.0,1991,2029-07-31,False,True,70.0,30.73,12.71,69.6,3.31,36.01,Explosivo e rápido,True,66.0
ED,Série B,Thayllon Roberth,Avaí,Série B,20.0,1917,2029-12-30,False,True,68.0,29.8,13.77,82.4,1.37,43.81,Motor de volume,False,42.4
ED,Série B,M. Segovia,América-MG,Série B,23.0,1303,2026-12-31,True,False,64.0,28.58,14.27,84.37,1.44,43.04,Motor de volume,False,55.9
ED,Série B,Bruno José,Atlético-GO,Série B,28.0,960,2026-11-30,True,True,58.0,29.62,12.92,68.41,2.25,29.95,Baixa intensidade,False,59.4
ED,Brasileiros e sul-americanos no exterior,João Adriano,UD Oliveirense,Portugal B,23.0,925,2026-06-30,True,True,55.0,27.6,12.47,77.92,1.95,,Motor de volume,False,35.4
ED,Série B,Zé Hugo,Botafogo-SP,Série B,26.0,1951,2027-12-31,False,True,54.0,29.9,12.1,69.71,1.94,25.56,Baixa intensidade,False,56.5
ED,Série B,Pedro Vitor,São Bernardo,Série B,28.0,1164,2026-12-31,True,True,53.0,28.94,11.66,72.92,1.83,34.16,Motor de volume,False,63.4
ED,Série B,Ryan Lima,Vila Nova,Série B,25.0,1467,2028-11-30,False,True,45.0,28.98,10.77,69.26,1.78,29.67,Baixa intensidade,False,42.7
ED,Brasileiros e sul-americanos no exterior,Wellington Carvalho,Chaves,Portugal B,33.0,961,2026-06-30,True,True,41.0,28.02,9.14,67.69,2.14,,Motor de volume,False,37.1
ED,Brasileiros e sul-americanos no exterior,M. González,Volos NFC,Grecia,24.0,1024,2028-06-30,False,False,37.0,28.04,10.9,72.26,1.23,30.7,Motor de volume,False,45.2
ED,Brasileiros e sul-americanos no exterior,Thauan Lara,Portimonense,Portugal B,22.0,1202,2027-06-30,True,True,27.0,29.39,9.07,56.79,1.3,,Baixa intensidade,False,43.8
ED,Série B,Melk,Ceará,Série B,20.0,1761,2028-12-31,False,True,19.0,28.24,7.73,56.15,0.89,36.72,Motor de volume,False,46.7
ED,Série B,Rómulo Otero,Criciúma,Série B,33.0,1477,2026-12-31,True,False,7.0,27.89,6.97,51.13,0.78,26.0,Baixa intensidade,False,51.0
EE,Sul-americanas,E. Ramos,Everton,Chile,21.0,1064,2026-12-31,True,False,93.0,30.24,15.99,88.45,2.84,44.2,Explosivo e rápido,True,41.4
EE,Série B,Vinícius Paiva,Novorizontino,Série B,25.0,1342,2026-12-31,True,True,92.0,31.13,17.13,87.23,2.74,41.29,Explosivo e rápido,True,50.8
EE,Brasileiros e sul-americanos no exterior,M. Lacava,Vizela,Portugal B,23.0,1135,,True,False,92.0,31.57,18.43,87.11,3.96,,Explosivo e rápido,True,48.9
EE,Sul-americanas,M. Castro,Sporting Cristal,Peru,18.0,1423,2028-12-31,False,False,91.0,30.56,17.07,88.11,3.17,36.3,Explosivo e rápido,True,50.4
EE,Brasileiros e sul-americanos no exterior,Reinaldo,Chaves,Portugal B,24.0,2672,2026-06-30,True,True,90.0,30.39,16.95,89.32,3.89,,Explosivo e rápido,True,55.3
EE,Série B,G. Barros,América-MG,Série B,24.0,991,2027-12-31,False,True,88.0,29.71,17.2,91.45,2.44,38.36,Explosivo e rápido,True,44.5
EE,Sul-americanas,S. López,Tigre,Argentina A,20.0,1345,2026-12-31,True,False,86.0,28.9,17.94,97.74,2.22,53.2,Explosivo e rápido,True,44.6
EE,Sul-americanas,J. Klinger,Macará,Equador A,21.0,972,2026-12-31,True,False,86.0,31.03,15.61,80.53,4.38,32.9,Explosivo e rápido,True,52.8
EE,Sul-americanas,A. Morinigo,Sportivo Trinidense,Paraguai,20.0,1645,2027-12-31,False,False,85.0,29.89,15.91,85.93,2.73,36.2,Explosivo e rápido,True,42.9
EE,Série B,Pablo Dyego,Londrina,Série B,32.0,960,2026-11-30,True,True,84.0,29.47,15.19,83.16,2.8,42.66,Explosivo e rápido,True,31.2
EE,Sul-americanas,Omar Fernández,Santa Fe,Colombia A,33.0,1834,2027-12-31,False,False,84.0,29.78,15.43,80.57,2.71,43.0,Explosivo e rápido,True,50.0
EE,Sul-americanas,Ó. Cortés,Huracán,Argentina A,22.0,1605,2029-06-30,False,False,82.0,29.58,14.5,79.17,3.25,41.6,Explosivo e rápido,True,43.8
EE,Sul-americanas,P. Zarza,Olimpia,Paraguai,19.0,1068,2026-12-31,True,False,82.0,30.19,15.68,75.75,2.88,37.5,Explosivo e rápido,True,44.0
EE,Sul-americanas,F. Jainikoski,Argentinos Juniors,Argentina A,18.0,1007,,True,False,81.0,30.1,16.26,89.56,2.0,30.3,Explosivo e rápido,True,46.1
EE,Série B,Soares,Atlético-GO,Série B,26.0,1935,2029-08-25,False,True,80.0,31.12,15.72,78.75,2.49,29.85,Explosivo e rápido,True,67.2
EE,Sul-americanas,E. Arízalas,Águilas Doradas,Colombia A,24.0,1418,,True,False,78.0,31.42,14.43,73.65,3.1,35.0,Explosivo e rápido,True,43.1
EE,Sul-americanas,Kelvin Flórez,Tolima,Colombia A,22.0,1118,,True,False,76.0,29.77,15.16,82.27,1.9,35.3,Explosivo e rápido,True,52.0
EE,Série B,Clayson,Sport,Série B,31.0,1133,2026-11-30,True,True,75.0,28.52,13.39,81.41,2.44,45.63,Explosivo e rápido,True,41.1
EE,Sul-americanas,A. Muñoz,UTC Cajamarca,Peru,28.0,1904,,True,False,75.0,29.23,13.5,79.99,2.13,46.4,Motor de volume,False,48.4
EE,Sul-americanas,B. Yáñez,O'Higgins,Chile,25.0,1105,2027-12-31,False,False,74.0,29.78,13.92,76.23,2.39,38.3,Explosivo e rápido,True,40.7
EE,Brasileiros e sul-americanos no exterior,T. Nuss,OFI,Grecia,25.0,2120,2028-06-30,False,False,74.0,29.48,15.81,85.53,1.62,37.4,Explosivo e rápido,True,49.8
EE,Sul-americanas,K. Caicedo,Llaneros,Colombia A,28.0,1010,,True,False,73.0,30.01,14.94,77.73,2.05,29.5,Explosivo e rápido,True,39.0
EE,Série B,Kadu,Goiás,Série B,24.0,1348,2026-12-15,True,True,72.0,30.73,14.36,76.63,1.68,38.23,Explosivo e rápido,True,55.3
EE,Sul-americanas,M. Añasco,Cerro Largo,Uruguai,25.0,1024,2026-12-31,True,False,72.0,30.05,14.32,86.93,1.83,28.5,Explosivo e rápido,True,54.1
EE,Sul-americanas,F. Pérez,Boston River,Uruguai,25.0,966,2026-12-31,True,False,71.0,30.32,14.57,78.33,1.31,44.0,Motor de volume,False,53.0
EE,Brasileiros e sul-americanos no exterior,Werton,Leixões,Portugal B,22.0,1605,2028-06-30,False,True,70.0,29.83,13.19,75.65,2.41,,Explosivo e rápido,True,54.8
EE,Série B,Echaporã,São Bernardo,Série B,26.0,1215,2026-11-30,True,True,67.0,29.41,13.56,84.04,1.35,42.45,Motor de volume,False,36.3
EE,Sul-americanas,Y. Zapata,CD Moquegua,Peru,25.0,1747,2026-12-31,True,False,66.0,29.49,12.87,69.86,2.26,46.3,Motor de volume,False,44.4
EE,Sul-americanas,K. Parra,Atlético Nacional,Colombia A,23.0,1660,2027-12-31,False,False,65.0,29.89,12.31,67.39,3.06,37.0,Baixa intensidade,False,51.9
EE,Sul-americanas,K. Londoño,Atlético Bucaramanga,Colombia A,32.0,1359,2026-12-31,True,False,64.0,27.99,12.64,79.35,1.82,51.0,Motor de volume,False,47.5
EE,Sul-americanas,R. Hernandez,Belgrano,Argentina A,21.0,1016,2028-12-31,False,False,63.0,29.94,12.24,65.17,3.98,,Baixa intensidade,False,42.7
EE,Série B,Janderson,Vila Nova,Série B,27.0,2279,2027-11-30,False,True,62.0,29.86,13.14,73.33,2.0,29.49,Baixa intensidade,False,65.3
EE,Brasileiros e sul-americanos no exterior,Jeffinho,Liaoning Tieren,China,26.0,1248,2028-12-31,False,True,60.0,28.73,11.95,74.13,2.41,,Motor de volume,False,59.3
EE,Série B,Wesley Pinheiro,Botafogo-SP,Série B,26.0,903,,True,True,55.0,29.77,13.99,74.13,1.19,29.6,Motor de volume,False,36.2
EE,Série B,D. Vera,Athletic,Série B,23.0,1011,2026-12-31,True,False,52.0,29.36,13.4,76.73,1.18,28.45,Motor de volume,False,43.4
EE,Série B,Kelvin,Botafogo-SP,Série B,29.0,1400,2026-11-30,True,True,46.0,28.41,10.84,68.68,1.92,31.51,Motor de volume,False,42.8
EE,Brasileiros e sul-americanos no exterior,Davidson,Qingdao West Coast,China,35.0,1537,,True,True,41.0,29.37,10.62,64.38,1.63,,Baixa intensidade,False,59.1
EE,Série B,Paulinho Moccelin,Londrina,Série B,32.0,1117,2026-11-30,True,True,36.0,28.15,10.79,69.34,1.24,33.94,Motor de volume,False,42.6
EE,Brasileiros e sul-americanos no exterior,Gui Meira,Feirense,Portugal B,21.0,1174,2030-06-30,False,True,34.0,27.82,11.38,73.1,0.62,,Motor de volume,False,49.3
EE,Série B,Dadá Belmonte,CRB,Série B,29.0,2285,2026-11-30,True,True,32.0,29.76,10.17,61.33,1.46,22.49,Baixa intensidade,False,70.0
EE,Série B,Iago Teles,Londrina,Série B,26.0,1103,2027-06-30,True,True,27.0,28.65,9.37,61.91,1.52,27.29,Baixa intensidade,False,64.9
EE,Série B,Aylon,Operário-PR,Série B,34.0,1431,2026-11-30,True,True,25.0,28.96,8.61,59.62,1.19,31.26,Baixa intensidade,False,37.2
EE,Brasileiros e sul-americanos no exterior,Farley Rosa,Panetolikos FC,Grecia,32.0,1071,2026-06-30,True,True,22.0,28.22,8.4,51.83,1.26,,Baixa intensidade,False,51.2
EE,Série B,Victor Andrade,Náutico,Série B,30.0,1054,2026-11-30,True,True,21.0,28.24,8.68,58.68,1.49,23.74,Baixa intensidade,False,49.0
LD,Sul-americanas,A. Portillo,Defensa y Justicia,Argentina A,26.0,1194,2027-12-31,False,False,98.0,30.58,24.35,118.67,4.34,40.8,Explosivo e rápido,True,47.5
LD,Sul-americanas,E. Meza,Estudiantes,Argentina A,27.0,1251,2027-12-31,False,False,97.0,31.49,16.7,84.17,4.05,32.1,Explosivo e rápido,True,50.9
LD,Sul-americanas,D. Lozano,Águilas Doradas,Colombia A,24.0,1683,,True,False,97.0,31.84,17.9,89.69,3.61,30.0,Explosivo e rápido,True,37.9
LD,Sul-americanas,A. Benítez,Club Libertad,Paraguai,32.0,969,2026-12-31,True,False,97.0,30.86,15.9,83.54,3.64,59.0,Explosivo e rápido,True,56.2
LD,Sul-americanas,A. Benítez,Belgrano,Argentina A,24.0,1131,2029-12-31,False,False,95.0,31.16,17.62,87.94,4.07,25.9,Explosivo e rápido,True,43.4
LD,Sul-americanas,K. Amaro,Liverpool,Uruguai,22.0,1428,2028-10-29,False,False,92.0,31.23,15.86,79.79,3.6,24.4,Explosivo e rápido,True,51.1
LD,Sul-americanas,R. González,Aldosivi,Argentina A,26.0,1391,2026-12-31,True,False,90.0,30.43,16.8,81.13,3.5,22.3,Explosivo e rápido,True,46.3
LD,Sul-americanas,P. Guajardo,Audax Italiano,Chile,23.0,1039,2027-12-31,False,False,90.0,30.09,16.63,89.92,2.65,27.0,Explosivo e rápido,True,41.1
LD,Sul-americanas,C. Sarabia,Millonarios,Colombia A,21.0,1291,,True,False,90.0,30.33,14.78,77.16,2.84,30.1,Explosivo e rápido,True,50.3
LD,Sul-americanas,G. Graciani,Ñublense,Chile,32.0,1275,,True,False,89.0,29.69,13.85,77.58,2.92,39.9,Explosivo e rápido,True,52.9
LD,Série B,Willean Lepo,Criciúma,Série B,29.0,1710,2027-12-31,False,True,87.0,29.68,15.5,77.74,2.47,29.62,Explosivo e rápido,True,66.3
LD,Brasileiros e sul-americanos no exterior,Anilson,Paços de Ferreira,Portugal B,24.0,2115,2027-06-30,True,True,87.0,30.69,14.73,76.14,3.23,,Explosivo e rápido,True,46.3
LD,Brasileiros e sul-americanos no exterior,Danny,Lusitania FC Lourosa,Portugal B,28.0,1419,2026-06-30,True,True,87.0,30.15,14.59,77.08,3.65,,Explosivo e rápido,True,38.8
LD,Sul-americanas,J. Cuesta,Once Caldas,Colombia A,28.0,2463,2027-06-30,True,False,85.0,29.63,13.8,73.41,2.82,31.7,Explosivo e rápido,True,49.6
LD,Sul-americanas,Luis Gomez,ADT,Peru,26.0,1183,,True,False,85.0,31.23,14.01,71.34,3.22,22.0,Explosivo e rápido,True,47.5
LD,Sul-americanas,E. Giménez,Rosario Central,Argentina A,28.0,1559,2027-12-31,False,False,84.0,29.28,17.33,92.33,1.85,34.0,Explosivo e rápido,True,48.8
LD,Sul-americanas,Y. Abonía,Cúcuta Deportivo,Colombia A,26.0,1361,2027-06-30,True,False,83.0,31.44,14.63,73.0,2.91,18.8,Explosivo e rápido,True,44.1
LD,Sul-americanas,C. Cabello,Cienciano,Peru,28.0,1520,2027-12-31,False,False,83.0,30.81,13.16,64.58,3.55,30.5,Explosivo e rápido,True,52.3
LD,Brasileiros e sul-americanos no exterior,Italo,Vizela,Portugal B,23.0,1529,2027-06-30,True,True,81.0,30.65,14.74,73.01,2.29,,Explosivo e rápido,True,52.5
LD,Sul-americanas,Fernando Martínez,Central Córdoba SdE,Argentina A,26.0,1109,2026-12-31,True,False,80.0,29.71,13.85,77.44,1.94,26.5,Explosivo e rápido,True,37.5
LD,Sul-americanas,E. Mesa,Técnico Universitario,Equador A,28.0,2224,2026-12-31,True,False,80.0,30.0,13.55,73.36,2.04,26.4,Explosivo e rápido,True,42.1
LD,Série B,Gabriel Inocêncio,Botafogo-SP,Série B,32.0,1676,2026-11-30,True,True,79.0,30.1,14.39,75.45,2.14,20.62,Explosivo e rápido,True,47.1
LD,Série B,Rafael Ramos,Ceará,Série B,31.0,902,2026-12-31,True,False,79.0,29.73,13.55,71.76,2.39,25.03,Explosivo e rápido,True,56.4
LD,Série B,Reginaldo,Náutico,Série B,33.0,1377,2026-11-30,True,True,79.0,29.55,12.77,70.29,2.35,33.54,Explosivo e rápido,True,54.1
LD,Sul-americanas,T. Santamaría,Sarmiento,Argentina A,23.0,1074,2027-12-31,False,False,79.0,28.74,12.61,74.27,2.78,35.9,Explosivo e rápido,True,43.2
LD,Sul-americanas,E. Villalba,Club Libertad,Paraguai,18.0,943,,True,False,79.0,30.89,14.88,76.12,1.81,21.9,Explosivo e rápido,True,46.0
LD,Sul-americanas,C. Mayada,Deportivo Maldonado,Uruguai,35.0,1722,,True,False,78.0,29.91,14.88,77.84,1.58,26.3,Explosivo e rápido,True,42.7
LD,Série B,Kevin,CRB,Série B,29.0,1150,2026-11-30,True,True,77.0,29.79,12.37,68.63,2.49,26.57,Explosivo e rápido,True,45.4
LD,Série B,Thalys,Ponte Preta,Série B,26.0,1006,2026-11-30,True,True,75.0,30.09,12.29,68.1,1.97,27.25,Explosivo e rápido,True,39.1
LD,Série B,Mádson,Novorizontino,Série B,34.0,1458,2026-11-30,True,True,74.0,30.66,12.46,66.16,2.9,20.2,Explosivo e rápido,True,34.3
LD,Brasileiros e sul-americanos no exterior,Edney,Portimonense,Portugal B,21.0,2467,2027-06-30,True,True,74.0,30.61,12.72,67.46,2.24,,Explosivo e rápido,True,42.4
LD,Série B,Hayner,Vila Nova,Série B,30.0,1276,2026-12-31,True,True,72.0,29.78,12.74,70.59,1.74,26.88,Explosivo e rápido,True,29.1
LD,Série B,A. De Freitas,Sport,Série B,18.0,1202,2027-08-31,False,True,71.0,29.03,12.85,70.67,1.79,29.49,Explosivo e rápido,True,41.4
LD,Brasileiros e sul-americanos no exterior,Luiz Gustavo,Feirense,Portugal B,26.0,2852,2026-06-30,True,True,70.0,29.42,12.1,66.49,2.45,,Explosivo e rápido,True,42.3
LD,Série B,Rodrigo Ferreira,São Bernardo,Série B,31.0,2469,2026-11-30,True,True,66.0,29.63,11.4,65.48,1.86,25.92,Explosivo e rápido,True,46.8
LD,Série B,Matheus Ribeiro,Náutico,Série B,33.0,912,2026-11-30,True,True,65.0,28.89,13.68,74.76,1.09,32.97,Explosivo e rápido,True,48.1
LD,Brasileiros e sul-americanos no exterior,Douglas Borel,UD Oliveirense,Portugal B,24.0,1913,2028-06-30,False,True,63.0,29.69,11.05,65.29,1.98,,Explosivo e rápido,True,42.1
LD,Brasileiros e sul-americanos no exterior,Heitor,Portimonense,Portugal B,25.0,1413,2026-06-30,True,True,63.0,29.02,12.21,67.59,1.67,23.8,Explosivo e rápido,True,46.9
LD,Série B,Mikael Doka,Operário-PR,Série B,26.0,1877,2027-12-31,False,True,61.0,29.78,11.18,61.62,1.82,25.74,Baixa intensidade,False,55.5
LD,Série B,Maguinho,Operário-PR,Série B,34.0,914,2027-11-30,False,True,61.0,29.33,11.58,65.66,1.46,27.74,Médio em tudo,False,41.2
LD,Série B,Wallison,Avaí,Série B,25.0,1436,2026-11-30,True,True,52.0,28.85,10.8,64.46,1.33,30.22,Médio em tudo,False,46.9
LD,Série B,Hereda,CRB,Série B,27.0,1404,2026-12-31,True,True,51.0,29.88,10.11,59.98,1.57,22.14,Médio em tudo,False,51.7
LD,Série B,Júlio,Ponte Preta,Série B,19.0,1059,,True,True,50.0,28.72,9.92,61.64,1.8,24.56,Médio em tudo,False,42.4
LD,Série B,Kauê Leonardo,Londrina,Série B,21.0,1281,2026-11-30,True,True,47.0,28.76,10.15,64.71,1.22,28.95,Médio em tudo,False,26.0
LD,Brasileiros e sul-americanos no exterior,Igor Julião,Marítimo,Portugal B,31.0,1513,2027-06-30,True,True,47.0,28.37,10.81,62.88,1.46,,Médio em tudo,False,43.4
LD,Série B,Railan,Cuiabá,Série B,26.0,1538,2027-12-31,False,True,46.0,29.07,10.29,61.4,1.23,26.48,Médio em tudo,False,44.7
LD,Série B,Ewerthon,Atlético-GO,Série B,25.0,2014,2026-12-31,True,True,40.0,30.0,9.74,54.54,1.38,21.54,Baixa intensidade,False,56.2
LD,Série B,Maílton,Fortaleza,Série B,28.0,1838,2027-12-31,False,True,40.0,29.85,8.8,51.21,1.96,17.25,Baixa intensidade,False,64.8
