fronteira,familia,comparacao,indicador,unidade,medida_nome,controle,n_a,n_b,rho_sem_controle,p_sem_controle,d,p,pontos_por_50pct,pontos_do_dinheiro_por_50pct,euro_equivalente,porta_parcial,porta_p,porta_n,porta_passa,porta_sem_dinheiro,porta_p_sem_dinheiro,porta_passa_sem_dinheiro,nome,q,selo
sem,ceder,PV,F_solidez,clube-temporada,"correlação parcial (posto), dado o dinheiro",tm_valor_total,52,52,0.511,0.00011,0.48,0.00032,8.19,6.65,12160662,0.212,0.13042,52,False,0.251,0.07226,False,Régua da solidez,0.00097,provável
sem,disputa,PV,duelos_def_pct,clube-temporada,"correlação parcial (posto), dado o dinheiro",tm_valor_total,52,52,0.264,0.0582,0.296,0.03317,4.06,8.95,4480181,0.157,0.26527,52,False,0.144,0.30791,False,Divididas no chão ganhas (%),0.04976,provável
sem,disputa,PV,dd_casa,clube-temporada,"correlação parcial (posto), dado o dinheiro",tm_valor_total,52,52,0.079,0.57868,0.169,0.23076,1.6,9.61,1645678,-0.053,0.70893,52,False,-0.12,0.39494,False,Divididas no chão ganhas em casa (%),0.23076,sem diferença clara
sem,disputa,PV,dd_fora,clube-temporada,"correlação parcial (posto), dado o dinheiro",tm_valor_total,52,52,0.293,0.0351,0.305,0.02767,4.16,9.02,4555324,0.25,0.07409,52,False,0.245,0.08029,False,Divididas no chão ganhas fora (%),0.04976,provável
sem,criar,PR,dist_remate,clube-temporada,"correlação parcial (posto), dado o dinheiro",H_dinheiro,52,52,0.535,4e-05,0.461,0.00059,7.78,6.48,11865328,0.177,0.20831,52,False,0.221,0.11481,False,Distância média da finalização (m),0.00118,provável
sem,criar,PR,E_qualidade_chance,clube-temporada,"correlação parcial (posto), dado o dinheiro",H_dinheiro,52,52,0.568,1e-05,0.422,0.00184,8.69,4.42,19427159,0.203,0.14888,52,False,0.253,0.07053,False,Régua da qualidade da chance,0.00184,provável
sem,ceder,PR,xg_por_remate_contra,clube-temporada,"correlação parcial (posto), dado o dinheiro",H_dinheiro,52,52,0.317,0.02225,0.343,0.01267,5.11,8.11,6232017,-0.039,0.78638,52,False,-0.018,0.90151,False,Gol esperado por finalização sofrida,0.01267,provável
sem,ceder,PR,xgc_casa,clube-temporada,"correlação parcial (posto), dado o dinheiro",H_dinheiro,52,52,0.458,0.00064,0.46,0.00061,7.1,7.3,9622784,0.199,0.15652,52,False,0.139,0.3274,False,Gols esperados sofridos em casa,0.00091,provável
sem,ceder,PR,F_solidez,clube-temporada,"correlação parcial (posto), dado o dinheiro",H_dinheiro,52,52,0.511,0.00011,0.506,0.00013,8.44,6.04,13822988,0.242,0.08352,52,False,0.251,0.07226,False,Régua da solidez,0.0004,provável
sem,disputa,PR,duelos_def_pct,clube-temporada,"correlação parcial (posto), dado o dinheiro",H_dinheiro,52,52,0.264,0.0582,0.299,0.03159,4.39,8.38,5177787,0.171,0.22523,52,False,0.144,0.30791,False,Divididas no chão ganhas (%),0.04739,provável
sem,disputa,PR,dd_casa,clube-temporada,"correlação parcial (posto), dado o dinheiro",H_dinheiro,52,52,0.079,0.57868,0.181,0.19898,1.81,8.99,1988791,-0.034,0.81286,52,False,-0.12,0.39494,False,Divididas no chão ganhas em casa (%),0.19898,sem diferença clara
sem,disputa,PR,dd_fora,clube-temporada,"correlação parcial (posto), dado o dinheiro",H_dinheiro,52,52,0.293,0.0351,0.312,0.02453,4.56,8.48,5310143,0.248,0.07626,52,False,0.245,0.08029,False,Divididas no chão ganhas fora (%),0.04739,provável
