treinador,clube,temporada,inicio,interino,rodadas,rodada_1a,rodada_ultima,no_g4,pct_g4,rodadas_apos_10,no_g4_apos_10,pct_g4_apos_10,pontos,ppj,pos_ao_assumir,pos_ao_sair,dist_g4_ao_assumir,dist_g4_ao_sair,xg_saldo_pj,xg_jogos,valor_elenco_eur,base_incompleta,em_curso,no_ranking,ppj_outros_mesmo_time,rodadas_outros
Paulo Turra,Vila Nova,2025,2025-08-04,0,8,21,28,0,0.0,8,0,0.0,10,1.25,9,13,-4,-9,-0.52,8,11175000.0,0,0,0,1.24,29
Roger Silva,América-MG,2026,2026-04-13,0,7,5,11,0,0.0,2,0,0.0,2,0.29,20,20,-6,-16,-0.4,7,5875000.0,0,1,0,0.75,20
Marcelo Cabo,CRB,2022,2022-02-11,0,7,1,7,0,0.0,0,0,,4,0.57,6,20,-2,-9,-0.56,7,15925000.0,0,0,0,1.48,31
Júnior Rocha,Guarani,2024,2024-05-02,0,7,3,9,0,0.0,0,0,,4,0.57,20,20,-7,-13,-0.37,7,20600000.0,0,0,0,0.94,31
João Brigatti,Ponte Preta,2024,2023-10-05,0,7,1,7,0,0.0,0,0,,6,0.86,13,16,-2,-7,0.12,7,7875000.0,0,0,0,1.14,28
Fernando Marchiori,Sampaio Corrêa,2023,2023-09-13,0,7,28,34,0,0.0,7,0,0.0,8,1.14,15,15,-17,-21,-0.67,7,8500000.0,0,0,0,1.0,31
Higo Magalhães,Vila Nova,2022,2021-08-23,0,7,1,7,0,0.0,0,0,,7,1.0,12,16,-2,-6,-0.23,7,8900000.0,0,0,0,1.29,31
Fernando Marchiori,ABC,2023,2022-03-29,0,6,1,6,0,0.0,0,0,,1,0.17,15,20,-3,-13,-0.43,6,9400000.0,0,0,0,0.84,32
Adilson Batista,Amazonas,2024,2024-04-19,0,6,1,6,0,0.0,0,0,,5,0.83,14,15,-3,-7,-0.67,6,9675000.0,0,0,0,1.47,32
Zé Ricardo,Criciúma,2025,2025-01-01,0,6,1,6,0,0.0,0,0,,5,0.83,13,15,-3,-7,-0.71,6,19725000.0,0,0,0,1.75,32
Marcelo Chamusca,Guarani,2022,2022-05-25,0,6,9,14,0,0.0,5,0,0.0,5,0.83,20,19,-7,-9,0.17,6,11025000.0,0,0,0,1.44,32
Pintado,Guarani,2024,2024-06-21,0,6,12,17,0,0.0,6,0,0.0,3,0.5,20,20,-15,-20,-0.23,6,20600000.0,0,0,0,0.94,32
Chico Elias,Ituano,2024,2024-10-22,0,6,33,38,0,0.0,6,0,0.0,6,1.0,18,18,-22,-27,0.11,6,11350000.0,0,0,0,0.97,32
Elano,Náutico,2022,2022-07-22,0,6,20,25,0,0.0,6,0,0.0,3,0.5,19,20,-16,-21,-0.33,6,13925000.0,0,0,0,0.87,31
Vinícius,São Bernardo,2026,2026-08-06,0,6,21,26,0,0.0,6,0,0.0,8,1.33,12,14,-5,-9,-0.35,6,7925000.0,1,1,0,1.35,20
Hemerson Maria,Tombense,2022,2022-02-25,0,6,1,6,0,0.0,0,0,,5,0.83,10,19,-2,-5,0.15,6,3950000.0,1,0,0,1.26,31
Thiago Carvalho,Vila Nova,2024,2024-10-22,0,6,33,38,0,0.0,6,0,0.0,6,1.0,5,8,-4,-9,-0.71,6,12075000.0,0,0,0,1.53,32
Pintado,Juventude,2023,2023-04-12,0,5,1,5,0,0.0,0,0,,3,0.6,13,19,-3,-8,-0.0,5,16825000.0,0,0,0,1.88,33
Alexandre Gallo,Londrina,2023,2023-03-30,0,5,1,5,0,0.0,0,0,,4,0.8,7,17,0,-7,0.17,5,7700000.0,0,0,0,0.82,33
Paulo César Gusmão,Londrina,2023,2023-06-01,0,5,10,14,0,0.0,5,0,0.0,1,0.2,15,17,-10,-17,-0.38,5,7700000.0,0,0,0,0.91,33
Aderbal Lana,Amazonas,2025,2025-10-30,0,4,35,38,0,0.0,4,0,0.0,4,1.0,18,18,-21,-26,-0.32,4,15970000.0,0,0,0,0.94,34
Alberto Valentim,América-MG,2026,2025-08-12,0,4,1,4,0,0.0,0,0,,1,0.25,17,20,-3,-7,-0.34,4,5875000.0,0,1,0,0.7,23
Douglas Leite,América-MG,2026,2026-08-24,1,4,24,27,0,0.0,4,0,0.0,6,1.5,19,19,-29,-30,-0.23,4,5875000.0,0,1,0,0.48,23
Alex,Avaí,2023,2023-01-01,0,4,1,4,0,0.0,0,0,,3,0.75,19,17,-3,-6,-0.33,4,20300000.0,0,0,0,1.21,34
Adriano Rodrigues,CSA,2022,2022-10-15,0,4,35,38,0,0.0,4,0,0.0,6,1.5,17,17,-20,-20,0.22,4,13750000.0,0,0,0,1.06,34
Daniel Paulista,Guarani,2022,2021-05-26,0,4,1,4,0,0.0,0,0,,4,1.0,17,15,-3,-3,-0.05,4,11025000.0,0,0,0,1.38,34
Ben-Hur,Guarani,2022,2022-05-04,1,4,5,8,0,0.0,0,0,,4,1.0,17,18,-3,-6,0.02,4,11025000.0,0,0,0,1.38,34
Edson Vieira,Londrina,2023,2023-05-13,1,4,6,9,0,0.0,0,0,,6,1.5,12,14,-7,-7,0.44,4,7700000.0,0,0,0,0.74,34
Evaristo Piza,Sampaio Corrêa,2023,2023-03-10,0,4,1,4,0,0.0,0,0,,2,0.5,10,18,-2,-7,-0.05,4,8500000.0,0,0,0,1.09,34
Dejair Ferreira,Sampaio Corrêa,2023,2023-11-01,0,4,35,38,0,0.0,4,0,0.0,3,0.75,16,17,-24,-25,0.44,4,8500000.0,0,0,0,1.06,34
Lisca,Vila Nova,2023,2023-09-26,0,4,30,33,0,0.0,4,0,0.0,5,1.25,8,9,-6,-5,0.7,4,10475000.0,0,0,0,1.65,34
Eduardo Barros,Amazonas,2025,2025-02-23,0,3,1,3,0,0.0,0,0,,1,0.33,15,17,-3,-6,-0.14,3,15970000.0,0,0,0,1.0,35
Mozart,Atlético-GO,2023,2023-03-14,0,3,1,3,0,0.0,0,0,,5,1.67,9,8,-2,-4,-1.66,3,24525000.0,0,0,0,1.69,35
Anderson Gomes,Atlético-GO,2023,2023-07-12,0,3,17,19,0,0.0,3,0,0.0,4,1.33,10,11,-5,-8,-0.15,3,24525000.0,0,0,0,1.71,35
William Sander,Atlético-GO,2026,2026-03-27,1,3,2,4,0,0.0,0,0,,3,1.0,19,16,-4,-5,0.07,3,10550000.0,1,1,0,1.61,23
Renan Brito,Atlético-GO,2026,2026-06-16,1,3,14,16,0,0.0,3,0,0.0,4,1.33,13,13,-6,-7,0.42,3,10550000.0,1,1,0,1.57,23
Bruno Pivetti,CRB,2024,2024-09-09,0,3,25,27,0,0.0,3,0,0.0,1,0.33,16,18,-16,-19,-0.24,3,13675000.0,0,0,0,1.2,35
Guto Ferreira,Coritiba,2024,2023-11-27,0,3,1,3,0,0.0,0,0,,4,1.33,11,10,-2,-3,0.22,3,32050000.0,0,0,0,1.24,29
Lucas Silveira,Cuiabá,2026,2026-04-06,1,3,4,6,0,0.0,0,0,,5,1.67,17,17,-5,-3,-0.13,3,10850000.0,0,1,0,1.42,24
Gerson Ramos,Juventude,2026,2026-04-14,1,3,5,7,0,0.0,0,0,,7,2.33,11,7,-1,-2,-0.52,3,15975000.0,0,1,0,1.79,24
Ricardo Catalá,Mirassol,2023,2022-03-24,0,3,1,3,0,0.0,0,0,,6,2.0,8,7,0,-3,-0.19,3,14900000.0,0,0,0,1.63,35
Nenê Santana,Ponte Preta,2024,2024-10-22,0,3,33,35,0,0.0,3,0,0.0,3,1.0,15,17,-18,-21,-0.07,3,7875000.0,0,0,0,1.09,32
Gilson Kleina,Ponte Preta,2026,2026-08-28,0,3,25,27,0,0.0,3,0,0.0,0,0.0,20,20,-33,-37,-1.76,3,4125000.0,0,1,0,0.42,24
Lisca,Sport,2022,2022-07-01,0,3,16,18,0,0.0,3,0,0.0,5,1.67,7,6,-4,-6,1.39,3,16300000.0,0,0,0,1.49,35
João Correia,Athletico-PR,2025,2025-05-05,1,2,7,8,0,0.0,0,0,,1,0.5,9,13,-2,-5,0.67,2,50500000.0,0,0,0,1.78,36
Marquinhos,Avaí,2023,2023-05-05,1,2,5,6,0,0.0,0,0,,3,1.5,11,14,-5,-8,-1.33,2,20300000.0,0,0,0,1.14,36
Eduardo Barroca,Avaí,2024,2023-07-07,0,2,1,2,0,0.0,0,0,,0,0.0,16,18,-3,-6,-0.14,2,19000000.0,0,0,0,1.47,36
Gustavo Morínigo,Ceará,2023,2022-11-22,0,2,1,2,0,0.0,0,0,,0,0.0,17,20,-3,-6,0.51,2,35475000.0,0,0,0,1.39,36
Tcheco,Chapecoense,2024,2024-08-07,0,2,20,21,0,0.0,2,0,0.0,0,0.0,17,18,-14,-15,-0.29,2,11425000.0,1,0,0,1.26,35
Guila Bossle,Coritiba,2024,2024-11-14,0,2,37,38,0,0.0,2,0,0.0,0,0.0,10,12,-13,-14,-0.23,2,32050000.0,0,0,0,1.33,30
Ben-Hur,Guarani,2023,2023-06-08,1,2,11,12,0,0.0,2,0,0.0,1,0.5,11,11,-8,-8,-0.93,2,14200000.0,0,0,0,1.56,36
Claudinei Oliveira,Guarani,2024,2024-02-12,0,2,1,2,0,0.0,0,0,,0,0.0,19,19,-3,-6,0.87,2,20600000.0,0,0,0,0.92,36
Marcelo Cordeiro,Guarani,2024,2024-06-14,1,2,10,11,0,0.0,2,0,0.0,1,0.5,20,20,-14,-14,-0.49,2,20600000.0,0,0,0,0.89,36
Sandro Forner,Operário-PR,2022,2022-10-25,1,2,37,38,0,0.0,2,0,0.0,0,0.0,19,19,-25,-28,-1.94,2,10925000.0,0,0,0,0.94,35
Edson Boaro,Ponte Preta,2026,2026-05-30,1,2,11,12,0,0.0,2,0,0.0,1,0.5,19,19,-11,-13,-0.8,2,4125000.0,0,1,0,0.36,25
Flávio Garcia,Remo,2025,2025-06-06,1,2,11,12,0,0.0,2,0,0.0,3,1.5,5,7,0,-1,-0.86,2,27650000.0,0,0,0,1.64,36
César Lucena,Sport,2022,2022-07-19,1,2,19,20,0,0.0,2,0,0.0,1,0.5,7,10,-6,-7,0.16,2,16300000.0,0,0,0,1.56,36
Julian Tobar,Tombense,2023,2023-06-06,1,2,11,12,0,0.0,2,0,0.0,3,1.5,19,18,-17,-15,0.2,2,6950000.0,0,0,0,0.94,36
Jonydei Matos,ABC,2023,2023-05-16,1,1,7,7,0,0.0,0,0,,0,0.0,20,20,-13,-13,-0.35,1,9400000.0,0,0,0,0.76,37
Rafael Lacerda,ABC,2023,2023-11-24,0,1,38,38,0,0.0,1,0,0.0,3,3.0,20,20,-36,-36,-0.12,1,9400000.0,0,0,0,0.68,37
Ibson,Amazonas,2024,2024-11-20,1,1,38,38,0,0.0,1,0,0.0,3,3.0,11,11,-12,-12,-0.07,1,9675000.0,0,0,0,1.32,37
Ibson,Amazonas,2025,2025-04-20,1,1,4,4,0,0.0,0,0,,0,0.0,19,19,-7,-7,-0.28,1,15970000.0,0,0,0,0.97,37
Anderson Gomes,Atlético-GO,2023,2023-05-01,1,1,4,4,0,0.0,0,0,,3,3.0,7,7,-1,-1,0.96,1,24525000.0,0,0,0,1.65,37
Anderson Gomes,Atlético-GO,2025,2025-05-14,1,1,8,8,0,0.0,0,0,,1,1.0,12,12,-4,-4,0.75,1,28675000.0,0,0,0,1.38,37
Marquinhos,Avaí,2024,2024-05-02,0,1,3,3,0,0.0,0,0,,1,1.0,17,17,-6,-6,-0.56,1,19000000.0,0,0,0,1.41,37
José Leão,Botafogo-SP,2023,2023-06-27,1,1,14,14,0,0.0,1,0,0.0,3,3.0,10,10,-7,-7,-1.03,1,8600000.0,0,0,0,1.19,37
José Leão,Botafogo-SP,2023,2023-11-23,1,1,38,38,0,0.0,1,0,0.0,0,0.0,12,12,-17,-17,0.3,1,8600000.0,0,0,0,1.27,37
Daniel Barboza,CRB,2022,2022-11-04,1,1,38,38,0,0.0,1,0,0.0,0,0.0,11,11,-12,-12,-1.52,1,15925000.0,0,0,0,1.35,37
Adriano Rodrigues,CSA,2022,2022-08-08,1,1,23,23,0,0.0,1,0,0.0,3,3.0,17,17,-16,-16,0.21,1,13750000.0,0,0,0,1.05,37
Anderson Batatais,Ceará,2024,2024-06-28,0,1,13,13,0,0.0,1,0,0.0,3,3.0,9,9,-3,-3,0.99,1,24725000.0,0,0,0,1.65,37
Bolívar,Chapecoense,2022,2022-07-07,1,1,17,17,0,0.0,1,0,0.0,0,0.0,15,15,-11,-11,1.55,1,13875000.0,0,0,0,1.25,36
Ricardo Chuva,Chapecoense,2024,2024-05-31,1,1,8,8,0,0.0,0,0,,1,1.0,12,12,-5,-5,-0.08,1,11425000.0,1,0,0,1.19,36
Celso Rodrigues,Chapecoense,2024,2024-08-04,1,1,19,19,0,0.0,1,0,0.0,0,0.0,17,17,-13,-13,1.81,1,11425000.0,1,0,0,1.22,36
Celso Rodrigues,Chapecoense,2024,2024-08-20,1,1,22,22,0,0.0,1,0,0.0,1,1.0,17,17,-16,-16,-0.44,1,11425000.0,1,0,0,1.19,36
Gustavo Almeida,Cuiabá,2026,2026-04-03,1,1,3,3,0,0.0,0,0,,0,0.0,16,16,-4,-4,1.89,1,10850000.0,0,1,0,1.5,26
Ben-Hur,Guarani,2022,2022-06-27,1,1,15,15,0,0.0,1,0,0.0,0,0.0,19,19,-12,-12,-1.8,1,11025000.0,0,0,0,1.38,37
Marcelo Cordeiro,Guarani,2024,2024-07-26,0,1,18,18,0,0.0,1,0,0.0,3,3.0,20,20,-18,-18,2.37,1,20600000.0,0,0,0,0.81,37
Douglas Leite,Ituano,2023,2023-05-22,1,1,8,8,0,0.0,0,0,,0,0.0,15,15,-10,-10,-1.85,1,6225000.0,0,0,0,1.14,37
Adaílton,Juventude,2023,2023-05-11,1,1,6,6,0,0.0,0,0,,0,0.0,19,19,-11,-11,-0.27,1,16825000.0,0,0,0,1.76,37
Franco Muller,Londrina,2023,2023-06-30,1,1,15,15,0,0.0,1,0,0.0,0,0.0,18,18,-18,-18,-0.63,1,7700000.0,0,0,0,0.84,37
Ben-Hur,Novorizontino,2025,2025-04-04,1,1,1,1,0,0.0,0,0,,1,1.0,11,11,-2,-2,-0.48,1,13375000.0,0,0,0,1.59,37
Felipe Conceição,Náutico,2022,2022-02-16,0,1,1,1,0,0.0,0,0,,0,0.0,20,20,-3,-3,-0.47,1,13925000.0,0,0,0,0.83,36
Dudu Capixaba,Náutico,2022,2022-07-18,1,1,19,19,0,0.0,1,0,0.0,0,0.0,18,18,-15,-15,-0.96,1,13925000.0,0,0,0,0.83,36
Luizinho Lopes,Operário-PR,2026,2026-01-20,0,1,1,1,0,0.0,0,0,,3,3.0,7,7,0,0,1.32,1,9275000.0,0,1,0,1.54,26
Hélio dos Anjos,Ponte Preta,2023,2022-02-25,0,1,1,1,0,0.0,0,0,,0,0.0,20,20,-3,-3,0.78,1,10675000.0,0,0,0,1.14,37
Flávio Garcia,Remo,2025,2025-09-22,1,1,28,28,0,0.0,1,0,0.0,0,0.0,12,12,-7,-7,-0.07,1,27650000.0,0,0,0,1.68,37
Edson Silva,Sampaio Corrêa,2023,2023-05-05,1,1,5,5,0,0.0,0,0,,3,3.0,13,13,-6,-6,-0.08,1,8500000.0,0,0,0,0.97,37
César Lucena,Sport,2022,2022-06-26,1,1,15,15,0,0.0,1,0,0.0,0,0.0,6,6,-4,-4,-0.92,1,16300000.0,0,0,0,1.54,37
César Lucena,Sport,2023,2023-11-20,1,1,38,38,0,0.0,1,0,0.0,3,3.0,7,7,-1,-1,0.95,1,17900000.0,0,0,0,1.62,37
Roger Silva,Sport,2026,2025-12-23,0,1,1,1,0,0.0,0,0,,1,1.0,13,13,-2,-2,-0.06,1,23625000.0,0,1,0,1.54,26
Mariano Soso,Sport,2026,2026-09-09,0,1,27,27,0,0.0,1,0,0.0,3,3.0,8,8,-6,-6,2.55,1,23625000.0,0,1,0,1.46,26
