treinador,clube,temporada,inicio,interino,rodadas,rodada_1a,rodada_ultima,no_g4,pct_g4,rodadas_apos_10,no_g4_apos_10,pct_g4_apos_10,pontos,ppj,pos_ao_assumir,pos_ao_sair,dist_g4_ao_assumir,dist_g4_ao_sair,xg_saldo_pj,xg_jogos,valor_elenco_eur,base_incompleta,em_curso,no_ranking,ppj_outros_mesmo_time,rodadas_outros
Higo Magalhães,Vila Nova,2023,2023-10-27,0,5,34,38,1,20.0,5,1,20.0,10,2.0,8,8,-3,-3,0.4,5,10475000.0,0,0,0,1.55,33
Jair Ventura,Avaí,2025,2025-03-31,0,27,1,27,5,18.5,18,2,11.1,37,1.37,9,11,-2,-6,0.12,27,13200000.0,0,0,1,1.73,11
Mozart,Ceará,2026,2025-12-12,0,11,1,11,2,18.2,2,0,0.0,13,1.18,10,13,-2,-6,-0.19,11,13525000.0,1,1,1,1.17,12
Umberto Louzer,Chapecoense,2024,2024-02-16,0,17,1,18,3,17.6,9,0,0.0,18,1.06,2,16,0,-10,-0.3,17,11425000.0,1,0,1,1.3,20
Alberto Valentim,Atlético-GO,2023,2023-05-05,0,12,5,16,2,16.7,7,0,0.0,15,1.25,5,11,0,-7,-0.16,12,24525000.0,0,0,1,1.88,26
Luizinho Lopes,Brusque,2024,2022-11-11,0,6,1,6,1,16.7,0,0,,4,0.67,1,16,0,-8,-1.25,6,7500000.0,0,0,0,1.0,32
Eduardo Barroca,CRB,2025,2025-03-28,0,38,1,38,6,15.8,29,2,6.9,56,1.47,5,8,0,-6,0.06,38,20200000.0,0,0,1,,0
Umberto Louzer,Guarani,2023,2023-06-23,0,26,13,38,4,15.4,26,4,15.4,41,1.58,9,10,-6,-7,0.15,26,14200000.0,0,0,1,1.33,12
Adilson Batista,Botafogo-SP,2023,2023-02-28,0,13,1,13,2,15.4,4,0,0.0,18,1.38,5,11,0,-7,-0.15,13,8600000.0,0,0,1,1.16,25
Hélio dos Anjos,Náutico,2026,2025-04-15,0,27,1,27,4,14.8,18,2,11.1,37,1.37,16,11,-3,-10,0.34,27,3300000.0,0,1,1,,0
Claudio Tencati,Atlético-GO,2025,2025-03-14,0,7,1,7,1,14.3,0,0,,10,1.43,1,13,0,-2,-0.44,7,28675000.0,0,0,0,1.35,31
Waguinho Dias,Brusque,2022,2021-09-15,0,7,1,7,1,14.3,0,0,,7,1.0,3,14,0,-6,0.26,7,4375000.0,0,0,0,0.87,31
Gilmar Dal Pozzo,Ituano,2023,2023-02-10,0,7,1,7,1,14.3,0,0,,7,1.0,4,14,0,-7,-0.37,7,6225000.0,0,0,0,1.13,31
Allan Aal,Londrina,2026,2025-12-30,0,7,1,7,1,14.3,0,0,,5,0.71,3,19,0,-8,-0.78,7,6100000.0,1,1,0,0.94,18
Léo Condé,Ceará,2024,2024-07-04,0,25,14,38,3,12.0,25,3,12.0,45,1.8,11,4,-5,0,0.54,25,24725000.0,0,0,1,1.46,13
Claudio Tencati,Botafogo-SP,2026,2025-11-24,0,27,1,27,3,11.1,18,0,0.0,31,1.15,1,15,0,-16,0.14,27,6450000.0,0,1,1,,0
Bruno Pivetti,Operário-PR,2025,2024-11-29,0,12,1,12,1,8.3,3,0,0.0,14,1.17,3,15,0,-7,0.12,12,19100000.0,0,0,1,1.31,26
Rafael Guanaes,Operário-PR,2024,2023-01-10,0,37,1,37,3,8.1,28,2,7.1,55,1.49,7,8,0,-8,-0.06,37,12450000.0,1,0,1,,0
Mazola Júnior,Ituano,2022,2021-06-08,0,17,1,17,1,5.9,8,0,0.0,18,1.06,8,14,-2,-11,0.27,17,6500000.0,0,0,1,1.86,21
Claudio Tencati,Criciúma,2022,2021-10-07,0,38,1,38,2,5.3,29,0,0.0,56,1.47,4,8,0,-6,0.33,38,6800000.0,0,0,1,,0
Claudinei Oliveira,Operário-PR,2022,2022-03-23,0,19,1,19,1,5.3,10,0,0.0,20,1.05,9,15,-2,-13,-0.55,19,10925000.0,0,0,1,0.72,18
Alex,Athletic,2026,2026-02-21,0,27,1,27,1,3.7,18,0,0.0,37,1.37,5,12,0,-10,-0.28,27,12375000.0,0,1,1,,0
Adilson Batista,Londrina,2022,2022-03-10,0,37,1,37,1,2.7,28,0,0.0,52,1.41,2,9,0,-7,-0.1,37,7200000.0,1,0,1,,0
Hélio dos Anjos,Ponte Preta,2022,2022-02-25,0,38,1,38,0,0.0,29,0,0.0,49,1.29,16,12,-2,-13,-0.03,38,20500000.0,0,0,1,,0
Léo Condé,Sampaio Corrêa,2022,2022-03-28,0,38,1,38,0,0.0,29,0,0.0,58,1.53,18,5,-3,-4,-0.14,38,4500000.0,0,0,1,,0
Rogério Corrêa,Volta Redonda,2025,2024-02-21,0,38,1,38,0,0.0,29,0,0.0,36,0.95,19,19,-3,-26,-0.17,38,5275000.0,0,0,1,,0
Mozart,Mirassol,2023,2023-05-04,0,35,4,38,0,0.0,29,0,0.0,57,1.63,10,6,-3,-1,0.51,35,14900000.0,0,0,1,2.0,3
Alberto Valentim,Ituano,2024,2024-02-29,0,32,1,32,0,0.0,23,0,0.0,31,0.97,17,19,-3,-22,-0.61,32,11350000.0,0,0,1,1.0,6
Rafael Lacerda,Amazonas,2024,2024-05-27,0,31,7,37,0,0.0,28,0,0.0,44,1.42,14,12,-5,-14,0.1,31,9675000.0,0,0,1,1.14,7
Bruno Pivetti,Tombense,2022,2022-05-13,0,31,7,37,0,0.0,28,0,0.0,39,1.26,19,15,-7,-15,-0.41,31,3950000.0,1,0,1,0.83,6
Daniel Paulista,CRB,2022,2022-05-16,0,30,8,37,0,0.0,28,0,0.0,46,1.53,19,10,-7,-9,-0.38,30,15925000.0,0,0,1,0.5,8
Daniel Paulista,CRB,2023,2023-05-31,0,30,9,38,0,0.0,29,0,0.0,52,1.73,17,9,-9,-7,-0.01,30,13900000.0,0,0,1,0.62,8
Marcinho,Ituano,2023,2023-05-26,0,30,9,38,0,0.0,29,0,0.0,35,1.17,13,14,-7,-22,-0.09,30,6225000.0,0,0,1,0.88,8
Rui Duarte,Athletic,2025,2025-06-04,0,28,11,38,0,0.0,28,0,0.0,38,1.36,19,15,-14,-18,0.13,28,17710000.0,0,0,1,0.6,10
Paulo Gomes,Botafogo-SP,2024,2023-12-07,0,28,1,28,0,0.0,19,0,0.0,32,1.14,9,14,-2,-14,-0.17,28,9525000.0,0,0,1,1.3,10
Alex,Operário-PR,2025,2025-06-16,0,26,13,38,0,0.0,26,0,0.0,34,1.31,12,12,-4,-14,0.33,26,19100000.0,0,0,1,1.17,12
Vinícius,Ferroviária,2025,2025-02-17,0,25,1,25,0,0.0,16,0,0.0,31,1.24,10,14,-2,-10,-0.27,25,6650000.0,0,0,1,0.75,12
Hélio dos Anjos,Paysandu,2024,2023-06-29,0,25,1,25,0,0.0,16,0,0.0,27,1.08,20,15,-3,-15,-0.17,25,13825000.0,0,0,1,1.77,13
Nelsinho Baptista,Ponte Preta,2024,2024-05-29,0,25,8,32,0,0.0,23,0,0.0,29,1.16,13,17,-6,-18,-0.25,25,7875000.0,0,0,1,0.9,10
Daniel Paulista,CRB,2024,2023-05-31,0,24,1,24,0,0.0,15,0,0.0,25,1.04,15,16,-3,-14,-0.25,24,13675000.0,0,0,1,1.29,14
Eduardo Barroca,Avaí,2023,2023-07-07,0,23,16,38,0,0.0,23,0,0.0,33,1.43,19,13,-19,-20,-0.64,23,20300000.0,0,0,1,0.73,15
Marcelo Chamusca,Botafogo-SP,2023,2023-06-30,0,23,15,37,0,0.0,23,0,0.0,26,1.13,8,12,-5,-14,-0.42,23,8600000.0,0,0,1,1.4,15
Eduardo Barros,Cuiabá,2026,2025-08-13,0,23,1,27,0,0.0,18,0,0.0,34,1.48,12,10,-2,-8,0.34,23,10850000.0,0,1,1,1.25,4
Mozart,Guarani,2022,2022-07-01,0,23,16,38,0,0.0,23,0,0.0,38,1.65,19,10,-12,-11,-0.01,23,11025000.0,0,0,1,0.87,15
Allan Aal,Botafogo-SP,2025,2025-05-20,0,22,9,30,0,0.0,21,0,0.0,24,1.09,15,18,-8,-19,-0.63,22,10125000.0,0,0,1,0.62,8
Márcio Fernandes,Sampaio Corrêa,2023,2023-05-10,0,22,6,27,0,0.0,18,0,0.0,23,1.05,15,16,-9,-17,-0.21,22,8500000.0,0,0,1,1.0,16
Allan Aal,Vila Nova,2022,2022-07-07,0,22,17,38,0,0.0,22,0,0.0,35,1.59,20,13,-16,-15,0.11,22,8900000.0,0,0,1,0.75,16
Rafael Lacerda,Atlético-GO,2025,2025-07-21,0,21,18,38,0,0.0,21,0,0.0,30,1.43,14,11,-7,-10,-0.15,21,28675000.0,0,0,1,1.29,17
Carlos Pimentel,Ituano,2022,2022-07-15,0,21,18,38,0,0.0,21,0,0.0,39,1.86,15,6,-13,-5,0.04,21,6500000.0,0,0,1,1.06,17
Luan Carlos,Brusque,2022,2022-05-17,0,20,8,27,0,0.0,18,0,0.0,21,1.05,8,16,-4,-16,0.1,20,4375000.0,0,0,1,0.72,18
Vagner Mancini,Goiás,2024,2024-08-06,0,20,19,38,0,0.0,20,0,0.0,38,1.9,9,6,-4,-1,0.15,20,28750000.0,0,0,1,1.39,18
Allan Aal,Guarani,2024,2024-07-29,0,20,19,38,0,0.0,20,0,0.0,22,1.1,20,20,-21,-31,0.05,20,20600000.0,0,0,1,0.61,18
Allan Aal,ABC,2023,2023-05-24,0,19,8,26,0,0.0,17,0,0.0,15,0.79,20,20,-13,-28,-0.41,19,9400000.0,0,0,1,0.68,19
Márcio Zanardi,Amazonas,2025,2025-07-08,0,19,16,34,0,0.0,19,0,0.0,18,0.95,20,19,-11,-23,-0.25,19,15970000.0,0,0,1,0.95,19
Enderson Moreira,Avaí,2024,2024-08-05,0,19,20,38,0,0.0,19,0,0.0,28,1.47,10,10,-5,-11,-0.01,19,19000000.0,0,0,1,1.32,19
Luizinho Vieira,Brusque,2024,2024-05-20,0,19,7,25,0,0.0,16,0,0.0,19,1.0,17,19,-8,-19,-0.09,19,7500000.0,0,0,1,0.89,19
Jorginho,Coritiba,2024,2024-07-27,0,19,18,36,0,0.0,19,0,0.0,30,1.58,14,10,-6,-10,0.0,19,32050000.0,0,0,1,0.77,13
Rogério Micale,Londrina,2026,2026-05-14,0,18,9,26,0,0.0,17,0,0.0,17,0.94,18,18,-8,-22,-0.1,18,6100000.0,1,1,1,0.71,7
Felipe Moreira,Ponte Preta,2023,2023-04-19,0,18,2,19,0,0.0,10,0,0.0,22,1.22,18,13,-6,-13,-0.2,18,10675000.0,0,0,1,1.0,20
Claudinei Oliveira,Sport,2022,2022-07-27,0,18,21,38,0,0.0,18,0,0.0,30,1.67,7,7,-7,-5,0.49,18,16300000.0,0,0,1,1.35,20
Alberto Valentim,América-MG,2025,2025-08-12,0,17,22,38,0,0.0,17,0,0.0,25,1.47,16,14,-14,-16,-0.06,17,23150000.0,0,0,1,1.0,21
Claudinei Oliveira,Chapecoense,2023,2023-08-10,0,17,22,38,0,0.0,17,0,0.0,21,1.24,19,16,-19,-24,-0.14,17,16325000.0,0,0,1,1.0,19
Eduardo Barros,Cuiabá,2025,2025-08-13,0,17,22,38,0,0.0,17,0,0.0,23,1.35,9,10,-4,-8,0.26,17,21900000.0,0,0,1,1.48,21
