fronteira,familia,comparacao,indicador,unidade,medida_nome,n_a,n_b,clubes_a,clubes_b,cru_a,cru_b,d,ic95_d,p,limiar_visivel,q,selo,poder_suficiente,nome,alvo_nome,porta_parcial,porta_p,porta_passa
com,construcao,xg_por_remate_contra,passes_pct,clube-temporada,"correlação de posto com o alvo (Spearman), sinal alinhado",80,80,40,40,81.347,0.097,0.056,"[-0.22, 0.33]",0.674,0.275,0.926,sem diferença clara,False,Passes certos (%),Gol esperado por finalização sofrida,0.177,0.1158,False
com,construcao,xg_por_remate_contra,passe_longo_pct,clube-temporada,"correlação de posto com o alvo (Spearman), sinal alinhado",80,80,40,40,11.876,0.097,0.018,"[-0.24, 0.27]",0.9116,0.255,0.926,sem diferença clara,False,Passe longo (% dos passes),Gol esperado por finalização sofrida,-0.126,0.26613,False
com,construcao,xg_por_remate_contra,compr_passe,clube-temporada,"correlação de posto com o alvo (Spearman), sinal alinhado",80,80,40,40,20.522,0.097,0.107,"[-0.16, 0.35]",0.4368,0.255,0.926,sem diferença clara,False,Comprimento médio do passe (m),Gol esperado por finalização sofrida,-0.022,0.84911,False
com,construcao,xg_por_remate_contra,passes_progressivos,clube-temporada,"correlação de posto com o alvo (Spearman), sinal alinhado",80,80,40,40,67.684,0.097,0.165,"[-0.07, 0.37]",0.1512,0.22,0.9072,sem diferença clara,False,Passes progressivos por jogo,Gol esperado por finalização sofrida,0.035,0.75505,False
com,construcao,xg_por_remate_contra,passes_terco_final,clube-temporada,"correlação de posto com o alvo (Spearman), sinal alinhado",80,80,40,40,51.145,0.097,0.012,"[-0.24, 0.26]",0.926,0.25,0.926,sem diferença clara,False,Passes para o terço final por jogo,Gol esperado por finalização sofrida,0.011,0.92564,False
com,como_ataca,xg_por_remate_contra,atq_posicional,clube-temporada,"correlação de posto com o alvo (Spearman), sinal alinhado",80,80,40,40,27.882,0.097,0.056,"[-0.17, 0.27]",0.6402,0.22,0.6402,sem diferença clara,False,Ataques posicionais por jogo,Gol esperado por finalização sofrida,-0.067,0.55365,False
com,como_ataca,xg_por_remate_contra,contra_ataques,clube-temporada,"correlação de posto com o alvo (Spearman), sinal alinhado",80,80,40,40,1.066,0.097,0.147,"[-0.07, 0.35]",0.1806,0.21,0.3612,sem diferença clara,False,Contra-ataques por jogo,Gol esperado por finalização sofrida,-0.079,0.4841,False
com,como_ataca,xg_por_remate_contra,cruzamentos,clube-temporada,"correlação de posto com o alvo (Spearman), sinal alinhado",80,80,40,40,15.513,0.097,0.163,"[-0.05, 0.34]",0.1264,0.195,0.3612,sem diferença clara,False,Cruzamentos por jogo,Gol esperado por finalização sofrida,0.055,0.63054,False
com,como_ataca,xg_por_remate_contra,cruz_certos_pct,clube-temporada,"correlação de posto com o alvo (Spearman), sinal alinhado",80,80,40,40,33.013,0.097,0.065,"[-0.19, 0.32]",0.6178,0.255,0.6402,sem diferença clara,False,Cruzamentos certos (%),Gol esperado por finalização sofrida,-0.047,0.68079,False
com,sem_bola,xg_por_remate_contra,ppda,clube-temporada,"correlação de posto com o alvo (Spearman), sinal alinhado",80,80,40,40,10.239,0.097,0.025,"[-0.22, 0.27]",0.8888,0.245,0.8888,sem diferença clara,False,Passes do adversário por ação defensiva,Gol esperado por finalização sofrida,0.008,0.94701,False
com,sem_bola,xg_por_remate_contra,recuperacoes,clube-temporada,"correlação de posto com o alvo (Spearman), sinal alinhado",80,80,40,40,78.197,0.097,0.08,"[-0.17, 0.32]",0.5156,0.245,0.859333,sem diferença clara,False,Recuperações por jogo,Gol esperado por finalização sofrida,-0.098,0.38952,False
com,sem_bola,xg_por_remate_contra,intensidade,clube-temporada,"correlação de posto com o alvo (Spearman), sinal alinhado",80,80,40,40,15.557,0.097,0.017,"[-0.18, 0.22]",0.866,0.2,0.8888,sem diferença clara,False,Intensidade de jogo,Gol esperado por finalização sofrida,-0.028,0.80197,False
com,sem_bola,xg_por_remate_contra,duelos_pct,clube-temporada,"correlação de posto com o alvo (Spearman), sinal alinhado",80,80,40,40,47.928,0.097,0.371,"[0.15, 0.55]",0.0014,0.2,0.0045,provável,True,Divididas ganhas (%),Gol esperado por finalização sofrida,-0.054,0.6333,False
com,sem_bola,xg_por_remate_contra,duelos_aereos_pct,clube-temporada,"correlação de posto com o alvo (Spearman), sinal alinhado",80,80,40,40,45.451,0.097,0.376,"[0.14, 0.58]",0.0018,0.22,0.0045,provável,True,Divididas pelo alto ganhas (%),Gol esperado por finalização sofrida,0.091,0.42276,False
com,bola_parada,xg_por_remate_contra,bolas_paradas,clube-temporada,"correlação de posto com o alvo (Spearman), sinal alinhado",80,80,40,40,28.105,0.097,-0.143,"[-0.37, 0.09]",0.2194,0.23,0.4388,sem diferença clara,False,Bolas paradas por jogo,Gol esperado por finalização sofrida,0.114,0.31483,False
com,bola_parada,xg_por_remate_contra,cantos,clube-temporada,"correlação de posto com o alvo (Spearman), sinal alinhado",80,80,40,40,5.158,0.097,0.023,"[-0.18, 0.22]",0.8256,0.2,0.8256,sem diferença clara,False,Escanteios por jogo,Gol esperado por finalização sofrida,0.162,0.15016,False
sem,construcao,dist_remate,posse,clube-temporada,"correlação de posto com o alvo (Spearman), sinal alinhado",52,52,32,32,50.141,20.58,0.119,"[-0.17, 0.41]",0.4228,0.29,0.81384,sem diferença clara,False,Posse de bola (%),Distância média da própria finalização (m),0.115,0.31109,False
sem,construcao,dist_remate,passes_pct,clube-temporada,"correlação de posto com o alvo (Spearman), sinal alinhado",52,52,32,32,81.607,20.58,0.072,"[-0.22, 0.36]",0.6172,0.29,0.81384,sem diferença clara,False,Passes certos (%),Distância média da própria finalização (m),0.024,0.83591,False
sem,construcao,dist_remate,passe_longo_pct,clube-temporada,"correlação de posto com o alvo (Spearman), sinal alinhado",52,52,32,32,11.876,20.58,0.016,"[-0.29, 0.32]",0.9318,0.305,0.9318,sem diferença clara,False,Passe longo (% dos passes),Distância média da própria finalização (m),0.07,0.53579,False
sem,construcao,dist_remate,compr_passe,clube-temporada,"correlação de posto com o alvo (Spearman), sinal alinhado",52,52,32,32,20.36,20.58,-0.058,"[-0.36, 0.23]",0.6782,0.295,0.81384,sem diferença clara,False,Comprimento médio do passe (m),Distância média da própria finalização (m),-0.035,0.75832,False
sem,construcao,dist_remate,passes_progressivos,clube-temporada,"correlação de posto com o alvo (Spearman), sinal alinhado",52,52,32,32,67.303,20.58,0.19,"[-0.09, 0.45]",0.185,0.27,0.555,sem diferença clara,False,Passes progressivos por jogo,Distância média da própria finalização (m),0.143,0.20478,False
sem,construcao,dist_remate,passes_terco_final,clube-temporada,"correlação de posto com o alvo (Spearman), sinal alinhado",52,52,32,32,51.158,20.58,0.21,"[-0.07, 0.47]",0.1326,0.27,0.555,sem diferença clara,False,Passes para o terço final por jogo,Distância média da própria finalização (m),0.153,0.17405,False
sem,como_ataca,dist_remate,atq_posicional,clube-temporada,"correlação de posto com o alvo (Spearman), sinal alinhado",52,52,32,32,27.711,20.58,0.176,"[-0.09, 0.45]",0.1984,0.27,0.261,sem diferença clara,False,Ataques posicionais por jogo,Distância média da própria finalização (m),0.214,0.05721,False
sem,como_ataca,dist_remate,contra_ataques,clube-temporada,"correlação de posto com o alvo (Spearman), sinal alinhado",52,52,32,32,1.026,20.58,0.218,"[-0.06, 0.48]",0.1228,0.27,0.2456,sem diferença clara,False,Contra-ataques por jogo,Distância média da própria finalização (m),0.017,0.87792,False
