fronteira,familia,comparacao,indicador,citado,n_a,n_b,cru_a,cru_b,d,ic95_d,p,d_minimo_80,q,selo,poder_suficiente,setor,subamostra,unidade,medida_nome,nome
com,para_a_area,SM,runs_penalty_area_p30tip,0,23,76,9.08,8.85,0.041,"[-0.48, 0.59]",0.86026,0.67,0.86026,sem diferença clara,False,Atacante,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),"Corridas para a grande área, por 30 min de posse"
com,para_a_area,SM,runs_dangerous_p30tip,0,23,76,18.95,19.855,0.062,"[-0.52, 0.63]",0.78412,0.67,0.86026,sem diferença clara,False,Atacante,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),"Corridas perigosas, por 30 min de posse"
com,para_a_area,SM,runs_shot_within_10s_p30tip,0,23,76,1.5,1.37,0.374,"[-0.13, 0.89]",0.10886,0.67,0.32657,sem diferença clara,False,Atacante,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),"Corridas que viraram finalização em 10 s, por 30 min de posse"
com,para_a_area,CM,runs_penalty_area_p30tip,0,24,76,7.135,8.85,-0.52,"[-1.04, 0.02]",0.02993,0.66,0.07836,pode ser sorte,False,Atacante,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),"Corridas para a grande área, por 30 min de posse"
com,para_a_area,CM,runs_dangerous_p30tip,0,24,76,17.055,19.855,-0.472,"[-1.05, 0.08]",0.05224,0.66,0.07836,sem diferença clara,False,Atacante,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),"Corridas perigosas, por 30 min de posse"
com,para_a_area,CM,runs_shot_within_10s_p30tip,0,24,76,1.48,1.37,0.224,"[-0.3, 0.73]",0.36723,0.66,0.36723,sem diferença clara,False,Atacante,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),"Corridas que viraram finalização em 10 s, por 30 min de posse"
com,procurado,SM,runs_targeted_p30tip,0,23,76,11.07,10.775,0.118,"[-0.38, 0.62]",0.6245,0.67,0.6245,sem diferença clara,False,Atacante,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),"Corridas em que o passe foi tentado, por 30 min de posse"
com,procurado,SM,runs_received_p30tip,0,23,76,5.88,6.285,-0.135,"[-0.58, 0.34]",0.57059,0.67,0.6245,sem diferença clara,False,Atacante,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),"Corridas em que a bola chegou, por 30 min de posse"
com,procurado,CM,runs_targeted_p30tip,0,24,76,10.735,10.775,0.108,"[-0.33, 0.52]",0.66981,0.66,0.77105,sem diferença clara,False,Atacante,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),"Corridas em que o passe foi tentado, por 30 min de posse"
com,procurado,CM,runs_received_p30tip,0,24,76,6.665,6.285,0.078,"[-0.33, 0.44]",0.77105,0.66,0.77105,sem diferença clara,False,Atacante,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),"Corridas em que a bola chegou, por 30 min de posse"
