setor,posicao,jogador,clube,idade,minutos,jogos,fatia_pct,temporadas_com_dado,lesao_dias,lesao_jogos,lesao_n,estrangeiro,dupla_nacionalidade,tem_fisico,indicadores_com_dado,violados,atende_perfil,atende_fisico,atende_duelo_corpo,atende_estilo_tecnico,id_tm,contrato_confirmado,pk_app,motivo_sem_par
Meia,RAMF,Bruno José,Atlético-GO,28.0,960.0,21.0,36.0,2,0,0,0,False,False,True,6,3,False,True,False,False,644210,true,Bruno José - Atlético GO - Brasil B,
Meia,RAMF,Júnior Todinho,Náutico,32.0,710.0,14.0,26.4,3,26.0,5.0,1,False,False,True,0,0,,,,,518080,true,Júnior Todinho - Náutico - Brasil B,
Extremo,LW,Dadá Belmonte,CRB,29.0,2285.0,25.0,84.3,2,0,0,0,False,False,True,6,4,False,False,False,False,546253,true,Dadá Belmonte - CRB - Brasil B,
Extremo,RWF,Rómulo Otero,Criciúma,33.0,1477.0,23.0,56.7,2,0,0,0,True,False,True,6,2,False,False,True,True,177680,true,Rómulo Otero - Criciúma - Brasil B,
Extremo,LWF,Aylon,Operário-PR,34.0,1431.0,23.0,52.6,2,0,0,0,False,False,True,6,4,False,False,False,False,329845,true,Aylon - Operário PR - Brasil B,
Extremo,LW,Paulinho Moccelin,Londrina,32.0,1117.0,21.0,39.9,2,0,0,0,False,False,True,6,5,False,False,False,False,282502,true,Paulinho Moccelin - Londrina - Brasil B,
Extremo,RW,Douglas Baggio,CRB,31.0,851.0,20.0,31.4,3,0,0,0,False,False,True,0,0,,,,,191872,true,Douglas Baggio - CRB - Brasil B,
Extremo,RW,Welliton Matheus,Fortaleza,26.0,703.0,19.0,25.6,3,0,0,0,False,False,True,0,0,,,,,,false,,não achei este nome na base do app
Atacante,CF,Robson,Novorizontino,35.0,2272.0,26.0,81.0,3,0,0,0,False,False,True,6,2,False,False,False,True,161188,true,Robson - Grêmio Novorizontino - Brasil B,
Atacante,CF,Waguininho,Criciúma,36.0,1881.0,25.0,72.2,3,0,0,0,False,False,True,6,3,False,False,False,True,346923,true,Waguininho - Criciúma - Brasil B,
Atacante,CF,Gustavo Coutinho,Atlético-GO,27.0,1728.0,22.0,64.9,3,0,0,0,False,False,True,6,2,False,True,False,False,612340,false,Gustavo Coutinho - Atlético GO - Brasil B,
Atacante,CF,Hygor,Botafogo-SP,34.0,1584.0,20.0,58.0,3,0,0,0,False,False,True,6,1,False,True,True,False,419474,true,Hygor - Botafogo SP - Brasil B,
Atacante,CF,William Pottker,Londrina,32.0,1425.0,19.0,50.9,3,0,0,0,False,False,True,6,0,True,True,True,True,199472,true,William Pottker - Londrina - Brasil B,
Atacante,CF,Rodrigo Rodrigues,Cuiabá,26.0,1418.0,24.0,52.5,3,120.0,34.0,1,False,False,False,4,0,True,,True,True,537928,true,Rodrigo Rodrigues - Cuiabá - Brasil B,
Atacante,CF,Anselmo Ramon,Goiás,38.0,1331.0,22.0,49.3,3,0,0,0,False,False,True,6,2,False,False,True,True,118007,true,Anselmo Ramon - Goiás - Brasil B,
Atacante,CF,Willian,América-MG,39.0,1234.0,22.0,46.0,3,0,0,0,False,False,True,6,3,False,False,False,True,,false,,"homônimo sem desempate: Grêmio, Guarani"
