subamostra,setor,comparacao,fronteira,familia,indicador,nome,n_a,n_b,clubes_a,clubes_b,pct_a,pct_b,cru_a,cru_b,d,ic95_lo,ic95_hi,p,q,d_minimo_80,poder_suficiente,selo,passou_bh,passou_bh_nos_dois_cortes,confianca_do_achado
todos,Zaga,CM,com,alta_intensidade,hsr_distance_p90,Distância em corrida de alta velocidade por 90 (m),28,81,15,25,37.5,50.9,301.16,309.77,-0.242,-0.82,0.24,0.27472,0.58773,0.62,False,sem diferença clara,False,False,não separa (poder insuficiente)
todos,Zaga,CM,com,alta_intensidade,high_accel_p90,Acelerações fortes por 90,28,81,15,25,52.5,45.6,4.825,4.76,0.064,-0.39,0.52,0.77679,0.77679,0.62,False,sem diferença clara,False,False,não separa (poder insuficiente)
todos,Zaga,CM,com,alta_intensidade,hi_distance_p30tip,Alta intensidade por 30 min COM a bola (m),28,81,15,25,44.2,50.0,126.23,125.91,-0.199,-0.7,0.33,0.38214,0.58773,0.62,False,sem diferença clara,False,False,não separa (poder insuficiente)
todos,Zaga,CM,com,alta_intensidade,hi_distance_p30otip,Alta intensidade por 30 min SEM a bola (m),28,81,15,25,42.5,50.0,325.165,329.8,-0.258,-0.72,0.17,0.21349,0.58773,0.62,False,sem diferença clara,False,False,não separa (poder insuficiente)
todos,Zaga,ST,com,alta_intensidade,hi_distance_p90,Distância em alta intensidade por 90 (m),25,29,15,11,52.6,40.0,401.38,406.77,-0.144,-0.82,0.61,0.60053,0.73549,0.78,False,sem diferença clara,False,False,não separa (poder insuficiente)
todos,Zaga,ST,com,alta_intensidade,hi_count_p90,Ações em alta intensidade por 90,25,29,15,11,55.0,46.7,34.56,33.37,-0.106,-0.82,0.62,0.69937,0.73549,0.78,False,sem diferença clara,False,False,não separa (poder insuficiente)
todos,Zaga,ST,com,alta_intensidade,hsr_distance_p90,Distância em corrida de alta velocidade por 90 (m),25,29,15,11,48.3,43.3,303.87,303.65,-0.093,-0.78,0.64,0.73549,0.73549,0.78,False,sem diferença clara,False,False,não separa (poder insuficiente)
todos,Zaga,ST,com,alta_intensidade,high_accel_p90,Acelerações fortes por 90,25,29,15,11,47.5,36.7,4.92,4.76,0.28,-0.2,0.87,0.30693,0.73549,0.78,False,sem diferença clara,False,False,não separa (poder insuficiente)
todos,Zaga,ST,com,alta_intensidade,hi_distance_p30tip,Alta intensidade por 30 min COM a bola (m),25,29,15,11,58.3,50.0,137.49,131.94,-0.101,-0.71,0.54,0.7141,0.73549,0.78,False,sem diferença clara,False,False,não separa (poder insuficiente)
todos,Zaga,ST,com,alta_intensidade,hi_distance_p30otip,Alta intensidade por 30 min SEM a bola (m),25,29,15,11,58.3,48.3,332.79,341.73,-0.127,-0.9,0.64,0.64569,0.73549,0.78,False,sem diferença clara,False,False,não separa (poder insuficiente)
todos,Zaga,SM,com,sprints,sprint_distance_p90,Distância em sprint por 90 (m),25,81,15,25,48.3,47.9,96.85,94.87,-0.211,-0.7,0.29,0.36464,0.74469,0.65,False,sem diferença clara,False,False,não separa (poder insuficiente)
todos,Zaga,SM,com,sprints,sprint_count_p90,Número de sprints por 90,25,81,15,25,54.4,48.3,5.03,5.0,-0.141,-0.59,0.3,0.54132,0.74469,0.65,False,sem diferença clara,False,False,não separa (poder insuficiente)
todos,Zaga,SM,com,sprints,sprint_count_p30tip,Sprints por 30 min COM a bola,25,81,15,25,51.7,49.1,1.23,1.17,-0.078,-0.54,0.4,0.74469,0.74469,0.65,False,sem diferença clara,False,False,não separa (poder insuficiente)
todos,Zaga,SM,com,sprints,sprint_count_p30otip,Sprints por 30 min SEM a bola,25,81,15,25,48.3,49.1,3.74,3.73,-0.129,-0.62,0.38,0.58115,0.74469,0.65,False,sem diferença clara,False,False,não separa (poder insuficiente)
todos,Zaga,CM,com,sprints,sprint_distance_p90,Distância em sprint por 90 (m),28,81,15,25,38.4,47.9,85.49,94.87,-0.166,-0.61,0.29,0.47176,0.62901,0.62,False,sem diferença clara,False,False,não separa (poder insuficiente)
