fronteira,familia,comparacao,indicador,citado,n_a,n_b,cru_a,cru_b,d,ic95_d,p,d_minimo_80,q,selo,poder_suficiente,q_de,nome,placar_redescrito
com,regua_G,SM,duelos_aereos_pct,1,16,48,45.54,46.147,-0.051,"[-0.54, 0.49]",0.84466,0.82,0.84466,sem diferença clara,False,A06,"Duelos aéreos ganhos, %",False
com,regua_G,SM,cruzamentos,0,16,48,15.632,15.868,0.083,"[-0.53, 0.73]",0.78076,0.82,0.78076,sem diferença clara,False,,Cruzamentos por jogo,False
com,regua_G,SM,tm_altura,0,16,48,1.814,1.809,0.614,"[0.04, 1.24]",0.04781,0.82,0.09561,pode ser sorte,False,,Altura média do elenco (cm),False
com,regua_G,ST,duelos_aereos_pct,1,16,16,45.54,47.597,-1.048,"[-1.95, -0.35]",0.0062,1.02,0.01241,firme,True,A06,"Duelos aéreos ganhos, %",False
com,regua_G,ST,cruzamentos,0,16,16,15.632,17.026,-0.512,"[-1.36, 0.23]",0.15808,1.02,0.15808,sem diferença clara,False,,Cruzamentos por jogo,False
com,regua_G,ST,tm_altura,0,16,16,1.814,1.806,0.896,"[0.26, 1.83]",0.01691,1.02,0.03383,firme,False,,Altura média do elenco (cm),False
com,regua_G,CM,duelos_aereos_pct,0,16,48,44.343,46.147,-0.8,"[-1.4, -0.21]",0.00421,0.82,0.01262,firme,False,,"Duelos aéreos ganhos, %",False
com,regua_G,CM,cruzamentos,0,16,48,14.145,15.868,-0.462,"[-1.13, 0.13]",0.14163,0.82,0.21245,sem diferença clara,False,,Cruzamentos por jogo,False
com,regua_G,CM,tm_altura,0,16,48,1.809,1.809,0.144,"[-0.4, 0.72]",0.60683,0.82,0.60683,sem diferença clara,False,,Altura média do elenco (cm),False
sem,gol_bp,SM,bp_pro_90,0,8,32,0.408,0.316,0.718,"[-0.17, 1.75]",0.11756,1.14,0.29391,sem diferença clara,False,,"Gols de bola parada feitos, por jogo",True
sem,gol_bp,SM,bp_sof_90,0,8,32,0.276,0.368,0.56,"[-0.29, 1.45]",0.20971,1.14,0.34951,sem diferença clara,False,,"Gols de bola parada sofridos, por jogo",True
sem,gol_bp,SM,bp_pro_pct,0,8,32,36.149,33.289,0.069,"[-0.78, 0.86]",0.86141,1.14,0.86141,sem diferença clara,False,,% dos gols feitos que vieram de bola parada,True
sem,gol_bp,SM,bp_sof_pct,0,8,32,34.591,34.629,0.113,"[-0.82, 1.02]",0.79827,1.14,0.86141,sem diferença clara,False,,% dos gols sofridos que vieram de bola parada,True
sem,gol_bp,SM,bp_saldo_90,0,8,32,0.145,0.0,1.231,"[0.34, 2.3]",0.01068,1.14,0.05339,pode ser sorte,True,,Saldo de bola parada por jogo,True
sem,gol_bp,ST,bp_pro_90,0,8,7,0.408,0.316,0.746,"[-0.32, 2.41]",0.17316,1.57,0.43289,sem diferença clara,False,,"Gols de bola parada feitos, por jogo",True
sem,gol_bp,ST,bp_sof_90,0,8,7,0.276,0.263,-0.143,"[-1.32, 1.04]",0.78532,1.57,0.78532,sem diferença clara,False,,"Gols de bola parada sofridos, por jogo",True
sem,gol_bp,ST,bp_pro_pct,0,8,7,36.149,28.889,0.56,"[-0.48, 2.13]",0.29394,1.57,0.4899,sem diferença clara,False,,% dos gols feitos que vieram de bola parada,True
sem,gol_bp,ST,bp_sof_pct,0,8,7,34.591,29.032,-0.324,"[-1.82, 0.71]",0.54102,1.57,0.67627,sem diferença clara,False,,% dos gols sofridos que vieram de bola parada,True
sem,gol_bp,ST,bp_saldo_90,0,8,7,0.145,0.053,0.869,"[-0.18, 4.4]",0.11024,1.57,0.43289,sem diferença clara,False,,Saldo de bola parada por jogo,True
sem,gol_bp,CM,bp_pro_90,0,12,32,0.276,0.316,-0.776,"[-1.45, -0.18]",0.02243,0.97,0.03738,firme,False,,"Gols de bola parada feitos, por jogo",True
sem,gol_bp,CM,bp_sof_90,0,12,32,0.461,0.368,-0.83,"[-1.66, -0.19]",0.01184,0.97,0.02959,firme,False,,"Gols de bola parada sofridos, por jogo",True
sem,gol_bp,CM,bp_pro_pct,0,12,32,32.893,33.289,0.208,"[-0.47, 0.87]",0.5283,0.97,0.5283,sem diferença clara,False,,% dos gols feitos que vieram de bola parada,True
sem,gol_bp,CM,bp_sof_pct,0,12,32,32.192,34.629,0.215,"[-0.55, 0.95]",0.48726,0.97,0.5283,sem diferença clara,False,,% dos gols sofridos que vieram de bola parada,True
sem,gol_bp,CM,bp_saldo_90,0,12,32,-0.184,0.0,-0.969,"[-1.7, -0.44]",0.00314,0.97,0.01572,firme,False,,Saldo de bola parada por jogo,True
sem,processo,SM,bolas_paradas,0,8,32,27.579,28.0,-0.45,"[-1.41, 0.45]",0.30561,1.14,0.40565,sem diferença clara,False,,Bolas paradas por jogo,False
sem,processo,SM,cantos,0,8,32,5.368,5.105,0.592,"[-0.1, 1.36]",0.11447,1.14,0.28617,sem diferença clara,False,,Escanteios por jogo,False
sem,processo,SM,cantos_remates,0,8,32,1.553,1.461,0.226,"[-0.49, 0.99]",0.5572,1.14,0.5572,sem diferença clara,False,,Finalizações de escanteio por jogo,False
sem,processo,SM,livres_remates,0,8,32,0.605,0.658,-0.404,"[-1.35, 0.38]",0.32452,1.14,0.40565,sem diferença clara,False,,Finalizações de falta por jogo,False
sem,processo,SM,bp_conv,0,8,32,13.474,12.951,0.661,"[-0.01, 1.34]",0.07907,1.14,0.28617,sem diferença clara,False,,Conversão de bola parada,False
sem,processo,ST,bolas_paradas,0,8,7,27.579,27.947,-0.422,"[-1.79, 0.68]",0.43033,1.57,0.74515,sem diferença clara,False,,Bolas paradas por jogo,False
sem,processo,ST,cantos,0,8,7,5.368,5.211,0.283,"[-0.86, 1.69]",0.60238,1.57,0.74515,sem diferença clara,False,,Escanteios por jogo,False
sem,processo,ST,cantos_remates,0,8,7,1.553,1.579,-0.175,"[-1.6, 0.91]",0.74515,1.57,0.74515,sem diferença clara,False,,Finalizações de escanteio por jogo,False
sem,processo,ST,livres_remates,0,8,7,0.605,0.737,-0.499,"[-2.0, 0.53]",0.35497,1.57,0.74515,sem diferença clara,False,,Finalizações de falta por jogo,False
sem,processo,ST,bp_conv,0,8,7,13.474,13.784,-0.239,"[-1.88, 0.88]",0.65366,1.57,0.74515,sem diferença clara,False,,Conversão de bola parada,False
sem,processo,CM,bolas_paradas,0,12,32,28.303,28.0,0.238,"[-0.47, 1.02]",0.49092,0.97,0.61365,sem diferença clara,False,,Bolas paradas por jogo,False
sem,processo,CM,cantos,0,12,32,5.026,5.105,-0.094,"[-0.9, 0.71]",0.79148,0.97,0.79148,sem diferença clara,False,,Escanteios por jogo,False
sem,processo,CM,cantos_remates,0,12,32,1.421,1.461,-0.269,"[-0.93, 0.51]",0.43802,0.97,0.61365,sem diferença clara,False,,Finalizações de escanteio por jogo,False
sem,processo,CM,livres_remates,0,12,32,0.605,0.658,-0.435,"[-1.06, 0.11]",0.16523,0.97,0.41306,sem diferença clara,False,,Finalizações de falta por jogo,False
sem,processo,CM,bp_conv,0,12,32,12.097,12.951,-0.615,"[-1.41, 0.08]",0.08911,0.97,0.41306,sem diferença clara,False,,Conversão de bola parada,False
sem,regua_G,SM,duelos_aereos_pct,1,8,32,46.571,46.485,0.189,"[-0.53, 0.86]",0.58867,1.14,0.58867,sem diferença clara,False,A06,"Duelos aéreos ganhos, %",False
sem,regua_G,SM,cruzamentos,0,8,32,16.184,15.263,0.526,"[-0.16, 1.31]",0.17112,1.14,0.1768,sem diferença clara,False,,Cruzamentos por jogo,False
sem,regua_G,SM,tm_altura,0,8,32,1.814,1.81,0.599,"[-0.22, 1.5]",0.1768,1.14,0.1768,sem diferença clara,False,,Altura média do elenco (cm),False
sem,regua_G,ST,duelos_aereos_pct,1,8,7,46.571,48.302,-0.738,"[-1.94, 0.24]",0.16755,1.57,0.16755,sem diferença clara,False,A06,"Duelos aéreos ganhos, %",False
sem,regua_G,ST,cruzamentos,0,8,7,16.184,15.947,0.008,"[-1.43, 1.12]",0.98767,1.57,0.98767,sem diferença clara,False,,Cruzamentos por jogo,False
sem,regua_G,ST,tm_altura,0,8,7,1.814,1.804,1.074,"[0.08, 4.81]",0.0536,1.57,0.10721,sem diferença clara,False,,Altura média do elenco (cm),False
sem,regua_G,CM,duelos_aereos_pct,0,12,32,43.517,46.485,-1.156,"[-1.99, -0.52]",0.0004,0.97,0.00121,firme,True,,"Duelos aéreos ganhos, %",False
sem,regua_G,CM,cruzamentos,0,12,32,14.145,15.263,-0.342,"[-1.04, 0.28]",0.33471,0.97,0.50206,sem diferença clara,False,,Cruzamentos por jogo,False
sem,regua_G,CM,tm_altura,0,12,32,1.81,1.81,0.068,"[-0.65, 0.79]",0.83762,0.97,0.83762,sem diferença clara,False,,Altura média do elenco (cm),False
