treinador,clube,clube_wyscout,id_clube,temporada,interino,em_curso,inicio,fim,rodadas,rodada_1a,rodada_ultima,rodadas_no_ano,jogos_tm_todas_competicoes,ppj_tm_todas_competicoes,fim_inferido
Fábio Matias,Coritiba FC,Coritiba,776,2024,0,0,2024-06-13,2024-07-24,8,10,17,38,8,0.75,0
Jorginho,Coritiba FC,Coritiba,776,2024,0,0,2024-07-27,2024-11-13,19,18,36,38,18,1.50,0
Guila Bossle,Coritiba FC,Coritiba,776,2024,0,0,2024-11-14,2024-11-29,2,37,38,38,2,0.00,0
Mozart,Coritiba FC,Coritiba,776,2025,0,0,2024-12-04,2025-11-28,38,1,38,38,46,1.78,0
Argel Fuchs,Criciúma EC,Criciúma,7178,2018,0,0,2018-02-22,2018-05-09,5,1,5,38,15,1.13,0
Mazola Júnior,Criciúma EC,Criciúma,7178,2018,0,0,2018-05-12,2018-12-02,33,6,38,38,33,1.42,0
Gilson Kleina,Criciúma EC,Criciúma,7178,2019,0,0,2019-03-18,2019-08-05,14,1,14,38,22,1.05,0
Wilsão,Criciúma EC,Criciúma,7178,2019,1,0,2019-08-09,2019-08-29,5,15,19,38,5,1.60,0
Waguinho Dias,Criciúma EC,Criciúma,7178,2019,0,0,2019-08-29,2019-09-26,5,20,24,38,5,0.40,0
Roberto Cavalo,Criciúma EC,Criciúma,7178,2019,0,0,2019-09-27,2020-10-07,14,25,38,38,36,1.17,0
Claudio Tencati,Criciúma EC,Criciúma,7178,2022,0,0,2021-10-07,2024-12-31,38,1,38,38,160,1.49,0
Claudio Tencati,Criciúma EC,Criciúma,7178,2023,0,0,2021-10-07,2024-12-31,38,1,38,38,160,1.49,0
Zé Ricardo,Criciúma EC,Criciúma,7178,2025,0,0,2025-01-01,2025-05-05,6,1,6,38,21,1.62,0
Eduardo Baptista,Criciúma EC,Criciúma,7178,2025,0,1,2025-05-07,,32,7,38,38,74,1.69,0
Eduardo Baptista,Criciúma EC,Criciúma,7178,2026,0,1,2025-05-07,,26,1,26,26,74,1.69,0
Enderson Moreira,Cruzeiro EC,Cruzeiro,609,2020,0,0,2020-03-23,2020-09-08,8,1,8,32,12,1.75,0
Ney Franco,Cruzeiro EC,Cruzeiro,609,2020,0,0,2020-09-10,2020-10-11,7,9,15,32,7,1.00,0
Célio Lúcio,Cruzeiro EC,Cruzeiro,609,2020,1,0,2020-10-15,2020-10-19,1,16,16,32,1,1.00,0
Luiz Felipe Scolari,Cruzeiro EC,Cruzeiro,609,2020,0,0,2020-10-19,2021-01-25,16,17,32,32,20,1.60,0
Luiz Felipe Scolari,Cruzeiro EC,Cruzeiro,609,2021,0,0,2020-10-19,2021-01-25,5,1,5,44,20,1.60,0
Célio Lúcio,Cruzeiro EC,Cruzeiro,609,2021,1,0,2021-01-26,2021-01-31,1,6,6,44,1,1.00,0
Felipe Conceição,Cruzeiro EC,Cruzeiro,609,2021,0,0,2021-02-01,2021-06-10,2,7,8,44,19,1.42,0
Mozart,Cruzeiro EC,Cruzeiro,609,2021,0,0,2021-06-11,2021-08-01,13,9,21,44,13,1.00,0
Vanderlei Luxemburgo,Cruzeiro EC,Cruzeiro,609,2021,0,0,2021-08-06,2021-12-28,23,22,44,44,23,1.52,0
Paulo Pezzolano,Cruzeiro EC,Cruzeiro,609,2022,0,0,2022-01-04,2023-03-19,38,1,38,38,68,1.87,0
Itamar Schulle,Cuiabá EC,Cuiabá,28022,2019,0,0,2017-11-29,2019-10-13,26,1,26,37,65,1.45,0
Eduardo Henrique,Cuiabá EC,Cuiabá,28022,2019,1,0,2019-10-14,2019-10-15,1,27,27,37,1,0.00,0
Marcelo Chamusca,Cuiabá EC,Cuiabá,28022,2019,0,0,2019-10-15,2020-11-12,10,28,37,37,43,1.91,0
Marcelo Chamusca,Cuiabá EC,Cuiabá,28022,2020,0,0,2019-10-15,2020-11-12,20,1,20,32,43,1.91,0
Franco Muller,Cuiabá EC,Cuiabá,28022,2020,1,0,2020-11-13,2020-11-16,1,21,21,32,1,1.00,0
Allan Aal,Cuiabá EC,Cuiabá,28022,2020,0,0,2020-11-16,2021-02-01,9,22,32,32,19,1.42,0
Mário Henrique,Cuiabá EC,Cuiabá,28022,2020,0,0,2020-12-04,2020-12-10,2,26,27,32,2,1.50,0
Allan Aal,Cuiabá EC,Cuiabá,28022,2021,0,0,2020-11-16,2021-02-01,6,1,6,6,19,1.42,0
Guto Ferreira,Cuiabá EC,Cuiabá,28022,2025,0,0,2025-02-21,2025-08-10,21,1,21,38,26,1.65,0
Eduardo Barros,Cuiabá EC,Cuiabá,28022,2025,0,1,2025-08-13,,17,22,38,38,55,1.36,0
Eduardo Barros,Cuiabá EC,Cuiabá,28022,2026,0,1,2025-08-13,,23,1,27,27,55,1.36,0
Gustavo Almeida,Cuiabá EC,Cuiabá,28022,2026,1,0,2026-04-03,2026-04-05,1,3,3,27,1,0.00,0
Lucas Silveira,Cuiabá EC,Cuiabá,28022,2026,1,0,2026-04-06,2026-04-30,3,4,6,27,2,0.00,0
Guto Ferreira,EC Bahia,Bahia,10010,2022,0,0,2021-10-08,2022-06-26,14,1,14,38,49,1.51,0
Enderson Moreira,EC Bahia,Bahia,10010,2022,0,0,2022-07-01,2022-10-01,17,16,32,38,18,1.33,0
Eduardo Barroca,EC Bahia,Bahia,10010,2022,0,0,2022-10-03,2022-12-06,6,33,38,38,6,1.67,0
Julinho Camargo,EC Juventude,Juventude,10492,2018,0,0,2018-02-26,2018-08-26,23,1,23,38,26,1.19,0
Luiz Carlos Winck,EC Juventude,Juventude,10492,2018,0,0,2018-08-27,2019-03-09,15,24,38,38,26,0.92,0
Pintado,EC Juventude,Juventude,10492,2020,0,0,2020-07-08,2021-02-01,32,1,32,32,46,1.59,0
Pintado,EC Juventude,Juventude,10492,2021,0,0,2020-07-08,2021-02-01,6,1,6,6,46,1.59,0
Pintado,EC Juventude,Juventude,10492,2023,0,0,2023-04-12,2023-05-08,5,1,5,38,5,0.60,0
Adaílton,EC Juventude,Juventude,10492,2023,1,0,2023-05-11,2023-05-16,1,6,6,38,1,0.00,0
Thiago Carpini,EC Juventude,Juventude,10492,2023,0,0,2023-05-17,2024-01-11,32,7,38,38,32,1.94,0
Maurício Barbieri,EC Juventude,Juventude,10492,2026,0,1,2025-12-11,,24,1,27,27,44,1.66,0
Gerson Ramos,EC Juventude,Juventude,10492,2026,1,0,2026-04-14,2026-05-08,3,5,7,27,3,1.33,0
Paulo Roberto Santos,EC São Bento,São Bento,8433,2018,0,0,2013-11-01,2018-06-25,12,1,12,38,110,1.53,0
Diego Mura,EC São Bento,São Bento,8433,2018,1,0,2018-06-28,2018-07-02,1,13,13,38,1,0.00,0
Edison Borges,EC São Bento,São Bento,8433,2018,1,0,2018-07-02,2018-07-06,1,14,14,38,1,0.00,0
Marquinhos Santos,EC São Bento,São Bento,8433,2018,0,0,2018-06-28,2019-02-10,24,15,38,38,30,1.10,0
Doriva,EC São Bento,São Bento,8433,2019,0,0,2019-03-20,2019-08-29,19,1,19,38,20,1.10,0
Luizinho Rangel,EC São Bento,São Bento,8433,2019,1,0,2019-08-30,2019-09-04,1,20,20,38,1,0.00,0
Milton Mendes,EC São Bento,São Bento,8433,2019,0,0,2019-09-05,2019-11-03,12,21,32,38,12,0.83,0
Marcelo Cordeiro,EC São Bento,São Bento,8433,2019,1,0,2019-11-06,2019-12-02,6,33,38,38,6,1.67,0
Claudio Tencati,EC Vitória,Vitória,2125,2019,0,0,2019-03-19,2019-05-19,4,1,4,38,7,0.71,0
Osmar Loss,EC Vitória,Vitória,2125,2019,0,0,2019-05-21,2019-08-04,10,5,14,38,10,0.80,0
Carlos Amadeu,EC Vitória,Vitória,2125,2019,0,0,2019-08-06,2019-09-19,9,15,23,38,9,1.44,0
Geninho,EC Vitória,Vitória,2125,2019,0,0,2019-09-23,2020-06-20,15,24,38,38,25,1.52,0
Bruno Pivetti,EC Vitória,Vitória,2125,2020,0,0,2020-06-20,2020-10-07,14,1,14,31,19,1.11,0
Eduardo Barroca,EC Vitória,Vitória,2125,2020,0,0,2020-10-09,2020-11-27,9,15,23,31,9,0.89,0
Rodrigo Chagas,EC Vitória,Vitória,2125,2020,1,0,2020-11-26,2020-12-09,4,24,27,31,4,1.75,0
Mazola Júnior,EC Vitória,Vitória,2125,2020,0,0,2020-12-10,2020-12-23,4,28,31,31,4,0.75,0
Rodrigo Chagas,EC Vitória,Vitória,2125,2021,0,0,2020-12-23,2021-06-08,9,1,9,45,30,1.53,0
Ramon Menezes,EC Vitória,Vitória,2125,2021,0,0,2021-06-09,2021-08-05,13,10,22,45,16,0.94,0
Wagner Lopes,EC Vitória,Vitória,2125,2021,0,0,2021-08-13,2021-12-15,21,25,45,45,24,1.25,0
Léo Condé,EC Vitória,Vitória,2125,2023,0,0,2023-02-10,2024-05-14,38,1,38,38,74,1.66,0
Vinícius,Ferroviária,Ferroviária,15882,2025,0,0,2025-02-17,2025-09-15,25,1,25,38,25,1.24,0
Daniel Azambuja,Ferroviária,Ferroviária,15882,2025,1,0,2025-09-19,2025-11-24,12,27,38,38,3,0.33,0
Milton Cruz,Figueirense FC,Figueirense,4064,2018,0,0,2017-08-08,2018-09-10,26,1,26,38,68,1.63,0
Rogério Micale,Figueirense FC,Figueirense,4064,2018,0,0,2018-09-10,2018-11-28,12,27,38,38,12,0.67,0
Hemerson Maria,Figueirense FC,Figueirense,4064,2019,0,0,2018-11-29,2019-07-29,12,1,12,37,33,1.61,0
Marcio Coelho,Figueirense FC,Figueirense,4064,2019,1,0,2019-07-29,2019-08-03,1,13,13,37,1,1.00,0
Evandro,Figueirense FC,Figueirense,4064,2019,1,0,2019-08-03,2019-08-07,1,14,14,37,1,1.00,0
Vinícius Eutrópio,Figueirense FC,Figueirense,4064,2019,0,0,2019-08-08,2019-09-17,7,15,21,37,8,0.25,0
Marcio Coelho,Figueirense FC,Figueirense,4064,2019,0,0,2019-09-18,2020-08-27,7,22,28,37,26,1.42,0
Pintado,Figueirense FC,Figueirense,4064,2019,0,0,2019-10-17,2019-12-31,9,29,37,37,9,1.44,0
Marcio Coelho,Figueirense FC,Figueirense,4064,2020,0,0,2019-09-18,2020-08-27,4,1,4,31,26,1.42,0
Elano,Figueirense FC,Figueirense,4064,2020,0,0,2020-08-28,2020-11-13,17,5,21,31,17,0.88,0
Jorginho Cantinflas,Figueirense FC,Figueirense,4064,2020,0,0,2020-11-19,2021-11-18,10,22,31,31,47,1.26,0
Jorginho Cantinflas,Figueirense FC,Figueirense,4064,2021,0,0,2020-11-19,2021-11-18,7,1,7,7,47,1.26,0
Rogério Ceni,Fortaleza EC,Fortaleza,10870,2018,0,0,2017-11-10,2019-08-11,38,1,38,38,94,1.82,0
Thiago Carpini,Fortaleza EC,Fortaleza,10870,2026,0,0,2025-12-11,2026-07-23,19,1,19,27,41,1.93,0
Paulo Autuori,Fortaleza EC,Fortaleza,10870,2026,0,1,2026-07-30,,7,21,27,27,9,1.56,0
Clemer,GE Brasil,Brasil de Pelotas,10560,2018,0,0,2017-07-21,2018-06-17,11,1,11,38,51,1.43,0
Gustavo Papa,GE Brasil,Brasil de Pelotas,10560,2018,1,0,2018-06-22,2018-06-24,1,12,12,38,1,3.00,0
Gilmar Dal Pozzo,GE Brasil,Brasil de Pelotas,10560,2018,0,0,2018-06-19,2018-08-29,12,13,24,38,12,1.00,0
Rogério Zimermann,GE Brasil,Brasil de Pelotas,10560,2018,0,0,2018-08-29,2018-11-26,14,25,38,38,14,1.79,0
Rogério Zimermann,GE Brasil,Brasil de Pelotas,10560,2019,0,0,2019-03-27,2019-07-09,8,1,8,38,8,1.13,0
Gustavo Papa,GE Brasil,Brasil de Pelotas,10560,2019,1,0,2019-07-09,2019-07-16,1,9,9,38,1,3.00,0
Bolívar,GE Brasil,Brasil de Pelotas,10560,2019,0,0,2019-07-17,2019-12-03,29,10,38,38,29,1.10,0
Hemerson Maria,GE Brasil,Brasil de Pelotas,10560,2020,0,0,2020-03-30,2020-10-28,17,1,17,31,21,1.10,0
Cirilo,GE Brasil,Brasil de Pelotas,10560,2020,1,0,2020-10-30,2020-11-05,2,18,19,31,2,1.00,0
Claudio Tencati,GE Brasil,Brasil de Pelotas,10560,2020,0,0,2020-11-05,2021-07-29,12,20,31,31,43,1.19,0
Claudio Tencati,GE Brasil,Brasil de Pelotas,10560,2021,0,0,2020-11-05,2021-07-29,21,1,21,45,43,1.19,0
Cirilo,GE Brasil,Brasil de Pelotas,10560,2021,1,0,2021-07-30,2021-08-02,1,22,22,45,1,0.00,0
Cléber Gaúcho,GE Brasil,Brasil de Pelotas,10560,2021,0,0,2021-08-03,2021-09-27,11,23,33,45,11,0.36,0
Jerson Testoni,GE Brasil,Brasil de Pelotas,10560,2021,0,0,2021-09-28,2022-05-30,12,34,45,45,34,0.94,0
Hélio dos Anjos,Goiás EC,Goiás,3197,2018,0,0,2017-09-16,2018-05-06,4,1,4,38,43,1.60,0
Ney Franco,Goiás EC,Goiás,3197,2018,0,0,2018-05-06,2018-11-26,34,5,38,38,35,1.69,0
Pintado,Goiás EC,Goiás,3197,2021,0,0,2021-04-30,2021-07-18,12,1,12,38,13,1.62,0
Marcelo Cabo,Goiás EC,Goiás,3197,2021,1,0,2021-07-22,2021-10-28,19,14,32,38,19,1.58,0
Glauber Ramos,Goiás EC,Goiás,3197,2021,1,0,2021-11-01,2022-02-24,6,33,38,38,15,2.13,0
Márcio Zanardi,Goiás EC,Goiás,3197,2024,0,0,2024-04-05,2024-08-05,18,1,18,38,21,1.48,0
Vagner Mancini,Goiás EC,Goiás,3197,2024,0,0,2024-08-06,2024-12-02,20,19,38,38,21,1.86,0
Vagner Mancini,Goiás EC,Goiás,3197,2025,0,0,2025-03-26,2025-10-12,32,1,32,38,33,1.58,0
Fábio Carille,Goiás EC,Goiás,3197,2025,0,0,2025-10-15,2025-12-08,6,33,38,38,6,1.50,0
Daniel Paulista,Goiás EC,Goiás,3197,2026,0,0,2025-12-09,2026-06-24,14,1,14,27,33,1.82,0
Mozart,Goiás EC,Goiás,3197,2026,0,1,2026-06-25,,13,15,27,27,13,1.38,0
Roger Machado,Grêmio FBPA,Grêmio,210,2022,0,0,2022-02-14,2022-09-01,27,1,27,38,37,1.70,0
César Lopes,Grêmio FBPA,Grêmio,210,2022,1,0,2022-09-02,2022-09-07,1,28,28,38,1,3.00,0
Renato Gaúcho,Grêmio FBPA,Grêmio,210,2022,0,0,2022-09-08,2024-12-10,10,29,38,38,132,1.73,0
Allan Aal,Grêmio Novorizontino,Novorizontino,37474,2022,0,0,2022-02-14,2022-06-19,13,1,13,38,20,0.85,0
Rafael Guanaes,Grêmio Novorizontino,Novorizontino,37474,2022,0,0,2022-06-22,2022-09-03,15,14,28,38,15,1.27,0
Mazola Júnior,Grêmio Novorizontino,Novorizontino,37474,2022,0,0,2022-09-05,2022-11-08,10,29,38,38,10,1.10,0
Eduardo Baptista,Grêmio Novorizontino,Novorizontino,37474,2023,0,0,2022-11-16,2025-04-03,38,1,38,38,105,1.68,0
Eduardo Baptista,Grêmio Novorizontino,Novorizontino,37474,2024,0,0,2022-11-16,2025-04-03,38,1,38,38,105,1.68,0
Ben-Hur,Grêmio Novorizontino,Novorizontino,37474,2025,1,0,2025-04-04,2025-04-07,1,1,1,38,1,1.00,0
Umberto Louzer,Grêmio Novorizontino,Novorizontino,37474,2025,0,0,2025-04-04,2025-08-25,22,2,23,38,24,1.46,0
Enderson Moreira,Grêmio Novorizontino,Novorizontino,37474,2025,0,1,2025-08-26,,15,24,38,38,56,1.71,0
Enderson Moreira,Grêmio Novorizontino,Novorizontino,37474,2026,0,1,2025-08-26,,23,1,27,27,56,1.71,0
Jean Paulista,Grêmio Novorizontino,Novorizontino,37474,2026,1,0,2026-04-08,2026-05-08,4,4,7,27,4,1.75,0
Umberto Louzer,Guarani FC,Guarani,1755,2018,0,0,2018-01-03,2018-11-13,36,1,36,38,36,1.39,0
Marco Antônio,Guarani FC,Guarani,1755,2018,1,0,2018-11-14,2018-11-17,1,37,37,38,1,1.00,0
Vinícius Eutrópio,Guarani FC,Guarani,1755,2019,0,0,2019-03-22,2019-06-12,8,1,8,38,10,0.60,0
Roberto Fonseca,Guarani FC,Guarani,1755,2019,0,0,2019-06-14,2019-08-21,9,9,17,38,9,0.89,0
Thiago Carpini,Guarani FC,Guarani,1755,2019,0,0,2019-08-22,2020-09-02,21,18,38,38,43,1.33,0
Thiago Carpini,Guarani FC,Guarani,1755,2020,0,0,2019-08-22,2020-09-02,7,1,7,31,43,1.33,0
Ricardo Catalá,Guarani FC,Guarani,1755,2020,0,0,2020-09-02,2020-10-07,7,8,14,31,7,1.00,0
Felipe Conceição,Guarani FC,Guarani,1755,2020,0,0,2020-10-13,2021-01-30,16,16,31,31,23,1.48,0
Felipe Conceição,Guarani FC,Guarani,1755,2021,0,0,2020-10-13,2021-01-30,7,1,7,45,23,1.48,0
Daniel Paulista,Guarani FC,Guarani,1755,2021,0,0,2021-05-26,2022-05-04,38,8,45,45,58,1.43,0
Daniel Paulista,Guarani FC,Guarani,1755,2022,0,0,2021-05-26,2022-05-04,4,1,4,38,58,1.43,0
Ben-Hur,Guarani FC,Guarani,1755,2022,1,0,2022-05-04,2022-05-24,4,5,8,38,3,1.00,0
Marcelo Chamusca,Guarani FC,Guarani,1755,2022,0,0,2022-05-25,2022-06-26,6,9,14,38,6,0.83,0
Ben-Hur,Guarani FC,Guarani,1755,2022,1,0,2022-06-27,2022-06-30,1,15,15,38,1,0.00,0
Mozart,Guarani FC,Guarani,1755,2022,0,0,2022-07-01,2023-02-20,23,16,38,38,33,1.45,0
Bruno Pivetti,Guarani FC,Guarani,1755,2023,0,0,2023-03-30,2023-06-08,10,1,10,38,11,1.36,0
Ben-Hur,Guarani FC,Guarani,1755,2023,1,0,2023-06-08,2023-06-22,2,11,12,38,1,1.00,0
Umberto Louzer,Guarani FC,Guarani,1755,2023,0,0,2023-06-23,2024-02-09,26,13,38,38,32,1.41,0
Claudinei Oliveira,Guarani FC,Guarani,1755,2024,0,0,2024-02-12,2024-04-28,2,1,2,38,7,0.86,0
Júnior Rocha,Guarani FC,Guarani,1755,2024,0,0,2024-05-02,2024-06-10,7,3,9,38,7,0.57,0
Marcelo Cordeiro,Guarani FC,Guarani,1755,2024,1,0,2024-06-14,2024-06-20,2,10,11,38,2,0.50,0
Pintado,Guarani FC,Guarani,1755,2024,0,0,2024-06-21,2024-07-26,6,12,17,38,6,0.50,0
Marcelo Cordeiro,Guarani FC,Guarani,1755,2024,0,0,2024-07-26,2024-07-29,1,18,18,38,1,3.00,0
Allan Aal,Guarani FC,Guarani,1755,2024,0,0,2024-07-29,2024-11-29,20,19,38,38,20,1.10,0
Mazola Júnior,Ituano FC,Ituano,4773,2022,0,0,2021-06-08,2022-07-12,17,1,17,38,56,1.66,0
Carlos Pimentel,Ituano FC,Ituano,4773,2022,0,0,2022-07-15,2023-02-06,21,18,38,38,27,1.56,0
Gilmar Dal Pozzo,Ituano FC,Ituano,4773,2023,0,0,2023-02-10,2023-05-21,7,1,7,38,18,1.17,0
Douglas Leite,Ituano FC,Ituano,4773,2023,1,0,2023-05-22,2023-05-25,1,8,8,38,1,0.00,0
Marcinho,Ituano FC,Ituano,4773,2023,0,0,2023-05-26,2024-02-23,30,9,38,38,40,1.03,0
Alberto Valentim,Ituano FC,Ituano,4773,2024,0,0,2024-02-29,2024-10-20,32,1,32,38,34,0.91,0
Chico Elias,Ituano FC,Ituano,4773,2024,0,0,2024-10-22,2024-11-26,6,33,38,38,6,1.00,0
Marquinhos Santos,Londrina EC,Londrina,1693,2018,0,0,2018-03-08,2018-06-28,12,1,12,38,17,1.47,0
Sérgio Soares,Londrina EC,Londrina,1693,2018,0,0,2018-06-29,2018-08-04,7,13,19,38,7,0.86,0
Roberto Fonseca,Londrina EC,Londrina,1693,2018,0,0,2018-08-05,2018-11-27,19,20,38,38,18,1.89,0
Alemão,Londrina EC,Londrina,1693,2019,0,0,2019-04-20,2019-08-22,17,1,17,38,18,1.56,0
Claudio Tencati,Londrina EC,Londrina,1693,2019,0,0,2019-08-23,2019-09-29,8,18,25,38,8,0.38,0
Mazola Júnior,Londrina EC,Londrina,1693,2019,0,0,2019-10-01,2019-11-11,9,26,34,38,9,0.78,0
Silvinho,Londrina EC,Londrina,1693,2019,1,0,2019-11-11,2019-12-01,4,35,38,38,4,1.00,0
Roberto Fonseca,Londrina EC,Londrina,1693,2021,0,0,2021-03-29,2021-07-10,10,1,10,38,22,1.27,0
Márcio Fernandes,Londrina EC,Londrina,1693,2021,0,0,2021-07-16,2021-12-01,27,12,38,38,29,1.41,0
Adilson Batista,Londrina EC,Londrina,1693,2022,0,0,2022-03-10,2022-12-31,37,1,37,37,40,1.40,0
Alexandre Gallo,Londrina EC,Londrina,1693,2023,0,0,2023-03-30,2023-05-10,5,1,5,38,5,0.80,0
Edson Vieira,Londrina EC,Londrina,1693,2023,1,0,2023-05-13,2023-05-30,4,6,9,38,4,1.50,0
Paulo César Gusmão,Londrina EC,Londrina,1693,2023,0,0,2023-06-01,2023-06-29,5,10,14,38,5,0.20,0
Franco Muller,Londrina EC,Londrina,1693,2023,1,0,2023-06-30,2023-07-02,1,15,15,38,1,0.00,0
Eduardo Souza,Londrina EC,Londrina,1693,2023,0,0,2023-07-07,2023-09-12,12,16,27,38,12,0.75,0
Roberto Fonseca,Londrina EC,Londrina,1693,2023,0,0,2023-09-13,2023-11-30,11,28,38,38,11,1.00,0
Allan Aal,Londrina EC,Londrina,1693,2026,0,0,2025-12-30,2026-05-04,7,1,7,26,21,1.48,0
Rogério Micale,Londrina EC,Londrina,1693,2026,0,1,2026-05-14,,18,9,26,26,20,1.15,0
Ricardo Catalá,Mirassol FC,Mirassol,3876,2023,0,0,2022-03-24,2023-05-04,3,1,3,38,46,1.65,0
Mozart,Mirassol FC,Mirassol,3876,2023,0,0,2023-05-04,2024-11-25,35,4,38,38,83,1.65,0
Mozart,Mirassol FC,Mirassol,3876,2024,0,0,2023-05-04,2024-11-25,38,1,38,38,83,1.65,0
Gilmar Dal Pozzo,Náutico,Náutico,2646,2020,0,0,2019-05-13,2020-08-12,2,1,2,31,45,1.71,0
Dudu Capixaba,Náutico,Náutico,2646,2020,1,0,2020-08-14,2020-08-20,2,3,4,31,2,1.00,0
Gilson Kleina,Náutico,Náutico,2646,2020,0,0,2020-08-21,2020-11-18,17,5,21,31,17,1.00,0
Hélio dos Anjos,Náutico,Náutico,2646,2020,0,0,2020-11-20,2021-08-18,10,22,31,31,47,1.70,0
Hélio dos Anjos,Náutico,Náutico,2646,2021,0,0,2020-11-20,2021-08-18,26,1,26,45,47,1.70,0
Marcelo Chamusca,Náutico,Náutico,2646,2021,0,0,2021-08-23,2021-09-22,6,27,32,45,6,0.83,0
Hélio dos Anjos,Náutico,Náutico,2646,2021,0,0,2021-09-24,2022-02-10,13,33,45,45,18,1.56,0
Felipe Conceição,Náutico,Náutico,2646,2022,0,0,2022-02-16,2022-04-11,1,1,1,38,12,1.67,0
Roberto Fernandes,Náutico,Náutico,2646,2022,0,0,2022-04-19,2022-07-18,16,3,18,38,18,1.17,0
Dudu Capixaba,Náutico,Náutico,2646,2022,1,0,2022-07-18,2022-07-22,1,19,19,38,1,0.00,0
Elano,Náutico,Náutico,2646,2022,0,0,2022-07-22,2022-08-21,6,20,25,38,5,0.60,0
Dado Cavalcanti,Náutico,Náutico,2646,2022,0,0,2022-08-25,2023-05-15,13,26,38,38,41,1.34,0
Hélio dos Anjos,Náutico,Náutico,2646,2026,0,1,2025-04-15,,27,1,27,27,66,1.62,0
Roberto Cavalo,Oeste FC,Oeste,21829,2018,0,0,2017-01-01,2018-12-02,38,1,38,38,78,1.38,0
Renan Freitas,Oeste FC,Oeste,21829,2019,0,0,2018-12-07,2020-09-29,38,1,38,38,81,0.98,0
Renan Freitas,Oeste FC,Oeste,21829,2020,0,0,2018-12-07,2020-09-29,11,1,11,31,81,0.98,0
Thiago Carpini,Oeste FC,Oeste,21829,2020,0,0,2020-09-30,2020-10-19,5,12,16,31,4,0.25,0
Sérgio Alexsandro,Oeste FC,Oeste,21829,2020,1,0,2020-10-19,2020-10-23,1,17,17,31,1,0.00,0
Roberto Cavalo,Oeste FC,Oeste,21829,2020,0,0,2020-10-23,2021-07-09,14,18,31,31,26,0.92,0
Roberto Cavalo,Oeste FC,Oeste,21829,2021,0,0,2020-10-23,2021-07-09,7,1,7,7,26,0.92,0
Gerson Gusmão,Operário FEC,Operário-PR,27214,2019,0,0,2016-03-23,2020-10-21,38,1,38,38,127,1.61,0
Gerson Gusmão,Operário FEC,Operário-PR,27214,2020,0,0,2016-03-23,2020-10-21,17,1,17,31,127,1.61,0
Matheus Costa,Operário FEC,Operário-PR,27214,2020,0,0,2020-10-22,2021-09-29,14,18,31,31,63,1.48,0
Matheus Costa,Operário FEC,Operário-PR,27214,2021,0,0,2020-10-22,2021-09-29,34,1,34,45,63,1.48,0
Ricardo Catalá,Operário FEC,Operário-PR,27214,2021,0,0,2021-10-05,2022-03-21,10,36,45,45,24,1.58,0
Claudinei Oliveira,Operário FEC,Operário-PR,27214,2022,0,0,2022-03-23,2022-07-21,19,1,19,38,21,1.00,0
Matheus Costa,Operário FEC,Operário-PR,27214,2022,0,0,2022-07-29,2022-10-24,16,21,36,38,14,0.93,0
Sandro Forner,Operário FEC,Operário-PR,27214,2022,1,0,2022-10-25,2022-11-07,2,37,38,38,2,0.00,0
Rafael Guanaes,Operário FEC,Operário-PR,27214,2024,0,0,2023-01-10,2024-11-25,37,1,37,37,97,1.64,0
Bruno Pivetti,Operário FEC,Operário-PR,27214,2025,0,0,2024-11-29,2025-06-15,12,1,12,38,33,1.64,0
Alex,Operário FEC,Operário-PR,27214,2025,0,0,2025-06-16,2026-01-18,26,13,38,38,30,1.17,0
Luizinho Lopes,Operário FEC,Operário-PR,27214,2026,0,1,2026-01-20,,1,1,1,27,39,1.69,0
Schumacher Santos,Operário FEC,Operário-PR,27214,2026,1,1,2026-03-23,,26,2,27,27,7,1.71,0
Matheus Costa,Paraná Clube,Paraná,309,2019,0,0,2019-04-03,2019-12-03,38,1,38,38,38,1.47,0
Allan Aal,Paraná Clube,Paraná,309,2020,0,0,2020-01-01,2020-11-01,19,1,19,31,36,1.31,0
Rogério Micale,Paraná Clube,Paraná,309,2020,0,0,2020-11-05,2020-12-02,6,20,25,31,6,0.17,0
Victor Annes,Paraná Clube,Paraná,309,2020,1,0,2020-12-04,2020-12-10,2,26,27,31,1,0.00,0
Gilmar Dal Pozzo,Paraná Clube,Paraná,309,2020,0,0,2020-12-09,2021-01-05,4,28,31,31,6,0.67,0
Gilmar Dal Pozzo,Paraná Clube,Paraná,309,2021,0,0,2020-12-09,2021-01-05,1,1,1,7,6,0.67,0
Marcio Coelho,Paraná Clube,Paraná,309,2021,0,0,2021-01-08,2021-02-01,6,2,7,7,5,0.80,0
Dado Cavalcanti,Paysandu SC,Paysandu,6347,2018,0,0,2018-02-13,2018-07-13,15,1,15,38,22,1.64,0
Guilherme Alves,Paysandu SC,Paysandu,6347,2018,0,0,2018-07-14,2018-08-25,8,16,23,38,8,1.00,0
Aílton Costa,Paysandu SC,Paysandu,6347,2018,1,0,2018-08-26,2018-09-04,1,24,24,38,1,1.00,0
João Brigatti,Paysandu SC,Paysandu,6347,2018,0,0,2018-09-05,2019-03-17,14,25,38,38,21,1.67,0
Hélio dos Anjos,Paysandu SC,Paysandu,6347,2024,0,0,2023-06-29,2024-09-06,25,1,25,38,62,1.69,0
Márcio Fernandes,Paysandu SC,Paysandu,6347,2024,0,0,2024-09-09,2025-02-10,13,26,38,38,19,1.89,0
