treinador,clube,clube_wyscout,id_clube,temporada,interino,em_curso,inicio,fim,rodadas,rodada_1a,rodada_ultima,rodadas_no_ano,jogos_tm_todas_competicoes,ppj_tm_todas_competicoes,fim_inferido
William Batista,América Mineiro,América-MG,2863,2025,0,0,2025-01-01,2025-06-02,10,1,10,38,23,1.43,0
Enderson Moreira,América Mineiro,América-MG,2863,2025,0,0,2025-06-03,2025-08-11,11,11,21,38,9,0.78,0
Alberto Valentim,América Mineiro,América-MG,2863,2025,0,0,2025-08-12,2026-04-13,17,22,38,38,35,1.31,0
Alberto Valentim,América Mineiro,América-MG,2863,2026,0,0,2025-08-12,2026-04-13,4,1,4,27,35,1.31,0
Roger Silva,América Mineiro,América-MG,2863,2026,0,0,2026-04-13,2026-05-31,7,5,11,27,9,0.89,0
Umberto Louzer,América Mineiro,América-MG,2863,2026,0,0,2026-06-03,2026-08-21,12,12,23,27,11,0.64,0
Douglas Leite,América Mineiro,América-MG,2863,2026,1,1,2026-08-24,,4,24,27,27,5,1.20,0
Roger Silva,Athletic Club,Athletic,64918,2025,0,0,2024-03-08,2025-06-02,10,1,10,38,56,1.59,0
Rui Duarte,Athletic Club,Athletic,64918,2025,0,0,2025-06-04,2026-02-17,28,11,38,38,34,1.24,0
Alex,Athletic Club,Athletic,64918,2026,0,1,2026-02-21,,27,1,27,27,33,1.48,0
Maurício Barbieri,Athletico Paranaense,Athletico-PR,679,2025,0,0,2024-12-16,2025-05-04,6,1,6,38,24,1.79,0
João Correia,Athletico Paranaense,Athletico-PR,679,2025,1,0,2025-05-05,2025-05-22,2,7,8,38,3,1.33,0
Odair Hellmann,Athletico Paranaense,Athletico-PR,679,2025,0,1,2025-05-22,2026-01-05,30,9,38,38,67,1.64,1
Claudio Tencati,Atlético Goianiense,Atlético-GO,15172,2018,0,0,2018-01-30,2018-10-13,31,1,31,38,42,1.45,0
Wagner Lopes,Atlético Goianiense,Atlético-GO,15172,2018,0,0,2018-10-14,2019-10-13,7,32,38,38,56,1.95,0
Wagner Lopes,Atlético Goianiense,Atlético-GO,15172,2019,0,0,2018-10-14,2019-10-13,28,1,28,38,56,1.95,0
Eduardo Souza,Atlético Goianiense,Atlético-GO,15172,2019,1,0,2019-10-15,2019-10-17,1,29,29,38,1,1.00,0
Eduardo Barroca,Atlético Goianiense,Atlético-GO,15172,2019,0,0,2019-10-17,2019-12-01,9,30,38,38,9,1.56,0
Mozart,Atlético Goianiense,Atlético-GO,15172,2023,0,0,2023-03-14,2023-05-01,3,1,3,38,7,1.57,0
Anderson Gomes,Atlético Goianiense,Atlético-GO,15172,2023,1,0,2023-05-01,2023-05-05,1,4,4,38,1,3.00,0
Alberto Valentim,Atlético Goianiense,Atlético-GO,15172,2023,0,0,2023-05-05,2023-07-11,12,5,16,38,12,1.25,0
Anderson Gomes,Atlético Goianiense,Atlético-GO,15172,2023,0,0,2023-07-12,2023-07-26,3,17,19,38,3,1.33,0
Jair Ventura,Atlético Goianiense,Atlético-GO,15172,2023,0,0,2023-07-27,2024-06-21,19,20,38,38,50,2.00,0
Claudio Tencati,Atlético Goianiense,Atlético-GO,15172,2025,0,0,2025-03-14,2025-05-13,7,1,7,38,8,1.25,0
Anderson Gomes,Atlético Goianiense,Atlético-GO,15172,2025,1,0,2025-05-14,2025-05-19,1,8,8,38,1,1.00,0
Fábio Matias,Atlético Goianiense,Atlético-GO,15172,2025,0,0,2025-05-20,2025-07-19,9,9,17,38,9,1.22,0
Rafael Lacerda,Atlético Goianiense,Atlético-GO,15172,2025,0,0,2025-07-21,2026-03-09,21,18,38,38,35,1.57,0
Eduardo Souza,Atlético Goianiense,Atlético-GO,15172,2026,0,0,2026-03-10,2026-06-14,10,1,13,26,20,1.40,0
William Sander,Atlético Goianiense,Atlético-GO,15172,2026,1,0,2026-03-27,2026-04-18,3,2,4,26,2,0.50,0
Renan Brito,Atlético Goianiense,Atlético-GO,15172,2026,1,0,2026-06-16,2026-07-06,3,14,16,26,3,1.33,0
Roger Silva,Atlético Goianiense,Atlético-GO,15172,2026,0,1,2026-07-07,,10,17,26,26,12,2.08,0
Claudinei Oliveira,Avaí FC,Avaí,2035,2018,0,0,2016-08-24,2018-04-19,1,1,1,38,102,1.57,0
Geninho,Avaí FC,Avaí,2035,2018,0,0,2018-04-19,2019-06-17,37,2,38,38,70,1.66,0
Geninho,Avaí FC,Avaí,2035,2020,0,0,2020-08-05,2020-12-04,25,1,25,32,26,1.42,0
Evando,Avaí FC,Avaí,2035,2020,1,0,2020-12-04,2020-12-10,2,26,27,32,1,0.00,0
Claudinei Oliveira,Avaí FC,Avaí,2035,2020,0,0,2020-12-10,2022-02-07,5,28,32,32,74,1.70,0
Claudinei Oliveira,Avaí FC,Avaí,2035,2021,0,0,2020-12-10,2022-02-07,44,1,44,44,74,1.70,0
Alex,Avaí FC,Avaí,2035,2023,0,0,2023-01-01,2023-05-04,4,1,4,38,18,1.17,0
Marquinhos,Avaí FC,Avaí,2035,2023,1,0,2023-05-05,2023-05-15,2,5,6,38,2,1.50,0
Gustavo Morínigo,Avaí FC,Avaí,2035,2023,0,0,2023-05-16,2023-07-03,9,7,15,38,9,0.56,0
Eduardo Barroca,Avaí FC,Avaí,2035,2023,0,0,2023-07-07,2024-04-27,23,16,38,38,40,1.45,0
