unidade,fronteira,comparacao,familia,setor,indicador,nome,n_a,n_b,clubes_a,clubes_b,pct_a,pct_b,cru_a,cru_b,d,ic95_lo,ic95_hi,p,q,d_minimo_80,poder_suficiente,passou_bh,selo
jogador-temporada,com,SM,duelo_corpo,Extremo,"Dribles com sucesso, %","Dribles com sucesso, %",19,61,11,17,52.4,51.4,52.38,54.26,-0.188,-0.61,0.2,0.45467,0.74704,0.75,False,False,não separa (poder insuficiente)
jogador-temporada,com,SM,duelo_corpo,Atacante,"Duelos defensivos ganhos, %","Duelos defensivos ganhos, %",27,89,15,25,51.2,47.7,50.0,51.85,-0.034,-0.53,0.48,0.88592,0.88592,0.62,False,False,não separa (poder insuficiente)
jogador-temporada,com,SM,duelo_corpo,Atacante,"Duelos aéreos ganhos, %","Duelos aéreos ganhos, %",27,89,15,25,48.8,50.0,30.95,31.33,-0.061,-0.35,0.23,0.77658,0.87955,0.62,False,False,não separa (poder insuficiente)
jogador-temporada,com,SM,duelo_corpo,Atacante,"Dribles com sucesso, %","Dribles com sucesso, %",27,89,15,25,44.7,51.1,44.83,48.28,-0.061,-0.56,0.45,0.79578,0.87955,0.62,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SM,duelo_corpo,Goleiro,"Duelos defensivos ganhos, %","Duelos defensivos ganhos, %",8,32,8,21,18.8,53.6,0.0,50.0,-0.906,-1.57,-0.3,0.00782,0.16416,1.14,False,False,pode ser sorte
jogador-temporada,sem,SM,duelo_corpo,Goleiro,"Duelos aéreos ganhos, %","Duelos aéreos ganhos, %",8,32,8,21,71.1,37.8,97.915,88.565,0.679,-0.09,1.52,0.09629,0.33703,1.14,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SM,duelo_corpo,Goleiro,"Dribles com sucesso, %","Dribles com sucesso, %",8,32,8,21,44.8,50.0,0.0,0.0,0.023,-0.72,0.84,0.9535,0.98859,1.14,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SM,duelo_corpo,Zaga,"Duelos defensivos ganhos, %","Duelos defensivos ganhos, %",16,64,8,21,83.9,54.0,72.405,67.275,0.598,-0.19,1.41,0.05999,0.31493,0.79,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SM,duelo_corpo,Zaga,"Duelos aéreos ganhos, %","Duelos aéreos ganhos, %",16,64,8,21,61.2,47.7,62.685,61.21,0.329,-0.11,0.77,0.17048,0.51144,0.79,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SM,duelo_corpo,Zaga,"Dribles com sucesso, %","Dribles com sucesso, %",16,64,8,21,57.9,50.0,67.425,66.67,0.207,-0.38,0.79,0.44214,0.77375,0.79,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SM,duelo_corpo,Lateral,"Duelos defensivos ganhos, %","Duelos defensivos ganhos, %",16,64,8,21,54.7,43.8,62.645,61.28,0.255,-0.17,0.76,0.25957,0.51411,0.79,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SM,duelo_corpo,Lateral,"Duelos aéreos ganhos, %","Duelos aéreos ganhos, %",16,64,8,21,50.3,50.4,50.975,51.155,0.052,-0.47,0.62,0.86353,0.98859,0.79,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SM,duelo_corpo,Lateral,"Dribles com sucesso, %","Dribles com sucesso, %",16,64,8,21,60.8,45.2,59.81,56.03,0.37,-0.14,0.9,0.24515,0.51411,0.79,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SM,duelo_corpo,Volante,"Duelos defensivos ganhos, %","Duelos defensivos ganhos, %",12,46,7,20,70.8,44.1,60.985,58.14,0.76,0.2,1.57,0.04003,0.30327,0.92,False,False,pode ser sorte
jogador-temporada,sem,SM,duelo_corpo,Volante,"Duelos aéreos ganhos, %","Duelos aéreos ganhos, %",12,46,7,20,45.1,46.1,49.335,50.0,-0.2,-0.8,0.38,0.51688,0.83495,0.92,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SM,duelo_corpo,Volante,"Dribles com sucesso, %","Dribles com sucesso, %",12,46,7,20,35.1,47.2,50.835,58.33,-0.28,-0.85,0.28,0.26929,0.51411,0.92,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SM,duelo_corpo,Meia,"Duelos defensivos ganhos, %","Duelos defensivos ganhos, %",16,63,8,21,59.8,48.6,58.07,56.74,0.538,0.07,1.02,0.04332,0.30327,0.79,False,False,pode ser sorte
jogador-temporada,sem,SM,duelo_corpo,Meia,"Duelos aéreos ganhos, %","Duelos aéreos ganhos, %",16,63,8,21,49.6,50.6,35.455,35.96,0.029,-0.77,0.87,0.92458,0.98859,0.79,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SM,duelo_corpo,Meia,"Dribles com sucesso, %","Dribles com sucesso, %",16,63,8,21,56.0,39.5,56.29,52.63,0.354,-0.21,0.94,0.22219,0.51411,0.79,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SM,duelo_corpo,Extremo,"Duelos defensivos ganhos, %","Duelos defensivos ganhos, %",9,36,5,13,75.0,44.6,59.62,55.985,0.544,0.2,0.99,0.09445,0.33703,1.07,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SM,duelo_corpo,Extremo,"Duelos aéreos ganhos, %","Duelos aéreos ganhos, %",9,36,5,13,56.8,52.9,31.25,31.91,0.047,-0.61,0.55,0.90673,0.98859,1.07,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SM,duelo_corpo,Extremo,"Dribles com sucesso, %","Dribles com sucesso, %",9,36,5,13,56.8,45.4,53.62,53.555,-0.019,-0.6,0.7,0.9589,0.98859,1.07,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SM,duelo_corpo,Atacante,"Duelos defensivos ganhos, %","Duelos defensivos ganhos, %",14,60,7,21,51.2,48.3,50.0,52.08,0.005,-0.6,0.64,0.98859,0.98859,0.84,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SM,duelo_corpo,Atacante,"Duelos aéreos ganhos, %","Duelos aéreos ganhos, %",14,60,7,21,53.7,49.5,32.965,31.33,-0.006,-0.41,0.46,0.98507,0.98859,0.84,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SM,duelo_corpo,Atacante,"Dribles com sucesso, %","Dribles com sucesso, %",14,60,7,21,57.3,47.6,51.59,48.055,0.154,-0.52,0.91,0.6598,0.98859,0.84,False,False,não separa (poder insuficiente)
jogador-temporada,com,SC,duelo_corpo,Zaga,"Duelos defensivos ganhos, %","Duelos defensivos ganhos, %",32,32,16,15,63.9,58.4,67.065,68.43,0.021,-0.58,0.63,0.93458,0.98131,0.71,False,False,não separa (poder insuficiente)
jogador-temporada,com,SC,duelo_corpo,Zaga,"Duelos aéreos ganhos, %","Duelos aéreos ganhos, %",32,32,16,15,59.5,41.0,62.625,59.615,0.5,0.14,0.93,0.04971,0.287,0.71,False,False,pode ser sorte
jogador-temporada,com,SC,duelo_corpo,Zaga,"Dribles com sucesso, %","Dribles com sucesso, %",32,32,16,15,52.5,52.2,66.67,66.67,-0.248,-0.73,0.22,0.32493,0.75818,0.71,False,False,não separa (poder insuficiente)
jogador-temporada,com,SC,duelo_corpo,Lateral,"Duelos defensivos ganhos, %","Duelos defensivos ganhos, %",32,32,16,15,50.7,63.9,61.255,62.865,-0.31,-0.87,0.2,0.21937,0.57585,0.71,False,False,não separa (poder insuficiente)
jogador-temporada,com,SC,duelo_corpo,Lateral,"Duelos aéreos ganhos, %","Duelos aéreos ganhos, %",32,32,16,15,40.7,47.5,46.87,48.55,0.145,-0.34,0.6,0.56461,0.77358,0.71,False,False,não separa (poder insuficiente)
jogador-temporada,com,SC,duelo_corpo,Lateral,"Dribles com sucesso, %","Dribles com sucesso, %",32,32,16,15,60.8,52.9,59.81,58.49,0.202,-0.31,0.75,0.42337,0.77358,0.71,False,False,não separa (poder insuficiente)
jogador-temporada,com,SC,duelo_corpo,Volante,"Duelos defensivos ganhos, %","Duelos defensivos ganhos, %",22,22,13,12,62.7,55.2,59.87,59.41,0.224,-0.44,0.9,0.46255,0.77358,0.86,False,False,não separa (poder insuficiente)
jogador-temporada,com,SC,duelo_corpo,Volante,"Duelos aéreos ganhos, %","Duelos aéreos ganhos, %",22,22,13,12,56.0,53.7,50.0,50.845,0.128,-0.39,0.66,0.67372,0.78601,0.86,False,False,não separa (poder insuficiente)
jogador-temporada,com,SC,duelo_corpo,Volante,"Dribles com sucesso, %","Dribles com sucesso, %",22,22,13,12,46.6,49.8,58.835,56.785,-0.164,-0.98,0.65,0.58939,0.77358,0.86,False,False,não separa (poder insuficiente)
jogador-temporada,com,SC,duelo_corpo,Meia,"Duelos defensivos ganhos, %","Duelos defensivos ganhos, %",31,32,16,15,56.8,51.3,57.81,57.065,0.193,-0.34,0.72,0.44633,0.77358,0.72,False,False,não separa (poder insuficiente)
jogador-temporada,com,SC,duelo_corpo,Meia,"Duelos aéreos ganhos, %","Duelos aéreos ganhos, %",31,32,16,15,46.0,66.0,35.29,42.42,-0.494,-1.07,-0.03,0.05467,0.287,0.72,False,False,não separa (poder insuficiente)
jogador-temporada,com,SC,duelo_corpo,Meia,"Dribles com sucesso, %","Dribles com sucesso, %",31,32,16,15,53.1,46.9,55.32,54.13,0.066,-0.45,0.56,0.79289,0.87635,0.72,False,False,não separa (poder insuficiente)
jogador-temporada,com,SC,duelo_corpo,Extremo,"Duelos defensivos ganhos, %","Duelos defensivos ganhos, %",19,22,11,11,75.7,50.0,59.72,57.5,0.664,0.04,1.42,0.04008,0.287,0.9,False,False,pode ser sorte
jogador-temporada,com,SC,duelo_corpo,Extremo,"Duelos aéreos ganhos, %","Duelos aéreos ganhos, %",19,22,11,11,56.8,47.1,32.0,31.275,0.137,-0.44,0.72,0.66214,0.78601,0.9,False,False,não separa (poder insuficiente)
jogador-temporada,com,SC,duelo_corpo,Extremo,"Dribles com sucesso, %","Dribles com sucesso, %",19,22,11,11,52.4,46.8,52.38,54.73,-0.21,-0.84,0.37,0.49706,0.77358,0.9,False,False,não separa (poder insuficiente)
jogador-temporada,com,SC,duelo_corpo,Atacante,"Duelos defensivos ganhos, %","Duelos defensivos ganhos, %",27,28,15,15,51.2,69.2,50.0,54.72,-0.484,-1.04,-0.0,0.0793,0.33305,0.77,False,False,não separa (poder insuficiente)
jogador-temporada,com,SC,duelo_corpo,Atacante,"Duelos aéreos ganhos, %","Duelos aéreos ganhos, %",27,28,15,15,48.8,41.5,30.95,30.46,0.168,-0.29,0.64,0.53495,0.77358,0.77,False,False,não separa (poder insuficiente)
jogador-temporada,com,SC,duelo_corpo,Atacante,"Dribles com sucesso, %","Dribles com sucesso, %",27,28,15,15,44.7,59.1,44.83,50.26,-0.425,-1.0,0.05,0.1223,0.42804,0.77,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SC,duelo_corpo,Zaga,"Duelos defensivos ganhos, %","Duelos defensivos ganhos, %",16,24,8,11,83.9,58.1,72.405,68.745,0.374,-0.49,1.47,0.2697,0.58297,0.93,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SC,duelo_corpo,Zaga,"Duelos aéreos ganhos, %","Duelos aéreos ganhos, %",16,24,8,11,61.2,41.0,62.685,59.615,0.79,0.35,1.36,0.01846,0.25473,0.93,False,False,pode ser sorte
jogador-temporada,sem,SC,duelo_corpo,Zaga,"Dribles com sucesso, %","Dribles com sucesso, %",16,24,8,11,57.9,51.9,67.425,66.67,0.093,-0.54,0.79,0.76826,0.89682,0.93,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SC,duelo_corpo,Lateral,"Duelos defensivos ganhos, %","Duelos defensivos ganhos, %",16,24,8,11,54.7,63.2,62.645,63.045,-0.059,-0.74,0.52,0.847,0.89682,0.93,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SC,duelo_corpo,Lateral,"Duelos aéreos ganhos, %","Duelos aéreos ganhos, %",16,24,8,11,50.3,43.4,50.975,47.885,0.496,-0.07,1.1,0.13896,0.58297,0.93,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SC,duelo_corpo,Lateral,"Dribles com sucesso, %","Dribles com sucesso, %",16,24,8,11,60.8,52.9,59.81,58.49,0.128,-0.55,0.81,0.70292,0.89682,0.93,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SC,duelo_corpo,Volante,"Duelos defensivos ganhos, %","Duelos defensivos ganhos, %",12,16,7,8,70.8,59.5,60.985,59.775,0.406,-0.37,1.41,0.29149,0.58297,1.11,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SC,duelo_corpo,Volante,"Duelos aéreos ganhos, %","Duelos aéreos ganhos, %",12,16,7,8,45.1,53.4,49.335,50.595,-0.093,-0.7,0.52,0.80813,0.89682,1.11,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SC,duelo_corpo,Volante,"Dribles com sucesso, %","Dribles com sucesso, %",12,16,7,8,35.1,47.5,50.835,56.665,-0.55,-1.72,0.39,0.13736,0.58297,1.11,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SC,duelo_corpo,Meia,"Duelos defensivos ganhos, %","Duelos defensivos ganhos, %",16,24,8,11,59.8,54.9,58.07,57.77,0.337,-0.31,1.02,0.27522,0.58297,0.93,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SC,duelo_corpo,Meia,"Duelos aéreos ganhos, %","Duelos aéreos ganhos, %",16,24,8,11,49.6,65.5,35.455,42.21,-0.449,-1.44,0.41,0.19962,0.58297,0.93,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SC,duelo_corpo,Meia,"Dribles com sucesso, %","Dribles com sucesso, %",16,24,8,11,56.0,49.8,56.29,53.985,0.086,-0.55,0.73,0.79057,0.89682,0.93,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SC,duelo_corpo,Extremo,"Duelos defensivos ganhos, %","Duelos defensivos ganhos, %",9,18,5,9,75.0,42.0,59.62,56.275,0.925,0.6,1.43,0.0283,0.25473,1.19,False,False,pode ser sorte
jogador-temporada,sem,SC,duelo_corpo,Extremo,"Duelos aéreos ganhos, %","Duelos aéreos ganhos, %",9,18,5,9,56.8,52.0,31.25,31.48,0.116,-0.59,0.67,0.77193,0.89682,1.19,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SC,duelo_corpo,Extremo,"Dribles com sucesso, %","Dribles com sucesso, %",9,18,5,9,56.8,44.3,53.62,54.01,-0.037,-0.85,0.82,0.92481,0.92481,1.19,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SC,duelo_corpo,Atacante,"Duelos defensivos ganhos, %","Duelos defensivos ganhos, %",14,21,7,11,51.2,68.2,50.0,54.02,-0.468,-1.34,0.2,0.21114,0.58297,1.0,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SC,duelo_corpo,Atacante,"Duelos aéreos ganhos, %","Duelos aéreos ganhos, %",14,21,7,11,53.7,36.6,32.965,29.29,0.263,-0.29,0.9,0.45998,0.75269,1.0,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SC,duelo_corpo,Atacante,"Dribles com sucesso, %","Dribles com sucesso, %",14,21,7,11,57.3,65.9,51.59,52.94,-0.365,-1.22,0.37,0.3326,0.59867,1.0,False,False,não separa (poder insuficiente)
jogador-temporada,com,SM,estilo_tecnico,Goleiro,"Passes certos, %","Passes certos, %",16,48,16,25,57.4,44.3,84.565,83.795,0.367,-0.17,0.89,0.22207,0.77725,0.82,False,False,não separa (poder insuficiente)
jogador-temporada,com,SM,estilo_tecnico,Goleiro,Passes progressivos/90,Passes progressivos/90,16,48,16,25,51.8,64.4,4.095,4.345,-0.206,-0.67,0.21,0.44537,0.87174,0.82,False,False,não separa (poder insuficiente)
jogador-temporada,com,SM,estilo_tecnico,Goleiro,Toques na área/90,Toques na área/90,16,48,16,25,49.0,50.0,0.0,0.0,-0.168,-0.5,0.45,0.35125,0.83608,0.82,False,False,não separa (poder insuficiente)
jogador-temporada,com,SM,estilo_tecnico,Zaga,"Passes certos, %","Passes certos, %",32,96,16,25,49.3,51.1,86.685,86.815,0.062,-0.3,0.44,0.75885,0.9374,0.58,False,False,não separa (poder insuficiente)
jogador-temporada,com,SM,estilo_tecnico,Zaga,Passes progressivos/90,Passes progressivos/90,32,96,16,25,64.1,55.4,7.775,7.375,0.113,-0.25,0.5,0.58926,0.87174,0.58,False,False,não separa (poder insuficiente)
jogador-temporada,com,SM,estilo_tecnico,Zaga,Toques na área/90,Toques na área/90,32,96,16,25,42.3,46.6,0.455,0.49,-0.106,-0.44,0.26,0.62267,0.87174,0.58,False,False,não separa (poder insuficiente)
jogador-temporada,com,SM,estilo_tecnico,Lateral,"Passes certos, %","Passes certos, %",32,96,16,25,52.8,44.5,78.86,77.79,0.392,-0.01,0.82,0.04736,0.63766,0.58,False,False,pode ser sorte
jogador-temporada,com,SM,estilo_tecnico,Lateral,Passes progressivos/90,Passes progressivos/90,32,96,16,25,49.0,54.5,8.045,8.135,-0.128,-0.55,0.24,0.51969,0.87174,0.58,False,False,não separa (poder insuficiente)
jogador-temporada,com,SM,estilo_tecnico,Lateral,Toques na área/90,Toques na área/90,32,96,16,25,64.5,52.9,0.85,0.685,0.147,-0.3,0.63,0.4918,0.87174,0.58,False,False,não separa (poder insuficiente)
jogador-temporada,com,SM,estilo_tecnico,Volante,"Passes certos, %","Passes certos, %",22,59,13,24,63.6,51.1,86.525,85.07,0.371,-0.12,0.93,0.12116,0.63766,0.71,False,False,não separa (poder insuficiente)
jogador-temporada,com,SM,estilo_tecnico,Volante,Passes progressivos/90,Passes progressivos/90,22,59,13,24,60.0,53.3,6.215,5.83,0.385,-0.05,0.84,0.12146,0.63766,0.71,False,False,não separa (poder insuficiente)
jogador-temporada,com,SM,estilo_tecnico,Volante,Toques na área/90,Toques na área/90,22,59,13,24,66.1,47.7,0.675,0.45,0.249,-0.26,0.75,0.35832,0.83608,0.71,False,False,não separa (poder insuficiente)
jogador-temporada,com,SM,estilo_tecnico,Meia,"Passes certos, %","Passes certos, %",31,95,16,25,52.9,51.9,82.97,82.04,0.038,-0.35,0.42,0.85846,0.94882,0.58,False,False,não separa (poder insuficiente)
jogador-temporada,com,SM,estilo_tecnico,Meia,Passes progressivos/90,Passes progressivos/90,31,95,16,25,65.7,55.7,5.61,5.16,0.242,-0.11,0.59,0.28014,0.83608,0.58,False,False,não separa (poder insuficiente)
jogador-temporada,com,SM,estilo_tecnico,Meia,Toques na área/90,Toques na área/90,31,95,16,25,53.0,46.6,1.3,1.18,0.115,-0.35,0.56,0.57079,0.87174,0.58,False,False,não separa (poder insuficiente)
jogador-temporada,com,SM,estilo_tecnico,Extremo,"Passes certos, %","Passes certos, %",19,61,11,17,70.5,42.9,78.25,75.65,0.508,-0.03,1.09,0.07317,0.63766,0.75,False,False,não separa (poder insuficiente)
jogador-temporada,com,SM,estilo_tecnico,Extremo,Passes progressivos/90,Passes progressivos/90,19,61,11,17,56.8,51.4,3.72,3.62,0.005,-0.38,0.36,0.98485,0.99374,0.75,False,False,não separa (poder insuficiente)
jogador-temporada,com,SM,estilo_tecnico,Extremo,Toques na área/90,Toques na área/90,19,61,11,17,52.4,59.5,2.3,2.47,-0.094,-0.54,0.27,0.73067,0.9374,0.75,False,False,não separa (poder insuficiente)
jogador-temporada,com,SM,estilo_tecnico,Atacante,"Passes certos, %","Passes certos, %",27,89,15,25,47.7,52.3,74.64,76.06,-0.048,-0.45,0.36,0.82393,0.94882,0.62,False,False,não separa (poder insuficiente)
jogador-temporada,com,SM,estilo_tecnico,Atacante,Passes progressivos/90,Passes progressivos/90,27,89,15,25,52.3,50.0,1.53,1.43,0.002,-0.4,0.39,0.99374,0.99374,0.62,False,False,não separa (poder insuficiente)
jogador-temporada,com,SM,estilo_tecnico,Atacante,Toques na área/90,Toques na área/90,27,89,15,25,61.4,47.7,2.93,2.72,0.283,-0.21,0.79,0.20663,0.77725,0.62,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SM,estilo_tecnico,Goleiro,"Passes certos, %","Passes certos, %",8,32,8,21,52.1,39.6,84.86,83.395,0.344,-0.5,1.23,0.44283,0.88429,1.14,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SM,estilo_tecnico,Goleiro,Passes progressivos/90,Passes progressivos/90,8,32,8,21,50.6,66.3,3.83,4.43,-0.4,-1.24,0.29,0.30394,0.79784,1.14,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SM,estilo_tecnico,Goleiro,Toques na área/90,Toques na área/90,8,32,8,21,48.0,50.0,0.0,0.0,-0.199,-0.99,0.51,0.60914,0.88429,1.14,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SM,estilo_tecnico,Zaga,"Passes certos, %","Passes certos, %",16,64,8,21,54.8,61.3,87.15,87.88,0.019,-0.45,0.5,0.94636,0.95102,0.79,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SM,estilo_tecnico,Zaga,Passes progressivos/90,Passes progressivos/90,16,64,8,21,65.3,52.9,7.5,7.175,0.203,-0.31,0.8,0.5064,0.88429,0.79,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SM,estilo_tecnico,Zaga,Toques na área/90,Toques na área/90,16,64,8,21,31.0,50.5,0.425,0.485,-0.291,-0.71,0.07,0.37305,0.87045,0.79,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SM,estilo_tecnico,Lateral,"Passes certos, %","Passes certos, %",16,64,8,21,62.9,47.7,79.46,78.135,0.52,-0.05,1.12,0.03762,0.34802,0.79,False,False,pode ser sorte
jogador-temporada,sem,SM,estilo_tecnico,Lateral,Passes progressivos/90,Passes progressivos/90,16,64,8,21,44.9,46.7,7.84,7.89,-0.143,-0.86,0.55,0.6089,0.88429,0.79,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SM,estilo_tecnico,Lateral,Toques na área/90,Toques na área/90,16,64,8,21,65.7,55.8,0.87,0.715,0.085,-0.67,0.83,0.78088,0.95102,0.79,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SM,estilo_tecnico,Volante,"Passes certos, %","Passes certos, %",12,46,7,20,73.7,59.3,86.59,85.96,0.343,-0.25,1.12,0.28371,0.79784,0.92,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SM,estilo_tecnico,Volante,Passes progressivos/90,Passes progressivos/90,12,46,7,20,76.1,55.9,6.89,5.995,0.595,0.07,1.16,0.07927,0.34802,0.92,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SM,estilo_tecnico,Volante,Toques na área/90,Toques na área/90,12,46,7,20,70.7,41.7,0.74,0.46,0.455,-0.29,1.22,0.24603,0.79784,0.92,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SM,estilo_tecnico,Meia,"Passes certos, %","Passes certos, %",16,63,8,21,48.0,49.4,81.74,81.67,0.182,-0.47,0.84,0.52754,0.88429,0.79,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SM,estilo_tecnico,Meia,Passes progressivos/90,Passes progressivos/90,16,63,8,21,60.3,52.9,5.33,5.05,0.532,0.03,1.08,0.08286,0.34802,0.79,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SM,estilo_tecnico,Meia,Toques na área/90,Toques na área/90,16,63,8,21,54.2,59.0,1.335,1.38,-0.018,-0.66,0.6,0.95102,0.95102,0.79,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SM,estilo_tecnico,Extremo,"Passes certos, %","Passes certos, %",9,36,5,13,76.2,43.5,78.25,75.555,0.633,0.04,1.45,0.07186,0.34802,1.07,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SM,estilo_tecnico,Extremo,Passes progressivos/90,Passes progressivos/90,9,36,5,13,62.2,45.4,4.13,3.425,0.162,-0.26,0.74,0.66882,0.88429,1.07,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SM,estilo_tecnico,Extremo,Toques na área/90,Toques na área/90,9,36,5,13,52.4,69.0,2.3,2.58,-0.142,-0.91,0.28,0.67374,0.88429,1.07,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SM,estilo_tecnico,Atacante,"Passes certos, %","Passes certos, %",14,60,7,21,46.6,52.7,74.555,76.095,-0.049,-0.77,0.64,0.8646,0.95102,0.84,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SM,estilo_tecnico,Atacante,Passes progressivos/90,Passes progressivos/90,14,60,7,21,50.5,43.8,1.545,1.325,-0.034,-0.58,0.54,0.89678,0.95102,0.84,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SM,estilo_tecnico,Atacante,Toques na área/90,Toques na área/90,14,60,7,21,64.8,43.2,3.12,2.66,0.548,-0.01,1.23,0.04471,0.34802,0.84,False,False,pode ser sorte
jogador-temporada,com,SC,estilo_tecnico,Zaga,"Passes certos, %","Passes certos, %",32,32,16,15,49.3,39.8,86.685,86.0,0.325,-0.15,0.86,0.19816,0.52768,0.71,False,False,não separa (poder insuficiente)
jogador-temporada,com,SC,estilo_tecnico,Zaga,Passes progressivos/90,Passes progressivos/90,32,32,16,15,64.1,36.1,7.775,6.68,0.533,0.1,1.08,0.03711,0.25978,0.71,False,False,pode ser sorte
jogador-temporada,com,SC,estilo_tecnico,Zaga,Toques na área/90,Toques na área/90,32,32,16,15,42.3,47.5,0.455,0.465,-0.033,-0.5,0.4,0.89477,0.93951,0.71,False,False,não separa (poder insuficiente)
jogador-temporada,com,SC,estilo_tecnico,Lateral,"Passes certos, %","Passes certos, %",32,32,16,15,52.8,60.0,78.86,79.56,0.047,-0.48,0.55,0.85284,0.93951,0.71,False,False,não separa (poder insuficiente)
jogador-temporada,com,SC,estilo_tecnico,Lateral,Passes progressivos/90,Passes progressivos/90,32,32,16,15,49.0,39.8,8.045,7.715,0.077,-0.49,0.69,0.75807,0.88442,0.71,False,False,não separa (poder insuficiente)
jogador-temporada,com,SC,estilo_tecnico,Lateral,Toques na área/90,Toques na área/90,32,32,16,15,64.5,35.3,0.85,0.575,0.411,-0.18,1.11,0.10484,0.52768,0.71,False,False,não separa (poder insuficiente)
jogador-temporada,com,SC,estilo_tecnico,Volante,"Passes certos, %","Passes certos, %",22,22,13,12,63.6,40.5,86.525,84.65,0.667,-0.1,1.6,0.03254,0.25978,0.86,False,False,pode ser sorte
jogador-temporada,com,SC,estilo_tecnico,Volante,Passes progressivos/90,Passes progressivos/90,22,22,13,12,60.0,44.0,6.215,5.835,0.153,-0.45,0.95,0.61379,0.75822,0.86,False,False,não separa (poder insuficiente)
jogador-temporada,com,SC,estilo_tecnico,Volante,Toques na área/90,Toques na área/90,22,22,13,12,66.1,44.8,0.675,0.4,0.441,-0.11,1.08,0.1514,0.52768,0.86,False,False,não separa (poder insuficiente)
jogador-temporada,com,SC,estilo_tecnico,Meia,"Passes certos, %","Passes certos, %",31,32,16,15,52.9,47.6,82.97,81.935,-0.014,-0.53,0.47,0.95439,0.95439,0.72,False,False,não separa (poder insuficiente)
jogador-temporada,com,SC,estilo_tecnico,Meia,Passes progressivos/90,Passes progressivos/90,31,32,16,15,65.7,58.0,5.61,5.27,0.182,-0.22,0.61,0.47434,0.71151,0.72,False,False,não separa (poder insuficiente)
jogador-temporada,com,SC,estilo_tecnico,Meia,Toques na área/90,Toques na área/90,31,32,16,15,53.0,38.9,1.3,0.95,0.211,-0.27,0.73,0.40414,0.66607,0.72,False,False,não separa (poder insuficiente)
jogador-temporada,com,SC,estilo_tecnico,Extremo,"Passes certos, %","Passes certos, %",19,22,11,11,70.5,52.3,78.25,76.835,0.361,-0.21,1.05,0.25672,0.59902,0.9,False,False,não separa (poder insuficiente)
jogador-temporada,com,SC,estilo_tecnico,Extremo,Passes progressivos/90,Passes progressivos/90,19,22,11,11,56.8,65.3,3.72,4.245,-0.169,-0.73,0.32,0.58915,0.75822,0.9,False,False,não separa (poder insuficiente)
