temporada,clube,faixa,trave,fronteira,dist_g4,no_recorte,jogador,posicao,setor,idade_na_temporada,sc_player_id,sc_nome,sc_short_name,wyscout_player_id,nascimento,minutos_wy,jogos_wy,fatia_pct,sc_matches,sc_min_medio,sc_min_tot,sc_poucos_jogos,tem_fisico,elegivel,titular,titular_ordem,clube_sc,clube_confere,clubes_no_ano_sc,cobertura_clube_pct,cobertura_baixa,distance_p90,running_distance_p90,m_per_min,m_per_min_tip,m_per_min_otip,hi_distance_p90,hi_count_p90,hsr_distance_p90,high_accel_p90,hi_distance_p30tip,hi_distance_p30otip,sprint_distance_p90,sprint_count_p90,sprint_count_p30tip,sprint_count_p30otip,psv99,psv99_top5,distance_p90_m60,running_distance_p90_m60,m_per_min_m60,hi_distance_p90_m60,hi_count_p90_m60,hsr_distance_p90_m60,high_accel_p90_m60,sprint_distance_p90_m60,sprint_count_p90_m60,psv99_m60,identidade
2022,Bahia,Sobe,0,0,0,1,Djalma Silva,LB,Lateral,27.0,175734,Djalma Antônio da Silva Filho,Djalma Silva,358904,1994-09-19,480.0,9.0,12.9,9,53.5,482,0,1,0,0,,,,,77.8,1,9459.39,1196.51,105.1,139.77,140.59,630.59,57.75,451.17,8.22,449.8,346.5,179.42,9.72,6.68,4.95,29.93,31.46,,,,,,,,,,,
2022,Bahia,Sobe,0,0,0,1,Danielzinho,AMF,Meia,26.0,,,,,,2828.0,33.0,76.2,,,,,0,0,1,1,,,,77.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Bahia,Sobe,0,0,0,1,Vitor Jacaré,LAMF,Meia,22.0,32951,Francisco Vítor Silva Costa,Vitor Jacaré,557043,1999-10-24,2098.0,36.0,56.5,35,58.0,2030,0,1,1,1,2,,,,77.8,1,9632.11,1239.39,107.02,138.19,145.91,954.3,85.1,651.03,8.69,604.43,575.88,303.27,16.71,9.88,10.19,30.07,31.88,,,,,,,,,,,
2022,Bahia,Sobe,0,0,0,1,Rildo,LAMF,Meia,22.0,32945,Rildo Gonçalves De Amorim Filho,Rildo,553015,2000-01-21,976.0,15.0,26.3,14,68.4,958,0,1,1,0,,,,,77.8,1,9939.67,1530.26,110.44,146.8,146.23,772.93,65.41,602.18,4.79,538.32,390.91,170.75,9.4,6.9,3.15,28.54,30.12,,,,,,,,,,,
2022,Bahia,Sobe,0,0,0,1,M. Antônio,RAMF,Meia,24.0,28243,Marco Antônio Rosa Furtado Junior,M. Antônio,422251,1997-10-01,881.0,15.0,23.7,14,57.3,802,0,1,0,0,,,,,77.8,1,9527.52,1235.9,105.86,136.86,136.43,747.96,65.65,526.43,6.85,580.09,305.56,221.53,11.67,8.51,4.15,28.64,30.64,,,,,,,,,,,
2022,Bahia,Sobe,0,0,0,1,Caio Vidal,RAMF,Meia,21.0,34645,Caio Vidal Rocha,Caio Vidal,596649,2000-11-04,442.0,8.0,11.9,8,55.2,442,0,1,0,0,,,,,77.8,1,9287.14,1090.31,103.19,135.44,148.46,840.62,75.42,542.61,8.76,576.08,510.4,298.01,14.06,10.61,6.24,30.64,32.66,,,,,,,,,,,
2022,Bahia,Sobe,0,0,0,1,Miquéias,RCMF,Meia,21.0,175733,Miquéias Cabral Evaristo,Miquéias,614245,2001-07-27,158.0,7.0,4.3,7,22.4,157,1,1,0,0,,,,,77.8,1,10128.66,1460.31,112.54,141.92,160.52,676.51,59.67,494.04,6.89,355.32,395.88,182.47,10.33,4.5,3.78,28.73,30.52,,,,,,,,,,,
2022,Bahia,Sobe,0,0,0,1,Gregory,AMF,Meia,21.0,175736,Gregory Rodrigues Xavier,Gregory,598099,2001-05-29,121.0,7.0,3.3,7,17.3,121,1,1,0,0,,,,,77.8,1,10692.46,1817.8,118.81,158.63,162.78,716.44,60.82,589.62,9.64,372.27,440.2,126.82,8.9,4.3,4.02,27.46,28.14,,,,,,,,,,,
2022,Bahia,Sobe,0,0,0,1,Patrick Verhon,AMF,Meia,17.0,183988,Patrick Verhon Pertel Pereira,Patrick Verhon,661776,2004-09-08,33.0,3.0,0.9,3,10.7,32,1,1,0,0,,,,,77.8,1,12057.84,2132.99,133.98,165.75,185.88,816.05,73.16,661.28,11.26,235.63,992.78,154.77,8.44,0.0,9.28,24.93,24.93,,,,,,,,,,,
2022,Bahia,Sobe,0,0,0,1,Patrick De Lucca,RDMF,Volante,22.0,34977,Patrick de Lucca Chaves de Oliveira,Patrick De Lucca,551531,2000-03-02,2836.0,32.0,76.4,31,89.2,2766,0,1,1,1,1,,,,77.8,1,9879.7,1460.95,109.77,137.72,163.71,559.72,48.18,442.92,4.23,221.77,484.76,116.8,6.05,1.84,4.89,27.84,29.78,,,,,,,,,,,
