fronteira,familia,comparacao,indicador,nome,n_sobe,n_alvo,cru_sobe,cru_alvo,dif_cru,d,ic95_d,p,d_minimo_80,placar_redescrito,regua_curta,q,selo,poder_suficiente
sem,cria,SM,toques_area,Toques na área por jogo,8,32,15.671,13.737,1.934,0.91,"[0.2, 1.76]",0.01503,1.14,False,,0.03507,firme,False
sem,cria,SM,entradas_area,Entradas na área por jogo,8,32,23.618,21.487,2.132,0.926,"[0.15, 1.82]",0.02128,1.14,False,,0.03724,firme,False
sem,cria,ST,gols_pro_90,Gols por jogo,8,7,1.316,1.132,0.184,0.782,"[-0.2, 2.98]",0.15106,1.57,True,,0.62926,sem diferença clara,False
sem,cria,ST,xg,xG por jogo,8,7,1.37,1.291,0.079,0.053,"[-1.09, 1.24]",0.91978,1.57,False,0.3,0.91978,sem diferença clara,False
sem,cria,ST,remates,Finalizações por jogo,8,7,13.026,13.027,-0.001,-0.239,"[-1.39, 0.94]",0.64637,1.57,False,,0.7541,sem diferença clara,False
sem,cria,ST,xg_por_remate,xG por finalização,8,7,0.106,0.098,0.008,0.513,"[-0.59, 1.86]",0.34563,1.57,False,,0.7541,sem diferença clara,False
sem,cria,ST,dist_remate,Distância da finalização (m),8,7,19.669,20.477,-0.808,0.774,"[-0.31, 2.42]",0.17979,1.57,False,,0.62926,sem diferença clara,False
sem,cria,ST,toques_area,Toques na área por jogo,8,7,15.671,15.263,0.408,0.375,"[-0.97, 1.73]",0.50085,1.57,False,,0.7541,sem diferença clara,False
sem,cria,ST,entradas_area,Entradas na área por jogo,8,7,23.618,22.474,1.145,0.305,"[-0.89, 1.76]",0.57555,1.57,False,,0.7541,sem diferença clara,False
sem,cede,SM,gols_contra_90,Gols sofridos por jogo,8,32,0.789,1.079,-0.289,1.561,"[0.85, 2.43]",0.00067,1.14,True,,0.00134,firme,True
sem,cede,SM,xg_contra,xG sofrido por jogo,8,32,1.002,1.189,-0.187,1.459,"[0.74, 2.37]",0.00031,1.14,False,,0.00124,firme,True
sem,cede,SM,remates_contra,Finalizações sofridas por jogo,8,32,11.303,12.053,-0.75,0.634,"[-0.24, 1.54]",0.12174,1.14,False,,0.12174,sem diferença clara,False
sem,cede,SM,xg_por_remate_contra,xG por finalização sofrida,8,32,0.086,0.1,-0.014,1.303,"[0.53, 2.3]",0.00322,1.14,False,,0.0043,firme,True
sem,cede,ST,gols_contra_90,Gols sofridos por jogo,8,7,0.789,0.895,-0.105,0.849,"[-0.18, 2.53]",0.12591,1.57,True,,0.16788,sem diferença clara,False
sem,cede,ST,xg_contra,xG sofrido por jogo,8,7,1.002,1.148,-0.147,1.351,"[0.33, 3.67]",0.0322,1.57,False,,0.06592,pode ser sorte,False
sem,cede,ST,remates_contra,Finalizações sofridas por jogo,8,7,11.303,11.789,-0.487,0.546,"[-0.43, 1.87]",0.31067,1.57,False,,0.31067,sem diferença clara,False
sem,cede,ST,xg_por_remate_contra,xG por finalização sofrida,8,7,0.086,0.1,-0.013,1.288,"[0.18, 3.73]",0.03296,1.57,False,,0.06592,pode ser sorte,False
sem,sobra,SM,finalizacao,Gols menos xG (pontaria),8,32,-0.052,-0.169,0.117,1.06,"[0.28, 2.07]",0.01986,1.14,True,,0.03972,firme,False
sem,sobra,SM,defesa_vs_xg,xG sofrido menos gols sofridos (goleiro e defesa),8,32,0.168,0.166,0.002,0.27,"[-0.57, 1.14]",0.51506,1.14,False,,0.51506,sem diferença clara,False
sem,sobra,ST,finalizacao,Gols menos xG (pontaria),8,7,-0.052,-0.186,0.133,1.379,"[0.31, 4.43]",0.01911,1.57,True,,0.03821,firme,False
sem,sobra,ST,defesa_vs_xg,xG sofrido menos gols sofridos (goleiro e defesa),8,7,0.168,0.248,-0.08,-0.529,"[-2.28, 0.49]",0.32415,1.57,False,,0.32415,sem diferença clara,False
