fronteira,familia,comparacao,indicador,citado,n_a,n_b,cru_a,cru_b,d,ic95_d,p,d_minimo_80,q,selo,poder_suficiente,subamostra,unidade,medida_nome,nome
com,topo,CM,max_m_per_min,0,16,48,85.927,82.691,0.099,"[-0.5, 0.69]",0.73079,0.82,0.73079,sem diferença clara,False,todos,clube-temporada,percentil por setor do onze físico: máximo,Metros por minuto: o melhor do onze
com,distancia,SM,amp_distance_p90,0,16,48,77.786,72.704,0.796,"[0.26, 1.48]",0.00426,0.82,0.01279,firme,False,todos,clube-temporada,percentil por setor do onze físico: máximo menos mínimo,Distância: do melhor ao último do onze
com,distancia,SM,amp_hi_distance_p90,0,16,48,74.655,76.854,-0.043,"[-0.59, 0.48]",0.88354,0.82,0.88354,sem diferença clara,False,todos,clube-temporada,percentil por setor do onze físico: máximo menos mínimo,Alta intensidade: do melhor ao último do onze
com,distancia,SM,amp_sprint_count_p90,0,16,48,79.166,82.418,-0.237,"[-0.82, 0.26]",0.35451,0.82,0.6464,sem diferença clara,False,todos,clube-temporada,percentil por setor do onze físico: máximo menos mínimo,Sprints: do melhor ao último do onze
com,distancia,SM,amp_high_accel_p90,0,16,48,75.251,75.894,-0.222,"[-0.81, 0.39]",0.43093,0.82,0.6464,sem diferença clara,False,todos,clube-temporada,percentil por setor do onze físico: máximo menos mínimo,Arrancadas fortes: do melhor ao último do onze
com,distancia,SM,amp_psv99,0,16,48,80.09,77.911,0.107,"[-0.48, 0.69]",0.71317,0.82,0.8558,sem diferença clara,False,todos,clube-temporada,percentil por setor do onze físico: máximo menos mínimo,Velocidade de pico: do melhor ao último do onze
com,distancia,SM,amp_m_per_min,0,16,48,77.786,72.704,0.809,"[0.3, 1.44]",0.00353,0.82,0.01279,firme,False,todos,clube-temporada,percentil por setor do onze físico: máximo menos mínimo,Metros por minuto: do melhor ao último do onze
com,distancia,CM,amp_distance_p90,0,16,48,73.328,72.704,0.352,"[-0.37, 1.04]",0.2346,0.82,0.44444,sem diferença clara,False,todos,clube-temporada,percentil por setor do onze físico: máximo menos mínimo,Distância: do melhor ao último do onze
com,distancia,CM,amp_hi_distance_p90,0,16,48,71.762,76.854,-0.224,"[-0.83, 0.36]",0.44444,0.82,0.44444,sem diferença clara,False,todos,clube-temporada,percentil por setor do onze físico: máximo menos mínimo,Alta intensidade: do melhor ao último do onze
com,distancia,CM,amp_sprint_count_p90,0,16,48,79.154,82.418,-0.288,"[-0.88, 0.24]",0.31725,0.82,0.44444,sem diferença clara,False,todos,clube-temporada,percentil por setor do onze físico: máximo menos mínimo,Sprints: do melhor ao último do onze
com,distancia,CM,amp_high_accel_p90,0,16,48,72.981,75.894,-0.239,"[-0.86, 0.4]",0.41357,0.82,0.44444,sem diferença clara,False,todos,clube-temporada,percentil por setor do onze físico: máximo menos mínimo,Arrancadas fortes: do melhor ao último do onze
com,distancia,CM,amp_psv99,0,16,48,83.744,77.911,0.85,"[0.31, 1.48]",0.00168,0.82,0.01008,firme,True,todos,clube-temporada,percentil por setor do onze físico: máximo menos mínimo,Velocidade de pico: do melhor ao último do onze
com,distancia,CM,amp_m_per_min,0,16,48,73.328,72.704,0.341,"[-0.34, 1.06]",0.25005,0.82,0.44444,sem diferença clara,False,todos,clube-temporada,percentil por setor do onze físico: máximo menos mínimo,Metros por minuto: do melhor ao último do onze
sem,nivel,SM,med_distance_p90,0,8,32,35.5,43.522,-0.122,"[-1.03, 0.87]",0.78089,1.14,0.78653,sem diferença clara,False,todos,clube-temporada,percentil por setor do onze físico: mediana,Distância: o onze médio
sem,nivel,SM,med_hi_distance_p90,0,8,32,45.08,46.329,0.111,"[-0.74, 0.93]",0.78653,1.14,0.78653,sem diferença clara,False,todos,clube-temporada,percentil por setor do onze físico: mediana,Alta intensidade: o onze médio
sem,nivel,SM,med_sprint_count_p90,0,8,32,52.841,49.497,0.161,"[-0.66, 1.01]",0.68916,1.14,0.78653,sem diferença clara,False,todos,clube-temporada,percentil por setor do onze físico: mediana,Sprints: o onze médio
sem,nivel,SM,med_high_accel_p90,0,8,32,35.065,46.657,-0.311,"[-1.31, 0.62]",0.5024,1.14,0.78653,sem diferença clara,False,todos,clube-temporada,percentil por setor do onze físico: mediana,Arrancadas fortes: o onze médio
sem,nivel,SM,med_psv99,0,8,32,62.54,53.137,0.305,"[-0.68, 1.49]",0.52007,1.14,0.78653,sem diferença clara,False,todos,clube-temporada,percentil por setor do onze físico: mediana,Velocidade de pico: o onze médio
sem,nivel,SM,med_m_per_min,0,8,32,35.5,43.522,-0.122,"[-1.05, 0.84]",0.78089,1.14,0.78653,sem diferença clara,False,todos,clube-temporada,percentil por setor do onze físico: mediana,Metros por minuto: o onze médio
sem,nivel,CM,med_distance_p90,0,12,32,41.827,43.522,-0.002,"[-0.52, 0.64]",0.99487,0.97,0.99487,sem diferença clara,False,todos,clube-temporada,percentil por setor do onze físico: mediana,Distância: o onze médio
sem,nivel,CM,med_hi_distance_p90,0,12,32,40.67,46.329,-0.624,"[-1.34, -0.02]",0.0471,0.97,0.2826,pode ser sorte,False,todos,clube-temporada,percentil por setor do onze físico: mediana,Alta intensidade: o onze médio
sem,nivel,CM,med_sprint_count_p90,0,12,32,41.144,49.497,-0.503,"[-1.21, 0.11]",0.15077,0.97,0.45171,sem diferença clara,False,todos,clube-temporada,percentil por setor do onze físico: mediana,Sprints: o onze médio
sem,nivel,CM,med_high_accel_p90,0,12,32,36.058,46.657,-0.43,"[-1.09, 0.13]",0.22585,0.97,0.45171,sem diferença clara,False,todos,clube-temporada,percentil por setor do onze físico: mediana,Arrancadas fortes: o onze médio
sem,nivel,CM,med_psv99,0,12,32,53.001,53.137,-0.136,"[-0.75, 0.56]",0.70865,0.97,0.99487,sem diferença clara,False,todos,clube-temporada,percentil por setor do onze físico: mediana,Velocidade de pico: o onze médio
sem,nivel,CM,med_m_per_min,0,12,32,41.827,43.522,-0.002,"[-0.54, 0.63]",0.99487,0.97,0.99487,sem diferença clara,False,todos,clube-temporada,percentil por setor do onze físico: mediana,Metros por minuto: o onze médio
sem,topo,SM,max_distance_p90,0,8,32,88.839,82.426,0.582,"[-0.28, 1.74]",0.1976,1.14,0.39521,sem diferença clara,False,todos,clube-temporada,percentil por setor do onze físico: máximo,Distância: o melhor do onze
