treinador,clube,temporada,jogos_antes,jogos_depois,dist_remate_antes,dist_remate_depois,dist_remate_mudou,entradas_area_antes,entradas_area_depois,entradas_area_mudou,duelo_def_antes,duelo_def_depois,duelo_def_mudou,xg_antes,xg_depois,xg_mudou,xg_contra_antes,xg_contra_depois,xg_contra_mudou,xg_por_remate_antes,xg_por_remate_depois,xg_por_remate_mudou,xg_por_remate_contra_antes,xg_por_remate_contra_depois,xg_por_remate_contra_mudou
Vagner Mancini,Ceará,2023,25,13,55.0,30.0,-25.0,40.0,85.0,45.0,0.0,40.0,40.0,60.0,80.0,20.0,5.0,75.0,70.0,65.0,70.0,5.0,15.0,85.0,70.0
Léo Condé,Ceará,2024,13,25,90.0,85.0,-5.0,90.0,80.0,-10.0,10.0,100.0,90.0,100.0,90.0,-10.0,55.0,100.0,45.0,100.0,75.0,-25.0,30.0,80.0,50.0
Daniel Paulista,Ceará,2026,11,12,100.0,50.0,-50.0,55.0,50.0,-5.0,95.0,0.0,-95.0,75.0,10.0,-65.0,20.0,5.0,-15.0,85.0,0.0,-85.0,5.0,0.0,-5.0
Marcelo Cabo,Chapecoense,2022,16,10,55.0,0.0,-55.0,55.0,27.5,-27.5,95.0,65.0,-30.0,25.0,30.0,5.0,65.0,80.0,15.0,5.0,5.0,0.0,80.0,95.0,15.0
Gilmar Dal Pozzo,Chapecoense,2022,26,11,25.0,65.0,40.0,50.0,55.0,5.0,85.0,100.0,15.0,30.0,85.0,55.0,80.0,45.0,-35.0,5.0,45.0,40.0,90.0,5.0,-85.0
Gilmar Dal Pozzo,Chapecoense,2023,8,11,50.0,35.0,-15.0,45.0,45.0,0.0,90.0,0.0,-90.0,90.0,30.0,-60.0,0.0,5.0,5.0,75.0,60.0,-15.0,5.0,65.0,60.0
Claudinei Oliveira,Chapecoense,2023,19,17,35.0,60.0,25.0,45.0,80.0,35.0,20.0,45.0,25.0,60.0,30.0,-30.0,0.0,45.0,45.0,65.0,5.0,-60.0,15.0,95.0,80.0
Gilmar Dal Pozzo,Chapecoense,2024,22,15,60.0,50.0,-10.0,30.0,5.0,-25.0,0.0,10.0,10.0,75.0,5.0,-70.0,5.0,45.0,40.0,45.0,5.0,-40.0,70.0,85.0,15.0
Jorginho,Coritiba,2024,11,19,25.0,25.0,0.0,90.0,10.0,-80.0,95.0,10.0,-85.0,25.0,65.0,40.0,70.0,50.0,-20.0,35.0,50.0,15.0,45.0,45.0,0.0
Eduardo Barros,Cuiabá,2025,21,17,80.0,95.0,15.0,75.0,95.0,20.0,50.0,15.0,-35.0,65.0,85.0,20.0,80.0,70.0,-10.0,80.0,25.0,-55.0,30.0,20.0,-10.0
Vagner Mancini,Goiás,2024,18,20,60.0,80.0,20.0,70.0,65.0,-5.0,50.0,20.0,-30.0,75.0,100.0,25.0,70.0,15.0,-55.0,80.0,90.0,10.0,80.0,50.0,-30.0
Mozart,Goiás,2026,14,13,50.0,45.0,-5.0,55.0,25.0,-30.0,100.0,0.0,-100.0,75.0,10.0,-65.0,50.0,80.0,30.0,90.0,55.0,-35.0,25.0,100.0,75.0
Renato Gaúcho,Grêmio,2022,28,10,35.0,100.0,65.0,75.0,95.0,20.0,70.0,100.0,30.0,75.0,100.0,25.0,90.0,100.0,10.0,75.0,100.0,25.0,95.0,90.0,-5.0
Mozart,Guarani,2022,15,23,50.0,85.0,35.0,60.0,55.0,-5.0,25.0,30.0,5.0,65.0,45.0,-20.0,25.0,65.0,40.0,35.0,60.0,25.0,35.0,65.0,30.0
Umberto Louzer,Guarani,2023,12,26,90.0,10.0,-80.0,95.0,35.0,-60.0,0.0,15.0,15.0,65.0,30.0,-35.0,5.0,90.0,85.0,100.0,85.0,-15.0,85.0,100.0,15.0
Allan Aal,Guarani,2024,18,20,0.0,15.0,15.0,95.0,10.0,-85.0,20.0,100.0,80.0,45.0,25.0,-20.0,50.0,75.0,25.0,5.0,15.0,10.0,0.0,20.0,20.0
Carlos Pimentel,Ituano,2022,17,21,90.0,95.0,5.0,35.0,25.0,-10.0,25.0,50.0,25.0,80.0,75.0,-5.0,70.0,35.0,-35.0,95.0,100.0,5.0,70.0,35.0,-35.0
Marcinho,Ituano,2023,8,30,35.0,75.0,40.0,20.0,80.0,60.0,35.0,65.0,30.0,0.0,20.0,20.0,5.0,70.0,65.0,5.0,15.0,10.0,30.0,60.0,30.0
Eduardo Souza,Londrina,2023,15,12,90.0,0.0,-90.0,80.0,15.0,-65.0,15.0,75.0,60.0,60.0,0.0,-60.0,45.0,40.0,-5.0,75.0,0.0,-75.0,80.0,20.0,-60.0
Roberto Fonseca,Londrina,2023,27,11,20.0,35.0,15.0,45.0,15.0,-30.0,50.0,10.0,-40.0,30.0,65.0,35.0,45.0,0.0,-45.0,15.0,85.0,70.0,50.0,20.0,-30.0
Rafael Guanaes,Novorizontino,2022,13,15,40.0,65.0,25.0,55.0,95.0,40.0,50.0,25.0,-25.0,55.0,75.0,20.0,80.0,0.0,-80.0,35.0,5.0,-30.0,35.0,0.0,-35.0
Mazola Júnior,Novorizontino,2022,28,10,50.0,90.0,40.0,80.0,85.0,5.0,35.0,5.0,-30.0,60.0,100.0,40.0,25.0,40.0,15.0,25.0,100.0,75.0,5.0,35.0,30.0
Enderson Moreira,Novorizontino,2025,23,15,10.0,80.0,70.0,40.0,95.0,55.0,95.0,10.0,-85.0,85.0,100.0,15.0,55.0,100.0,45.0,65.0,80.0,15.0,30.0,95.0,65.0
Dado Cavalcanti,Náutico,2022,24,13,10.0,0.0,-10.0,40.0,25.0,-15.0,5.0,25.0,20.0,55.0,0.0,-55.0,10.0,0.0,-10.0,35.0,0.0,-35.0,35.0,0.0,-35.0
Matheus Costa,Operário-PR,2022,19,16,0.0,20.0,20.0,10.0,40.0,30.0,35.0,65.0,30.0,10.0,0.0,-10.0,5.0,15.0,10.0,5.0,0.0,-5.0,35.0,25.0,-10.0
Alex,Operário-PR,2025,12,26,10.0,20.0,10.0,25.0,65.0,40.0,100.0,85.0,-15.0,50.0,60.0,10.0,75.0,100.0,25.0,40.0,25.0,-15.0,15.0,60.0,45.0
Márcio Fernandes,Paysandu,2024,25,13,60.0,5.0,-55.0,90.0,80.0,-10.0,35.0,100.0,65.0,10.0,40.0,30.0,50.0,25.0,-25.0,15.0,35.0,20.0,30.0,75.0,45.0
Claudinei Oliveira,Paysandu,2025,9,13,10.0,20.0,10.0,0.0,45.0,45.0,10.0,70.0,60.0,0.0,25.0,25.0,40.0,25.0,-15.0,0.0,35.0,35.0,90.0,55.0,-35.0
Márcio Fernandes,Paysandu,2025,22,10,20.0,10.0,-10.0,25.0,40.0,15.0,25.0,90.0,65.0,5.0,35.0,30.0,30.0,40.0,10.0,5.0,10.0,5.0,60.0,95.0,35.0
Pintado,Ponte Preta,2023,19,11,55.0,0.0,-55.0,15.0,5.0,-10.0,10.0,40.0,30.0,40.0,0.0,-40.0,30.0,25.0,-5.0,70.0,10.0,-60.0,80.0,35.0,-45.0
João Brigatti,Ponte Preta,2023,30,8,20.0,0.0,-20.0,10.0,15.0,5.0,15.0,65.0,50.0,20.0,0.0,-20.0,25.0,80.0,55.0,50.0,5.0,-45.0,75.0,50.0,-25.0
Márcio Zanardi,Ponte Preta,2026,12,12,40.0,5.0,-35.0,75.0,0.0,-75.0,95.0,0.0,-95.0,40.0,0.0,-40.0,5.0,0.0,-5.0,85.0,85.0,0.0,25.0,0.0,-25.0
António Oliveira,Remo,2025,12,15,95.0,45.0,-50.0,0.0,0.0,0.0,85.0,10.0,-75.0,100.0,10.0,-90.0,5.0,5.0,0.0,100.0,55.0,-45.0,90.0,30.0,-60.0
Guto Ferreira,Remo,2025,28,10,90.0,0.0,-90.0,0.0,15.0,15.0,15.0,10.0,-5.0,60.0,5.0,-55.0,5.0,50.0,45.0,95.0,0.0,-95.0,60.0,90.0,30.0
