fronteira,familia,comparacao,indicador,n_a,n_b,cru_a,cru_b,d,medida_nome,ic95_d,p,d_minimo_80,q,selo,poder_suficiente,nome,placar_redescrito
sem,sem_bola,esforco_x_efeito,fis_m_per_min_otip×recuperacoes,52,52,146.987,77.552,0.105,rho de Spearman,"[-0.17, 0.37]",0.45801,0.38,0.45801,sem relação clara,False,Metros por minuto sem posse × recuperações,True
sem,sem_bola,esforco_x_efeito,fis_m_per_min_otip×xg_contra,52,52,146.987,1.207,-0.108,rho de Spearman,"[-0.37, 0.17]",0.44625,0.38,0.45801,sem relação clara,False,Metros por minuto sem posse × xG sofrido,True
sem,sem_bola,esforco_x_efeito,fis_sprint_distance_p30otip×ppda,52,52,100.947,10.254,-0.715,rho de Spearman,"[-0.83, -0.55]",0.0,0.38,0.0,firme,True,Sprint sem posse × PPDA,True
sem,sem_bola,esforco_x_efeito,fis_sprint_distance_p30otip×recuperacoes,52,52,100.947,77.552,0.114,rho de Spearman,"[-0.16, 0.38]",0.41963,0.38,0.45801,sem relação clara,False,Sprint sem posse × recuperações,True
sem,sem_bola,esforco_x_efeito,fis_sprint_distance_p30otip×xg_contra,52,52,100.947,1.207,-0.149,rho de Spearman,"[-0.41, 0.13]",0.29201,0.38,0.45801,sem relação clara,False,Sprint sem posse × xG sofrido,True
sem,com_bola,esforco_x_efeito,fis_m_per_min_tip×entradas_area,52,52,135.688,21.539,-0.013,rho de Spearman,"[-0.28, 0.26]",0.92788,0.38,0.92788,sem relação clara,False,Metros por minuto com posse × entradas na área,True
sem,com_bola,esforco_x_efeito,fis_m_per_min_tip×xg,52,52,135.688,1.169,-0.063,rho de Spearman,"[-0.33, 0.21]",0.65977,0.38,0.82995,sem relação clara,False,Metros por minuto com posse × xG criado,True
sem,com_bola,esforco_x_efeito,fis_sprint_distance_p30tip×entradas_area,52,52,96.414,21.539,-0.056,rho de Spearman,"[-0.32, 0.22]",0.69162,0.38,0.82995,sem relação clara,False,Sprint com posse × entradas na área,True
sem,com_bola,esforco_x_efeito,fis_sprint_distance_p30tip×xg,52,52,96.414,1.169,0.201,rho de Spearman,"[-0.08, 0.45]",0.15228,0.38,0.30456,sem relação clara,False,Sprint com posse × xG criado,True
sem,com_bola,esforco_x_efeito,fis_runs_penalty_area_p30tip×entradas_area,52,52,3.012,21.539,0.481,rho de Spearman,"[0.24, 0.67]",0.00031,0.38,0.00093,firme,True,Corridas para a área × entradas na área,True
