fronteira,familia,comparacao,indicador,n_a,n_b,cru_a,cru_b,d,ic95_d,p,d_minimo_80,q,selo,poder_suficiente,nome,placar_redescrito
com,construcao,SM,posse,16,48,51.402,49.782,0.521,"[0.0, 1.09]",0.05612,0.82,0.13363,sem diferença clara,False,"Posse, %",False
com,construcao,SM,passes,16,48,401.461,380.029,0.52,"[-0.02, 1.14]",0.08018,0.82,0.13363,sem diferença clara,False,Passes por jogo,False
com,construcao,SM,passes_pct,16,48,82.174,81.29,0.526,"[-0.09, 1.15]",0.07065,0.82,0.13363,sem diferença clara,False,"Passes certos, %",False
com,construcao,SM,passe_longo_pct,16,48,11.622,12.006,0.476,"[-0.08, 1.09]",0.11149,0.82,0.13936,sem diferença clara,False,"Passes longos, % do total",False
com,construcao,SM,compr_passe,16,48,20.397,20.556,0.321,"[-0.24, 0.94]",0.30346,0.82,0.30346,sem diferença clara,False,Comprimento médio do passe (m),False
com,construcao,ST,posse,16,16,51.402,49.687,0.437,"[-0.3, 1.22]",0.22707,1.02,0.22707,sem diferença clara,False,"Posse, %",False
com,construcao,ST,passes,16,16,401.461,369.934,0.466,"[-0.28, 1.25]",0.19834,1.02,0.22707,sem diferença clara,False,Passes por jogo,False
com,construcao,ST,passes_pct,16,16,82.174,80.303,0.723,"[-0.04, 1.56]",0.0502,1.02,0.22707,sem diferença clara,False,"Passes certos, %",False
com,construcao,ST,passe_longo_pct,16,16,11.622,12.794,0.615,"[-0.11, 1.47]",0.09266,1.02,0.22707,sem diferença clara,False,"Passes longos, % do total",False
com,construcao,ST,compr_passe,16,16,20.397,20.877,0.444,"[-0.38, 1.36]",0.21908,1.02,0.22707,sem diferença clara,False,Comprimento médio do passe (m),False
com,construcao,CM,posse,16,48,48.459,49.782,-0.37,"[-1.0, 0.19]",0.18304,0.82,0.61089,sem diferença clara,False,"Posse, %",False
com,construcao,CM,passes,16,48,366.092,380.029,-0.295,"[-0.9, 0.24]",0.28242,0.82,0.61089,sem diferença clara,False,Passes por jogo,False
com,construcao,CM,passes_pct,16,48,80.894,81.29,-0.123,"[-0.65, 0.38]",0.63788,0.82,0.63788,sem diferença clara,False,"Passes certos, %",False
com,construcao,CM,passe_longo_pct,16,48,12.165,12.006,-0.194,"[-0.7, 0.34]",0.48871,0.82,0.61089,sem diferença clara,False,"Passes longos, % do total",False
com,construcao,CM,compr_passe,16,48,20.44,20.556,0.22,"[-0.31, 0.79]",0.45554,0.82,0.61089,sem diferença clara,False,Comprimento médio do passe (m),False
com,progressao,SM,passes_frente_pct,16,48,72.421,71.336,0.353,"[-0.22, 0.94]",0.23478,0.82,0.58694,sem diferença clara,False,"Passes para frente, %",False
com,progressao,SM,passes_progressivos,16,48,68.908,67.842,0.129,"[-0.39, 0.68]",0.64917,0.82,0.67641,sem diferença clara,False,Passes progressivos por jogo,False
com,progressao,SM,passes_terco_final,16,48,54.053,51.303,0.367,"[-0.13, 0.97]",0.204,0.82,0.58694,sem diferença clara,False,Passes no terço final por jogo,False
com,progressao,SM,atq_posicional,16,48,29.184,28.487,0.212,"[-0.43, 0.85]",0.49913,0.82,0.67641,sem diferença clara,False,Ataques posicionais por jogo,False
com,progressao,SM,contra_ataques,16,48,1.197,1.053,0.127,"[-0.48, 0.74]",0.67641,0.82,0.67641,sem diferença clara,False,Contra-ataques por jogo,False
