jogador,liga,time,posicao,setor,idade,minutos,jogos,fatia_pct,corte_da_posicao,minutagem_alta,minutagem_regular,temporadas_com_dado,temporadas_altas,regularidade_verificavel,homonimo_na_foto,contrato,nascido_em,passaporte,mercado,ocupa_vaga_de_estrangeiro,valor_mercado,pe,altura,contrato_na_janela,media_ajustada,elenco_cortado,elenco_no_export,forca_do_fator,casos_do_fator,indicadores_com_dado,exigencias_da_posicao,viola_na_origem,viola_no_ajustado,passa_ficha_origem,passa_ficha_ajustado,na_base_do_app,fisico_rastreado,sc_min_tot,faixa_salarial,valor_tr,nota_fisico,nota_duelo_corpo,nota_estilo_tecnico,fisico_da_posicao,duelos_def_ganhos_pct,duelos_def_ganhos_pct__pct,duelos_def_ganhos_pct__adj,duelos_def_ganhos_pct__delta,duelos_aereos_ganhos_pct,duelos_aereos_ganhos_pct__pct,duelos_aereos_ganhos_pct__adj,duelos_aereos_ganhos_pct__delta,passes_certos_pct,passes_certos_pct__pct,passes_certos_pct__adj,passes_certos_pct__delta,passes_progressivos_90,passes_progressivos_90__pct,passes_progressivos_90__adj,passes_progressivos_90__delta,psv5,psv5__pct,psv5__adj,psv5__delta,t_spr,t_spr__pct,t_spr__adj,t_spr__delta,t505_90,t505_90__pct,t505_90__adj,t505_90__delta,expl,expl__pct,expl__adj,expl__delta,spr_n,spr_n__pct,spr_n__adj,spr_n__delta,eixo_toques_area,eixo_toques_area__pct,eixo_toques_area__adj,eixo_toques_area__delta,eixo_passes_progressivos,eixo_passes_progressivos__pct,eixo_passes_progressivos__adj,eixo_passes_progressivos__delta
Juninho,Ucrania,Zorya,LB,Lateral,30.0,2437.0,28.0,90.3,46.8,True,True,2,2,True,False,2026-12-31,Brazil,Brazil,Exterior,False,500000.0,esquerdo,175.0,True,56.3,True,15,fraco,1.0,6,4,,,True,True,True,True,2349,100K - 150K,500000,atende,atende,atende,"Velocidade de pico, média dos 5 melhores jogos (km/h); Tempo até atingir o sprint (s)",62.23,64.4,51.915257476729934,-12.48,40.0,17.8,42.72017124903802,24.92,79.75,67.8,52.60172289714034,-15.2,6.43,26.7,34.801058622127584,8.1,31.54,81.8,81.8,0.0,1.23,73.9,73.9,0.0,1.85,80.7,,,1.69,54.5,,,10.49,34.1,,,0.74,33.3,37.6,4.33,6.43,26.7,34.8,8.1
João Vigário,Portugal C,Fafe,LB,Lateral,30.0,2143.0,24.0,85.0,46.8,True,True,2,2,True,False,2026-06-30,Portugal,Portugal,Exterior,True,0.0,esquerdo,180.0,True,55.8,False,15,fraco,2.0,4,4,,,True,True,True,False,0,40K - 60K,0,NÃO VERIFICADO,atende,atende,"Velocidade de pico, média dos 5 melhores jogos (km/h); Tempo até atingir o sprint (s)",65.0,58.0,50.628920920923086,-7.37,50.0,71.0,53.24986587554078,-17.75,78.1,86.0,56.31850758231246,-29.68,10.63,90.0,63.16213073815301,-26.84,,,,,,,,,,,,,,,,,,,,,1.22,90.0,63.2,-26.84,10.63,90.0,63.2,-26.84
Alex Méndez,Eslovaquia,DAC,LB,Lateral,24.0,2094.0,24.0,72.7,46.8,True,True,3,3,True,False,2026-06-30,Spain,Spain,Exterior,True,350000.0,esquerdo,182.0,True,55.7,True,15,fraco,1.0,4,4,,,True,True,True,False,0,200K - 280K,350000,NÃO VERIFICADO,atende,atende,"Velocidade de pico, média dos 5 melhores jogos (km/h); Tempo até atingir o sprint (s)",68.5,94.4,58.14033108515016,-36.26,65.22,100.0,59.25932479449733,-40.74,83.78,88.9,57.04226242824605,-31.86,7.65,55.6,48.32932503408191,-7.27,,,,,,,,,,,,,,,,,,,,,1.12,55.6,48.3,-7.27,7.65,55.6,48.3,-7.27
Maicon,Bulgaria,Levski Sofia,LB,Lateral,26.0,2951.0,33.0,93.7,46.8,True,True,2,2,True,False,2027-06-30,Brazil,Brazil,Exterior,False,0.0,,0.0,True,53.5,False,16,agrupado,3.0,4,4,,,True,True,True,False,0,100K - 150K,0,NÃO VERIFICADO,atende,atende,"Velocidade de pico, média dos 5 melhores jogos (km/h); Tempo até atingir o sprint (s)",66.83,78.0,54.77805584189012,-23.22,44.93,38.0,46.78833512457258,8.79,81.84,82.0,55.585884025857084,-26.41,9.0,76.0,57.02224083825619,-18.98,,,,,,,,,,,,,,,,,,,,,1.62,97.0,66.6,-30.39,9.0,76.0,57.0,-18.98
Viti Rozada,Espanha B,Las Palmas,RB,Lateral,28.0,2277.0,30.0,58.8,46.8,True,True,2,2,True,False,2027-06-30,Spain,Spain,Exterior,True,0.0,direito,170.0,True,53.4,False,16,agrupado,3.0,6,4,,,True,True,True,True,2280,500K - 680K,0,atende,atende,atende,"Velocidade de pico, média dos 5 melhores jogos (km/h); Tempo até atingir o sprint (s)",64.19,72.5,53.631406248135235,-18.87,23.26,5.6,40.42161486059554,34.82,85.84,94.4,58.09281486059554,-36.31,3.16,0.0,23.795841585167544,23.8,31.68,60.7,60.7,0.0,1.13,83.6,83.6,0.0,1.97,18.6,,,1.65,28.6,,,14.71,68.6,,,0.83,35.2,38.8,3.56,3.16,0.0,23.8,23.8
Pedro Araújo,Portugal C,Paredes,RB,Lateral,26.0,2203.0,24.0,90.7,46.8,True,True,3,3,True,False,2027-06-30,Portugal,Portugal,Exterior,True,0.0,direito,180.0,True,51.6,True,14,fraco,2.0,4,4,,passes_certos_pct,True,False,True,False,0,15K - 22K,0,NÃO VERIFICADO,atende,atende,"Velocidade de pico, média dos 5 melhores jogos (km/h); Tempo até atingir o sprint (s)",65.41,63.0,51.76445374591618,-11.24,63.16,100.0,59.25492388252302,-40.75,73.11,50.0,49.16995063134411,-0.83,7.72,52.0,46.30445235518694,-5.7,,,,,,,,,,,,,,,,,,,,,0.9,62.0,50.7,-11.25,7.72,52.0,46.3,-5.7
Fábio Pala,Portugal C,Amora,RB,Lateral,33.0,2029.0,23.0,83.5,46.8,True,True,2,2,True,False,2026-06-30,Portugal,Portugal,Exterior,True,0.0,direito,178.0,True,50.6,True,14,fraco,2.0,4,4,,passes_certos_pct,True,False,True,False,0,,0,NÃO VERIFICADO,atende,atende,"Velocidade de pico, média dos 5 melhores jogos (km/h); Tempo até atingir o sprint (s)",68.75,82.0,55.47642469243994,-26.52,43.14,48.0,48.6059183252125,0.61,73.51,54.0,49.80107489097764,-4.2,8.21,58.0,48.38355662122207,-9.62,,,,,,,,,,,,,,,,,,,,,0.58,25.0,34.0,9.0,8.21,58.0,48.4,-9.62
Nandinho,Portugal C,AD Marco 09,LB,Lateral,29.0,2585.0,27.0,106.4,46.8,True,True,3,2,True,False,2026-06-30,Portugal,Portugal,Exterior,True,0.0,esquerdo,175.0,True,49.2,True,14,fraco,2.0,4,4,,duelos_def_ganhos_pct,True,False,True,False,0,,0,NÃO VERIFICADO,atende,atende,"Velocidade de pico, média dos 5 melhores jogos (km/h); Tempo até atingir o sprint (s)",63.93,52.0,49.52160693559989,-2.48,36.84,22.0,43.59948561204922,21.6,75.88,74.0,53.93425996978212,-20.07,8.22,60.0,49.69452357802864,-10.31,,,,,,,,,,,,,,,,,,,,,0.77,54.0,47.0,-6.98,8.22,60.0,49.7,-10.31
Samuel Teles,Romenia,Universitatea Craiova,RWB,Lateral,29.0,1653.0,32.0,48.0,46.8,True,True,3,3,True,False,2027-06-30,Portugal,Portugal,Exterior,True,450000.0,direito,180.0,True,48.6,False,19,fraco,1.0,4,4,,,True,True,True,False,0,150K - 220K,450000,NÃO VERIFICADO,atende,atende,"Velocidade de pico, média dos 5 melhores jogos (km/h); Tempo até atingir o sprint (s)",69.72,86.5,56.47193064324318,-30.03,46.27,63.5,51.820662623956196,-11.68,79.16,82.7,55.697589203089215,-27.0,6.53,15.4,30.230383777663995,14.83,,,,,,,,,,,,,,,,,,,,,1.85,92.3,64.4,-27.92,6.53,15.4,30.2,14.83
Aldair,Bulgaria,Levski Sofia,RB,Lateral,26.0,1664.0,23.0,52.8,46.8,True,True,2,2,True,False,2027-06-30,Portugal,Portugal,Exterior,True,0.0,direito,180.0,True,47.4,False,16,agrupado,3.0,4,4,,duelos_def_ganhos_pct,True,False,True,False,0,100K - 150K,0,NÃO VERIFICADO,atende,atende,"Velocidade de pico, média dos 5 melhores jogos (km/h); Tempo até atingir o sprint (s)",63.64,50.0,49.16995063134411,-0.83,34.78,14.0,42.067864065908424,28.07,83.67,90.0,57.2083910109438,-32.79,7.68,40.0,41.01562069288116,1.02,,,,,,,,,,,,,,,,,,,,,1.35,88.0,62.5,-25.53,7.68,40.0,41.0,1.02
