liga,fator,casos,forca,destino,familia,ic95,ic95_lo,ic95_hi,p_da_familia,unidade_usada,fator_bruto,fator_sem_idade,quanto_era_selecao,quanto_era_idade,fator_so_quem_jogou_900,passou_bh,porta_coorte,nivel,n_indicadores_da_familia_no_bh,obs
Portugal B,-1.06,12,forte,Brasil C,eficiencia,"[-9.7, +9.0]",-9.66,9.04,0.85818,Portugal B,1.85,-1.0,2.85,0.06,-4.54,0,passou,provável,10,fator próprio da liga
Portugal B,1.95,12,forte,Brasil C,volume,"[-4.8, +8.3]",-4.8,8.27,0.54416,Portugal B,3.2,2.18,1.02,0.23,2.48,1,não passou,provável,12,fator próprio da liga
Chile,-5.41,10,forte,Brasil C,eficiencia,"[-12.8, +0.6]",-12.84,0.56,0.0977,Chile,-0.96,-5.36,4.41,0.05,-5.54,0,passou,provável,10,fator próprio da liga
Chile,-4.25,10,forte,Brasil C,volume,"[-14.1, +4.3]",-14.13,4.32,0.348,Chile,-4.37,-4.08,-0.3,0.17,-4.8,1,não passou,provável,12,fator próprio da liga
Japao B,-0.55,9,agrupado,Brasil C,eficiencia,"[-4.3, +3.4]",-4.25,3.39,0.8863,FAIXA ABAIXO,1.55,-0.61,2.16,-0.07,2.68,0,não passou,indício,10,fator da faixa de nível FAIXA ABAIXO (a liga tem 9 casos)
Japao B,-3.24,9,agrupado,Brasil C,volume,"[-7.1, +0.3]",-7.08,0.33,0.08614,FAIXA ABAIXO,-4.92,-3.48,-1.44,-0.25,-3.73,0,não passou,indício,12,fator da faixa de nível FAIXA ABAIXO (a liga tem 9 casos)
Japao A,-1.58,8,agrupado,Brasil C,eficiencia,"[-5.7, +2.5]",-5.72,2.48,0.53133,FAIXA PAREADO,2.02,-1.64,3.67,-0.06,2.37,0,não passou,indício,10,fator da faixa de nível FAIXA PAREADO (a liga tem 8 casos)
Japao A,0.24,8,agrupado,Brasil C,volume,"[-4.1, +4.8]",-4.15,4.75,0.88986,FAIXA PAREADO,0.53,0.02,0.51,-0.22,2.08,0,não passou,indício,12,fator da faixa de nível FAIXA PAREADO (a liga tem 8 casos)
Arabia Saudita A,-0.55,7,agrupado,Brasil C,eficiencia,"[-4.3, +3.4]",-4.25,3.39,0.8863,FAIXA ABAIXO,1.55,-0.61,2.16,-0.07,2.68,0,não passou,indício,10,fator da faixa de nível FAIXA ABAIXO (a liga tem 7 casos)
Arabia Saudita A,-3.24,7,agrupado,Brasil C,volume,"[-7.1, +0.3]",-7.08,0.33,0.08614,FAIXA ABAIXO,-4.92,-3.48,-1.44,-0.25,-3.73,0,não passou,indício,12,fator da faixa de nível FAIXA ABAIXO (a liga tem 7 casos)
Inglaterra A,6.28,7,agrupado,Brasil C,eficiencia,"[+2.4, +10.1]",2.41,10.11,0.00068,FAIXA ACIMA,6.94,6.25,0.69,-0.02,8.95,1,passou,indício,10,fator da faixa de nível FAIXA ACIMA (a liga tem 7 casos)
Inglaterra A,3.18,7,agrupado,Brasil C,volume,"[-0.1, +6.4]",-0.13,6.39,0.05656,FAIXA ACIMA,3.97,3.11,0.86,-0.07,4.93,1,não passou,indício,12,fator da faixa de nível FAIXA ACIMA (a liga tem 7 casos)
Paraguai,6.28,7,agrupado,Brasil C,eficiencia,"[+2.4, +10.1]",2.41,10.11,0.00068,FAIXA ACIMA,6.94,6.25,0.69,-0.02,8.95,1,passou,indício,10,fator da faixa de nível FAIXA ACIMA (a liga tem 7 casos)
Paraguai,3.18,7,agrupado,Brasil C,volume,"[-0.1, +6.4]",-0.13,6.39,0.05656,FAIXA ACIMA,3.97,3.11,0.86,-0.07,4.93,1,não passou,indício,12,fator da faixa de nível FAIXA ACIMA (a liga tem 7 casos)
Coreia B,6.28,6,agrupado,Brasil C,eficiencia,"[+2.4, +10.1]",2.41,10.11,0.00068,FAIXA ACIMA,6.94,6.25,0.69,-0.02,8.95,1,passou,indício,10,fator da faixa de nível FAIXA ACIMA (a liga tem 6 casos)
Coreia B,3.18,6,agrupado,Brasil C,volume,"[-0.1, +6.4]",-0.13,6.39,0.05656,FAIXA ACIMA,3.97,3.11,0.86,-0.07,4.93,1,não passou,indício,12,fator da faixa de nível FAIXA ACIMA (a liga tem 6 casos)
Grecia,6.28,6,agrupado,Brasil C,eficiencia,"[+2.4, +10.1]",2.41,10.11,0.00068,FAIXA ACIMA,6.94,6.25,0.69,-0.02,8.95,1,passou,indício,10,fator da faixa de nível FAIXA ACIMA (a liga tem 6 casos)
Grecia,3.18,6,agrupado,Brasil C,volume,"[-0.1, +6.4]",-0.13,6.39,0.05656,FAIXA ACIMA,3.97,3.11,0.86,-0.07,4.93,1,não passou,indício,12,fator da faixa de nível FAIXA ACIMA (a liga tem 6 casos)
Italia A,6.28,6,agrupado,Brasil C,eficiencia,"[+2.4, +10.1]",2.41,10.11,0.00068,FAIXA ACIMA,6.94,6.25,0.69,-0.02,8.95,1,passou,indício,10,fator da faixa de nível FAIXA ACIMA (a liga tem 6 casos)
Italia A,3.18,6,agrupado,Brasil C,volume,"[-0.1, +6.4]",-0.13,6.39,0.05656,FAIXA ACIMA,3.97,3.11,0.86,-0.07,4.93,1,não passou,indício,12,fator da faixa de nível FAIXA ACIMA (a liga tem 6 casos)
Mexico,-0.55,6,agrupado,Brasil C,eficiencia,"[-4.3, +3.4]",-4.25,3.39,0.8863,FAIXA ABAIXO,1.55,-0.61,2.16,-0.07,2.68,0,não passou,indício,10,fator da faixa de nível FAIXA ABAIXO (a liga tem 6 casos)
Mexico,-3.24,6,agrupado,Brasil C,volume,"[-7.1, +0.3]",-7.08,0.33,0.08614,FAIXA ABAIXO,-4.92,-3.48,-1.44,-0.25,-3.73,0,não passou,indício,12,fator da faixa de nível FAIXA ABAIXO (a liga tem 6 casos)
Russia,-1.58,6,agrupado,Brasil C,eficiencia,"[-5.7, +2.5]",-5.72,2.48,0.53133,FAIXA PAREADO,2.02,-1.64,3.67,-0.06,2.37,0,não passou,indício,10,fator da faixa de nível FAIXA PAREADO (a liga tem 6 casos)
Russia,0.24,6,agrupado,Brasil C,volume,"[-4.1, +4.8]",-4.15,4.75,0.88986,FAIXA PAREADO,0.53,0.02,0.51,-0.22,2.08,0,não passou,indício,12,fator da faixa de nível FAIXA PAREADO (a liga tem 6 casos)
Belgica A,-1.58,5,agrupado,Brasil C,eficiencia,"[-5.7, +2.5]",-5.72,2.48,0.53133,FAIXA PAREADO,2.02,-1.64,3.67,-0.06,2.37,0,não passou,indício,10,fator da faixa de nível FAIXA PAREADO (a liga tem 5 casos)
Belgica A,0.24,5,agrupado,Brasil C,volume,"[-4.1, +4.8]",-4.15,4.75,0.88986,FAIXA PAREADO,0.53,0.02,0.51,-0.22,2.08,0,não passou,indício,12,fator da faixa de nível FAIXA PAREADO (a liga tem 5 casos)
Equador A,-1.58,5,agrupado,Brasil C,eficiencia,"[-5.7, +2.5]",-5.72,2.48,0.53133,FAIXA PAREADO,2.02,-1.64,3.67,-0.06,2.37,0,não passou,indício,10,fator da faixa de nível FAIXA PAREADO (a liga tem 5 casos)
Equador A,0.24,5,agrupado,Brasil C,volume,"[-4.1, +4.8]",-4.15,4.75,0.88986,FAIXA PAREADO,0.53,0.02,0.51,-0.22,2.08,0,não passou,indício,12,fator da faixa de nível FAIXA PAREADO (a liga tem 5 casos)
Catar,-1.58,4,agrupado,Brasil C,eficiencia,"[-5.7, +2.5]",-5.72,2.48,0.53133,FAIXA PAREADO,2.02,-1.64,3.67,-0.06,2.37,0,não passou,indício,10,fator da faixa de nível FAIXA PAREADO (a liga tem 4 casos)
Catar,0.24,4,agrupado,Brasil C,volume,"[-4.1, +4.8]",-4.15,4.75,0.88986,FAIXA PAREADO,0.53,0.02,0.51,-0.22,2.08,0,não passou,indício,12,fator da faixa de nível FAIXA PAREADO (a liga tem 4 casos)
Coreia A,-0.55,4,agrupado,Brasil C,eficiencia,"[-4.3, +3.4]",-4.25,3.39,0.8863,FAIXA ABAIXO,1.55,-0.61,2.16,-0.07,2.68,0,não passou,indício,10,fator da faixa de nível FAIXA ABAIXO (a liga tem 4 casos)
Coreia A,-3.24,4,agrupado,Brasil C,volume,"[-7.1, +0.3]",-7.08,0.33,0.08614,FAIXA ABAIXO,-4.92,-3.48,-1.44,-0.25,-3.73,0,não passou,indício,12,fator da faixa de nível FAIXA ABAIXO (a liga tem 4 casos)
Emirados,6.28,4,agrupado,Brasil C,eficiencia,"[+2.4, +10.1]",2.41,10.11,0.00068,FAIXA ACIMA,6.94,6.25,0.69,-0.02,8.95,1,passou,indício,10,fator da faixa de nível FAIXA ACIMA (a liga tem 4 casos)
Emirados,3.18,4,agrupado,Brasil C,volume,"[-0.1, +6.4]",-0.13,6.39,0.05656,FAIXA ACIMA,3.97,3.11,0.86,-0.07,4.93,1,não passou,indício,12,fator da faixa de nível FAIXA ACIMA (a liga tem 4 casos)
Bahrain,-0.55,3,agrupado,Brasil C,eficiencia,"[-4.3, +3.4]",-4.25,3.39,0.8863,FAIXA ABAIXO,1.55,-0.61,2.16,-0.07,2.68,0,não passou,indício,10,fator da faixa de nível FAIXA ABAIXO (a liga tem 3 casos)
Bahrain,-3.24,3,agrupado,Brasil C,volume,"[-7.1, +0.3]",-7.08,0.33,0.08614,FAIXA ABAIXO,-4.92,-3.48,-1.44,-0.25,-3.73,0,não passou,indício,12,fator da faixa de nível FAIXA ABAIXO (a liga tem 3 casos)
Bolivia,-1.58,3,agrupado,Brasil C,eficiencia,"[-5.7, +2.5]",-5.72,2.48,0.53133,FAIXA PAREADO,2.02,-1.64,3.67,-0.06,2.37,0,não passou,indício,10,fator da faixa de nível FAIXA PAREADO (a liga tem 3 casos)
Bolivia,0.24,3,agrupado,Brasil C,volume,"[-4.1, +4.8]",-4.15,4.75,0.88986,FAIXA PAREADO,0.53,0.02,0.51,-0.22,2.08,0,não passou,indício,12,fator da faixa de nível FAIXA PAREADO (a liga tem 3 casos)
Bulgaria,-0.55,3,agrupado,Brasil C,eficiencia,"[-4.3, +3.4]",-4.25,3.39,0.8863,FAIXA ABAIXO,1.55,-0.61,2.16,-0.07,2.68,0,não passou,indício,10,fator da faixa de nível FAIXA ABAIXO (a liga tem 3 casos)
Bulgaria,-3.24,3,agrupado,Brasil C,volume,"[-7.1, +0.3]",-7.08,0.33,0.08614,FAIXA ABAIXO,-4.92,-3.48,-1.44,-0.25,-3.73,0,não passou,indício,12,fator da faixa de nível FAIXA ABAIXO (a liga tem 3 casos)
China,6.28,3,agrupado,Brasil C,eficiencia,"[+2.4, +10.1]",2.41,10.11,0.00068,FAIXA ACIMA,6.94,6.25,0.69,-0.02,8.95,1,passou,indício,10,fator da faixa de nível FAIXA ACIMA (a liga tem 3 casos)
China,3.18,3,agrupado,Brasil C,volume,"[-0.1, +6.4]",-0.13,6.39,0.05656,FAIXA ACIMA,3.97,3.11,0.86,-0.07,4.93,1,não passou,indício,12,fator da faixa de nível FAIXA ACIMA (a liga tem 3 casos)
Colombia B,-0.55,3,agrupado,Brasil C,eficiencia,"[-4.3, +3.4]",-4.25,3.39,0.8863,FAIXA ABAIXO,1.55,-0.61,2.16,-0.07,2.68,0,não passou,indício,10,fator da faixa de nível FAIXA ABAIXO (a liga tem 3 casos)
Colombia B,-3.24,3,agrupado,Brasil C,volume,"[-7.1, +0.3]",-7.08,0.33,0.08614,FAIXA ABAIXO,-4.92,-3.48,-1.44,-0.25,-3.73,0,não passou,indício,12,fator da faixa de nível FAIXA ABAIXO (a liga tem 3 casos)
Espanha B,-0.55,3,agrupado,Brasil C,eficiencia,"[-4.3, +3.4]",-4.25,3.39,0.8863,FAIXA ABAIXO,1.55,-0.61,2.16,-0.07,2.68,0,não passou,indício,10,fator da faixa de nível FAIXA ABAIXO (a liga tem 3 casos)
Espanha B,-3.24,3,agrupado,Brasil C,volume,"[-7.1, +0.3]",-7.08,0.33,0.08614,FAIXA ABAIXO,-4.92,-3.48,-1.44,-0.25,-3.73,0,não passou,indício,12,fator da faixa de nível FAIXA ABAIXO (a liga tem 3 casos)
Peru,6.28,3,agrupado,Brasil C,eficiencia,"[+2.4, +10.1]",2.41,10.11,0.00068,FAIXA ACIMA,6.94,6.25,0.69,-0.02,8.95,1,passou,indício,10,fator da faixa de nível FAIXA ACIMA (a liga tem 3 casos)
Peru,3.18,3,agrupado,Brasil C,volume,"[-0.1, +6.4]",-0.13,6.39,0.05656,FAIXA ACIMA,3.97,3.11,0.86,-0.07,4.93,1,não passou,indício,12,fator da faixa de nível FAIXA ACIMA (a liga tem 3 casos)
Espanha A,6.28,2,fraco,Brasil C,eficiencia,"[+2.4, +10.1]",2.41,10.11,0.00068,FAIXA ACIMA,6.94,6.25,0.69,-0.02,8.95,1,passou,indício,10,fator da faixa de nível FAIXA ACIMA (a liga tem 2 casos)
Espanha A,3.18,2,fraco,Brasil C,volume,"[-0.1, +6.4]",-0.13,6.39,0.05656,FAIXA ACIMA,3.97,3.11,0.86,-0.07,4.93,1,não passou,indício,12,fator da faixa de nível FAIXA ACIMA (a liga tem 2 casos)
França A,-1.58,2,fraco,Brasil C,eficiencia,"[-5.7, +2.5]",-5.72,2.48,0.53133,FAIXA PAREADO,2.02,-1.64,3.67,-0.06,2.37,0,não passou,indício,10,fator da faixa de nível FAIXA PAREADO (a liga tem 2 casos)
França A,0.24,2,fraco,Brasil C,volume,"[-4.1, +4.8]",-4.15,4.75,0.88986,FAIXA PAREADO,0.53,0.02,0.51,-0.22,2.08,0,não passou,indício,12,fator da faixa de nível FAIXA PAREADO (a liga tem 2 casos)
Polonia,6.28,2,fraco,Brasil C,eficiencia,"[+2.4, +10.1]",2.41,10.11,0.00068,FAIXA ACIMA,6.94,6.25,0.69,-0.02,8.95,1,passou,indício,10,fator da faixa de nível FAIXA ACIMA (a liga tem 2 casos)
Polonia,3.18,2,fraco,Brasil C,volume,"[-0.1, +6.4]",-0.13,6.39,0.05656,FAIXA ACIMA,3.97,3.11,0.86,-0.07,4.93,1,não passou,indício,12,fator da faixa de nível FAIXA ACIMA (a liga tem 2 casos)
Portugal C,-0.55,2,fraco,Brasil C,eficiencia,"[-4.3, +3.4]",-4.25,3.39,0.8863,FAIXA ABAIXO,1.55,-0.61,2.16,-0.07,2.68,0,não passou,indício,10,fator da faixa de nível FAIXA ABAIXO (a liga tem 2 casos)
Portugal C,-3.24,2,fraco,Brasil C,volume,"[-7.1, +0.3]",-7.08,0.33,0.08614,FAIXA ABAIXO,-4.92,-3.48,-1.44,-0.25,-3.73,0,não passou,indício,12,fator da faixa de nível FAIXA ABAIXO (a liga tem 2 casos)
Turquia,6.28,2,fraco,Brasil C,eficiencia,"[+2.4, +10.1]",2.41,10.11,0.00068,FAIXA ACIMA,6.94,6.25,0.69,-0.02,8.95,1,passou,indício,10,fator da faixa de nível FAIXA ACIMA (a liga tem 2 casos)
Turquia,3.18,2,fraco,Brasil C,volume,"[-0.1, +6.4]",-0.13,6.39,0.05656,FAIXA ACIMA,3.97,3.11,0.86,-0.07,4.93,1,não passou,indício,12,fator da faixa de nível FAIXA ACIMA (a liga tem 2 casos)
Venezuela,6.28,2,fraco,Brasil C,eficiencia,"[+2.4, +10.1]",2.41,10.11,0.00068,FAIXA ACIMA,6.94,6.25,0.69,-0.02,8.95,1,passou,indício,10,fator da faixa de nível FAIXA ACIMA (a liga tem 2 casos)
Venezuela,3.18,2,fraco,Brasil C,volume,"[-0.1, +6.4]",-0.13,6.39,0.05656,FAIXA ACIMA,3.97,3.11,0.86,-0.07,4.93,1,não passou,indício,12,fator da faixa de nível FAIXA ACIMA (a liga tem 2 casos)
Alemanha A,6.28,1,fraco,Brasil C,eficiencia,"[+2.4, +10.1]",2.41,10.11,0.00068,FAIXA ACIMA,6.94,6.25,0.69,-0.02,8.95,1,passou,indício,10,fator da faixa de nível FAIXA ACIMA (a liga tem 1 caso)
Alemanha A,3.18,1,fraco,Brasil C,volume,"[-0.1, +6.4]",-0.13,6.39,0.05656,FAIXA ACIMA,3.97,3.11,0.86,-0.07,4.93,1,não passou,indício,12,fator da faixa de nível FAIXA ACIMA (a liga tem 1 caso)
Alemanha B,6.28,1,fraco,Brasil C,eficiencia,"[+2.4, +10.1]",2.41,10.11,0.00068,FAIXA ACIMA,6.94,6.25,0.69,-0.02,8.95,1,passou,indício,10,fator da faixa de nível FAIXA ACIMA (a liga tem 1 caso)
Alemanha B,3.18,1,fraco,Brasil C,volume,"[-0.1, +6.4]",-0.13,6.39,0.05656,FAIXA ACIMA,3.97,3.11,0.86,-0.07,4.93,1,não passou,indício,12,fator da faixa de nível FAIXA ACIMA (a liga tem 1 caso)
Argentina RESERVAS,6.28,1,fraco,Brasil C,eficiencia,"[+2.4, +10.1]",2.41,10.11,0.00068,FAIXA ACIMA,6.94,6.25,0.69,-0.02,8.95,1,passou,indício,10,fator da faixa de nível FAIXA ACIMA (a liga tem 1 caso)
Argentina RESERVAS,3.18,1,fraco,Brasil C,volume,"[-0.1, +6.4]",-0.13,6.39,0.05656,FAIXA ACIMA,3.97,3.11,0.86,-0.07,4.93,1,não passou,indício,12,fator da faixa de nível FAIXA ACIMA (a liga tem 1 caso)
Dinamarca,6.28,1,fraco,Brasil C,eficiencia,"[+2.4, +10.1]",2.41,10.11,0.00068,FAIXA ACIMA,6.94,6.25,0.69,-0.02,8.95,1,passou,indício,10,fator da faixa de nível FAIXA ACIMA (a liga tem 1 caso)
Dinamarca,3.18,1,fraco,Brasil C,volume,"[-0.1, +6.4]",-0.13,6.39,0.05656,FAIXA ACIMA,3.97,3.11,0.86,-0.07,4.93,1,não passou,indício,12,fator da faixa de nível FAIXA ACIMA (a liga tem 1 caso)
Eslovaquia,-0.55,1,fraco,Brasil C,eficiencia,"[-4.3, +3.4]",-4.25,3.39,0.8863,FAIXA ABAIXO,1.55,-0.61,2.16,-0.07,2.68,0,não passou,indício,10,fator da faixa de nível FAIXA ABAIXO (a liga tem 1 caso)
Eslovaquia,-3.24,1,fraco,Brasil C,volume,"[-7.1, +0.3]",-7.08,0.33,0.08614,FAIXA ABAIXO,-4.92,-3.48,-1.44,-0.25,-3.73,0,não passou,indício,12,fator da faixa de nível FAIXA ABAIXO (a liga tem 1 caso)
Holanda,6.28,1,fraco,Brasil C,eficiencia,"[+2.4, +10.1]",2.41,10.11,0.00068,FAIXA ACIMA,6.94,6.25,0.69,-0.02,8.95,1,passou,indício,10,fator da faixa de nível FAIXA ACIMA (a liga tem 1 caso)
Holanda,3.18,1,fraco,Brasil C,volume,"[-0.1, +6.4]",-0.13,6.39,0.05656,FAIXA ACIMA,3.97,3.11,0.86,-0.07,4.93,1,não passou,indício,12,fator da faixa de nível FAIXA ACIMA (a liga tem 1 caso)
Inglaterra B,6.28,1,fraco,Brasil C,eficiencia,"[+2.4, +10.1]",2.41,10.11,0.00068,FAIXA ACIMA,6.94,6.25,0.69,-0.02,8.95,1,passou,indício,10,fator da faixa de nível FAIXA ACIMA (a liga tem 1 caso)
Inglaterra B,3.18,1,fraco,Brasil C,volume,"[-0.1, +6.4]",-0.13,6.39,0.05656,FAIXA ACIMA,3.97,3.11,0.86,-0.07,4.93,1,não passou,indício,12,fator da faixa de nível FAIXA ACIMA (a liga tem 1 caso)
Romenia,-0.55,1,fraco,Brasil C,eficiencia,"[-4.3, +3.4]",-4.25,3.39,0.8863,FAIXA ABAIXO,1.55,-0.61,2.16,-0.07,2.68,0,não passou,indício,10,fator da faixa de nível FAIXA ABAIXO (a liga tem 1 caso)
Romenia,-3.24,1,fraco,Brasil C,volume,"[-7.1, +0.3]",-7.08,0.33,0.08614,FAIXA ABAIXO,-4.92,-3.48,-1.44,-0.25,-3.73,0,não passou,indício,12,fator da faixa de nível FAIXA ABAIXO (a liga tem 1 caso)
Tcheca,-0.55,1,fraco,Brasil C,eficiencia,"[-4.3, +3.4]",-4.25,3.39,0.8863,FAIXA ABAIXO,1.55,-0.61,2.16,-0.07,2.68,0,não passou,indício,10,fator da faixa de nível FAIXA ABAIXO (a liga tem 1 caso)
Tcheca,-3.24,1,fraco,Brasil C,volume,"[-7.1, +0.3]",-7.08,0.33,0.08614,FAIXA ABAIXO,-4.92,-3.48,-1.44,-0.25,-3.73,0,não passou,indício,12,fator da faixa de nível FAIXA ABAIXO (a liga tem 1 caso)
Ucrania,-0.55,1,fraco,Brasil C,eficiencia,"[-4.3, +3.4]",-4.25,3.39,0.8863,FAIXA ABAIXO,1.55,-0.61,2.16,-0.07,2.68,0,não passou,indício,10,fator da faixa de nível FAIXA ABAIXO (a liga tem 1 caso)
Ucrania,-3.24,1,fraco,Brasil C,volume,"[-7.1, +0.3]",-7.08,0.33,0.08614,FAIXA ABAIXO,-4.92,-3.48,-1.44,-0.25,-3.73,0,não passou,indício,12,fator da faixa de nível FAIXA ABAIXO (a liga tem 1 caso)
Arabia Saudita B,,0,sem fator,,,,,,,,,,,,,,,,,liga do painel sem nenhuma transferência para o futebol brasileiro: sem faixa e sem fator
Argentina B,,0,sem fator,,,,,,,,,,,,,,,,,liga do painel sem nenhuma transferência para o futebol brasileiro: sem faixa e sem fator
Austria,,0,sem fator,,,,,,,,,,,,,,,,,liga do painel sem nenhuma transferência para o futebol brasileiro: sem faixa e sem fator
Belgica B,,0,sem fator,,,,,,,,,,,,,,,,,liga do painel sem nenhuma transferência para o futebol brasileiro: sem faixa e sem fator
Croacia,,0,sem fator,,,,,,,,,,,,,,,,,liga do painel sem nenhuma transferência para o futebol brasileiro: sem faixa e sem fator
Equador B,,0,sem fator,,,,,,,,,,,,,,,,,liga do painel sem nenhuma transferência para o futebol brasileiro: sem faixa e sem fator
Escocia,,0,sem fator,,,,,,,,,,,,,,,,,liga do painel sem nenhuma transferência para o futebol brasileiro: sem faixa e sem fator
Espanha C,,0,sem fator,,,,,,,,,,,,,,,,,liga do painel sem nenhuma transferência para o futebol brasileiro: sem faixa e sem fator
França B,,0,sem fator,,,,,,,,,,,,,,,,,liga do painel sem nenhuma transferência para o futebol brasileiro: sem faixa e sem fator
Hungria,,0,sem fator,,,,,,,,,,,,,,,,,liga do painel sem nenhuma transferência para o futebol brasileiro: sem faixa e sem fator
Israel,,0,sem fator,,,,,,,,,,,,,,,,,liga do painel sem nenhuma transferência para o futebol brasileiro: sem faixa e sem fator
Italia B,,0,sem fator,,,,,,,,,,,,,,,,,liga do painel sem nenhuma transferência para o futebol brasileiro: sem faixa e sem fator
Italia C,,0,sem fator,,,,,,,,,,,,,,,,,liga do painel sem nenhuma transferência para o futebol brasileiro: sem faixa e sem fator
Marrocos,,0,sem fator,,,,,,,,,,,,,,,,,liga do painel sem nenhuma transferência para o futebol brasileiro: sem faixa e sem fator
Noruega,,0,sem fator,,,,,,,,,,,,,,,,,liga do painel sem nenhuma transferência para o futebol brasileiro: sem faixa e sem fator
Servia,,0,sem fator,,,,,,,,,,,,,,,,,liga do painel sem nenhuma transferência para o futebol brasileiro: sem faixa e sem fator
Suecia,,0,sem fator,,,,,,,,,,,,,,,,,liga do painel sem nenhuma transferência para o futebol brasileiro: sem faixa e sem fator
Suiça,,0,sem fator,,,,,,,,,,,,,,,,,liga do painel sem nenhuma transferência para o futebol brasileiro: sem faixa e sem fator
