liga,fator,casos,forca,destino,familia,ic95,ic95_lo,ic95_hi,p_da_familia,unidade_usada,fator_bruto,fator_sem_idade,quanto_era_selecao,quanto_era_idade,fator_so_quem_jogou_900,passou_bh,porta_coorte,nivel,n_indicadores_da_familia_no_bh,obs
Grecia,-0.13,6,agrupado,Brasil A,volume,"[-3.4, +3.1]",-3.44,3.08,0.05656,FAIXA ACIMA,-2.88,0.03,-2.91,0.16,-0.13,1,não passou,indício,12,fator da faixa de nível FAIXA ACIMA (a liga tem 6 casos)
Italia A,3.59,6,agrupado,Brasil A,eficiencia,"[-0.3, +7.4]",-0.28,7.42,0.00068,FAIXA ACIMA,-1.18,3.64,-4.82,0.05,5.58,1,passou,indício,10,fator da faixa de nível FAIXA ACIMA (a liga tem 6 casos)
Italia A,-0.13,6,agrupado,Brasil A,volume,"[-3.4, +3.1]",-3.44,3.08,0.05656,FAIXA ACIMA,-2.88,0.03,-2.91,0.16,-0.13,1,não passou,indício,12,fator da faixa de nível FAIXA ACIMA (a liga tem 6 casos)
Mexico,-3.24,6,agrupado,Brasil A,eficiencia,"[-6.9, +0.7]",-6.94,0.7,0.8863,FAIXA ABAIXO,-6.58,-3.23,-3.35,0.01,-0.69,0,não passou,indício,10,fator da faixa de nível FAIXA ABAIXO (a liga tem 6 casos)
Mexico,-6.55,6,agrupado,Brasil A,volume,"[-10.4, -3.0]",-10.39,-2.98,0.08614,FAIXA ABAIXO,-11.77,-6.56,-5.21,-0.01,-8.79,0,não passou,indício,12,fator da faixa de nível FAIXA ABAIXO (a liga tem 6 casos)
Russia,-4.27,6,agrupado,Brasil A,eficiencia,"[-8.4, -0.2]",-8.41,-0.21,0.53133,FAIXA PAREADO,-6.1,-4.26,-1.84,0.01,-0.99,0,não passou,indício,10,fator da faixa de nível FAIXA PAREADO (a liga tem 6 casos)
Russia,-3.07,6,agrupado,Brasil A,volume,"[-7.5, +1.4]",-7.46,1.44,0.88986,FAIXA PAREADO,-6.32,-3.05,-3.26,0.02,-2.98,0,não passou,indício,12,fator da faixa de nível FAIXA PAREADO (a liga tem 6 casos)
Belgica A,-4.27,5,agrupado,Brasil A,eficiencia,"[-8.4, -0.2]",-8.41,-0.21,0.53133,FAIXA PAREADO,-6.1,-4.26,-1.84,0.01,-0.99,0,não passou,indício,10,fator da faixa de nível FAIXA PAREADO (a liga tem 5 casos)
Belgica A,-3.07,5,agrupado,Brasil A,volume,"[-7.5, +1.4]",-7.46,1.44,0.88986,FAIXA PAREADO,-6.32,-3.05,-3.26,0.02,-2.98,0,não passou,indício,12,fator da faixa de nível FAIXA PAREADO (a liga tem 5 casos)
Equador A,-4.27,5,agrupado,Brasil A,eficiencia,"[-8.4, -0.2]",-8.41,-0.21,0.53133,FAIXA PAREADO,-6.1,-4.26,-1.84,0.01,-0.99,0,não passou,indício,10,fator da faixa de nível FAIXA PAREADO (a liga tem 5 casos)
Equador A,-3.07,5,agrupado,Brasil A,volume,"[-7.5, +1.4]",-7.46,1.44,0.88986,FAIXA PAREADO,-6.32,-3.05,-3.26,0.02,-2.98,0,não passou,indício,12,fator da faixa de nível FAIXA PAREADO (a liga tem 5 casos)
Catar,-4.27,4,agrupado,Brasil A,eficiencia,"[-8.4, -0.2]",-8.41,-0.21,0.53133,FAIXA PAREADO,-6.1,-4.26,-1.84,0.01,-0.99,0,não passou,indício,10,fator da faixa de nível FAIXA PAREADO (a liga tem 4 casos)
Catar,-3.07,4,agrupado,Brasil A,volume,"[-7.5, +1.4]",-7.46,1.44,0.88986,FAIXA PAREADO,-6.32,-3.05,-3.26,0.02,-2.98,0,não passou,indício,12,fator da faixa de nível FAIXA PAREADO (a liga tem 4 casos)
Coreia A,-3.24,4,agrupado,Brasil A,eficiencia,"[-6.9, +0.7]",-6.94,0.7,0.8863,FAIXA ABAIXO,-6.58,-3.23,-3.35,0.01,-0.69,0,não passou,indício,10,fator da faixa de nível FAIXA ABAIXO (a liga tem 4 casos)
Coreia A,-6.55,4,agrupado,Brasil A,volume,"[-10.4, -3.0]",-10.39,-2.98,0.08614,FAIXA ABAIXO,-11.77,-6.56,-5.21,-0.01,-8.79,0,não passou,indício,12,fator da faixa de nível FAIXA ABAIXO (a liga tem 4 casos)
Emirados,3.59,4,agrupado,Brasil A,eficiencia,"[-0.3, +7.4]",-0.28,7.42,0.00068,FAIXA ACIMA,-1.18,3.64,-4.82,0.05,5.58,1,passou,indício,10,fator da faixa de nível FAIXA ACIMA (a liga tem 4 casos)
Emirados,-0.13,4,agrupado,Brasil A,volume,"[-3.4, +3.1]",-3.44,3.08,0.05656,FAIXA ACIMA,-2.88,0.03,-2.91,0.16,-0.13,1,não passou,indício,12,fator da faixa de nível FAIXA ACIMA (a liga tem 4 casos)
Bahrain,-3.24,3,agrupado,Brasil A,eficiencia,"[-6.9, +0.7]",-6.94,0.7,0.8863,FAIXA ABAIXO,-6.58,-3.23,-3.35,0.01,-0.69,0,não passou,indício,10,fator da faixa de nível FAIXA ABAIXO (a liga tem 3 casos)
Bahrain,-6.55,3,agrupado,Brasil A,volume,"[-10.4, -3.0]",-10.39,-2.98,0.08614,FAIXA ABAIXO,-11.77,-6.56,-5.21,-0.01,-8.79,0,não passou,indício,12,fator da faixa de nível FAIXA ABAIXO (a liga tem 3 casos)
Bolivia,-4.27,3,agrupado,Brasil A,eficiencia,"[-8.4, -0.2]",-8.41,-0.21,0.53133,FAIXA PAREADO,-6.1,-4.26,-1.84,0.01,-0.99,0,não passou,indício,10,fator da faixa de nível FAIXA PAREADO (a liga tem 3 casos)
Bolivia,-3.07,3,agrupado,Brasil A,volume,"[-7.5, +1.4]",-7.46,1.44,0.88986,FAIXA PAREADO,-6.32,-3.05,-3.26,0.02,-2.98,0,não passou,indício,12,fator da faixa de nível FAIXA PAREADO (a liga tem 3 casos)
Bulgaria,-3.24,3,agrupado,Brasil A,eficiencia,"[-6.9, +0.7]",-6.94,0.7,0.8863,FAIXA ABAIXO,-6.58,-3.23,-3.35,0.01,-0.69,0,não passou,indício,10,fator da faixa de nível FAIXA ABAIXO (a liga tem 3 casos)
Bulgaria,-6.55,3,agrupado,Brasil A,volume,"[-10.4, -3.0]",-10.39,-2.98,0.08614,FAIXA ABAIXO,-11.77,-6.56,-5.21,-0.01,-8.79,0,não passou,indício,12,fator da faixa de nível FAIXA ABAIXO (a liga tem 3 casos)
China,3.59,3,agrupado,Brasil A,eficiencia,"[-0.3, +7.4]",-0.28,7.42,0.00068,FAIXA ACIMA,-1.18,3.64,-4.82,0.05,5.58,1,passou,indício,10,fator da faixa de nível FAIXA ACIMA (a liga tem 3 casos)
China,-0.13,3,agrupado,Brasil A,volume,"[-3.4, +3.1]",-3.44,3.08,0.05656,FAIXA ACIMA,-2.88,0.03,-2.91,0.16,-0.13,1,não passou,indício,12,fator da faixa de nível FAIXA ACIMA (a liga tem 3 casos)
Colombia B,-3.24,3,agrupado,Brasil A,eficiencia,"[-6.9, +0.7]",-6.94,0.7,0.8863,FAIXA ABAIXO,-6.58,-3.23,-3.35,0.01,-0.69,0,não passou,indício,10,fator da faixa de nível FAIXA ABAIXO (a liga tem 3 casos)
Colombia B,-6.55,3,agrupado,Brasil A,volume,"[-10.4, -3.0]",-10.39,-2.98,0.08614,FAIXA ABAIXO,-11.77,-6.56,-5.21,-0.01,-8.79,0,não passou,indício,12,fator da faixa de nível FAIXA ABAIXO (a liga tem 3 casos)
Espanha B,-3.24,3,agrupado,Brasil A,eficiencia,"[-6.9, +0.7]",-6.94,0.7,0.8863,FAIXA ABAIXO,-6.58,-3.23,-3.35,0.01,-0.69,0,não passou,indício,10,fator da faixa de nível FAIXA ABAIXO (a liga tem 3 casos)
Espanha B,-6.55,3,agrupado,Brasil A,volume,"[-10.4, -3.0]",-10.39,-2.98,0.08614,FAIXA ABAIXO,-11.77,-6.56,-5.21,-0.01,-8.79,0,não passou,indício,12,fator da faixa de nível FAIXA ABAIXO (a liga tem 3 casos)
Peru,3.59,3,agrupado,Brasil A,eficiencia,"[-0.3, +7.4]",-0.28,7.42,0.00068,FAIXA ACIMA,-1.18,3.64,-4.82,0.05,5.58,1,passou,indício,10,fator da faixa de nível FAIXA ACIMA (a liga tem 3 casos)
