treinador,clube,id_clube,funcao,interino,inicio,fim,em_curso,dias,jogos_tm,ppj_tm
Lúcio Flávio,Botafogo FR,537,Treinador,0,2023-10-05,2023-11-15,0,41,8,1.00
Tiago Nunes,Botafogo FR,537,Treinador,0,2023-11-15,2024-02-22,0,99,15,1.27
Fábio Matias,Botafogo FR,537,Treinador,0,2024-02-23,2024-04-10,0,47,10,2.50
Artur Jorge,Botafogo FR,537,Treinador,0,2024-04-03,2025-01-03,0,275,55,2.00
Carlos Leiria,Botafogo FR,537,Treinador interino,1,2025-01-01,2025-02-13,0,43,10,1.20
Cláudio Caçapa,Botafogo FR,537,Treinador interino,1,2025-02-13,2025-02-28,0,15,3,0.33
Renato Paiva,Botafogo FR,537,Treinador,0,2025-02-28,2025-06-29,0,121,23,1.70
Davide Ancelotti,Botafogo FR,537,Treinador,0,2025-07-08,2025-12-17,0,162,33,1.67
Martín Anselmi,Botafogo FR,537,Treinador,0,2026-01-01,2026-03-22,0,80,17,1.35
Rodrigo Bellão,Botafogo FR,537,Treinador interino,1,2026-03-28,2026-04-05,0,8,3,2.00
Franclim Carvalho,Botafogo FR,537,Treinador,0,2026-04-02,2026-08-18,0,138,22,1.68
Rodrigo Bellão,Botafogo FR,537,Treinador interino,1,2026-08-19,2026-09-17,0,29,6,1.33
Tite,Botafogo FR,537,Treinador,0,2026-09-17,,1,,0,-
Pingo,Brusque FC,14390,Treinador,0,2018-01-26,2018-11-25,0,303,24,1.29
Paulo Baier,Brusque FC,14390,Treinador,0,2018-11-25,2019-01-25,0,61,3,0.67
Marcelo Caranhato,Brusque FC,14390,Treinador,0,2019-01-26,2019-04-08,0,72,16,1.19
Waguinho Dias,Brusque FC,14390,Treinador,0,2019-04-09,2019-08-27,0,140,16,2.06
Jerson Testoni,Brusque FC,14390,Treinador,0,2019-09-30,2021-09-14,0,715,84,1.56
Waguinho Dias,Brusque FC,14390,Treinador,0,2021-09-15,2022-05-15,0,242,39,1.59
Luan Carlos,Brusque FC,14390,Treinador,0,2022-05-17,2022-08-31,0,106,20,1.05
Gilson Kleina,Brusque FC,14390,Treinador,0,2022-09-02,2022-11-07,0,66,11,0.55
Luizinho Lopes,Brusque FC,14390,Treinador,0,2022-11-11,2024-05-20,0,556,72,1.54
Luizinho Vieira,Brusque FC,14390,Treinador,0,2024-05-20,2024-09-09,0,112,20,0.95
Marcelo Cabo,Brusque FC,14390,Treinador,0,2024-09-09,2024-11-25,0,77,13,1.00
Filipe Gouveia,Brusque FC,14390,Treinador,0,2025-01-06,2025-07-09,0,184,27,1.41
Bernardo Franco,Brusque FC,14390,Treinador,0,2025-07-10,2025-10-20,0,102,14,1.36
Higo Magalhães,Brusque FC,14390,Treinador,0,2025-12-03,,1,,32,1.72
Marcelo Veiga,CA Bragantino,8793,Treinador,0,2017-08-22,2019-04-01,0,587,57,1.35
Antônio Carlos Zago,CA Bragantino,8793,Treinador,0,2019-04-23,2020-01-01,0,253,37,2.00
Vinícius Munhoz,CA Bragantino,8793,Treinador interino,1,2020-01-21,2020-01-24,0,3,1,1.00
Felipe Conceição,CA Bragantino,8793,Treinador,0,2020-01-25,2020-08-31,0,219,20,1.65
Marcinho,CA Bragantino,8793,Treinador interino,1,2020-08-31,2020-09-04,0,4,1,1.00
Maurício Barbieri,CA Bragantino,8793,Treinador,0,2020-09-04,2022-11-10,0,797,160,1.47
Marcinho,CA Bragantino,8793,Treinador interino,1,2022-11-11,2022-12-31,0,50,1,0.00
Pedro Caixinha,CA Bragantino,8793,Treinador,0,2023-01-01,2024-10-27,0,665,124,1.50
Pedro Malta,CA Bragantino,8793,Treinador interino,1,2024-06-19,2024-06-21,0,2,1,0.00
Fernando Seabra,CA Bragantino,8793,Treinador,0,2024-10-31,2025-10-27,0,361,56,1.29
Vagner Mancini,CA Bragantino,8793,Treinador,0,2025-10-30,,1,,55,1.45
Zé Ricardo,CR Vasco da Gama,978,Treinador,0,2017-08-23,2018-06-03,0,284,50,1.64
Jorginho,CR Vasco da Gama,978,Treinador,0,2018-06-06,2018-08-13,0,68,10,1.30
Valdir Bigode,CR Vasco da Gama,978,Treinador interino,1,2018-06-06,2018-06-08,0,2,1,1.00
Valdir Bigode,CR Vasco da Gama,978,Treinador interino,1,2018-08-20,2018-08-27,0,7,3,1.67
Alberto Valentim,CR Vasco da Gama,978,Treinador,0,2018-08-27,2019-04-21,0,237,42,1.52
Marcos Valadares,CR Vasco da Gama,978,Treinador interino,1,2019-04-22,2019-05-13,0,21,5,0.80
Vanderlei Luxemburgo,CR Vasco da Gama,978,Treinador,0,2019-05-13,2019-12-31,0,232,34,1.41
Abel Braga,CR Vasco da Gama,978,Treinador,0,2019-12-16,2020-03-16,0,91,14,1.21
Ramon Menezes,CR Vasco da Gama,978,Treinador,0,2020-03-30,2020-10-08,0,192,17,1.47
Alexandre Grasseli,CR Vasco da Gama,978,Treinador interino,1,2020-10-08,2020-10-19,0,11,2,0.00
Ricardo Sá Pinto,CR Vasco da Gama,978,Treinador,0,2020-10-19,2020-12-29,0,71,15,1.00
Vanderlei Luxemburgo,CR Vasco da Gama,978,Treinador,0,2021-01-04,2021-02-27,0,54,12,1.08
Marcelo Cabo,CR Vasco da Gama,978,Treinador,0,2021-03-02,2021-07-19,0,139,30,1.73
Lisca,CR Vasco da Gama,978,Treinador,0,2021-07-23,2021-09-12,0,51,12,1.08
Fernando Diniz,CR Vasco da Gama,978,Treinador,0,2021-09-14,2021-11-11,0,58,12,1.25
Fabio Cortez,CR Vasco da Gama,978,Treinador interino,1,2021-11-12,2021-12-01,0,19,3,0.67
Zé Ricardo,CR Vasco da Gama,978,Treinador,0,2022-01-10,2022-06-05,0,146,25,1.72
Emilio Faro,CR Vasco da Gama,978,Treinador interino,1,2022-06-06,2022-06-14,0,8,1,3.00
Maurício Souza,CR Vasco da Gama,978,Treinador,0,2022-06-15,2022-07-24,0,39,8,1.13
Emilio Faro,CR Vasco da Gama,978,Treinador interino,1,2022-07-25,2022-09-05,0,42,8,1.25
Jorginho,CR Vasco da Gama,978,Treinador,0,2022-09-06,2022-11-09,0,64,10,1.70
Maurício Barbieri,CR Vasco da Gama,978,Treinador,0,2022-12-06,2023-06-23,0,199,25,1.24
William Batista,CR Vasco da Gama,978,Treinador interino,1,2023-06-24,2023-07-16,0,22,3,1.00
Ramón Díaz,CR Vasco da Gama,978,Treinador,0,2023-07-17,2024-04-28,0,286,42,1.55
Rafael Paiva,CR Vasco da Gama,978,Treinador interino,1,2024-04-30,2024-05-31,0,31,4,1.75
Álvaro Pacheco,CR Vasco da Gama,978,Treinador,0,2024-05-21,2024-06-20,0,30,4,0.25
Rafael Paiva,CR Vasco da Gama,978,Treinador,0,2024-06-21,2024-11-25,0,157,31,1.45
Felipe Loureiro,CR Vasco da Gama,978,Treinador interino,1,2024-11-29,2024-12-09,0,10,3,2.33
Fábio Carille,CR Vasco da Gama,978,Treinador,0,2024-12-20,2025-04-27,0,128,21,1.52
Ramon Lima,CR Vasco da Gama,978,Treinador,0,2025-01-01,2025-01-17,0,16,2,1.00
Felipe Loureiro,CR Vasco da Gama,978,Treinador interino,1,2025-04-28,2025-05-09,0,11,3,0.33
Fernando Diniz,CR Vasco da Gama,978,Treinador,0,2025-05-09,2026-02-22,0,289,55,1.33
Bruno Lazaroni,CR Vasco da Gama,978,Treinador interino,1,2026-02-22,2026-03-03,0,9,2,0.50
Renato Gaúcho,CR Vasco da Gama,978,Treinador,0,2026-03-04,2026-06-18,0,106,18,1.44
Pedro Emanuel,CR Vasco da Gama,978,Treinador,0,2026-07-10,,1,,18,1.67
Mazola Júnior,CRB,11449,Treinador,0,2017-09-18,2018-04-14,0,208,37,1.57
Júnior Rocha,CRB,11449,Treinador,0,2018-04-16,2018-06-27,0,72,16,1.06
Doriva,CRB,11449,Treinador,0,2018-06-28,2018-09-16,0,80,14,1.21
Roberto Fernandes,CRB,11449,Treinador,0,2018-09-16,2019-04-06,0,202,31,1.77
Marcelo Chamusca,CRB,11449,Treinador,0,2019-04-07,2019-10-14,0,190,33,1.30
Marcelo Cabo,CRB,11449,Treinador,0,2019-10-14,2020-11-08,0,391,53,1.55
Ramon Menezes,CRB,11449,Treinador,0,2020-11-11,2020-12-17,0,36,8,1.00
Roberto Fernandes,CRB,11449,Treinador,0,2020-12-18,2021-05-24,0,157,32,1.88
Allan Aal,CRB,11449,Treinador,0,2021-05-27,2022-02-10,0,259,50,1.54
Marcelo Cabo,CRB,11449,Treinador,0,2022-02-11,2022-05-15,0,93,24,1.38
Daniel Paulista,CRB,11449,Treinador,0,2022-05-16,2022-11-03,0,171,30,1.53
Daniel Barboza,CRB,11449,Treinador interino,1,2022-11-04,2022-11-07,0,3,1,0.00
Umberto Louzer,CRB,11449,Treinador,0,2023-01-10,2023-05-28,0,138,32,1.81
Daniel Paulista,CRB,11449,Treinador,0,2023-05-31,2024-09-05,0,463,83,1.69
Bruno Pivetti,CRB,11449,Treinador,0,2024-09-09,2024-09-20,0,11,3,0.33
Hélio dos Anjos,CRB,11449,Treinador,0,2024-09-23,2024-11-30,0,68,11,1.55
Umberto Louzer,CRB,11449,Treinador,0,2024-12-02,2025-03-27,0,115,18,1.72
Eduardo Barroca,CRB,11449,Treinador,0,2025-03-28,2026-07-04,0,463,79,1.49
Flávio Araújo,CSA,18545,Treinador,0,2017-09-08,2018-02-16,0,161,15,1.80
Marcelo Cabo,CSA,18545,Treinador,0,2018-02-19,2019-06-30,0,496,79,1.57
Argel Fuchs,CSA,18545,Treinador,0,2019-07-02,2019-11-29,0,150,26,1.00
Jacozinho,CSA,18545,Treinador interino,1,2019-11-29,2019-12-10,0,11,3,0.00
Maurício Barbieri,CSA,18545,Treinador,0,2019-12-10,2020-02-10,0,62,6,1.17
Eduardo Baptista,CSA,18545,Treinador,0,2020-02-11,2020-08-30,0,201,15,1.27
Argel Fuchs,CSA,18545,Treinador,0,2020-08-31,2020-09-16,0,16,3,0.33
Adriano Rodrigues,CSA,18545,Treinador interino,1,2020-09-17,2020-09-23,0,6,1,3.00
Mozart,CSA,18545,Treinador,0,2020-09-24,2021-04-18,0,206,45,1.73
Adriano Rodrigues,CSA,18545,Treinador interino,1,2021-02-19,2021-02-22,0,3,1,1.00
Bruno Pivetti,CSA,18545,Treinador,0,2021-04-30,2021-07-04,0,65,13,1.23
Adriano Rodrigues,CSA,18545,Treinador interino,1,2021-07-05,2021-07-12,0,7,1,3.00
Ney Franco,CSA,18545,Treinador,0,2021-07-12,2021-09-01,0,51,12,1.42
Mozart,CSA,18545,Treinador,0,2021-09-02,2022-06-13,0,284,55,1.76
Alberto Valentim,CSA,18545,Treinador,0,2022-06-17,2022-08-08,0,52,10,0.70
Roberto Fernandes,CSA,18545,Treinador,0,2022-08-08,2022-10-15,0,68,11,0.91
Adriano Rodrigues,CSA,18545,Treinador interino,1,2022-08-08,2022-08-11,0,3,1,3.00
Adriano Rodrigues,CSA,18545,Treinador,0,2022-10-15,2022-12-05,0,51,3,2.00
Roberto Fonseca,CSA,18545,Treinador,0,2022-12-08,2023-02-02,0,56,7,1.57
Bebeto Moraes,CSA,18545,Treinador interino,1,2023-02-03,2023-02-23,0,20,5,1.60
Vinícius,CSA,18545,Treinador,0,2023-02-24,2023-06-21,0,117,17,1.29
Marcelo Cabo,CSA,18545,Treinador,0,2023-06-27,2023-09-21,0,86,10,1.10
Rogério Corrêa,CSA,18545,Treinador,0,2023-12-06,2024-01-22,0,47,2,1.50
Marcelo Cabo,CSA,18545,Treinador,0,2024-01-23,2024-03-04,0,41,6,0.83
Cristian de Souza,CSA,18545,Treinador,0,2024-03-22,2024-06-13,0,83,8,0.75
Bebeto Moraes,CSA,18545,Treinador,0,2024-05-16,2024-06-17,0,32,1,1.00
Higo Magalhães,CSA,18545,Treinador,0,2024-05-24,2025-07-26,0,428,50,1.80
Márcio Fernandes,CSA,18545,Treinador,0,2025-07-28,2025-09-08,0,42,8,0.63
Itamar Schulle,CSA,18545,Treinador,0,2026-01-08,2026-03-01,0,52,10,1.70
Moacir Júnior,CSA,18545,Treinador,0,2026-03-10,,1,,20,1.65
Marcelo Chamusca,Ceará SC,2029,Treinador,0,2017-07-01,2018-05-20,0,323,63,1.83
Jorginho,Ceará SC,2029,Treinador,0,2018-05-21,2018-06-05,0,15,4,0.25
Lisca,Ceará SC,2029,Treinador,0,2018-06-04,2019-04-21,0,321,53,1.55
Enderson Moreira,Ceará SC,2029,Treinador,0,2019-04-22,2019-10-01,0,162,22,1.05
Adilson Batista,Ceará SC,2029,Treinador,0,2019-10-03,2019-11-28,0,56,13,1.08
Argel Fuchs,Ceará SC,2029,Treinador,0,2019-11-29,2020-02-09,0,72,8,1.13
Enderson Moreira,Ceará SC,2029,Treinador,0,2020-02-10,2020-03-18,0,37,10,2.40
Guto Ferreira,Ceará SC,2029,Treinador,0,2020-03-18,2021-08-29,0,529,99,1.58
Tiago Nunes,Ceará SC,2029,Treinador,0,2021-09-03,2022-03-25,0,203,33,1.61
Dorival Júnior,Ceará SC,2029,Treinador,0,2022-04-04,2022-06-09,0,66,18,2.06
Pedro Sotero,Ceará SC,2029,Treinador interino,1,2022-06-10,2022-06-13,0,3,0,-
Marquinhos Santos,Ceará SC,2029,Treinador,0,2022-06-14,2022-08-15,0,62,17,1.24
Juca,Ceará SC,2029,Treinador interino,1,2022-08-18,2022-08-31,0,13,2,1.00
Lucho González,Ceará SC,2029,Treinador,0,2022-09-01,2022-10-28,0,57,10,0.70
Juca,Ceará SC,2029,Treinador interino,1,2022-10-29,2022-11-20,0,22,4,0.75
Gustavo Morínigo,Ceará SC,2029,Treinador,0,2022-11-22,2023-04-24,0,153,24,1.92
Eduardo Barroca,Ceará SC,2029,Treinador,0,2023-04-27,2023-06-29,0,63,13,1.85
Guto Ferreira,Ceará SC,2029,Treinador,0,2023-06-30,2023-08-28,0,59,11,1.27
Vagner Mancini,Ceará SC,2029,Treinador,0,2023-09-01,2024-06-26,0,299,45,1.44
Anderson Batatais,Ceará SC,2029,Treinador,0,2024-06-28,2024-07-02,0,4,1,3.00
Léo Condé,Ceará SC,2029,Treinador,0,2024-07-04,2025-12-10,0,524,83,1.59
Mozart,Ceará SC,2029,Treinador,0,2025-12-12,2026-06-01,0,171,31,1.61
Daniel Paulista,Ceará SC,2029,Treinador,0,2026-06-25,,1,,13,1.15
Gilson Kleina,Chapecoense,17776,Treinador,0,2017-10-16,2018-08-06,0,294,49,1.61
Guto Ferreira,Chapecoense,17776,Treinador,0,2018-08-07,2018-10-15,0,69,13,1.00
Claudinei Oliveira,Chapecoense,17776,Treinador,0,2018-10-16,2019-03-17,0,152,23,1.57
Ney Franco,Chapecoense,17776,Treinador,0,2019-03-28,2019-07-24,0,118,18,1.00
Emerson Cris,Chapecoense,17776,Treinador interino,1,2019-07-24,2019-09-18,0,56,8,0.75
Marquinhos Santos,Chapecoense,17776,Treinador,0,2019-09-19,2019-12-06,0,78,18,0.94
Hemerson Maria,Chapecoense,17776,Treinador,0,2020-01-01,2020-02-16,0,46,6,0.50
Umberto Louzer,Chapecoense,17776,Treinador,0,2020-02-16,2021-04-14,0,423,57,2.07
Mozart,Chapecoense,17776,Treinador,0,2021-04-23,2021-05-27,0,34,8,1.50
Felipe Endres,Chapecoense,17776,Treinador interino,1,2021-05-28,2021-06-03,0,6,2,1.50
Jair Ventura,Chapecoense,17776,Treinador,0,2021-06-04,2021-08-02,0,59,14,0.29
Pintado,Chapecoense,17776,Treinador,0,2021-08-06,2021-10-26,0,81,14,0.64
Felipe Endres,Chapecoense,17776,Treinador interino,1,2021-10-27,2021-12-14,0,48,10,0.20
Bolívar,Chapecoense,17776,Treinador,0,2022-01-03,2022-04-07,0,94,7,0.86
Felipe Conceição,Chapecoense,17776,Treinador,0,2022-01-14,2022-02-14,0,31,7,1.71
Fabiano Xha,Chapecoense,17776,Treinador,0,2022-04-08,2022-07-05,0,88,0,-
Gilson Kleina,Chapecoense,17776,Treinador,0,2022-04-08,2022-07-05,0,88,15,1.20
Bolívar,Chapecoense,17776,Treinador interino,1,2022-07-07,2022-07-11,0,4,1,0.00
Marcelo Cabo,Chapecoense,17776,Treinador,0,2022-07-11,2022-08-30,0,50,10,1.10
Gilmar Dal Pozzo,Chapecoense,17776,Treinador,0,2022-09-02,2022-11-08,0,67,11,1.45
Bruno Pivetti,Chapecoense,17776,Treinador,0,2023-01-10,2023-03-18,0,67,13,1.54
Argel Fuchs,Chapecoense,17776,Treinador,0,2023-03-21,2023-05-29,0,69,9,1.00
Gilmar Dal Pozzo,Chapecoense,17776,Treinador,0,2023-06-05,2023-08-07,0,63,11,0.91
Claudinei Oliveira,Chapecoense,17776,Treinador,0,2023-08-10,2024-02-11,0,185,24,1.08
Umberto Louzer,Chapecoense,17776,Treinador,0,2024-02-16,2024-08-04,0,170,20,1.05
Ricardo Chuva,Chapecoense,17776,Treinador interino,1,2024-05-31,2024-06-03,0,3,1,1.00
Celso Rodrigues,Chapecoense,17776,Treinador interino,1,2024-08-04,2024-08-06,0,2,1,0.00
Tcheco,Chapecoense,17776,Treinador,0,2024-08-07,2024-08-18,0,11,2,0.00
Gilmar Dal Pozzo,Chapecoense,17776,Treinador,0,2024-08-20,2026-04-03,0,591,89,1.58
Celso Rodrigues,Chapecoense,17776,Treinador interino,1,2024-08-20,2024-08-22,0,2,1,1.00
Celso Rodrigues,Chapecoense,17776,Treinador interino,1,2026-03-27,2026-05-28,0,62,8,1.88
Fábio Matias,Chapecoense,17776,Treinador,0,2026-04-06,2026-05-25,0,49,9,0.44
Rafael Lacerda,Chapecoense,17776,Treinador,0,2026-05-30,,1,,13,0.92
Ney da Matta,Clube do Remo,10997,Treinador,0,2017-11-08,2018-02-26,0,110,4,1.00
Givanildo Oliveira,Clube do Remo,10997,Treinador,0,2018-03-01,2018-05-28,0,88,7,1.00
Artur Oliveira,Clube do Remo,10997,Treinador,0,2018-06-01,2018-06-25,0,24,4,0.25
João Nasser,Clube do Remo,10997,Treinador,0,2018-06-28,2018-07-23,0,25,4,1.75
João Nasser,Clube do Remo,10997,Treinador,0,2019-01-24,2019-02-25,0,32,7,1.86
Márcio Fernandes,Clube do Remo,10997,Treinador,0,2019-02-25,2019-08-26,0,182,28,1.54
Eudes Pedro,Clube do Remo,10997,Treinador interino,1,2019-09-02,2019-10-07,0,35,4,1.00
Rafael Jaques,Clube do Remo,10997,Treinador,0,2019-12-05,2020-02-20,0,77,6,2.50
Mazola Júnior,Clube do Remo,10997,Treinador,0,2020-02-27,2020-09-21,0,207,16,1.69
Paulo Bonamigo,Clube do Remo,10997,Treinador,0,2020-09-24,2021-06-30,0,279,48,1.71
João Nasser,Clube do Remo,10997,Treinador interino,1,2021-06-30,2021-07-06,0,6,1,0.00
Felipe Conceição,Clube do Remo,10997,Treinador,0,2021-07-07,2021-11-10,0,126,27,1.26
Eduardo Baptista,Clube do Remo,10997,Treinador,0,2021-11-12,2021-12-14,0,32,8,1.63
Paulo Bonamigo,Clube do Remo,10997,Treinador,0,2022-01-14,2022-06-20,0,157,26,1.77
Gerson Gusmão,Clube do Remo,10997,Treinador,0,2022-06-28,2022-08-16,0,49,8,1.25
Marcelo Cabo,Clube do Remo,10997,Treinador,0,2023-01-03,2023-05-23,0,140,26,1.88
Fabio Cortez,Clube do Remo,10997,Treinador interino,1,2023-05-24,2023-05-28,0,4,1,1.00
Ricardo Catalá,Clube do Remo,10997,Treinador,0,2023-05-29,2024-02-29,0,276,23,1.70
Mariozinho,Clube do Remo,10997,Treinador interino,1,2024-03-01,2024-03-04,0,3,1,0.00
Gustavo Morínigo,Clube do Remo,10997,Treinador,0,2024-03-05,2024-05-23,0,79,16,1.56
Gonzalo Llanos,Clube do Remo,10997,Treinador interino,1,2024-05-24,2024-05-27,0,3,1,0.00
Rodrigo Santana,Clube do Remo,10997,Treinador,0,2024-05-29,2025-03-12,0,287,30,1.70
Daniel Paulista,Clube do Remo,10997,Treinador,0,2025-03-21,2025-06-06,0,77,14,1.93
Flávio Garcia,Clube do Remo,10997,Treinador interino,1,2025-06-06,2025-06-15,0,9,2,1.50
António Oliveira,Clube do Remo,10997,Treinador,0,2025-06-20,2025-09-21,0,93,14,1.29
Flávio Garcia,Clube do Remo,10997,Treinador interino,1,2025-09-22,2025-09-25,0,3,1,0.00
Guto Ferreira,Clube do Remo,10997,Treinador,0,2025-09-24,2025-12-17,0,84,10,2.30
Juan Carlos Osorio,Clube do Remo,10997,Treinador,0,2025-12-18,2026-03-01,0,73,12,1.50
Léo Condé,Clube do Remo,10997,Treinador,0,2026-03-04,2026-09-15,0,195,30,1.03
Flávio Garcia,Clube do Remo,10997,Treinador interino,1,2026-03-06,2026-03-09,0,3,1,1.00
Felipe Surian,Clube do Remo,10997,Treinador interino,1,2026-03-25,2026-03-27,0,2,1,0.00
Felipe Surian,Clube do Remo,10997,Treinador interino,1,2026-04-29,2026-05-01,0,2,1,3.00
Thiago Carpini,Clube do Remo,10997,Treinador,0,2026-09-16,,1,,0,-
Sandro Forner,Coritiba FC,776,Treinador,0,2017-12-15,2018-04-15,0,121,20,1.40
Tcheco,Coritiba FC,776,Treinador interino,1,2018-04-15,2018-04-18,0,3,1,3.00
Eduardo Baptista,Coritiba FC,776,Treinador,0,2018-04-16,2018-08-11,0,117,18,1.44
Tcheco,Coritiba FC,776,Treinador,0,2018-08-12,2018-09-17,0,36,7,1.00
Argel Fuchs,Coritiba FC,776,Treinador,0,2018-09-17,2019-02-15,0,151,18,1.44
Umberto Louzer,Coritiba FC,776,Treinador,0,2019-02-25,2019-09-23,0,210,30,1.57
Jorginho,Coritiba FC,776,Treinador,0,2019-09-25,2019-12-31,0,97,15,2.13
Eduardo Barroca,Coritiba FC,776,Treinador,0,2020-01-01,2020-08-20,0,232,22,1.64
Mozart,Coritiba FC,776,Treinador interino,1,2020-08-21,2020-08-25,0,4,1,3.00
Jorginho,Coritiba FC,776,Treinador,0,2020-08-26,2020-10-27,0,62,13,1.00
Pachequinho,Coritiba FC,776,Treinador interino,1,2020-10-30,2020-11-06,0,7,1,3.00
Rodrigo Santana,Coritiba FC,776,Treinador,0,2020-11-06,2020-12-14,0,38,6,0.33
Pachequinho,Coritiba FC,776,Treinador interino,1,2020-12-15,2021-01-14,0,30,4,0.25
Gustavo Morínigo,Coritiba FC,776,Treinador,0,2021-01-15,2022-08-15,0,577,105,1.53
Guto Ferreira,Coritiba FC,776,Treinador,0,2022-08-19,2022-12-09,0,112,16,1.25
António Oliveira,Coritiba FC,776,Treinador,0,2022-12-14,2023-04-18,0,125,17,1.76
Leomir,Coritiba FC,776,Treinador interino,1,2023-04-21,2023-06-27,0,67,0,-
Antônio Carlos Zago,Coritiba FC,776,Treinador,0,2023-04-22,2023-06-27,0,66,11,0.36
Thiago Kosloski,Coritiba FC,776,Treinador,0,2023-06-30,2023-11-27,0,150,23,1.09
Guto Ferreira,Coritiba FC,776,Treinador,0,2023-11-27,2024-05-04,0,159,22,1.50
Fábio Matias,Coritiba FC,776,Treinador,0,2024-06-13,2024-07-24,0,41,8,0.75
Jorginho,Coritiba FC,776,Treinador,0,2024-07-27,2024-11-13,0,109,18,1.50
Guila Bossle,Coritiba FC,776,Treinador,0,2024-11-14,2024-11-29,0,15,2,0.00
Mozart,Coritiba FC,776,Treinador,0,2024-12-04,2025-11-28,0,359,46,1.78
Moisés Moura,Coritiba FC,776,Treinador,0,2025-01-01,2025-01-31,0,30,4,1.75
Fernando Seabra,Coritiba FC,776,Treinador,0,2025-12-08,,1,,36,1.39
PC de Oliveira,Coritiba FC,776,Treinador,0,2026-01-05,2026-01-12,0,7,2,0.50
Grizzo,Criciúma EC,7178,Treinador interino,1,2017-11-16,2018-02-21,0,97,8,0.88
Lisca,Criciúma EC,7178,Treinador,0,2017-12-10,2018-01-29,0,50,4,1.00
Argel Fuchs,Criciúma EC,7178,Treinador,0,2018-02-22,2018-05-09,0,76,15,1.13
Mazola Júnior,Criciúma EC,7178,Treinador,0,2018-05-12,2018-12-02,0,204,33,1.42
Doriva,Criciúma EC,7178,Treinador,0,2018-12-06,2019-03-11,0,95,13,1.54
Gilson Kleina,Criciúma EC,7178,Treinador,0,2019-03-18,2019-08-05,0,140,22,1.05
Wilsão,Criciúma EC,7178,Treinador interino,1,2019-08-09,2019-08-29,0,20,5,1.60
Waguinho Dias,Criciúma EC,7178,Treinador,0,2019-08-29,2019-09-26,0,28,5,0.40
Roberto Cavalo,Criciúma EC,7178,Treinador,0,2019-09-27,2020-10-07,0,376,36,1.17
Itamar Schulle,Criciúma EC,7178,Treinador,0,2020-10-09,2020-12-15,0,67,9,0.78
Hemerson Maria,Criciúma EC,7178,Treinador,0,2021-01-28,2021-04-01,0,63,8,0.50
Paulo Baier,Criciúma EC,7178,Treinador,0,2021-05-14,2021-10-04,0,143,23,1.65
Claudio Tencati,Criciúma EC,7178,Treinador,0,2021-10-07,2024-12-31,0,1181,160,1.49
Aléssio Antunes,Criciúma EC,7178,Treinador interino,1,2024-02-16,2024-02-19,0,3,1,3.00
Zé Ricardo,Criciúma EC,7178,Treinador,0,2025-01-01,2025-05-05,0,124,21,1.62
Eduardo Baptista,Criciúma EC,7178,Treinador,0,2025-05-07,,1,,74,1.69
Mano Menezes,Cruzeiro EC,609,Treinador,0,2016-07-27,2019-08-08,0,1107,216,1.74
Sidnei Lobo,Cruzeiro EC,609,Treinador interino,1,2018-03-09,2018-03-12,0,3,0,-
Ricardo Resende,Cruzeiro EC,609,Treinador interino,1,2019-08-08,2019-08-11,0,3,1,1.00
Rogério Ceni,Cruzeiro EC,609,Treinador,0,2019-08-12,2019-09-26,0,45,8,1.00
Abel Braga,Cruzeiro EC,609,Treinador,0,2019-09-30,2019-11-29,0,60,14,1.21
Adilson Batista,Cruzeiro EC,609,Treinador,0,2019-12-02,2020-03-15,0,104,15,1.20
Enderson Moreira,Cruzeiro EC,609,Treinador,0,2020-03-23,2020-09-08,0,169,12,1.75
Ney Franco,Cruzeiro EC,609,Treinador,0,2020-09-10,2020-10-11,0,31,7,1.00
Célio Lúcio,Cruzeiro EC,609,Treinador interino,1,2020-10-15,2020-10-19,0,4,1,1.00
Luiz Felipe Scolari,Cruzeiro EC,609,Treinador,0,2020-10-19,2021-01-25,0,98,20,1.60
Célio Lúcio,Cruzeiro EC,609,Treinador interino,1,2021-01-26,2021-01-31,0,5,1,1.00
Felipe Conceição,Cruzeiro EC,609,Treinador,0,2021-02-01,2021-06-10,0,129,19,1.42
Mozart,Cruzeiro EC,609,Treinador,0,2021-06-11,2021-08-01,0,51,13,1.00
Vanderlei Luxemburgo,Cruzeiro EC,609,Treinador,0,2021-08-06,2021-12-28,0,144,23,1.52
Paulo Pezzolano,Cruzeiro EC,609,Treinador,0,2022-01-04,2023-03-19,0,439,68,1.87
Pepa,Cruzeiro EC,609,Treinador,0,2023-03-20,2023-08-29,0,162,25,1.16
Fernando Seabra,Cruzeiro EC,609,Treinador interino,1,2023-09-01,2023-09-05,0,4,1,1.00
Zé Ricardo,Cruzeiro EC,609,Treinador,0,2023-09-06,2023-11-13,0,68,10,1.10
Paulo Autuori,Cruzeiro EC,609,Treinador,0,2023-11-14,2023-12-31,0,47,6,1.67
Nicolás Larcamón,Cruzeiro EC,609,Treinador,0,2024-01-01,2024-04-08,0,98,14,1.79
Fernando Seabra,Cruzeiro EC,609,Treinador,0,2024-04-09,2024-09-23,0,167,35,1.69
Fernando Diniz,Cruzeiro EC,609,Treinador,0,2024-09-24,2025-01-27,0,125,18,1.06
Wesley Carvalho,Cruzeiro EC,609,Treinador interino,1,2025-01-28,2025-02-09,0,12,4,1.75
Leonardo Jardim,Cruzeiro EC,609,Treinador,0,2025-02-04,2025-12-15,0,314,55,1.69
