treinador,clube,id_clube,funcao,interino,inicio,fim,em_curso,dias,jogos_tm,ppj_tm
Gerson Gusmão,AD Confiança,3280,Treinador,0,2024-03-11,2024-06-17,0,98,8,1.00
Mazola Júnior,AD Confiança,3280,Treinador,0,2024-06-19,2024-10-10,0,113,11,1.27
Waguinho Dias,AD Confiança,3280,Treinador,0,2024-12-03,2025-04-29,0,147,21,1.76
Luizinho Vieira,AD Confiança,3280,Treinador,0,2025-05-23,2026-02-02,0,255,24,1.58
Ricardo Resende,AD Confiança,3280,Treinador interino,1,2026-02-05,2026-02-23,0,18,5,2.60
Cláudio Caçapa,AD Confiança,3280,Treinador,0,2026-02-24,2026-05-16,0,81,20,1.05
Thiago Gomes,AD Confiança,3280,Treinador,0,2026-05-21,2026-07-22,0,62,7,0.71
Ricardo Resende,AD Confiança,3280,Treinador,0,2026-07-24,,1,,5,0.40
Ruy Scarpino,Amazonas FC,87727,Treinador,0,2020-08-17,2021-03-03,0,198,0,-
Rodney Gonçalves,Amazonas FC,87727,Treinador,0,2022-01-01,2022-04-03,0,92,11,1.64
Rafael Lacerda,Amazonas FC,87727,Treinador,0,2022-04-13,2023-09-11,0,516,56,1.88
Luizinho Vieira,Amazonas FC,87727,Treinador,0,2023-09-15,2024-04-16,0,214,11,2.36
Adilson Batista,Amazonas FC,87727,Treinador,0,2024-04-19,2024-05-23,0,34,8,0.63
Rafael Lacerda,Amazonas FC,87727,Treinador,0,2024-05-27,2024-11-19,0,176,31,1.42
Ibson,Amazonas FC,87727,Treinador interino,1,2024-11-20,2024-12-31,0,41,1,3.00
Aderbal Lana,Amazonas FC,87727,Treinador,0,2025-01-07,2025-02-22,0,46,3,1.00
Eduardo Barros,Amazonas FC,87727,Treinador,0,2025-02-23,2025-04-20,0,56,4,0.50
Ibson,Amazonas FC,87727,Treinador interino,1,2025-04-20,2025-04-22,0,2,1,0.00
Guilherme Alves,Amazonas FC,87727,Treinador,0,2025-04-23,2025-07-06,0,74,11,1.18
Márcio Zanardi,Amazonas FC,87727,Treinador,0,2025-07-08,2025-10-29,0,113,19,0.95
Aderbal Lana,Amazonas FC,87727,Treinador,0,2025-10-30,2025-12-31,0,62,4,1.00
Márcio Fernandes,Amazonas FC,87727,Treinador,0,2026-01-05,2026-03-13,0,67,2,1.50
Cristian de Souza,Amazonas FC,87727,Treinador,0,2026-03-15,2026-05-13,0,59,10,2.00
Bebeto Sauthier,Amazonas FC,87727,Treinador,0,2026-05-14,,1,,2,0.00
Rodrigo Santana,Amazonas FC,87727,Treinador,0,2026-05-29,,1,,11,1.18
Enderson Moreira,América Mineiro,2863,Treinador,0,2016-07-20,2018-06-17,0,697,107,1.45
Ricardo Drubscky,América Mineiro,2863,Treinador,0,2018-06-20,2018-07-23,0,33,2,0.00
Adilson Batista,América Mineiro,2863,Treinador,0,2018-07-24,2018-11-10,0,109,19,1.05
Givanildo Oliveira,América Mineiro,2863,Treinador,0,2018-11-11,2019-05-01,0,171,23,1.39
Maurício Barbieri,América Mineiro,2863,Treinador,0,2019-05-06,2019-07-15,0,70,7,0.71
Felipe Conceição,América Mineiro,2863,Treinador,0,2019-07-19,2020-01-24,0,189,30,1.90
Lisca,América Mineiro,2863,Treinador,0,2020-01-31,2021-06-14,0,500,82,1.84
