jogador,liga,time,posicao,setor,idade,minutos,jogos,fatia_pct,corte_da_posicao,minutagem_alta,minutagem_regular,temporadas_com_dado,temporadas_altas,regularidade_verificavel,homonimo_na_foto,contrato,nascido_em,passaporte,mercado,ocupa_vaga_de_estrangeiro,valor_mercado,pe,altura,contrato_na_janela,media_ajustada,elenco_cortado,elenco_no_export,forca_do_fator,casos_do_fator,indicadores_com_dado,exigencias_da_posicao,viola_na_origem,viola_no_ajustado,passa_ficha_origem,passa_ficha_ajustado,na_base_do_app,fisico_rastreado,sc_min_tot,faixa_salarial,valor_tr,nota_fisico,nota_duelo_corpo,nota_estilo_tecnico,fisico_da_posicao,duelos_def_ganhos_pct,duelos_def_ganhos_pct__pct,duelos_def_ganhos_pct__adj,duelos_def_ganhos_pct__delta,duelos_aereos_ganhos_pct,duelos_aereos_ganhos_pct__pct,duelos_aereos_ganhos_pct__adj,duelos_aereos_ganhos_pct__delta,passes_certos_pct,passes_certos_pct__pct,passes_certos_pct__adj,passes_certos_pct__delta,passes_progressivos_90,passes_progressivos_90__pct,passes_progressivos_90__adj,passes_progressivos_90__delta,psv5,psv5__pct,psv5__adj,psv5__delta,t_spr,t_spr__pct,t_spr__adj,t_spr__delta,t505_90,t505_90__pct,t505_90__adj,t505_90__delta,expl,expl__pct,expl__adj,expl__delta,spr_n,spr_n__pct,spr_n__adj,spr_n__delta,eixo_toques_area,eixo_toques_area__pct,eixo_toques_area__adj,eixo_toques_area__delta,eixo_passes_progressivos,eixo_passes_progressivos__pct,eixo_passes_progressivos__adj,eixo_passes_progressivos__delta
M. Hjulmand,Portugal A,Sporting CP,RDMF,Volante,26.0,2563.0,27.0,83.8,51.0,True,True,3,3,True,False,2028-06-30,Denmark,Denmark,Exterior,True,0.0,direito,185.0,False,71.2,False,16,forte,13.0,6,6,,duelos_def_ganhos_pct,True,False,True,True,2470,4M - 5.3M,0,atende,atende,atende,Tempo para girar 90 graus (s); Arrancadas explosivas até o sprint por 90 min,65.69,83.3,58.728876273749655,-24.57,57.81,83.3,58.728876273749655,-24.57,91.43,95.8,61.272727426549295,-34.53,6.32,75.0,63.651585684335274,-11.35,30.32,87.0,,,1.41,38.1,,,1.8,97.8,97.8,0.0,0.87,87.0,87.0,0.0,6.68,47.8,,,0.95,70.8,61.8,-9.04,6.32,75.0,63.7,-11.35
M. Lixandru,Romenia,FCS Bucureşti,RDMF,Volante,24.0,2410.0,32.0,61.6,51.0,True,True,3,2,True,False,,Romania,Romania,Exterior,True,0.0,direito,184.0,False,56.0,False,22,fraco,1.0,4,6,,duelos_def_ganhos_pct;duelos_aereos_ganhos_pct;passes_certos_pct,True,False,True,False,0,,0,NÃO VERIFICADO,atende,atende,Tempo para girar 90 graus (s); Arrancadas explosivas até o sprint por 90 min,64.57,75.7,54.409685339370114,-21.29,51.96,62.2,51.72004919013251,-10.48,88.31,83.8,56.02474593627939,-27.78,8.33,86.5,62.016791196175994,-24.48,,,,,,,,,,,,,,,,,,,,,0.97,64.9,52.4,-12.46,8.33,86.5,62.0,-24.48
R. Kurzawa,Polonia,Nieciecza,RWF,Extremo,33.0,1170.0,24.0,38.7,32.4,True,True,3,3,True,False,2027-06-30,Poland,Poland,Exterior,True,350000.0,esquerdo,182.0,True,65.0,False,18,fraco,2.0,4,6,,duelos_def_ganhos_pct;passes_certos_pct,True,False,True,False,0,30K - 45K,350000,NÃO VERIFICADO,atende,atende,Tempo para girar 90 graus (s); Sprints por 90 min,69.23,97.5,65.54760258332439,-31.95,52.63,97.5,65.54760258332439,-31.95,80.12,85.0,62.925887771730665,-22.07,5.23,82.5,65.99777647716778,-16.5,,,,,,,,,,,,,,,,,,,,,2.54,20.0,38.3,18.31,5.23,82.5,66.0,-16.5
A. Ramadan,Eslovaquia,DAC,LW,Extremo,25.0,2188.0,26.0,76.0,32.4,True,True,3,3,True,False,2028-06-30,Syria,Syria,Exterior,True,450000.0,esquerdo,174.0,False,54.1,True,15,fraco,1.0,4,6,,duelos_def_ganhos_pct;passes_certos_pct;passes_progressivos_90,True,False,True,False,0,120K - 175K,450000,NÃO VERIFICADO,atende,atende,Tempo para girar 90 graus (s); Sprints por 90 min,64.89,81.0,55.46632845204084,-25.53,36.59,85.7,56.40375626168619,-29.3,78.29,71.4,53.55272038306275,-17.85,5.1,61.9,51.11625075805305,-10.78,,,,,,,,,,,,,,,,,,,,,4.2,85.7,61.7,-24.04,5.1,61.9,51.1,-10.78
