ano,jogador,time,posicao,grupo,idade,jogos,minutos,fatia_pct,time_hoje,faixa_do_time,id_tm,lesao_dias,lesao_n,lesao_jogos_perdidos,alta,temporadas_alta_ult3,temporadas_com_dado_ult3,regular
2025,J. Silva Miranda,Avaí,RW,Extremo,17,3,157,4.1,Flamengo U20,Meio,,,,,0,0,1,0
2025,Maxwell,Remo,LWF,Extremo,31,5,154,4.0,Operário PR,Sobe,357091,,,,0,0,3,0
2025,Freitas,Remo,RB,Lateral,23,4,153,4.0,Juventus,Sobe,1064930,,,,0,0,1,0
2025,Gabriel Silva,Vila Nova,LAMF,Extremo,26,4,152,4.0,Vila Nova,Meio,692777,,,,0,0,3,0
2025,Guilherme Santos,Avaí,CF,Atacante,25,6,152,4.0,Portuguesa,Meio,795518,,,,0,0,2,0
2025,Vitor Mendes,Ferroviária,LCB,Zaga,27,3,151,4.0,Cuiabá,Cai,686333,,,,0,0,1,0
2025,Willian Bahia,CRB,LB,Lateral,24,2,147,3.9,Água Santa,Meio,1228659,,,,0,0,1,0
2025,Rodrigo Rodrigues,Coritiba,CF,Atacante,30,4,146,3.8,Coritiba,Sobe,,,,,0,0,3,0
2025,Ronald,Operário-PR,RW,Extremo,29,6,146,3.9,Santa Cruz,Meio,,,,,0,0,3,0
2025,David José,América-MG,CF,Atacante,24,6,144,3.7,Rio Branco ES,Meio,,,,,0,0,1,0
2025,Edinho,Paysandu,RAMF,Extremo,31,4,144,3.9,,Cai,353279,151.0,1,53.0,0,0,3,0
2025,C. Ortíz López,América-MG,AMF,Meia,,4,143,3.7,América Mineiro,Meio,,,,,0,0,1,0
2025,L. Chávez,Volta Redonda,LW,Extremo,23,4,142,3.7,Bolívar,Cai,,,,,0,0,1,0
2025,Hernâni,Ferroviária,RWF,Extremo,34,5,142,3.7,,Cai,172142,,,,0,0,1,0
2025,Luan Andrey,Vila Nova,CF,Atacante,19,3,141,3.7,,Meio,1255010,,,,0,0,1,0
2025,Gabriel Mineiro,Cuiabá,LWF,Extremo,21,6,136,3.5,Cuiabá,Meio,1362092,,,,0,0,1,0
2025,Igor Maduro,Volta Redonda,AMF,Meia,25,5,136,3.6,Botafogo PB,Cai,676510,,,,0,0,1,0
2025,O. Otusanya,Criciúma,CF,Atacante,22,7,136,3.5,Athletic Club,Meio,,,,,0,0,1,0
