fronteira,familia,comparacao,indicador,citado,n_a,n_b,cru_a,cru_b,d,ic95_d,p,d_minimo_80,q,selo,poder_suficiente,nome,porta_roda,teto_da_parte
com,sofre,SM,sofre_45_60,0,16,48,0.132,0.158,0.273,"[-0.31, 0.83]",0.31959,0.82,0.4122,sem diferença clara,False,"Gols sofridos por jogo, 45 a 60 min",0,provável
com,sofre,SM,sofre_60_75,0,16,48,0.158,0.132,-0.426,"[-1.11, 0.19]",0.18346,0.82,0.29354,sem diferença clara,False,"Gols sofridos por jogo, 60 a 75 min",0,provável
com,sofre,SM,sofre_75_90,0,16,48,0.132,0.158,0.477,"[-0.05, 1.12]",0.11505,0.82,0.29354,sem diferença clara,False,"Gols sofridos por jogo, 75 a 90 min",0,provável
com,sofre,SM,sofre_90mais,0,16,48,0.053,0.079,0.432,"[-0.12, 1.05]",0.14445,0.82,0.29354,sem diferença clara,False,"Gols sofridos por jogo, acréscimo do 2º tempo",0,provável
com,sofre,ST,sofre_0_15,0,16,16,0.132,0.132,0.048,"[-0.67, 0.91]",0.89226,1.02,0.96329,sem diferença clara,False,"Gols sofridos por jogo, 0 a 15 min",0,provável
com,sofre,ST,sofre_15_30,0,16,16,0.105,0.092,-0.109,"[-0.95, 0.86]",0.75898,1.02,0.96329,sem diferença clara,False,"Gols sofridos por jogo, 15 a 30 min",0,provável
com,sofre,ST,sofre_30_45,0,16,16,0.079,0.158,1.343,"[0.45, 2.6]",0.00068,1.02,0.00546,firme,True,"Gols sofridos por jogo, 30 a 45 min",0,provável
com,sofre,ST,sofre_45mais,0,16,16,0.053,0.026,-0.811,"[-2.03, -0.14]",0.02898,1.02,0.11592,pode ser sorte,False,"Gols sofridos por jogo, acréscimo do 1º tempo",0,provável
com,sofre,ST,sofre_45_60,0,16,16,0.132,0.118,-0.107,"[-0.9, 0.5]",0.76339,1.02,0.96329,sem diferença clara,False,"Gols sofridos por jogo, 45 a 60 min",0,provável
com,sofre,ST,sofre_60_75,0,16,16,0.158,0.118,-0.698,"[-1.61, 0.03]",0.05786,1.02,0.15429,sem diferença clara,False,"Gols sofridos por jogo, 60 a 75 min",0,provável
com,sofre,ST,sofre_75_90,0,16,16,0.132,0.132,0.098,"[-0.6, 0.91]",0.7845,1.02,0.96329,sem diferença clara,False,"Gols sofridos por jogo, 75 a 90 min",0,provável
com,sofre,ST,sofre_90mais,0,16,16,0.053,0.053,-0.016,"[-0.7, 0.82]",0.96329,1.02,0.96329,sem diferença clara,False,"Gols sofridos por jogo, acréscimo do 2º tempo",0,provável
com,sofre,CM,sofre_0_15,0,16,48,0.132,0.132,-0.032,"[-0.67, 0.59]",0.91807,0.82,0.91807,sem diferença clara,False,"Gols sofridos por jogo, 0 a 15 min",0,provável
com,sofre,CM,sofre_15_30,0,16,48,0.184,0.132,-0.968,"[-1.96, -0.26]",0.00461,0.82,0.01845,firme,True,"Gols sofridos por jogo, 15 a 30 min",0,provável
com,sofre,CM,sofre_30_45,0,16,48,0.184,0.158,-0.396,"[-1.1, 0.23]",0.18893,0.82,0.30229,sem diferença clara,False,"Gols sofridos por jogo, 30 a 45 min",0,provável
com,sofre,CM,sofre_45mais,0,16,48,0.053,0.026,-0.278,"[-0.88, 0.29]",0.31964,0.82,0.3653,sem diferença clara,False,"Gols sofridos por jogo, acréscimo do 1º tempo",0,provável
com,sofre,CM,sofre_45_60,0,16,48,0.197,0.158,-0.699,"[-1.29, -0.18]",0.0095,0.82,0.02534,firme,False,"Gols sofridos por jogo, 45 a 60 min",0,provável
com,sofre,CM,sofre_60_75,0,16,48,0.197,0.132,-0.609,"[-1.23, -0.05]",0.08168,0.82,0.16337,sem diferença clara,False,"Gols sofridos por jogo, 60 a 75 min",0,provável
com,sofre,CM,sofre_75_90,0,16,48,0.211,0.158,-0.833,"[-1.35, -0.39]",0.00238,0.82,0.01845,firme,True,"Gols sofridos por jogo, 75 a 90 min",0,provável
com,sofre,CM,sofre_90mais,0,16,48,0.105,0.079,-0.347,"[-0.96, 0.21]",0.23688,0.82,0.31584,sem diferença clara,False,"Gols sofridos por jogo, acréscimo do 2º tempo",0,provável
com,tempo,SM,marca_1t,0,16,48,0.579,0.487,1.04,"[0.62, 1.54]",9e-05,0.82,0.00038,firme,True,Gols por jogo no 1º tempo,0,provável
com,tempo,SM,marca_2t,0,16,48,0.711,0.579,1.07,"[0.47, 1.77]",0.00126,0.82,0.00168,firme,True,Gols por jogo no 2º tempo,0,provável
com,tempo,SM,sofre_1t,0,16,48,0.355,0.447,0.917,"[0.45, 1.5]",0.00114,0.82,0.00168,firme,True,Gols sofridos por jogo no 1º tempo,0,provável
com,tempo,SM,sofre_2t,0,16,48,0.461,0.553,0.407,"[-0.22, 1.05]",0.18343,0.82,0.18343,sem diferença clara,False,Gols sofridos por jogo no 2º tempo,0,provável
com,tempo,ST,marca_1t,0,16,16,0.579,0.566,0.403,"[-0.2, 0.97]",0.26406,1.02,0.36339,sem diferença clara,False,Gols por jogo no 1º tempo,0,provável
com,tempo,ST,marca_2t,0,16,16,0.711,0.605,0.658,"[-0.01, 1.69]",0.07368,1.02,0.29472,sem diferença clara,False,Gols por jogo no 2º tempo,0,provável
com,tempo,ST,sofre_1t,0,16,16,0.355,0.382,0.327,"[-0.37, 1.01]",0.36339,1.02,0.36339,sem diferença clara,False,Gols sofridos por jogo no 1º tempo,0,provável
com,tempo,ST,sofre_2t,0,16,16,0.461,0.447,-0.333,"[-1.18, 0.42]",0.35376,1.02,0.36339,sem diferença clara,False,Gols sofridos por jogo no 2º tempo,0,provável
com,tempo,CM,marca_1t,0,16,48,0.408,0.487,-0.748,"[-1.39, -0.21]",0.00839,0.82,0.00839,firme,False,Gols por jogo no 1º tempo,0,provável
com,tempo,CM,marca_2t,0,16,48,0.461,0.579,-0.784,"[-1.42, -0.18]",0.00681,0.82,0.00839,firme,False,Gols por jogo no 2º tempo,0,provável
com,tempo,CM,sofre_1t,0,16,48,0.632,0.447,-0.887,"[-1.63, -0.29]",0.00384,0.82,0.00767,firme,True,Gols sofridos por jogo no 1º tempo,0,provável
com,tempo,CM,sofre_2t,0,16,48,0.75,0.553,-1.206,"[-2.0, -0.51]",0.00018,0.82,0.00072,firme,True,Gols sofridos por jogo no 2º tempo,0,provável
sem,marca,SM,marca_0_15,0,8,32,0.132,0.118,0.285,"[-0.58, 1.18]",0.53151,1.14,0.62019,sem diferença clara,False,"Gols por jogo, 0 a 15 min",0,provável
sem,marca,SM,marca_15_30,0,8,32,0.184,0.132,0.955,"[0.24, 1.73]",0.01946,1.14,0.0519,pode ser sorte,False,"Gols por jogo, 15 a 30 min",0,provável
sem,marca,SM,marca_30_45,0,8,32,0.184,0.158,0.969,"[0.37, 1.7]",0.00794,1.14,0.03176,firme,False,"Gols por jogo, 30 a 45 min",0,provável
sem,marca,SM,marca_45mais,0,8,32,0.066,0.039,0.161,"[-0.92, 1.3]",0.76316,1.14,0.76316,sem diferença clara,False,"Gols por jogo, acréscimo do 1º tempo",0,provável
sem,marca,SM,marca_45_60,0,8,32,0.184,0.158,0.664,"[0.01, 1.33]",0.07561,1.14,0.12097,sem diferença clara,False,"Gols por jogo, 45 a 60 min",0,provável
sem,marca,SM,marca_60_75,0,8,32,0.158,0.132,0.82,"[0.03, 1.88]",0.0722,1.14,0.12097,sem diferença clara,False,"Gols por jogo, 60 a 75 min",0,provável
sem,marca,SM,marca_75_90,0,8,32,0.237,0.158,1.177,"[0.45, 1.96]",0.00553,1.14,0.03176,firme,True,"Gols por jogo, 75 a 90 min",0,provável
sem,marca,SM,marca_90mais,0,8,32,0.118,0.079,0.32,"[-0.7, 1.48]",0.54266,1.14,0.62019,sem diferença clara,False,"Gols por jogo, acréscimo do 2º tempo",0,provável
sem,marca,ST,marca_0_15,0,8,7,0.132,0.132,0.186,"[-1.09, 1.56]",0.71684,1.57,0.95579,sem diferença clara,False,"Gols por jogo, 0 a 15 min",0,provável
sem,marca,ST,marca_15_30,0,8,7,0.184,0.184,0.328,"[-0.76, 1.68]",0.5389,1.57,0.86225,sem diferença clara,False,"Gols por jogo, 15 a 30 min",0,provável
sem,marca,ST,marca_30_45,0,8,7,0.184,0.158,0.87,"[-0.12, 2.24]",0.11078,1.57,0.80483,sem diferença clara,False,"Gols por jogo, 30 a 45 min",0,provável
sem,marca,ST,marca_45mais,0,8,7,0.066,0.053,0.08,"[-1.07, 1.33]",0.87636,1.57,0.98759,sem diferença clara,False,"Gols por jogo, acréscimo do 1º tempo",0,provável
sem,marca,ST,marca_45_60,0,8,7,0.184,0.158,0.433,"[-0.73, 1.66]",0.42474,1.57,0.84948,sem diferença clara,False,"Gols por jogo, 45 a 60 min",0,provável
sem,marca,ST,marca_60_75,0,8,7,0.158,0.132,0.633,"[-0.43, 2.11]",0.25086,1.57,0.80483,sem diferença clara,False,"Gols por jogo, 60 a 75 min",0,provável
sem,marca,ST,marca_75_90,0,8,7,0.237,0.211,0.57,"[-0.51, 1.83]",0.30181,1.57,0.80483,sem diferença clara,False,"Gols por jogo, 75 a 90 min",0,provável
sem,marca,ST,marca_90mais,0,8,7,0.118,0.079,-0.008,"[-1.06, 1.29]",0.98759,1.57,0.98759,sem diferença clara,False,"Gols por jogo, acréscimo do 2º tempo",0,provável
sem,marca,CM,marca_0_15,0,12,32,0.079,0.118,-0.648,"[-1.27, -0.04]",0.05336,0.97,0.1423,sem diferença clara,False,"Gols por jogo, 0 a 15 min",0,provável
sem,marca,CM,marca_15_30,0,12,32,0.105,0.132,-0.836,"[-1.53, -0.22]",0.01112,0.97,0.04555,firme,False,"Gols por jogo, 15 a 30 min",0,provável
sem,marca,CM,marca_30_45,0,12,32,0.145,0.158,-0.179,"[-0.89, 0.53]",0.61144,0.97,0.69879,sem diferença clara,False,"Gols por jogo, 30 a 45 min",0,provável
sem,marca,CM,marca_45mais,0,12,32,0.026,0.039,-0.959,"[-1.87, -0.25]",0.01139,0.97,0.04555,firme,False,"Gols por jogo, acréscimo do 1º tempo",0,provável
sem,marca,CM,marca_45_60,0,12,32,0.092,0.158,-0.596,"[-1.5, 0.17]",0.11275,0.97,0.22549,sem diferença clara,False,"Gols por jogo, 45 a 60 min",0,provável
sem,marca,CM,marca_60_75,0,12,32,0.145,0.132,0.102,"[-0.78, 0.95]",0.7856,0.97,0.7856,sem diferença clara,False,"Gols por jogo, 60 a 75 min",0,provável
sem,marca,CM,marca_75_90,0,12,32,0.145,0.158,-0.379,"[-1.08, 0.24]",0.20576,0.97,0.27898,sem diferença clara,False,"Gols por jogo, 75 a 90 min",0,provável
sem,marca,CM,marca_90mais,0,12,32,0.053,0.079,-0.527,"[-1.53, 0.39]",0.20924,0.97,0.27898,sem diferença clara,False,"Gols por jogo, acréscimo do 2º tempo",0,provável
sem,sofre,SM,sofre_0_15,0,8,32,0.132,0.132,0.437,"[-0.4, 1.42]",0.36846,1.14,0.49128,sem diferença clara,False,"Gols sofridos por jogo, 0 a 15 min",0,provável
sem,sofre,SM,sofre_15_30,0,8,32,0.132,0.145,0.07,"[-0.71, 0.79]",0.85007,1.14,0.87153,sem diferença clara,False,"Gols sofridos por jogo, 15 a 30 min",0,provável
