chave,kt,jogador,clube,liga,pos11,setor,tipo,psv99,psv99,sprint_count_p90,hi_count_p90,expl_accel_sprint_p90,distance_p90,runs_p30tip,tipo_pref
luanzinho,al sharjah,Luanzinho,Al Sharjah,Emirados,EE,Extremo,Baixa intensidade,28.05,28.05,11.87,73.07,1.65,9346.85,,False
arturo vidal,colo colo,Arturo Vidal,Colo Colo,Chile,ZD,Zaga,Motor de volume,27.34,27.34,4.26,34.76,0.53,9191.94,8.7,True
j martinez,deportivo cali,J. Martínez,Deportivo Cali,Colombia A,ED,Extremo,Baixa intensidade,28.67,28.67,7.43,51.19,1.3,8844.6,42.3,False
j concha,universitario,J. Concha,Universitario,Peru,MED,Meia,Médio em tudo,28.22,28.22,6.86,54.39,0.66,9496.33,34.6,True
m diaz,universidad catolica,M. Díaz,Universidad Católica,Equador A,MEI,Meia,Baixa intensidade,25.09,25.09,1.26,21.01,0.24,8342.86,30.2,False
l melgarejo,club libertad,L. Melgarejo,Club Libertad,Paraguai,CA,Atacante,Explosivo e rápido,29.56,29.56,10.18,60.32,1.49,8475.64,43.6,False
a rodriguez,independiente del valle,A. Rodríguez,Independiente del Valle,Equador A,ED,Extremo,Baixa intensidade,29.83,29.83,10.73,66.29,1.24,9430.23,31.7,False
y yotun,sporting cristal,Y. Yotún,Sporting Cristal,Peru,VOL,Volante,Menos intenso,25.99,25.99,3.55,41.27,0.0,10001.41,36.7,False
tiago pagnussat,,Tiago Pagnussat,Vila Nova,Série B,ZD,Zaga,Baixa intensidade,28.15,28.15,5.13,36.19,0.35,8723.33,5.65,False
f alvarez,argentinos juniors,F. Álvarez,Argentinos Juniors,Argentina A,ZD,Zaga,Motor de volume,27.64,27.64,5.29,39.21,0.87,9664.65,12.4,True
n quagliata,melgar,N. Quagliata,Melgar,Peru,MEI,Meia,Explosivo e rápido,27.64,27.64,9.4,60.6,1.48,9922.89,56.8,False
f sambueza,atletico bucaramanga,F. Sambueza,Atlético Bucaramanga,Colombia A,MEI,Meia,Médio em tudo,26.91,26.91,5.45,50.31,0.48,9374.24,46.0,True
lucao,chongqing tongliang long,Lucão,Chongqing Tongliang Long,China,ZD,Zaga,Motor de volume,28.68,28.68,6.87,42.41,0.94,9057.51,,True
j meneses,deportes limache,J. Meneses,Deportes Limache,Chile,MED,Meia,Explosivo e rápido,28.98,28.98,11.26,67.54,0.92,9569.17,32.9,False
a hohberg,cienciano,A. Hohberg,Cienciano,Peru,MEI,Meia,Baixa intensidade,27.58,27.58,7.41,49.26,0.94,7981.88,45.8,False
b palacios,al wasl,B. Palacios,Al Wasl,Emirados,ED,Extremo,Explosivo e rápido,31.11,31.11,14.41,75.73,2.88,9140.53,,True
m perello,independiente del valle,M. Perelló,Independiente del Valle,Equador A,ED,Extremo,Baixa intensidade,30.46,30.46,13.15,69.6,1.66,9311.24,22.6,False
w tesillo,atletico nacional,W. Tesillo,Atlético Nacional,Colombia A,ZE,Zaga,Motor de volume,29.12,29.12,6.2,38.58,1.06,8786.98,7.5,True
gabriel bahia,,Gabriel Bahia,Novorizontino,Série B,ZD,Zaga,Explosivo e rápido,30.91,30.91,8.69,46.92,1.74,8947.24,7.34,False
claudinho,al sadd,Claudinho,Al Sadd,Catar,VOL,Volante,Mais intenso,27.7,27.7,8.11,60.1,0.75,10431.18,,True
gabriel sara,galatasaray,Gabriel Sara,Galatasaray,Turquia,VOL,Volante,Mais intenso,26.35,26.35,6.07,57.71,0.5,11205.75,,True
r garces,alianza lima,R. Garcés,Alianza Lima,Peru,ZD,Zaga,Baixa intensidade,27.26,27.26,2.79,23.5,0.71,7777.65,2.3,False
derek,,Derek,Náutico,Série B,CA,Atacante,Explosivo e rápido,29.44,29.44,13.5,72.79,3.1,9565.2,30.64,False
felipinho,,Felipinho,Sport,Série B,LE,Lateral,Explosivo e rápido,30.61,30.61,10.94,62.73,2.5,9232.48,24.71,True
j mohor,macara,J. Mohor,Macará,Equador A,LE,Lateral,Médio em tudo,29.21,29.21,9.99,62.99,0.79,9670.43,21.8,False
a preciado,aucas,A. Preciado,Aucas,Equador A,ED,Extremo,Baixa intensidade,29.76,29.76,8.98,56.75,1.22,9186.57,31.9,False
m palavecino,universidad catolica,M. Palavecino,Universidad Católica,Chile,MEI,Meia,Médio em tudo,28.11,28.11,5.26,44.03,1.04,9621.24,35.4,True
s morales,aucas,S. Morales,Aucas,Equador A,ZE,Zaga,Baixa intensidade,27.17,27.17,3.51,28.31,0.6,8871.48,5.3,False
rafael gava,,Rafael Gava,Botafogo-SP,Série B,MED,Meia,Médio em tudo,27.59,27.59,7.27,57.95,0.27,10727.2,34.97,True
glauber,al nasr,Gláuber,Al Nasr,Emirados,ZD,Zaga,Motor de volume,29.71,29.71,6.46,36.48,1.38,8462.83,,True
a molinas,club libertad,A. Molinas,Club Libertad,Paraguai,MED,Meia,Baixa intensidade,26.44,26.44,4.59,47.8,0.36,10599.35,19.3,False
j diaz,universidad catolica,J. Díaz,Universidad Católica,Chile,ZE,Zaga,Motor de volume,28.93,28.93,5.14,38.2,1.27,9057.1,10.2,True
jemerson,,Jemerson,São Bernardo,Série B,ZD,Zaga,Baixa intensidade,28.87,28.87,5.05,33.56,0.67,8567.09,8.47,False
d pazmino,leones del norte,D. Pazmiño,Leones del Norte,Equador A,MEI,Meia,Médio em tudo,27.25,27.25,7.7,56.01,0.42,9820.82,45.2,True
c haydar,atletico nacional,C. Haydar,Atlético Nacional,Colombia A,ZE,Zaga,Explosivo e rápido,30.68,30.68,7.28,40.8,1.17,8485.16,10.6,False
n gimenez,al wasl,N. Giménez,Al Wasl,Emirados,MEI,Meia,Baixa intensidade,26.97,26.97,3.6,34.19,0.46,9511.64,,False
lucas marques,,Lucas Marques,Londrina,Série B,MED,Meia,Baixa intensidade,26.87,26.87,4.58,40.47,0.22,10142.62,20.83,False
e cardona,atletico nacional,E. Cardona,Atlético Nacional,Colombia A,MEI,Meia,Baixa intensidade,25.55,25.55,3.12,33.75,0.47,8690.77,28.4,False
j alarcon,sport boys,J. Alarcón,Sport Boys,Peru,LD,Lateral,Médio em tudo,27.2,27.2,7.79,52.41,1.01,9348.52,34.4,False
h lopez,argentinos juniors,H. López,Argentinos Juniors,Argentina A,ED,Extremo,Motor de volume,27.11,27.11,8.37,62.69,0.72,10256.75,23.3,False
a molinas,defensa y justicia,A. Molinas,Defensa y Justicia,Argentina A,MED,Meia,Baixa intensidade,25.87,25.87,2.58,39.0,0.25,10483.97,25.5,False
c souza,cienciano,C. Souza,Cienciano,Peru,ED,Extremo,Explosivo e rápido,30.92,30.92,15.29,77.19,3.7,8798.3,32.7,True
l fernandez,penarol,L. Fernández,Peñarol,Uruguai,MEI,Meia,Baixa intensidade,26.18,26.18,2.91,31.9,0.28,8896.16,34.4,False
ze gabriel,,Zé Gabriel,Sport,Série B,VOL,Volante,Menos intenso,26.66,26.66,3.48,33.35,0.46,9413.69,18.26,False
a di maria,rosario central,Á. Di María,Rosario Central,Argentina A,MEI,Meia,Médio em tudo,27.53,27.53,5.93,47.36,1.19,9348.27,50.5,True
gabriel pereira,al rayyan,Gabriel Pereira,Al Rayyan,Catar,ED,Extremo,Baixa intensidade,30.02,30.02,12.82,70.45,2.21,9063.57,,False
a fretes,club libertad,A. Fretes,Club Libertad,Paraguai,LE,Lateral,Explosivo e rápido,30.11,30.11,15.42,82.74,2.61,10447.13,34.6,True
taison,paok,Taison,PAOK,Grecia,EE,Extremo,Baixa intensidade,29.6,29.6,12.16,66.97,2.53,8904.19,,False
jhon vasquez,llaneros,Jhon Vásquez,Llaneros,Colombia A,ED,Extremo,Baixa intensidade,29.64,29.64,9.02,51.24,0.5,8072.26,24.0,False
t aranda,boca juniors,T. Aranda,Boca Juniors,Argentina A,EE,Extremo,Motor de volume,29.26,29.26,12.39,73.66,1.55,10073.13,33.8,False
m perez,cerro porteno,M. Pérez,Cerro Porteño,Paraguai,ZE,Zaga,Motor de volume,29.89,29.89,4.76,32.18,0.87,8777.9,6.0,True
mateus vital,shanghai port,Mateus Vital,Shanghai Port,China,MED,Meia,Baixa intensidade,26.76,26.76,4.2,38.97,0.42,9527.08,,False
c ferreira,atletico tucuman,C. Ferreira,Atlético Tucumán,Argentina A,ZD,Zaga,Baixa intensidade,28.02,28.02,4.74,33.49,0.44,8529.81,6.4,False
bruno jose,,Bruno José,Atlético-GO,Série B,ED,Extremo,Baixa intensidade,29.62,29.62,12.92,68.41,2.25,9456.13,29.95,False
d carabano,sport huancayo,D. Carabaño,Sport Huancayo,Peru,VOL,Volante,Menos intenso,27.05,27.05,5.33,44.65,0.15,9414.61,36.5,False
jeffinho,liaoning tieren,Jeffinho,Liaoning Tieren,China,EE,Extremo,Motor de volume,28.73,28.73,11.95,74.13,2.41,9622.42,,False
j urretaviscaya,wanderers,J. Urretaviscaya,Wanderers,Uruguai,MED,Meia,Médio em tudo,27.39,27.39,5.87,45.66,0.94,9495.66,34.8,True
h gonzalez,los chankas,H. González,Los Chankas,Peru,ZD,Zaga,Baixa intensidade,25.79,25.79,2.47,21.03,0.31,7860.32,6.7,False
