chave,kt,jogador,clube,liga,pos11,setor,tipo,psv99,psv99,sprint_count_p90,hi_count_p90,expl_accel_sprint_p90,distance_p90,runs_p30tip,tipo_pref
felipe silva,porto ii,Felipe Silva,Porto II,Portugal B,ZE,Zaga,Motor de volume,27.95,27.95,5.05,37.27,1.07,8745.81,,True
n monserrat,leones del norte,N. Monserrat,Leones del Norte,Equador A,ZD,Zaga,Baixa intensidade,26.71,26.71,2.49,25.73,0.43,8324.23,4.5,False
l assadi,universidad de chile,L. Assadi,Universidad de Chile,Chile,EE,Extremo,Baixa intensidade,30.23,30.23,9.49,56.72,1.08,8783.05,30.0,False
j acosta,boston river,J. Acosta,Boston River,Uruguai,LD,Lateral,Médio em tudo,27.75,27.75,9.1,62.64,0.68,10090.64,22.0,False
f posse,macara,F. Posse,Macará,Equador A,CA,Atacante,Motor de volume,30.11,30.11,11.96,67.58,2.11,9599.37,42.9,True
c penilla,alianza atletico,C. Penilla,Alianza Atlético,Peru,EE,Extremo,Baixa intensidade,29.62,29.62,8.16,48.21,2.41,8322.29,32.6,False
m noble,deportivo maldonado,M. Noble,Deportivo Maldonado,Uruguai,MEI,Meia,Explosivo e rápido,28.14,28.14,10.35,69.72,1.06,10603.1,56.5,False
r ade,ldu quito,R. Adé,LDU Quito,Equador A,ZD,Zaga,Baixa intensidade,27.71,27.71,4.89,32.71,0.99,8170.31,5.7,False
m barreto gonzalez,sportivo luqueno,M. Barreto González,Sportivo Luqueño,Paraguai,ZD,Zaga,Motor de volume,30.38,30.38,7.3,43.53,0.62,8480.81,5.7,True
l gustavino,aucas,L. Gustavino,Aucas,Equador A,ZD,Zaga,Motor de volume,27.6,27.6,5.39,41.52,1.3,9216.67,10.7,True
j chancellor,universidad catolica,J. Chancellor,Universidad Católica,Equador A,ZE,Zaga,Baixa intensidade,26.25,26.25,2.2,22.8,0.12,8240.91,3.6,False
r cabral,sportivo ameliano,R. Cabral,Sportivo Ameliano,Paraguai,MED,Meia,Baixa intensidade,25.76,25.76,2.32,29.29,0.37,9512.51,21.3,False
i ramirez,cerro porteno,I. Ramírez,Cerro Porteño,Paraguai,LD,Lateral,Médio em tudo,28.12,28.12,9.07,61.22,1.27,9770.28,22.4,False
a luna,instituto,A. Luna,Instituto,Argentina A,EE,Extremo,Baixa intensidade,29.7,29.7,12.62,70.75,1.86,8874.69,32.8,False
s quintana,olimpia,S. Quintana,Olimpia,Paraguai,MED,Meia,Explosivo e rápido,29.11,29.11,9.49,60.99,1.17,9548.07,25.4,False
iago maidana,henan,Iago Maidana,Henan,China,ZD,Zaga,Baixa intensidade,28.39,28.39,4.17,30.35,0.63,8456.37,,False
j fernandez,deportivo maldonado,J. Fernández,Deportivo Maldonado,Uruguai,ZE,Zaga,Baixa intensidade,27.12,27.12,4.83,35.79,0.92,8873.58,6.8,False
l blanco,boca juniors,L. Blanco,Boca Juniors,Argentina A,LE,Lateral,Explosivo e rápido,29.36,29.36,13.03,69.27,2.23,9252.17,24.1,True
m guerrero,universidad de chile,M. Guerrero,Universidad de Chile,Chile,ED,Extremo,Explosivo e rápido,29.44,29.44,16.14,90.81,2.24,10296.56,42.1,True
j gonzalez,sporting cristal,J. González,Sporting Cristal,Peru,LD,Lateral,Baixa intensidade,29.88,29.88,11.49,60.84,2.4,9087.26,16.2,False
tete,panathinaikos,Tetê,Panathinaikos,Grecia,ED,Extremo,Motor de volume,28.11,28.11,8.41,59.54,1.13,9818.03,36.1,False
l sandoval,tolima,L. Sandoval,Tolima,Colombia A,CA,Atacante,Baixa intensidade,28.14,28.14,7.67,48.56,0.92,8932.69,35.7,False
l muriel,junior,L. Muriel,Junior,Colombia A,CA,Atacante,Baixa intensidade,29.21,29.21,8.28,49.37,1.38,8270.66,37.4,False
tomas alarcon,colo colo, Tomás Alarcón,Colo Colo,Chile,MED,Meia,Baixa intensidade,25.91,25.91,3.03,36.4,0.0,10713.77,22.6,False
c romana,atletico bucaramanga,C. Romaña,Atlético Bucaramanga,Colombia A,ZD,Zaga,Baixa intensidade,28.08,28.08,6.15,38.25,0.3,8401.45,6.4,False
kevyson,,Kevyson,Ponte Preta,Série B,LE,Lateral,Explosivo e rápido,29.96,29.96,12.47,67.24,2.26,9867.4,30.82,True
a robles,cienciano,A. Robles,Cienciano,Peru,VOL,Volante,Menos intenso,26.57,26.57,4.35,41.17,0.46,9424.54,21.8,False
allyson,,Allyson,Avaí,Série B,ZD,Zaga,Motor de volume,29.05,29.05,6.51,39.66,0.86,8794.3,5.16,True
a arias,comerciantes unidos,A. Arias,Comerciantes Unidos,Peru,MED,Meia,Baixa intensidade,26.87,26.87,3.8,37.98,0.3,9583.24,24.4,False
r peralta,juventud,R. Peralta,Juventud,Uruguai,MED,Meia,Explosivo e rápido,27.64,27.64,8.2,63.42,1.04,10617.21,37.4,False
italo,vizela,Italo,Vizela,Portugal B,LD,Lateral,Explosivo e rápido,30.65,30.65,14.74,73.01,2.29,9325.81,,True
a garcia,aucas,A. García,Aucas,Equador A,ZE,Zaga,Explosivo e rápido,28.32,28.32,7.09,43.59,1.59,8933.12,10.3,False
lucas belezi,,Lucas Belezi,Athletic,Série B,ZE,Zaga,Motor de volume,29.95,29.95,6.07,38.73,0.79,9162.65,13.4,True
jonathan villagra,colo colo,Jonathan Villagra,Colo Colo,Chile,ZD,Zaga,Explosivo e rápido,29.31,29.31,7.27,46.43,1.29,9250.84,15.8,False
d martinez,defensa y justicia,D. Martínez,Defensa y Justicia,Argentina A,ZE,Zaga,Motor de volume,27.56,27.56,4.51,34.07,0.6,9513.51,8.6,True
h quintana,olimpia,H. Quintana,Olimpia,Paraguai,MED,Meia,Explosivo e rápido,28.09,28.09,8.2,56.12,1.29,9480.53,48.7,False
m lliuya,utc cajamarca,M. Lliuya,UTC Cajamarca,Peru,MEI,Meia,Baixa intensidade,25.02,25.02,1.46,21.19,0.49,8405.74,41.6,False
s callegari,orense,S. Callegari,Orense,Equador A,ZD,Zaga,Baixa intensidade,27.76,27.76,4.66,33.88,1.17,8665.19,7.3,False
j zapata,once caldas,J. Zapata,Once Caldas,Colombia A,ED,Extremo,Baixa intensidade,29.18,29.18,11.5,66.32,0.92,9081.99,36.6,False
l valencia,deportes limache,L. Valencia,Deportes Limache,Chile,MEI,Meia,Médio em tudo,27.38,27.38,6.47,53.11,0.7,9855.46,38.1,True
y quinonez,ldu quito,Y. Quiñónez,LDU Quito,Equador A,LD,Lateral,Explosivo e rápido,30.24,30.24,13.01,69.88,1.87,10049.85,24.4,True
juan fernando alfaro,olimpia,Juan Fernando Alfaro,Olimpia,Paraguai,VOL,Volante,Mais intenso,27.53,27.53,7.05,59.61,0.71,10245.56,25.7,True
a yovera,cienciano,A. Yovera,Cienciano,Peru,ZE,Zaga,Motor de volume,28.04,28.04,7.69,46.49,0.96,8985.62,13.0,True
l di lollo,boca juniors,L. Di Lollo,Boca Juniors,Argentina A,ZD,Zaga,Baixa intensidade,27.51,27.51,4.23,30.6,0.49,9055.8,7.1,False
l canga,universidad catolica,L. Cangá,Universidad Católica,Equador A,ZD,Zaga,Baixa intensidade,29.38,29.38,4.18,28.91,0.74,7727.73,1.8,False
ericson,,Ericson,Botafogo-SP,Série B,ZD,Zaga,Motor de volume,29.71,29.71,6.76,41.23,1.05,8828.56,5.6,True
c tabo,deportivo maldonado,C. Tabó,Deportivo Maldonado,Uruguai,CA,Atacante,Baixa intensidade,28.49,28.49,8.91,56.86,1.38,8912.4,27.2,False
rafael ratao,shanghai shenhua,Rafael Ratão,Shanghai Shenhua,China,CA,Atacante,Explosivo e rápido,29.93,29.93,15.56,84.36,2.21,9838.09,,False
c cabello,cienciano,C. Cabello,Cienciano,Peru,LD,Lateral,Explosivo e rápido,30.81,30.81,13.16,64.58,3.55,8593.29,30.5,True
m casco,atletico nacional,M. Casco,Atlético Nacional,Colombia A,LE,Lateral,Médio em tudo,28.6,28.6,9.44,54.7,0.59,9500.41,23.5,False
s gonzalez,sporting cristal,S. González,Sporting Cristal,Peru,ED,Extremo,Motor de volume,30.33,30.33,12.88,73.47,1.51,9679.22,33.9,False
f dominguez,cerro porteno,F. Domínguez,Cerro Porteño,Paraguai,LD,Lateral,Médio em tudo,28.6,28.6,10.76,68.31,1.76,9632.89,30.4,False
marcelo,uniao de leiria,Marcelo,União de Leiria,Portugal B,ZD,Zaga,Motor de volume,28.16,28.16,4.61,36.85,0.32,9075.3,,True
m plaza,nublense,M. Plaza,Ñublense,Chile,MED,Meia,Médio em tudo,26.89,26.89,8.0,64.58,0.58,10045.92,49.2,True
y gonzalez,deportes limache,Y. Gonzalez,Deportes Limache,Chile,LD,Lateral,Baixa intensidade,29.12,29.12,10.4,58.15,1.32,9543.75,15.5,False
rick,talleres cordoba,Rick,Talleres Córdoba,Argentina A,EE,Extremo,Explosivo e rápido,30.31,30.31,12.36,73.2,2.59,9604.56,39.3,True
b delgado,tecnico universitario,B. Delgado,Técnico Universitario,Equador A,MEI,Meia,Explosivo e rápido,28.39,28.39,10.52,68.98,0.73,9900.14,55.7,False
b duarte,utc cajamarca,B. Duarte,UTC Cajamarca,Peru,ZE,Zaga,Baixa intensidade,26.5,26.5,2.57,21.08,0.5,7533.94,1.6,False
d castro,deportes limache,D. Castro,Deportes Limache,Chile,CA,Atacante,Explosivo e rápido,30.07,30.07,13.75,74.1,2.08,9415.0,44.5,False
r carrillo,emelec,R. Carrillo,Emelec,Equador A,CA,Atacante,Motor de volume,28.52,28.52,8.98,53.43,0.7,9696.13,38.9,True
w baez,deportivo recoleta,W. Báez,Deportivo Recoleta,Paraguai,ED,Extremo,Baixa intensidade,28.92,28.92,13.21,78.55,1.77,9798.06,25.8,False
dg,,DG,Avaí,Série B,LE,Lateral,Explosivo e rápido,30.06,30.06,12.49,67.63,1.66,9532.44,24.77,True
edmilson junior,al duhail,Edmílson Junior,Al Duhail,Catar,ED,Extremo,Motor de volume,29.72,29.72,11.04,68.8,0.86,9845.41,,False
j rhyner,vizela,J. Rhyner,Vizela,Portugal B,ZE,Zaga,Baixa intensidade,26.63,26.63,3.3,29.34,0.99,8647.46,,False
a castro,estudiantes,A. Castro,Estudiantes,Argentina A,MED,Meia,Médio em tudo,26.57,26.57,9.07,71.02,0.78,10819.31,36.1,True
f hormazabal,universidad de chile,F. Hormazábal,Universidad de Chile,Chile,LD,Lateral,Explosivo e rápido,28.97,28.97,12.95,75.9,1.23,10210.28,30.9,True
s gallegos,palestino,S. Gallegos,Palestino,Chile,VOL,Volante,Mais intenso,28.49,28.49,14.08,82.91,2.15,10014.32,28.1,True
b barcia,nacional,B. Barcia,Nacional,Uruguai,ED,Extremo,Baixa intensidade,30.82,30.82,13.02,71.63,2.6,9128.3,19.5,False
j bartolo,asteras tripolis,J. Bartolo,Asteras Tripolis,Grecia,CA,Atacante,Explosivo e rápido,29.57,29.57,12.1,69.74,2.21,9846.65,,False
m moreno,atletico nacional,M. Moreno,Atlético Nacional,Colombia A,ED,Extremo,Baixa intensidade,29.4,29.4,11.22,64.1,2.4,8998.24,27.7,False
kelvin florez,tolima,Kelvin Flórez,Tolima,Colombia A,EE,Extremo,Explosivo e rápido,29.77,29.77,15.16,82.27,1.9,9944.37,35.3,True
k parra,atletico nacional,K. Parra,Atlético Nacional,Colombia A,EE,Extremo,Baixa intensidade,29.89,29.89,12.31,67.39,3.06,8861.84,37.0,False
a barrionuevo,tigre,A. Barrionuevo,Tigre,Argentina A,ZE,Zaga,Baixa intensidade,27.67,27.67,3.54,29.64,0.43,8548.86,4.9,False
lucas mendes,al wakrah,Lucas Mendes,Al Wakrah,Catar,ZE,Zaga,Baixa intensidade,27.48,27.48,3.84,30.58,0.56,8146.54,,False
vitor mendes,,Vitor Mendes,Cuiabá,Série B,ZE,Zaga,Motor de volume,28.66,28.66,5.17,37.42,1.26,9324.93,11.44,True
j murillo,al shamal,J. Murillo,Al Shamal,Catar,ZE,Zaga,Baixa intensidade,27.59,27.59,4.3,32.15,0.82,8556.69,,False
y guzman,america de cali,Y. Guzmán,América de Cali,Colombia A,CA,Atacante,Motor de volume,27.82,27.82,8.4,56.36,0.86,9457.25,51.6,True
m aguilera,central espanol,M. Aguilera,Central Español,Uruguai,EE,Extremo,Baixa intensidade,28.79,28.79,13.97,77.3,2.07,9568.44,26.5,False
f callejo,cusco,F. Callejo,Cusco,Peru,CA,Atacante,Baixa intensidade,28.41,28.41,9.66,58.26,1.59,8988.45,29.9,False
j galvan,instituto,J. Galván,Instituto,Argentina A,ZD,Zaga,Baixa intensidade,25.75,25.75,2.16,21.81,0.1,8573.2,3.6,False
j alvarez,albion,J. Álvarez,Albion,Uruguai,LE,Lateral,Explosivo e rápido,30.16,30.16,12.14,65.13,2.21,9750.43,17.8,True
l ferreira,penarol,L. Ferreira,Peñarol,Uruguai,ZE,Zaga,Motor de volume,28.5,28.5,7.2,44.23,1.42,9198.34,6.4,True
hereda,,Hereda,CRB,Série B,LD,Lateral,Médio em tudo,29.88,29.88,10.11,59.98,1.57,10034.0,22.14,False
m alaniz,juan pablo ii college,M. Alaníz,Juan Pablo II College,Peru,MED,Meia,Baixa intensidade,27.34,27.34,6.02,42.94,0.46,8396.55,40.6,False
e munoz,gimnasia mendoza,E. Muñoz,Gimnasia Mendoza,Argentina A,ZE,Zaga,Baixa intensidade,27.91,27.91,4.16,31.83,0.41,8625.6,3.0,False
f torres,los chankas,F. Torres,Los Chankas,Peru,CA,Atacante,Motor de volume,30.26,30.26,11.64,63.29,1.93,9249.08,45.6,True
m torres,america de cali,M. Torres,América de Cali,Colombia A,ZD,Zaga,Baixa intensidade,28.27,28.27,5.16,33.39,0.87,7827.56,6.0,False
maykon,,Maykon,Novorizontino,Série B,LE,Lateral,Médio em tudo,28.59,28.59,10.73,65.43,1.58,10170.94,26.36,False
n ramirez,universidad de chile,N. Ramírez,Universidad de Chile,Chile,ZE,Zaga,Explosivo e rápido,29.76,29.76,6.98,44.98,1.5,8893.32,7.9,False
mario briceno,huachipato,Mario Briceño,Huachipato,Chile,ED,Extremo,Explosivo e rápido,30.33,30.33,17.58,89.48,3.42,10354.94,36.5,True
a steimbach,gimnasia la plata,A. Steimbach,Gimnasia La Plata,Argentina A,LD,Lateral,Baixa intensidade,28.64,28.64,9.32,60.65,1.31,9609.08,17.4,False
e remedi,penarol,E. Remedi,Peñarol,Uruguai,MED,Meia,Baixa intensidade,27.06,27.06,3.47,39.3,0.16,10124.5,15.7,False
volnei,panserraikos,Volnei,Panserraikos,Grecia,ZD,Zaga,Motor de volume,29.03,29.03,5.44,35.51,0.81,8702.74,,True
t porra,barracas central,T. Porra,Barracas Central,Argentina A,MED,Meia,Explosivo e rápido,27.86,27.86,9.65,66.36,1.09,10801.36,40.8,False
c lopez,sport boys,C. López,Sport Boys,Peru,ED,Extremo,Baixa intensidade,30.52,30.52,11.12,64.47,1.67,9267.1,33.6,False
e obregon,torque,E. Obregón,Torque,Uruguai,ED,Extremo,Explosivo e rápido,30.0,30.0,19.25,98.95,3.18,9920.76,42.4,True
a lopez,albion,A. López,Albion,Uruguai,CA,Atacante,Motor de volume,28.3,28.3,11.29,72.21,1.1,10259.44,32.9,True
m icardi,galatasaray,M. Icardi,Galatasaray,Turquia,CA,Atacante,Baixa intensidade,26.57,26.57,5.25,40.45,0.97,8895.97,,False
d romero,liverpool,D. Romero,Liverpool,Uruguai,LE,Lateral,Explosivo e rápido,29.97,29.97,11.52,66.2,1.99,9839.23,29.9,True
j barreto,,J. Barreto,Atlético-GO,Série B,ZD,Zaga,Baixa intensidade,27.93,27.93,4.11,32.16,0.41,9183.28,6.69,False
s nunez,estudiantes,S. Núñez,Estudiantes,Argentina A,ZD,Zaga,Motor de volume,29.75,29.75,6.68,40.11,1.31,8591.9,6.2,True
d viera,club libertad,D. Viera,Club Libertad,Paraguai,ZD,Zaga,Motor de volume,29.56,29.56,5.23,35.75,0.48,9025.75,9.8,True
carlinhos,dibba al fujairah,Carlinhos,Dibba Al Fujairah,Emirados,MED,Meia,Baixa intensidade,26.31,26.31,2.61,30.37,0.21,9132.55,,False
m acuna,river plate,M. Acuña,River Plate,Argentina A,LE,Lateral,Baixa intensidade,28.47,28.47,7.64,46.77,2.0,8912.05,12.1,False
g balzi,levadiakos,G. Balzi,Levadiakos,Grecia,MEI,Meia,Explosivo e rápido,28.14,28.14,10.9,74.12,0.85,11052.87,32.0,False
r arias,guayaquil city,R. Arias,Guayaquil City,Equador A,ZE,Zaga,Baixa intensidade,27.13,27.13,2.84,24.36,0.45,8541.61,5.2,False
c neira,alianza lima,C. Neira,Alianza Lima,Peru,ED,Extremo,Motor de volume,29.51,29.51,11.8,69.84,1.81,10037.02,35.6,False
j vera,olimpia,J. Vera,Olimpia,Paraguai,ZD,Zaga,Motor de volume,27.94,27.94,5.73,37.09,0.89,8652.02,6.5,True
r ortiz,olimpia,R. Ortiz,Olimpia,Paraguai,VOL,Volante,Menos intenso,25.51,25.51,2.8,29.91,0.23,9557.12,9.4,False
l chaverra,deportivo cali,L. Chaverra,Deportivo Cali,Colombia A,LD,Lateral,Baixa intensidade,29.81,29.81,7.97,46.95,1.87,8174.72,9.7,False
n baeza,everton,N. Baeza,Everton,Chile,LE,Lateral,Explosivo e rápido,29.32,29.32,13.25,72.28,1.81,9810.3,29.0,True
l gonzalez pirez,estudiantes,L. González Pírez,Estudiantes,Argentina A,ZD,Zaga,Baixa intensidade,27.72,27.72,3.31,24.56,0.41,8562.83,2.5,False
f perez,estudiantes,F. Perez,Estudiantes,Argentina A,ED,Extremo,Explosivo e rápido,29.47,29.47,19.15,100.31,2.75,11071.2,37.9,True
roberto firmino,al sadd,Roberto Firmino,Al Sadd,Catar,MEI,Meia,Explosivo e rápido,29.55,29.55,12.29,74.25,1.26,10140.28,,False
f jara,nacional asuncion,F. Jara,Nacional Asunción,Paraguai,MED,Meia,Baixa intensidade,27.16,27.16,4.99,40.91,0.78,9696.61,15.2,False
j quinonez,barcelona,J. Quiñónez,Barcelona,Equador A,MEI,Meia,Médio em tudo,27.88,27.88,7.95,56.82,1.15,9408.07,30.0,True
claudio falcao,farense,Cláudio Falcão,Farense,Portugal B,VOL,Volante,Intermediário,28.13,28.13,5.68,42.62,0.73,9491.76,,True
j ontaneda,aucas,J. Ontaneda,Aucas,Equador A,ZE,Zaga,Baixa intensidade,28.55,28.55,4.33,29.35,0.66,8434.26,3.7,False
m catalan,talleres cordoba,M. Catalán,Talleres Córdoba,Argentina A,ZD,Zaga,Baixa intensidade,27.66,27.66,4.62,30.68,0.36,8798.49,7.5,False
s lopez,banfield,S. López,Banfield,Argentina A,LD,Lateral,Explosivo e rápido,28.82,28.82,13.33,75.32,1.91,9875.87,25.2,True
m araujo,sporting cristal,M. Araujo,Sporting Cristal,Peru,ZD,Zaga,Baixa intensidade,28.74,28.74,5.27,33.96,0.94,8119.57,4.8,False
ian luccas,,Ian Luccas,Athletic,Série B,CA,Atacante,Motor de volume,30.0,30.0,14.44,83.0,1.75,10674.97,42.21,True
a franco,olimpia,A. Franco,Olimpia,Paraguai,MED,Meia,Médio em tudo,26.42,26.42,6.79,51.85,0.65,10269.99,44.6,True
j gonzalez,sportivo ameliano,J. González,Sportivo Ameliano,Paraguai,ZD,Zaga,Baixa intensidade,28.17,28.17,4.55,33.35,0.7,8630.48,5.3,False
o quinonez,orense,Ó. Quiñonez,Orense,Equador A,ZE,Zaga,Baixa intensidade,28.79,28.79,5.39,35.38,1.38,8493.26,4.2,False
l lopez,belgrano,L. López,Belgrano,Argentina A,ZE,Zaga,Baixa intensidade,26.81,26.81,3.67,30.68,0.6,8471.52,6.5,False
farley rosa,panetolikos fc,Farley Rosa,Panetolikos FC,Grecia,EE,Extremo,Baixa intensidade,28.22,28.22,8.4,51.83,1.26,9235.89,,False
j valencia,universidad catolica,J. Valencia,Universidad Católica,Chile,VOL,Volante,Mais intenso,27.81,27.81,6.6,54.17,0.88,10077.2,24.9,True
m rojo,racing club,M. Rojo,Racing Club,Argentina A,ZE,Zaga,Baixa intensidade,27.54,27.54,3.77,30.43,0.52,8398.73,6.1,False
k amaro,liverpool,K. Amaro,Liverpool,Uruguai,LD,Lateral,Explosivo e rápido,31.23,31.23,15.86,79.79,3.6,9791.98,24.4,True
f vazquez,belgrano,F. Vázquez,Belgrano,Argentina A,VOL,Volante,Menos intenso,25.84,25.84,2.9,34.82,0.48,9768.25,29.6,False
j ortiz,atletico bucaramanga,J. Ortiz,Atlético Bucaramanga,Colombia A,ZD,Zaga,Baixa intensidade,29.65,29.65,5.48,34.51,0.8,8397.34,4.6,False
e britez,,E. Brítez,Fortaleza,Série B,ZD,Zaga,Baixa intensidade,27.99,27.99,4.92,31.88,0.45,8616.98,6.47,False
pedro barcelos,academico de viseu f c,Pedro Barcelos,Académico de Viseu F.C.,Portugal B,ZE,Zaga,Motor de volume,27.21,27.21,6.08,39.47,1.26,9121.02,,True
kayque campos,khorfakkan,Kayque Campos,Khorfakkan,Emirados,ZE,Zaga,Baixa intensidade,27.69,27.69,4.74,32.0,1.06,8125.95,,False
a roman,atletico nacional,A. Román,Atlético Nacional,Colombia A,LD,Lateral,Baixa intensidade,29.84,29.84,9.72,56.97,1.73,8775.5,31.5,False
l lozano,boca juniors,L. Lozano,Boca Juniors,Argentina A,LD,Lateral,Explosivo e rápido,29.26,29.26,12.74,72.78,1.43,10106.62,22.2,True
j canela,adt,J. Canela,ADT,Peru,ED,Extremo,Baixa intensidade,28.08,28.08,8.02,52.01,1.07,8316.14,26.9,False
a perez,al arabi,A. Pérez,Al Arabi,Catar,ZE,Zaga,Explosivo e rápido,29.38,29.38,7.18,44.65,1.13,8712.59,,False
j giani,universidad catolica,J. Giani,Universidad Católica,Chile,EE,Extremo,Motor de volume,28.64,28.64,10.96,71.4,1.0,9508.9,43.9,False
j morel,cerro porteno,J. Morel,Cerro Porteño,Paraguai,MED,Meia,Médio em tudo,28.28,28.28,9.12,55.5,0.98,9100.07,23.4,True
s villa,boca juniors,S. Villa,Boca Juniors,Argentina A,CA,Atacante,Explosivo e rápido,30.85,30.85,9.59,52.86,1.61,8096.08,53.1,False
e ferrario,audax italiano,E. Ferrario,Audax Italiano,Chile,ZD,Zaga,Explosivo e rápido,28.91,28.91,9.94,57.67,0.9,10056.26,15.6,False
j escobar,melgar,J. Escobar,Melgar,Peru,ZD,Zaga,Motor de volume,30.23,30.23,5.94,36.17,0.87,8431.09,5.0,True
a serna,medellin,A. Serna,Medellín,Colombia A,MED,Meia,Baixa intensidade,28.52,28.52,5.95,44.08,1.1,8960.75,16.1,False
j luduena,union santa fe,J. Ludueña,Unión Santa Fe,Argentina A,ZE,Zaga,Baixa intensidade,28.1,28.1,5.33,35.57,0.29,8506.97,2.8,False
romulo otero,,Rómulo Otero,Criciúma,Série B,ED,Extremo,Baixa intensidade,27.89,27.89,6.97,51.13,0.78,9531.25,26.0,False
r urena,millonarios,R. Ureña,Millonarios,Colombia A,VOL,Volante,Menos intenso,26.69,26.69,3.91,37.28,0.96,9857.53,17.8,False
s tormo,deportivo maldonado,S. Tormo,Deportivo Maldonado,Uruguai,LE,Lateral,Explosivo e rápido,29.22,29.22,11.8,67.94,2.2,9945.94,17.1,True
leo duarte,istanbul basaksehir,Léo Duarte,İstanbul Başakşehir,Turquia,ZD,Zaga,Explosivo e rápido,29.47,29.47,9.33,53.75,1.0,9851.27,,False
l alarcon,la serena,L. Alarcón,La Serena,Chile,ZD,Zaga,Explosivo e rápido,30.16,30.16,7.33,43.24,1.67,8733.87,8.3,False
a assis,cerro largo,A. Assis,Cerro Largo,Uruguai,MED,Meia,Explosivo e rápido,27.66,27.66,9.99,72.29,0.58,10894.03,34.1,False
n schelotto,gimnasia la plata,N. Schelotto,Gimnasia La Plata,Argentina A,MED,Meia,Baixa intensidade,26.55,26.55,4.83,46.69,0.35,10317.85,26.4,False
j cuenu,,J. Cuenú,Operário-PR,Série B,ZD,Zaga,Baixa intensidade,28.96,28.96,4.34,32.51,0.5,8645.62,7.72,False
e meza,estudiantes,E. Meza,Estudiantes,Argentina A,LD,Lateral,Explosivo e rápido,31.49,31.49,16.7,84.17,4.05,9758.92,32.1,True
m castillo,america de cali,M. Castillo,América de Cali,Colombia A,LD,Lateral,Baixa intensidade,30.68,30.68,10.91,59.3,2.56,8803.48,18.6,False
luan freitas,,Luan Freitas,Fortaleza,Série B,ZD,Zaga,Baixa intensidade,27.52,27.52,4.14,28.15,1.05,8544.68,5.76,False
vinicius paiva,,Vinícius Paiva,Novorizontino,Série B,EE,Extremo,Explosivo e rápido,31.13,31.13,17.13,87.23,2.74,9946.67,41.29,True
l segovia,ldu quito,L. Segovia,LDU Quito,Equador A,ZE,Zaga,Baixa intensidade,28.15,28.15,4.72,33.23,0.47,8973.58,7.9,False
breno cascardo,shabab al ahli dubai,Breno Cascardo,Shabab Al Ahli Dubai,Emirados,VOL,Volante,Menos intenso,27.02,27.02,5.53,47.0,0.5,9977.54,,False
j trindade,penarol,J. Trindade,Peñarol,Uruguai,VOL,Volante,Mais intenso,27.51,27.51,8.9,62.53,0.55,10564.64,29.1,True
m merentiel,boca juniors,M. Merentiel,Boca Juniors,Argentina A,CA,Atacante,Motor de volume,29.61,29.61,10.97,63.25,1.67,9137.73,40.6,True
s porozo caicedo,aucas,S. Porozo Caicedo,Aucas,Equador A,CA,Atacante,Baixa intensidade,29.11,29.11,8.03,49.84,1.31,9292.61,30.3,False
f cornejo,ldu quito,F. Cornejo,LDU Quito,Equador A,MED,Meia,Médio em tudo,27.25,27.25,6.29,55.01,0.86,10182.15,45.7,True
ruan,alanyaspor,Ruan,Alanyaspor,Turquia,LE,Lateral,Explosivo e rápido,29.61,29.61,12.42,73.31,1.67,10030.1,,True
willian,,Willian,América-MG,Série B,CA,Atacante,Baixa intensidade,28.06,28.06,9.98,65.03,1.93,9428.85,35.63,False
d hernandez,aguilas doradas,D. Hernández,Águilas Doradas,Colombia A,ZE,Zaga,Motor de volume,29.18,29.18,5.9,37.06,0.99,8374.25,5.8,True
v malcorra,union santa fe,V. Malcorra,Unión Santa Fe,Argentina A,MED,Meia,Médio em tudo,27.64,27.64,6.14,50.24,0.59,10290.46,43.6,True
s rosane,estudiantes rio cuarto,S. Rosané,Estudiantes Río Cuarto,Argentina A,MED,Meia,Baixa intensidade,25.65,25.65,2.83,36.75,0.26,10015.23,18.6,False
b uruena,aguilas doradas,B. Urueña,Águilas Doradas,Colombia A,EE,Extremo,Baixa intensidade,27.61,27.61,7.4,49.74,1.58,8462.35,29.1,False
j henriquez,concepcion,J. Henríquez,Concepción,Chile,MEI,Meia,Médio em tudo,27.87,27.87,7.37,53.69,0.33,10566.92,41.5,True
a wlk,deportivo recoleta,A. Wlk,Deportivo Recoleta,Paraguai,CA,Atacante,Explosivo e rápido,29.76,29.76,12.0,65.23,1.8,8964.11,38.0,False
dudu,,Dudu,Vila Nova,Série B,VOL,Volante,Mais intenso,30.79,30.79,10.58,63.39,1.61,10265.09,28.95,True
juan cornejo,coquimbo unido, Juan Cornejo,Coquimbo Unido,Chile,LE,Lateral,Baixa intensidade,27.25,27.25,6.2,50.2,0.71,9406.92,17.2,False
a cruz,juventud,A. Cruz,Juventud,Uruguai,EE,Extremo,Motor de volume,28.7,28.7,13.19,77.73,1.2,9779.98,47.0,False
andre clovis,academico de viseu f c,Andre Clóvis,Académico de Viseu F.C.,Portugal B,CA,Atacante,Explosivo e rápido,29.9,29.9,11.82,64.04,2.39,8832.2,,False
a mena,orense,Á. Mena,Orense,Equador A,MEI,Meia,Baixa intensidade,26.79,26.79,4.23,40.33,0.13,9038.27,39.7,False
i valdez,nacional asuncion,I. Valdez,Nacional Asunción,Paraguai,EE,Extremo,Motor de volume,28.79,28.79,12.89,78.88,1.74,9482.84,33.7,False
