ano,clube,treinador,jogos,bc_criadas,bc_cedidas,chutes_area,chutes_area_adv,rendimento
2024,Coritiba,Jorginho,19,1.19,1.12,6.95,7.37,0.01
2023,Tombense,João Burse,12,0.91,2.09,7.33,7.75,-0.25
2024,América-MG,Lisca,14,1.54,1.0,7.21,6.29,-0.06
2022,Brusque,Luan Carlos,20,1.47,1.12,7.2,5.95,0.0
2024,Vila Nova,Luizinho Lopes,26,1.12,1.12,6.62,7.92,0.23
2024,Brusque,Luizinho Vieira,19,1.33,1.53,5.58,8.74,-0.19
2022,Sampaio Corrêa,Léo Condé,38,1.56,1.61,6.97,7.37,0.47
2023,Vitória,Léo Condé,38,1.51,1.09,7.34,7.24,0.54
2024,Ceará,Léo Condé,25,1.17,0.71,8.6,5.04,0.3
2022,Chapecoense,Marcelo Cabo,10,1.5,1.62,4.9,6.9,-0.25
2024,Brusque,Marcelo Cabo,13,1.1,1.3,5.31,6.62,-0.19
2023,Botafogo-SP,Marcelo Chamusca,23,0.57,1.67,6.43,6.91,-0.09
2023,Tombense,Marcelo Chamusca,10,1.2,1.0,9.2,6.8,-0.57
2023,Ituano,Marcinho,30,1.18,1.54,6.73,7.0,0.03
2024,Sport,Mariano Soso,14,1.77,1.08,8.0,6.07,0.26
2022,Operário-PR,Matheus Costa,16,0.58,2.0,5.88,8.62,-0.47
2026,Juventude,Maurício Barbieri,27,2.0,1.23,7.48,6.15,0.41
2022,Ituano,Mazola Júnior,17,1.35,1.35,8.18,6.18,-0.09
2022,Novorizontino,Mazola Júnior,10,1.56,1.44,8.6,6.5,-0.19
2023,Tombense,Moacir Júnior,14,1.36,1.09,6.0,7.86,0.05
2022,CSA,Mozart,12,1.1,1.3,6.58,6.58,-0.26
2022,Guarani,Mozart,23,1.33,1.19,7.26,6.87,0.36
2023,Mirassol,Mozart,35,1.84,0.9,7.03,5.03,0.26
2024,Mirassol,Mozart,38,1.23,1.03,6.21,6.61,0.36
2025,Coritiba,Mozart,38,1.62,1.24,7.53,6.05,0.3
2026,Ceará,Mozart,11,2.27,2.09,8.27,6.73,-0.16
2026,Goiás,Mozart,13,1.33,1.33,5.85,6.85,0.06
2023,Sampaio Corrêa,Márcio Fernandes,22,1.1,1.38,6.27,6.91,-0.17
2026,Sport,Márcio Goiano,14,2.64,2.43,8.86,8.5,0.23
2024,Botafogo-SP,Márcio Zanardi,10,0.78,1.78,5.0,7.4,0.05
2024,Goiás,Márcio Zanardi,18,1.81,0.94,6.83,7.0,-0.15
2025,Amazonas,Márcio Zanardi,19,2.06,1.94,6.0,7.26,-0.44
2026,Ponte Preta,Márcio Zanardi,12,1.58,3.5,4.83,11.33,-0.86
2024,Ponte Preta,Nelsinho Baptista,25,0.91,1.65,7.04,7.84,-0.04
2025,Athletico-PR,Odair Hellmann,30,2.46,1.32,9.07,5.53,0.14
2024,Botafogo-SP,Paulo Gomes,28,0.74,1.44,7.0,7.18,-0.11
2022,Cruzeiro,Paulo Pezzolano,38,1.52,1.27,7.84,6.11,0.5
2024,Sport,Pepa,17,1.76,0.71,8.82,5.65,0.54
2023,Ponte Preta,Pintado,11,1.33,1.89,4.36,8.82,-0.28
2022,Novorizontino,Rafael Guanaes,15,1.29,1.43,7.53,7.73,-0.03
2024,Operário-PR,Rafael Guanaes,37,1.07,1.23,6.51,6.24,0.17
2024,Amazonas,Rafael Lacerda,31,1.04,1.04,8.0,6.87,0.17
2025,Atlético-GO,Rafael Lacerda,21,1.81,2.05,7.05,7.05,-0.11
2025,Vila Nova,Rafael Lacerda,11,1.7,1.1,7.82,6.18,0.16
2022,Grêmio,Renato Gaúcho,10,1.7,0.8,8.4,4.2,0.12
2026,São Bernardo,Ricardo Catalá,20,1.95,1.6,6.4,8.0,0.15
2022,CSA,Roberto Fernandes,11,1.4,1.2,7.82,6.91,-0.16
2022,Náutico,Roberto Fernandes,16,1.31,1.62,7.12,7.94,-0.22
2023,Londrina,Roberto Fonseca,11,1.36,2.0,6.91,10.55,-0.19
2026,Ponte Preta,Rodrigo Santana,10,2.1,1.9,7.3,10.0,-0.33
2022,Grêmio,Roger Machado,27,1.5,1.04,7.37,5.81,-0.06
2025,Athletic,Roger Silva,10,1.6,1.8,6.9,8.2,-0.81
2026,Atlético-GO,Roger Silva,10,2.25,1.75,8.4,6.9,0.62
2025,Volta Redonda,Rogério Corrêa,38,1.26,2.03,7.03,7.7,-0.15
2026,Londrina,Rogério Micale,18,2.44,1.94,7.56,7.94,-0.19
2025,Athletic,Rui Duarte,28,2.07,1.57,7.54,6.46,-0.06
2023,Juventude,Thiago Carpini,32,1.32,1.07,7.19,5.91,0.54
2026,Fortaleza,Thiago Carpini,19,1.83,2.56,8.32,7.37,0.07
2023,Guarani,Umberto Louzer,26,1.3,1.15,6.35,7.12,0.22
2024,Chapecoense,Umberto Louzer,18,1.06,1.5,7.28,7.78,-0.24
2025,Novorizontino,Umberto Louzer,22,1.75,1.75,7.0,7.09,0.25
2026,América-MG,Umberto Louzer,12,1.75,3.0,6.42,9.92,-0.46
2023,Ceará,Vagner Mancini,13,1.45,1.55,7.15,6.54,-0.44
2024,Ceará,Vagner Mancini,12,1.83,1.42,9.08,5.58,-0.17
2024,Goiás,Vagner Mancini,20,1.53,0.76,8.11,7.63,0.36
2025,Goiás,Vagner Mancini,32,1.94,1.74,7.97,6.81,0.2
2025,Avaí,Vinícius,11,2.0,1.73,6.0,8.18,0.39
2025,Ferroviária,Vinícius,25,1.61,2.43,6.36,8.88,0.08
2025,América-MG,William Batista,10,1.9,1.3,7.3,6.0,-0.18
2022,Vasco,Zé Ricardo,10,1.88,1.5,7.9,6.6,0.24
