ano,clube,treinador,jogos,ppj,rendimento,sistema,sistema_pct,sistemas,posse,passes_posse,passe_longo,ppda,rec_altas,cruz,contra,posic,entradas,dist_rem,xg,xg_sof,bp,aereos,hi,spr,dist
2022,Londrina,Adilson Batista,37,1.4054054054054055,0.2289352083109685,4-2-3-1,0.3,4-2-3-1 30% / 4-4-2 30% / 4-3-3 24%,45.59351351351351,3.0567567567567564,14.531891891891894,11.13135135135135,9.64864864864865,11.08108108108108,1.6216216216216217,24.45945945945946,15.702702702702704,21.991891891891886,1.0064864864864864,1.1067567567567569,30.10810810810811,46.59621621621622,49.89763473885596,7.136802100837433,9541.30083188148
2023,Botafogo-SP,Adilson Batista,13,1.3846153846153846,0.1614418911647175,4-2-3-1,0.62,4-2-3-1 62% / 4-4-2 15% / 4-1-4-1 15%,46.29923076923077,3.0915384615384616,14.8,12.467692307692309,11.0,13.461538461538462,1.6923076923076923,28.615384615384617,18.846153846153847,21.448461538461537,1.0438461538461539,1.196923076923077,30.384615384615383,45.25923076923076,53.04630520800213,8.259749996099389,9542.962151796957
2022,CSA,Alberto Valentim,10,0.7,-0.6465223221646055,4-2-3-1,0.7,4-2-3-1 70% / 4-4-2 20% / 5-4-1 10%,49.536,3.5700000000000003,11.099,10.299,12.2,17.6,1.9,28.0,24.4,20.297,1.0039999999999998,1.3800000000000001,26.8,43.819,55.234806749342816,8.204313570442338,10303.685119594302
2023,Atlético-GO,Alberto Valentim,12,1.25,-0.2486209188703423,4-2-3-1,0.58,4-2-3-1 58% / 4-4-2 17% / 4-3-3 17%,55.64166666666667,4.0775,9.415833333333333,8.328333333333333,14.666666666666666,19.833333333333332,1.1666666666666667,35.5,26.5,19.54083333333333,1.1066666666666667,1.2708333333333333,28.833333333333332,46.51416666666666,60.645577728374384,9.735966039306286,10275.35601749688
2024,Ituano,Alberto Valentim,32,0.96875,-0.3273523683206045,4-2-3-1,0.34,4-2-3-1 34% / 4-3-3 19% / 4-4-2 16%,46.055625,3.2771875,13.2534375,12.991249999999999,9.90625,12.875,1.3125,25.65625,19.5,19.735625,1.1865625,1.8009375,26.40625,41.575625,52.88585053295819,7.736715815509499,9659.480303693921
2025,América-MG,Alberto Valentim,17,1.4705882352941178,-0.0128667704529235,4-4-2,0.41,4-4-2 41% / 3-5-2 12% / 4-3-3 12%,51.817647058823525,3.7682352941176473,13.109411764705882,11.353529411764708,10.117647058823529,14.0,0.29411764705882354,24.529411764705884,20.823529411764707,20.345294117647057,1.098823529411765,1.158235294117647,28.235294117647058,47.18705882352941,57.66697379237829,9.77537273241328,9549.711236597945
2025,Operário-PR,Alex,26,1.3076923076923077,-0.1252151664923608,4-4-2,0.31,4-4-2 31% / 4-2-3-1 23% / 4-3-3 23%,54.93807692307692,3.8369230769230764,11.135384615384615,9.053461538461539,10.76923076923077,15.961538461538462,0.5,28.115384615384617,22.76923076923077,21.055000000000003,1.2280769230769233,0.8999999999999999,28.576923076923077,42.026538461538465,52.043500053270286,7.942597477670988,9583.195516936901
2026,Athletic,Alex,27,1.3703703703703705,0.0515419405106138,4-1-4-1,0.37,4-1-4-1 37% / 4-3-3 22% / 3-4-3 19%,45.00777777777777,3.422962962962963,13.039259259259259,13.082592592592594,8.444444444444445,12.925925925925926,0.5555555555555556,22.814814814814813,19.11111111111111,18.84,1.1622222222222223,1.441111111111111,26.25925925925926,44.803333333333335,,,
2022,Novorizontino,Allan Aal,13,1.0769230769230769,-0.2180188088577084,4-2-3-1,0.46,4-2-3-1 46% / 4-4-2 23% / 4-4-1-1 15%,49.983076923076915,3.7507692307692304,10.017692307692307,9.133076923076922,12.692307692307692,15.76923076923077,2.3846153846153846,28.76923076923077,21.076923076923077,21.09615384615385,1.136923076923077,0.9792307692307693,29.846153846153847,40.907692307692315,51.065695222067475,7.279905369521482,9641.557737380635
2022,Vila Nova,Allan Aal,22,1.5909090909090908,0.3587227532992871,4-2-3-1,0.5,4-2-3-1 50% / 4-4-1-1 23% / 4-4-2 14%,43.59772727272727,3.1463636363636365,11.588636363636365,11.745000000000003,8.181818181818182,10.863636363636363,1.4545454545454546,25.727272727272727,14.227272727272727,21.55727272727273,0.9459090909090907,0.8363636363636364,27.227272727272727,49.38454545454545,,,
2023,ABC,Allan Aal,19,0.7894736842105263,-0.4570795552782851,4-4-2,0.79,4-4-2 79% / 4-2-3-1 16% / 4-4-1-1 5%,47.2,3.21578947368421,11.06578947368421,11.393684210526315,10.789473684210526,11.789473684210526,0.9473684210526315,23.68421052631579,17.157894736842106,21.787368421052633,0.8826315789473684,1.2942105263157895,31.894736842105264,44.765263157894736,44.46677748005755,6.393432061118369,9528.390765182065
2024,Guarani,Allan Aal,20,1.1,-0.3527795690298227,4-4-2,0.85,4-4-2 85% / 4-2-3-1 5% / 4-3-3 5%,47.14050000000001,3.6685000000000003,10.4405,12.196,11.1,14.35,0.5,27.25,19.5,21.6005,1.1195000000000002,1.074,28.85,47.03750000000001,50.18875252510344,7.699579062885937,9531.7670778961
2025,Botafogo-SP,Allan Aal,22,1.0909090909090908,-0.1751732737461617,4-2-3-1,0.73,4-2-3-1 73% / 4-4-2 14% / 4-1-4-1 5%,46.21272727272728,3.747272727272728,10.743636363636364,15.491818181818184,8.454545454545455,14.636363636363637,0.6818181818181818,25.181818181818183,18.045454545454547,21.49772727272727,0.93,1.5640909090909092,24.90909090909091,43.53454545454546,46.41263047750234,6.830272157017108,9335.82185642264
2026,Avaí,Allan Aal,11,1.4545454545454546,0.2503813651461688,4-2-3-1,0.36,4-2-3-1 36% / 3-4-3 27% / 4-4-2 18%,41.724545454545456,3.3499999999999996,12.553636363636365,15.21,11.818181818181818,9.090909090909092,0.7272727272727273,25.272727272727273,19.272727272727273,19.959090909090907,1.4136363636363636,1.4009090909090909,27.363636363636363,49.396363636363624,,,
2025,Remo,António Oliveira,15,1.2666666666666666,-0.2634784325901638,4-2-3-1,0.47,4-2-3-1 47% / 4-1-4-1 20% / 4-4-2 20%,50.51866666666667,3.741999999999999,10.390666666666668,10.947333333333335,9.866666666666667,14.066666666666666,0.9333333333333333,23.466666666666665,18.866666666666667,20.404,1.062,1.4839999999999998,27.2,41.82600000000001,50.517684430770004,8.130651694267769,9336.294636826928
2023,ABC,Argel Fuchs,11,0.8181818181818182,-0.4283714213069932,4-2-3-1,0.45,4-2-3-1 45% / 4-4-2 18% / 4-3-3 18%,45.601818181818174,3.1127272727272723,12.474545454545455,12.017272727272728,7.909090909090909,11.545454545454545,1.2727272727272727,22.363636363636363,17.545454545454547,19.504545454545454,1.2518181818181817,1.4872727272727273,28.818181818181817,47.62909090909091,49.04961093600421,7.4982796886570355,9351.782271636353
2022,Tombense,Bruno Pivetti,31,1.2580645161290323,0.2393996973775134,4-2-3-1,0.65,4-2-3-1 65% / 4-4-2 19% / 4-4-1-1 13%,50.050000000000004,3.793548387096775,11.633870967741935,11.309032258064516,8.64516129032258,13.225806451612904,1.8387096774193548,23.161290322580644,17.419354838709676,21.0574193548387,1.0129032258064516,1.4183870967741936,29.838709677419356,43.789032258064516,51.23739515566857,8.087543383469496,9299.32184806287
2023,Guarani,Bruno Pivetti,10,1.5,0.145013118800465,4-4-1-1,0.4,4-4-1-1 40% / 4-2-3-1 30% / 4-4-2 30%,51.778,4.5089999999999995,9.015,12.272,10.6,17.4,2.4,26.5,27.5,18.544,1.4060000000000001,1.4769999999999999,29.8,40.287,49.46946820909426,7.504688497901085,9540.128817061262
2025,Operário-PR,Bruno Pivetti,12,1.1666666666666667,-0.2662408075180018,4-4-2,0.58,4-4-2 58% / 4-2-3-1 42%,52.344166666666666,3.6149999999999998,11.765,8.84,12.916666666666666,13.666666666666666,0.6666666666666666,29.333333333333332,20.416666666666668,21.243333333333332,1.2166666666666666,1.0991666666666666,26.5,47.89083333333334,51.96578454076873,7.888796124715872,9309.99492249985
2022,Ituano,Carlos Pimentel,21,1.8571428571428572,0.7075565397914123,4-2-3-1,0.43,4-2-3-1 43% / 4-3-3 19% / 4-3-2-1 10%,46.21333333333334,3.2804761904761905,12.697142857142856,12.515714285714287,9.333333333333334,15.333333333333334,1.9523809523809523,26.38095238095238,18.666666666666668,19.26666666666667,1.26,1.2204761904761905,29.0,46.12571428571428,52.766863344517134,8.445357558098854,9629.157576728698
2024,América-MG,Cauan de Almeida,23,1.5217391304347827,0.0363046187445115,4-2-3-1,0.57,4-2-3-1 57% / 4-3-3 35% / 4-1-4-1 9%,56.92999999999999,4.521739130434782,10.022608695652172,9.28217391304348,12.173913043478262,18.434782608695652,0.4782608695652174,33.04347826086956,27.869565217391305,20.057826086956517,1.4113043478260867,1.2204347826086956,28.434782608695652,46.81739130434782,59.96627971977934,9.26612943799309,9808.405712438134
2026,Avaí,Cauan de Almeida,15,0.8666666666666667,-0.337497422732619,4-2-3-1,0.6,4-2-3-1 60% / 4-4-2 27% / 4-3-3 7%,48.359333333333325,3.4766666666666666,11.558666666666666,9.451333333333332,10.733333333333333,11.466666666666667,0.4,24.4,19.666666666666668,20.03933333333333,0.8726666666666668,1.7306666666666668,28.4,46.81133333333333,,,
2022,Operário-PR,Claudinei Oliveira,19,1.0526315789473684,-0.2334394243888977,4-1-4-1,0.47,4-1-4-1 47% / 5-4-1 26% / 4-3-3 11%,50.28315789473684,3.148421052631579,12.08,10.711578947368421,10.736842105263158,12.263157894736842,1.8421052631578947,26.36842105263158,16.789473684210527,22.793157894736844,0.9405263157894738,1.4942105263157894,31.63157894736842,44.79736842105264,50.89795563658666,7.612549196238295,9469.738815683255
2022,Sport,Claudinei Oliveira,18,1.6666666666666667,0.2754268433622913,4-4-2,0.44,4-4-2 44% / 4-3-3 22% / 4-3-1-2 17%,54.64944444444445,3.7277777777777783,12.325555555555555,7.348333333333333,14.055555555555555,19.38888888888889,1.2777777777777777,33.833333333333336,27.77777777777778,19.992222222222225,1.3483333333333334,0.8577777777777776,25.833333333333332,48.184999999999995,50.884304342776076,8.020591227976775,9322.339652974464
2023,Chapecoense,Claudinei Oliveira,17,1.2352941176470589,-0.1563485392508106,4-4-2,0.47,4-4-2 47% / 4-1-4-1 18% / 4-2-3-1 18%,50.73529411764705,3.670588235294117,11.275882352941174,9.525882352941176,9.470588235294118,15.823529411764707,1.6470588235294117,28.176470588235293,23.529411764705884,20.063529411764705,1.0947058823529414,1.2323529411764704,30.11764705882353,48.18411764705883,50.54633914628635,7.484257607548846,9458.873109072694
2023,Vila Nova,Claudinei Oliveira,21,1.6666666666666667,0.3916516847581393,4-4-2,0.57,4-4-2 57% / 4-2-3-1 24% / 4-4-1-1 14%,50.144761904761914,3.0914285714285716,13.126190476190475,8.575238095238095,13.619047619047619,18.142857142857142,1.9523809523809523,32.904761904761905,23.523809523809526,20.746666666666666,1.4704761904761905,0.9447619047619048,30.904761904761905,47.44666666666667,53.823822350223864,8.521128084258692,9472.078378218088
2025,Paysandu,Claudinei Oliveira,13,1.3076923076923077,-0.0454369766005047,4-2-3-1,0.69,4-2-3-1 69% / 5-3-2 15% / 4-4-2 8%,43.76538461538461,2.82,15.480769230769234,12.73076923076923,11.692307692307692,17.23076923076923,2.0,23.692307692307693,21.846153846153847,21.00076923076923,1.1223076923076922,1.370769230769231,28.23076923076923,46.559999999999995,51.886588582419,8.508984083401629,9272.213348095605
2022,Criciúma,Claudio Tencati,38,1.4736842105263157,0.3122380378239036,4-3-3,0.71,4-3-3 71% / 4-2-3-1 13% / 4-4-2 8%,49.29526315789474,3.3055263157894736,13.575000000000001,8.807105263157895,11.342105263157896,15.947368421052632,1.3421052631578947,29.68421052631579,22.473684210526315,19.987368421052633,1.3897368421052632,1.0642105263157895,28.394736842105264,46.903684210526315,54.26685420638506,8.085819236854574,9576.119465472573
2023,Criciúma,Claudio Tencati,38,1.6842105263157894,0.3987416970534498,4-3-1-2,0.45,4-3-1-2 45% / 4-3-3 32% / 4-4-2 5%,48.6257894736842,3.4931578947368416,13.51736842105263,10.92921052631579,11.657894736842104,15.421052631578947,1.5263157894736843,27.289473684210527,24.105263157894736,19.482631578947363,1.1300000000000001,1.2300000000000002,28.605263157894736,45.225,53.3716704915635,8.09707157963381,9650.539672429335
2026,Botafogo-SP,Claudio Tencati,27,1.1481481481481481,0.0005915618734981,4-2-3-1,0.41,4-2-3-1 41% / 4-1-4-1 30% / 4-3-3 15%,49.461111111111116,3.2474074074074077,13.206296296296296,10.116296296296298,12.444444444444445,16.59259259259259,1.3703703703703705,27.40740740740741,22.77777777777778,18.74888888888889,1.2262962962962962,1.0911111111111114,28.51851851851852,45.085185185185175,,,
2022,Náutico,Dado Cavalcanti,13,0.6923076923076923,-0.6575388694274757,4-2-3-1,0.38,4-2-3-1 38% / 4-4-2 15% / 3-4-3 15%,51.923846153846156,3.686153846153846,10.156923076923078,9.646153846153847,9.307692307692308,12.692307692307692,0.7692307692307693,27.23076923076923,18.384615384615383,22.603846153846153,0.7861538461538462,1.8169230769230766,27.76923076923077,49.059230769230766,53.260859288544836,8.03993594782725,9760.645145778202
2022,CRB,Daniel Paulista,30,1.5333333333333334,0.1482112928241739,4-2-3-1,0.6,4-2-3-1 60% / 4-1-4-1 13% / 5-4-1 10%,49.07,3.6426666666666665,12.211666666666668,10.574999999999998,8.7,11.1,1.4666666666666666,24.2,17.666666666666668,20.864666666666665,0.942,1.3263333333333336,27.9,45.44533333333333,,,
2023,CRB,Daniel Paulista,30,1.7333333333333334,0.3839590967356949,4-2-3-1,0.4,4-2-3-1 40% / 4-1-4-1 27% / 4-3-3 20%,50.53599999999999,3.766,11.589666666666666,9.276333333333334,10.866666666666667,14.1,1.3333333333333333,26.766666666666666,20.066666666666666,20.00166666666667,1.2196666666666667,1.234333333333333,28.1,44.873666666666665,53.651221994670834,8.685604469344929,9353.454681176412
2024,CRB,Daniel Paulista,24,1.0416666666666667,-0.3034180099724868,4-2-3-1,0.71,4-2-3-1 71% / 4-3-3 12% / 4-4-2 4%,54.9575,4.065833333333333,10.450416666666667,8.727916666666667,10.375,15.166666666666666,0.875,29.583333333333332,20.708333333333332,21.456666666666667,1.0954166666666667,1.3445833333333332,27.0,46.78958333333333,52.862302829993645,8.26398722261703,9418.109933633075
