setor,fisico,tecnico,n,r,r_time_igual
Lateral,sprint_distance_p30otip,Passes progressivos/90,271,-0.1,-0.107
Lateral,sprint_distance_p30otip,Faltas sofridas/90,271,0.198,0.204
Lateral,sprint_distance_p30otip,Passes chave/90,271,0.054,-0.012
Volante,psv99,Duelos/90,143,0.184,0.176
Volante,psv99,"Duelos ganhos, %",143,0.033,-0.004
Volante,psv99,Duelos defensivos/90,143,0.152,0.149
Volante,psv99,"Duelos defensivos ganhos, %",143,0.125,0.113
Volante,psv99,Duelos aéreos/90,143,0.083,0.114
Volante,psv99,"Duelos aéreos ganhos, %",143,-0.055,-0.04
Volante,psv99,Duelos ofensivos/90,143,0.109,0.109
Volante,psv99,"Duelos ofensivos ganhos, %",143,-0.013,-0.062
Volante,psv99,Interseções/90,143,0.094,0.161
Volante,psv99,Dribles/90,143,0.195,0.171
Volante,psv99,Corridas progressivas/90,143,0.283,0.185
Volante,psv99,Toques na área/90,143,0.326,0.266
Volante,psv99,Acções atacantes com sucesso/90,143,0.152,0.084
Volante,psv99,Golos esperados/90,143,0.186,0.15
Volante,psv99,Assistências esperadas/90,143,0.116,0.09
Volante,psv99,ga90,143,0.149,0.096
Volante,psv99,xgxa90,143,0.166,0.143
Volante,psv99,Passes progressivos/90,143,-0.169,-0.147
Volante,psv99,Faltas sofridas/90,143,0.06,0.076
Volante,psv99,Passes chave/90,143,0.116,0.055
Volante,sprint_count_p90,Duelos/90,143,0.326,0.334
Volante,sprint_count_p90,"Duelos ganhos, %",143,-0.055,-0.053
Volante,sprint_count_p90,Duelos defensivos/90,143,0.261,0.267
Volante,sprint_count_p90,"Duelos defensivos ganhos, %",143,0.159,0.14
Volante,sprint_count_p90,Duelos aéreos/90,143,0.092,0.131
Volante,sprint_count_p90,"Duelos aéreos ganhos, %",143,-0.172,-0.134
Volante,sprint_count_p90,Duelos ofensivos/90,143,0.194,0.219
Volante,sprint_count_p90,"Duelos ofensivos ganhos, %",143,-0.087,-0.071
Volante,sprint_count_p90,Interseções/90,143,0.037,0.074
Volante,sprint_count_p90,Dribles/90,143,0.311,0.307
Volante,sprint_count_p90,Corridas progressivas/90,143,0.301,0.233
Volante,sprint_count_p90,Toques na área/90,143,0.489,0.457
Volante,sprint_count_p90,Acções atacantes com sucesso/90,143,0.269,0.228
Volante,sprint_count_p90,Golos esperados/90,143,0.329,0.295
Volante,sprint_count_p90,Assistências esperadas/90,143,0.202,0.157
Volante,sprint_count_p90,ga90,143,0.207,0.151
Volante,sprint_count_p90,xgxa90,143,0.3,0.253
Volante,sprint_count_p90,Passes progressivos/90,143,-0.196,-0.198
Volante,sprint_count_p90,Faltas sofridas/90,143,0.07,0.15
Volante,sprint_count_p90,Passes chave/90,143,0.188,0.124
Volante,hi_count_p90,Duelos/90,143,0.341,0.347
Volante,hi_count_p90,"Duelos ganhos, %",143,-0.129,-0.121
Volante,hi_count_p90,Duelos defensivos/90,143,0.279,0.278
Volante,hi_count_p90,"Duelos defensivos ganhos, %",143,0.086,0.073
Volante,hi_count_p90,Duelos aéreos/90,143,0.061,0.077
Volante,hi_count_p90,"Duelos aéreos ganhos, %",143,-0.234,-0.176
Volante,hi_count_p90,Duelos ofensivos/90,143,0.219,0.258
Volante,hi_count_p90,"Duelos ofensivos ganhos, %",143,-0.118,-0.1
Volante,hi_count_p90,Interseções/90,143,0.023,0.015
Volante,hi_count_p90,Dribles/90,143,0.332,0.333
Volante,hi_count_p90,Corridas progressivas/90,143,0.308,0.246
Volante,hi_count_p90,Toques na área/90,143,0.535,0.509
Volante,hi_count_p90,Acções atacantes com sucesso/90,143,0.32,0.29
Volante,hi_count_p90,Golos esperados/90,143,0.371,0.343
Volante,hi_count_p90,Assistências esperadas/90,143,0.274,0.211
Volante,hi_count_p90,ga90,143,0.225,0.181
Volante,hi_count_p90,xgxa90,143,0.363,0.311
Volante,hi_count_p90,Passes progressivos/90,143,-0.124,-0.139
Volante,hi_count_p90,Faltas sofridas/90,143,0.064,0.149
Volante,hi_count_p90,Passes chave/90,143,0.244,0.177
Volante,expl_accel_sprint_p90,Duelos/90,143,0.229,0.233
Volante,expl_accel_sprint_p90,"Duelos ganhos, %",143,0.046,-0.023
Volante,expl_accel_sprint_p90,Duelos defensivos/90,143,0.113,0.064
Volante,expl_accel_sprint_p90,"Duelos defensivos ganhos, %",143,0.152,0.117
Volante,expl_accel_sprint_p90,Duelos aéreos/90,143,0.096,0.13
Volante,expl_accel_sprint_p90,"Duelos aéreos ganhos, %",143,-0.001,0.017
Volante,expl_accel_sprint_p90,Duelos ofensivos/90,143,0.136,0.168
Volante,expl_accel_sprint_p90,"Duelos ofensivos ganhos, %",143,-0.015,-0.033
Volante,expl_accel_sprint_p90,Interseções/90,143,0.061,0.111
Volante,expl_accel_sprint_p90,Dribles/90,143,0.218,0.217
Volante,expl_accel_sprint_p90,Corridas progressivas/90,143,0.2,0.149
Volante,expl_accel_sprint_p90,Toques na área/90,143,0.328,0.309
Volante,expl_accel_sprint_p90,Acções atacantes com sucesso/90,143,0.241,0.206
Volante,expl_accel_sprint_p90,Golos esperados/90,143,0.241,0.266
Volante,expl_accel_sprint_p90,Assistências esperadas/90,143,0.195,0.154
Volante,expl_accel_sprint_p90,ga90,143,0.167,0.176
Volante,expl_accel_sprint_p90,xgxa90,143,0.257,0.246
Volante,expl_accel_sprint_p90,Passes progressivos/90,143,-0.158,-0.172
Volante,expl_accel_sprint_p90,Faltas sofridas/90,143,0.061,0.145
Volante,expl_accel_sprint_p90,Passes chave/90,143,0.194,0.171
Volante,distance_p90,Duelos/90,143,0.234,0.291
Volante,distance_p90,"Duelos ganhos, %",143,-0.28,-0.28
Volante,distance_p90,Duelos defensivos/90,143,0.182,0.208
Volante,distance_p90,"Duelos defensivos ganhos, %",143,-0.091,-0.122
Volante,distance_p90,Duelos aéreos/90,143,0.01,-0.045
Volante,distance_p90,"Duelos aéreos ganhos, %",143,-0.3,-0.253
Volante,distance_p90,Duelos ofensivos/90,143,0.221,0.327
Volante,distance_p90,"Duelos ofensivos ganhos, %",143,-0.187,-0.135
Volante,distance_p90,Interseções/90,143,0.049,-0.027
Volante,distance_p90,Dribles/90,143,0.247,0.324
Volante,distance_p90,Corridas progressivas/90,143,0.209,0.208
Volante,distance_p90,Toques na área/90,143,0.257,0.266
Volante,distance_p90,Acções atacantes com sucesso/90,143,0.237,0.289
Volante,distance_p90,Golos esperados/90,143,0.144,0.123
Volante,distance_p90,Assistências esperadas/90,143,0.224,0.136
Volante,distance_p90,ga90,143,0.093,0.074
Volante,distance_p90,xgxa90,143,0.212,0.154
Volante,distance_p90,Passes progressivos/90,143,0.096,0.029
Volante,distance_p90,Faltas sofridas/90,143,0.038,0.125
Volante,distance_p90,Passes chave/90,143,0.239,0.157
Volante,high_accel_p90,Duelos/90,143,0.132,0.176
Volante,high_accel_p90,"Duelos ganhos, %",143,0.109,0.093
Volante,high_accel_p90,Duelos defensivos/90,143,0.055,0.061
Volante,high_accel_p90,"Duelos defensivos ganhos, %",143,0.132,0.108
Volante,high_accel_p90,Duelos aéreos/90,143,0.061,0.153
Volante,high_accel_p90,"Duelos aéreos ganhos, %",143,0.097,0.172
Volante,high_accel_p90,Duelos ofensivos/90,143,0.066,0.075
Volante,high_accel_p90,"Duelos ofensivos ganhos, %",143,0.093,0.055
Volante,high_accel_p90,Interseções/90,143,0.038,0.141
Volante,high_accel_p90,Dribles/90,143,0.184,0.148
Volante,high_accel_p90,Corridas progressivas/90,143,0.232,0.159
Volante,high_accel_p90,Toques na área/90,143,0.263,0.256
Volante,high_accel_p90,Acções atacantes com sucesso/90,143,0.218,0.146
Volante,high_accel_p90,Golos esperados/90,143,0.227,0.221
Volante,high_accel_p90,Assistências esperadas/90,143,0.113,0.065
Volante,high_accel_p90,ga90,143,0.142,0.137
Volante,high_accel_p90,xgxa90,143,0.193,0.165
Volante,high_accel_p90,Passes progressivos/90,143,-0.144,-0.145
Volante,high_accel_p90,Faltas sofridas/90,143,-0.008,0.074
Volante,high_accel_p90,Passes chave/90,143,0.087,0.033
Volante,cod_count_p90,Duelos/90,143,0.418,0.447
Volante,cod_count_p90,"Duelos ganhos, %",143,-0.22,-0.192
Volante,cod_count_p90,Duelos defensivos/90,143,0.392,0.377
Volante,cod_count_p90,"Duelos defensivos ganhos, %",143,0.021,0.014
Volante,cod_count_p90,Duelos aéreos/90,143,-0.009,-0.002
Volante,cod_count_p90,"Duelos aéreos ganhos, %",143,-0.293,-0.259
Volante,cod_count_p90,Duelos ofensivos/90,143,0.278,0.344
Volante,cod_count_p90,"Duelos ofensivos ganhos, %",143,-0.179,-0.123
Volante,cod_count_p90,Interseções/90,143,0.038,-0.003
Volante,cod_count_p90,Dribles/90,143,0.303,0.369
Volante,cod_count_p90,Corridas progressivas/90,143,0.252,0.264
Volante,cod_count_p90,Toques na área/90,143,0.383,0.432
Volante,cod_count_p90,Acções atacantes com sucesso/90,143,0.34,0.383
Volante,cod_count_p90,Golos esperados/90,143,0.324,0.334
Volante,cod_count_p90,Assistências esperadas/90,143,0.298,0.235
Volante,cod_count_p90,ga90,143,0.206,0.188
Volante,cod_count_p90,xgxa90,143,0.377,0.336
Volante,cod_count_p90,Passes progressivos/90,143,-0.01,-0.118
Volante,cod_count_p90,Faltas sofridas/90,143,0.076,0.164
Volante,cod_count_p90,Passes chave/90,143,0.325,0.267
Volante,runs_p30tip,Duelos/90,143,0.081,0.105
Volante,runs_p30tip,"Duelos ganhos, %",143,-0.299,-0.296
Volante,runs_p30tip,Duelos defensivos/90,143,-0.044,-0.038
Volante,runs_p30tip,"Duelos defensivos ganhos, %",143,-0.022,-0.053
Volante,runs_p30tip,Duelos aéreos/90,143,-0.322,-0.309
Volante,runs_p30tip,"Duelos aéreos ganhos, %",143,-0.335,-0.285
Volante,runs_p30tip,Duelos ofensivos/90,143,0.394,0.4
Volante,runs_p30tip,"Duelos ofensivos ganhos, %",143,-0.134,-0.123
Volante,runs_p30tip,Interseções/90,143,-0.372,-0.428
Volante,runs_p30tip,Dribles/90,143,0.37,0.345
Volante,runs_p30tip,Corridas progressivas/90,143,0.396,0.353
Volante,runs_p30tip,Toques na área/90,143,0.406,0.434
Volante,runs_p30tip,Acções atacantes com sucesso/90,143,0.489,0.478
Volante,runs_p30tip,Golos esperados/90,143,0.339,0.333
Volante,runs_p30tip,Assistências esperadas/90,143,0.493,0.432
Volante,runs_p30tip,ga90,143,0.344,0.288
Volante,runs_p30tip,xgxa90,143,0.456,0.415
Volante,runs_p30tip,Passes progressivos/90,143,0.207,0.182
Volante,runs_p30tip,Faltas sofridas/90,143,0.214,0.232
Volante,runs_p30tip,Passes chave/90,143,0.496,0.461
Volante,runs_penalty_area_p30tip,Duelos/90,143,0.126,0.167
Volante,runs_penalty_area_p30tip,"Duelos ganhos, %",143,-0.261,-0.236
Volante,runs_penalty_area_p30tip,Duelos defensivos/90,143,-0.023,-0.033
Volante,runs_penalty_area_p30tip,"Duelos defensivos ganhos, %",143,0.018,0.068
Volante,runs_penalty_area_p30tip,Duelos aéreos/90,143,-0.136,-0.08
Volante,runs_penalty_area_p30tip,"Duelos aéreos ganhos, %",143,-0.292,-0.283
Volante,runs_penalty_area_p30tip,Duelos ofensivos/90,143,0.263,0.311
Volante,runs_penalty_area_p30tip,"Duelos ofensivos ganhos, %",143,-0.16,-0.116
Volante,runs_penalty_area_p30tip,Interseções/90,143,-0.196,-0.19
Volante,runs_penalty_area_p30tip,Dribles/90,143,0.416,0.424
Volante,runs_penalty_area_p30tip,Corridas progressivas/90,143,0.433,0.39
Volante,runs_penalty_area_p30tip,Toques na área/90,143,0.741,0.746
Volante,runs_penalty_area_p30tip,Acções atacantes com sucesso/90,143,0.494,0.486
Volante,runs_penalty_area_p30tip,Golos esperados/90,143,0.613,0.594
Volante,runs_penalty_area_p30tip,Assistências esperadas/90,143,0.4,0.301
Volante,runs_penalty_area_p30tip,ga90,143,0.409,0.387
Volante,runs_penalty_area_p30tip,xgxa90,143,0.587,0.499
Volante,runs_penalty_area_p30tip,Passes progressivos/90,143,-0.097,-0.048
Volante,runs_penalty_area_p30tip,Faltas sofridas/90,143,0.096,0.147
Volante,runs_penalty_area_p30tip,Passes chave/90,143,0.427,0.364
Volante,sprint_distance_p30tip,Duelos/90,143,0.167,0.209
Volante,sprint_distance_p30tip,"Duelos ganhos, %",143,-0.139,-0.191
Volante,sprint_distance_p30tip,Duelos defensivos/90,143,0.019,0.029
Volante,sprint_distance_p30tip,"Duelos defensivos ganhos, %",143,0.09,0.05
Volante,sprint_distance_p30tip,Duelos aéreos/90,143,-0.102,-0.091
Volante,sprint_distance_p30tip,"Duelos aéreos ganhos, %",143,-0.195,-0.207
Volante,sprint_distance_p30tip,Duelos ofensivos/90,143,0.34,0.389
Volante,sprint_distance_p30tip,"Duelos ofensivos ganhos, %",143,-0.059,-0.075
Volante,sprint_distance_p30tip,Interseções/90,143,-0.267,-0.225
Volante,sprint_distance_p30tip,Dribles/90,143,0.439,0.46
Volante,sprint_distance_p30tip,Corridas progressivas/90,143,0.437,0.416
Volante,sprint_distance_p30tip,Toques na área/90,143,0.615,0.581
Volante,sprint_distance_p30tip,Acções atacantes com sucesso/90,143,0.509,0.509
Volante,sprint_distance_p30tip,Golos esperados/90,143,0.505,0.474
Volante,sprint_distance_p30tip,Assistências esperadas/90,143,0.393,0.386
Volante,sprint_distance_p30tip,ga90,143,0.38,0.33
Volante,sprint_distance_p30tip,xgxa90,143,0.515,0.467
Volante,sprint_distance_p30tip,Passes progressivos/90,143,-0.08,-0.004
Volante,sprint_distance_p30tip,Faltas sofridas/90,143,0.18,0.235
Volante,sprint_distance_p30tip,Passes chave/90,143,0.438,0.401
Volante,sprint_distance_p30otip,Duelos/90,143,0.278,0.251
Volante,sprint_distance_p30otip,"Duelos ganhos, %",143,-0.039,0.019
Volante,sprint_distance_p30otip,Duelos defensivos/90,143,0.277,0.31
Volante,sprint_distance_p30otip,"Duelos defensivos ganhos, %",143,0.118,0.125
Volante,sprint_distance_p30otip,Duelos aéreos/90,143,0.162,0.231
Volante,sprint_distance_p30otip,"Duelos aéreos ganhos, %",143,-0.125,-0.026
Volante,sprint_distance_p30otip,Duelos ofensivos/90,143,0.039,-0.021
Volante,sprint_distance_p30otip,"Duelos ofensivos ganhos, %",143,-0.089,-0.066
Volante,sprint_distance_p30otip,Interseções/90,143,0.124,0.227
Volante,sprint_distance_p30otip,Dribles/90,143,0.153,0.108
Volante,sprint_distance_p30otip,Corridas progressivas/90,143,0.122,0.014
Volante,sprint_distance_p30otip,Toques na área/90,143,0.292,0.254
Volante,sprint_distance_p30otip,Acções atacantes com sucesso/90,143,0.061,-0.015
Volante,sprint_distance_p30otip,Golos esperados/90,143,0.157,0.123
Volante,sprint_distance_p30otip,Assistências esperadas/90,143,0.055,0.01
Volante,sprint_distance_p30otip,ga90,143,0.095,0.009
Volante,sprint_distance_p30otip,xgxa90,143,0.118,0.088
Volante,sprint_distance_p30otip,Passes progressivos/90,143,-0.18,-0.233
Volante,sprint_distance_p30otip,Faltas sofridas/90,143,-0.006,0.006
Volante,sprint_distance_p30otip,Passes chave/90,143,0.008,-0.055
Meia,psv99,Duelos/90,227,0.224,0.236
Meia,psv99,"Duelos ganhos, %",227,-0.108,-0.054
Meia,psv99,Duelos defensivos/90,227,0.129,0.188
Meia,psv99,"Duelos defensivos ganhos, %",227,0.056,0.073
Meia,psv99,Duelos aéreos/90,227,-0.012,0.002
Meia,psv99,"Duelos aéreos ganhos, %",227,-0.102,-0.082
Meia,psv99,Duelos ofensivos/90,227,0.189,0.169
Meia,psv99,"Duelos ofensivos ganhos, %",227,-0.18,-0.126
Meia,psv99,Interseções/90,227,-0.032,-0.006
Meia,psv99,Dribles/90,227,0.236,0.225
Meia,psv99,Corridas progressivas/90,227,0.246,0.23
Meia,psv99,Toques na área/90,227,0.219,0.167
Meia,psv99,Acções atacantes com sucesso/90,227,0.145,0.115
Meia,psv99,Golos esperados/90,227,0.069,0.017
Meia,psv99,Assistências esperadas/90,227,0.005,-0.048
Meia,psv99,ga90,227,-0.017,-0.066
Meia,psv99,xgxa90,227,0.031,-0.019
Meia,psv99,Passes progressivos/90,227,-0.318,-0.286
Meia,psv99,Faltas sofridas/90,227,0.035,0.045
Meia,psv99,Passes chave/90,227,0.068,0.045
Meia,sprint_count_p90,Duelos/90,227,0.222,0.245
Meia,sprint_count_p90,"Duelos ganhos, %",227,-0.245,-0.185
Meia,sprint_count_p90,Duelos defensivos/90,227,0.079,0.144
Meia,sprint_count_p90,"Duelos defensivos ganhos, %",227,0.06,0.082
Meia,sprint_count_p90,Duelos aéreos/90,227,-0.064,-0.016
Meia,sprint_count_p90,"Duelos aéreos ganhos, %",227,-0.234,-0.197
Meia,sprint_count_p90,Duelos ofensivos/90,227,0.218,0.22
Meia,sprint_count_p90,"Duelos ofensivos ganhos, %",227,-0.311,-0.24
Meia,sprint_count_p90,Interseções/90,227,-0.142,-0.066
Meia,sprint_count_p90,Dribles/90,227,0.285,0.289
Meia,sprint_count_p90,Corridas progressivas/90,227,0.273,0.265
Meia,sprint_count_p90,Toques na área/90,227,0.433,0.385
Meia,sprint_count_p90,Acções atacantes com sucesso/90,227,0.229,0.214
Meia,sprint_count_p90,Golos esperados/90,227,0.241,0.195
Meia,sprint_count_p90,Assistências esperadas/90,227,0.094,0.019
Meia,sprint_count_p90,ga90,227,0.065,0.017
Meia,sprint_count_p90,xgxa90,227,0.185,0.119
Meia,sprint_count_p90,Passes progressivos/90,227,-0.445,-0.426
Meia,sprint_count_p90,Faltas sofridas/90,227,0.002,0.046
Meia,sprint_count_p90,Passes chave/90,227,0.151,0.107
Meia,hi_count_p90,Duelos/90,227,0.212,0.213
Meia,hi_count_p90,"Duelos ganhos, %",227,-0.256,-0.206
Meia,hi_count_p90,Duelos defensivos/90,227,0.077,0.126
Meia,hi_count_p90,"Duelos defensivos ganhos, %",227,0.083,0.106
Meia,hi_count_p90,Duelos aéreos/90,227,-0.072,-0.042
Meia,hi_count_p90,"Duelos aéreos ganhos, %",227,-0.261,-0.222
Meia,hi_count_p90,Duelos ofensivos/90,227,0.204,0.211
Meia,hi_count_p90,"Duelos ofensivos ganhos, %",227,-0.33,-0.274
Meia,hi_count_p90,Interseções/90,227,-0.124,-0.051
Meia,hi_count_p90,Dribles/90,227,0.274,0.281
Meia,hi_count_p90,Corridas progressivas/90,227,0.262,0.247
Meia,hi_count_p90,Toques na área/90,227,0.458,0.414
Meia,hi_count_p90,Acções atacantes com sucesso/90,227,0.233,0.219
Meia,hi_count_p90,Golos esperados/90,227,0.248,0.211
Meia,hi_count_p90,Assistências esperadas/90,227,0.126,0.056
Meia,hi_count_p90,ga90,227,0.093,0.061
Meia,hi_count_p90,xgxa90,227,0.214,0.154
Meia,hi_count_p90,Passes progressivos/90,227,-0.444,-0.429
Meia,hi_count_p90,Faltas sofridas/90,227,-0.028,0.012
Meia,hi_count_p90,Passes chave/90,227,0.174,0.141
Meia,expl_accel_sprint_p90,Duelos/90,227,0.21,0.208
Meia,expl_accel_sprint_p90,"Duelos ganhos, %",227,-0.186,-0.12
Meia,expl_accel_sprint_p90,Duelos defensivos/90,227,0.036,0.049
Meia,expl_accel_sprint_p90,"Duelos defensivos ganhos, %",227,0.03,0.098
Meia,expl_accel_sprint_p90,Duelos aéreos/90,227,-0.084,-0.054
Meia,expl_accel_sprint_p90,"Duelos aéreos ganhos, %",227,-0.19,-0.161
Meia,expl_accel_sprint_p90,Duelos ofensivos/90,227,0.266,0.263
Meia,expl_accel_sprint_p90,"Duelos ofensivos ganhos, %",227,-0.216,-0.147
Meia,expl_accel_sprint_p90,Interseções/90,227,-0.174,-0.113
Meia,expl_accel_sprint_p90,Dribles/90,227,0.272,0.283
Meia,expl_accel_sprint_p90,Corridas progressivas/90,227,0.269,0.297
Meia,expl_accel_sprint_p90,Toques na área/90,227,0.283,0.262
Meia,expl_accel_sprint_p90,Acções atacantes com sucesso/90,227,0.205,0.205
Meia,expl_accel_sprint_p90,Golos esperados/90,227,0.114,0.076
Meia,expl_accel_sprint_p90,Assistências esperadas/90,227,0.046,0.03
Meia,expl_accel_sprint_p90,ga90,227,0.03,-0.016
Meia,expl_accel_sprint_p90,xgxa90,227,0.086,0.055
Meia,expl_accel_sprint_p90,Passes progressivos/90,227,-0.251,-0.259
Meia,expl_accel_sprint_p90,Faltas sofridas/90,227,0.075,0.087
Meia,expl_accel_sprint_p90,Passes chave/90,227,0.089,0.074
Meia,distance_p90,Duelos/90,227,0.072,0.138
Meia,distance_p90,"Duelos ganhos, %",227,-0.061,-0.096
Meia,distance_p90,Duelos defensivos/90,227,0.112,0.145
Meia,distance_p90,"Duelos defensivos ganhos, %",227,0.171,0.12
Meia,distance_p90,Duelos aéreos/90,227,0.016,0.108
Meia,distance_p90,"Duelos aéreos ganhos, %",227,-0.078,-0.06
Meia,distance_p90,Duelos ofensivos/90,227,-0.022,0.034
Meia,distance_p90,"Duelos ofensivos ganhos, %",227,-0.201,-0.181
Meia,distance_p90,Interseções/90,227,0.14,0.138
Meia,distance_p90,Dribles/90,227,-0.059,-0.009
Meia,distance_p90,Corridas progressivas/90,227,-0.03,-0.07
Meia,distance_p90,Toques na área/90,227,0.11,0.147
Meia,distance_p90,Acções atacantes com sucesso/90,227,-0.069,-0.034
Meia,distance_p90,Golos esperados/90,227,0.017,0.067
Meia,distance_p90,Assistências esperadas/90,227,-0.003,-0.031
Meia,distance_p90,ga90,227,-0.014,0.018
Meia,distance_p90,xgxa90,227,0.005,0.033
Meia,distance_p90,Passes progressivos/90,227,-0.18,-0.224
Meia,distance_p90,Faltas sofridas/90,227,-0.051,-0.013
Meia,distance_p90,Passes chave/90,227,-0.04,-0.068
Meia,high_accel_p90,Duelos/90,227,0.152,0.163
Meia,high_accel_p90,"Duelos ganhos, %",227,-0.205,-0.149
Meia,high_accel_p90,Duelos defensivos/90,227,-0.083,-0.051
Meia,high_accel_p90,"Duelos defensivos ganhos, %",227,0.019,0.066
Meia,high_accel_p90,Duelos aéreos/90,227,-0.071,-0.041
Meia,high_accel_p90,"Duelos aéreos ganhos, %",227,-0.232,-0.177
Meia,high_accel_p90,Duelos ofensivos/90,227,0.249,0.266
Meia,high_accel_p90,"Duelos ofensivos ganhos, %",227,-0.176,-0.111
Meia,high_accel_p90,Interseções/90,227,-0.21,-0.146
Meia,high_accel_p90,Dribles/90,227,0.328,0.361
Meia,high_accel_p90,Corridas progressivas/90,227,0.253,0.291
Meia,high_accel_p90,Toques na área/90,227,0.366,0.333
Meia,high_accel_p90,Acções atacantes com sucesso/90,227,0.299,0.304
Meia,high_accel_p90,Golos esperados/90,227,0.187,0.145
Meia,high_accel_p90,Assistências esperadas/90,227,0.089,0.057
Meia,high_accel_p90,ga90,227,0.071,0.046
Meia,high_accel_p90,xgxa90,227,0.175,0.133
Meia,high_accel_p90,Passes progressivos/90,227,-0.348,-0.369
Meia,high_accel_p90,Faltas sofridas/90,227,0.082,0.134
Meia,high_accel_p90,Passes chave/90,227,0.131,0.103
Meia,cod_count_p90,Duelos/90,227,0.28,0.279
Meia,cod_count_p90,"Duelos ganhos, %",227,-0.158,-0.12
Meia,cod_count_p90,Duelos defensivos/90,227,0.213,0.25
Meia,cod_count_p90,"Duelos defensivos ganhos, %",227,0.105,0.144
Meia,cod_count_p90,Duelos aéreos/90,227,-0.031,-0.028
Meia,cod_count_p90,"Duelos aéreos ganhos, %",227,-0.218,-0.217
Meia,cod_count_p90,Duelos ofensivos/90,227,0.192,0.204
Meia,cod_count_p90,"Duelos ofensivos ganhos, %",227,-0.239,-0.21
Meia,cod_count_p90,Interseções/90,227,0.004,0.055
Meia,cod_count_p90,Dribles/90,227,0.231,0.251
Meia,cod_count_p90,Corridas progressivas/90,227,0.197,0.145
Meia,cod_count_p90,Toques na área/90,227,0.284,0.244
Meia,cod_count_p90,Acções atacantes com sucesso/90,227,0.147,0.148
Meia,cod_count_p90,Golos esperados/90,227,0.11,0.093
Meia,cod_count_p90,Assistências esperadas/90,227,0.06,0.012
Meia,cod_count_p90,ga90,227,0.046,0.019
Meia,cod_count_p90,xgxa90,227,0.096,0.055
Meia,cod_count_p90,Passes progressivos/90,227,-0.387,-0.419
Meia,cod_count_p90,Faltas sofridas/90,227,0.012,0.048
Meia,cod_count_p90,Passes chave/90,227,0.119,0.057
Meia,runs_p30tip,Duelos/90,227,0.029,0.017
Meia,runs_p30tip,"Duelos ganhos, %",227,-0.377,-0.369
Meia,runs_p30tip,Duelos defensivos/90,227,-0.297,-0.276
Meia,runs_p30tip,"Duelos defensivos ganhos, %",227,0.01,0.028
Meia,runs_p30tip,Duelos aéreos/90,227,-0.254,-0.225
Meia,runs_p30tip,"Duelos aéreos ganhos, %",227,-0.432,-0.398
Meia,runs_p30tip,Duelos ofensivos/90,227,0.369,0.365
Meia,runs_p30tip,"Duelos ofensivos ganhos, %",227,-0.265,-0.277
Meia,runs_p30tip,Interseções/90,227,-0.475,-0.401
Meia,runs_p30tip,Dribles/90,227,0.402,0.405
Meia,runs_p30tip,Corridas progressivas/90,227,0.356,0.342
Meia,runs_p30tip,Toques na área/90,227,0.612,0.568
Meia,runs_p30tip,Acções atacantes com sucesso/90,227,0.46,0.445
Meia,runs_p30tip,Golos esperados/90,227,0.38,0.345
Meia,runs_p30tip,Assistências esperadas/90,227,0.409,0.37
Meia,runs_p30tip,ga90,227,0.315,0.306
Meia,runs_p30tip,xgxa90,227,0.462,0.425
Meia,runs_p30tip,Passes progressivos/90,227,-0.326,-0.283
Meia,runs_p30tip,Faltas sofridas/90,227,0.138,0.161
Meia,runs_p30tip,Passes chave/90,227,0.374,0.358
Meia,runs_penalty_area_p30tip,Duelos/90,227,0.056,0.122
Meia,runs_penalty_area_p30tip,"Duelos ganhos, %",227,-0.512,-0.497
Meia,runs_penalty_area_p30tip,Duelos defensivos/90,227,-0.375,-0.325
Meia,runs_penalty_area_p30tip,"Duelos defensivos ganhos, %",227,-0.072,-0.067
Meia,runs_penalty_area_p30tip,Duelos aéreos/90,227,-0.16,-0.076
Meia,runs_penalty_area_p30tip,"Duelos aéreos ganhos, %",227,-0.53,-0.502
Meia,runs_penalty_area_p30tip,Duelos ofensivos/90,227,0.395,0.431
Meia,runs_penalty_area_p30tip,"Duelos ofensivos ganhos, %",227,-0.342,-0.326
Meia,runs_penalty_area_p30tip,Interseções/90,227,-0.509,-0.429
Meia,runs_penalty_area_p30tip,Dribles/90,227,0.407,0.444
Meia,runs_penalty_area_p30tip,Corridas progressivas/90,227,0.368,0.365
Meia,runs_penalty_area_p30tip,Toques na área/90,227,0.801,0.779
Meia,runs_penalty_area_p30tip,Acções atacantes com sucesso/90,227,0.55,0.549
Meia,runs_penalty_area_p30tip,Golos esperados/90,227,0.588,0.564
Meia,runs_penalty_area_p30tip,Assistências esperadas/90,227,0.454,0.401
Meia,runs_penalty_area_p30tip,ga90,227,0.469,0.461
Meia,runs_penalty_area_p30tip,xgxa90,227,0.625,0.582
Meia,runs_penalty_area_p30tip,Passes progressivos/90,227,-0.424,-0.397
Meia,runs_penalty_area_p30tip,Faltas sofridas/90,227,0.105,0.182
Meia,runs_penalty_area_p30tip,Passes chave/90,227,0.423,0.407
Meia,sprint_distance_p30tip,Duelos/90,227,0.159,0.22
Meia,sprint_distance_p30tip,"Duelos ganhos, %",227,-0.335,-0.309
Meia,sprint_distance_p30tip,Duelos defensivos/90,227,-0.158,-0.087
Meia,sprint_distance_p30tip,"Duelos defensivos ganhos, %",227,0.058,0.044
Meia,sprint_distance_p30tip,Duelos aéreos/90,227,-0.2,-0.121
Meia,sprint_distance_p30tip,"Duelos aéreos ganhos, %",227,-0.388,-0.363
