ano,clube,dist_media,dist_max,dist_min,dist_sd,dist_amplitude,hsr_media,hsr_max,hsr_min,hsr_sd,hsr_amplitude,spr_d_media,spr_d_max,spr_d_min,spr_d_sd,spr_d_amplitude,psv_media,psv_max,psv_min,psv_sd,psv_amplitude,jogos,pontos,gp,gc,sg,pos,dist_g4,ppj,faixa,valor_eur,log_valor,posto_valor,ppj_esperado,rendimento
2022,Bahia,0.4109614924212669,0.782608695652174,0.05319148936170213,0.24110260742592146,0.7294172062904718,0.5258756007757762,0.9565217391304348,0.0425531914893617,0.23463037277025853,0.9139685476410732,0.6530142465021372,0.8865979381443299,0.09574468085106383,0.24825491195009128,0.790853257293266,0.77290470869629,0.9910714285714286,0.3387096774193548,0.18990086518147695,0.6523617511520738,38,62,43.0,29.0,14.0,3,0,1.631578947368421,Sobe,21700000.0,16.892822818510687,4.0,1.4664532785695537,0.16512566879886736
2022,Brusque,0.370763631309453,0.8840579710144928,0.028985507246376812,0.3004672825363405,0.855072463768116,0.4090727138666631,0.6956521739130435,0.08695652173913043,0.20233917245145774,0.6086956521739131,0.46183488163416897,0.8115942028985508,0.11594202898550725,0.2354546018989517,0.6956521739130436,0.6264656159160847,0.9340659340659341,0.15942028985507245,0.25964832024229173,0.7746456442108616,38,34,21.0,38.0,-17.0,18,-28,0.8947368421052632,Cai,4375000.0,15.291417077773852,19.0,1.045525591917353,-0.15078874981208978
2022,CRB,0.4782416939820804,0.8723404255319149,0.09278350515463918,0.2234088818705865,0.7795569203772758,0.46858563339197845,0.6170212765957447,0.12371134020618557,0.14582422919665677,0.4933099363895591,0.4942139895170518,0.9271523178807947,0.10309278350515463,0.20720527216258552,0.8240595343756401,0.5247978501120619,0.9735099337748344,0.18041237113402062,0.24936111123841467,0.7930975626408138,38,50,35.0,43.0,-8.0,11,-12,1.3157894736842106,Meio,15925000.0,16.583400759422503,7.0,1.3851220405091595,-0.06933256682494893
2022,CSA,0.6368682161537433,0.9710144927536232,0.17218543046357615,0.2750722732989408,0.798829062290047,0.4618062880020225,0.7857142857142857,0.09933774834437085,0.24314607407431388,0.6863765373699149,0.4515161856713106,0.8969072164948454,0.10714285714285714,0.24712926687481518,0.7897643593519883,0.4756497350142526,0.9690721649484536,0.07526881720430108,0.28525442084973496,0.8938033477441525,38,42,29.0,37.0,-8.0,17,-20,1.105263157894737,Cai,13750000.0,16.436549382076855,10.0,1.3465223221646054,-0.2412591642698685
2022,Chapecoense,0.4462744387564516,0.8131868131868132,0.044642857142857144,0.24208916333402322,0.7685439560439561,0.3526330289467102,0.7472527472527473,0.061855670103092786,0.23556764505337574,0.6853970771496545,0.3369871787422437,0.8482142857142857,0.061855670103092786,0.3153329981351528,0.7863586156111929,0.42903630080399047,0.9285714285714286,0.12903225806451613,0.29966563286364956,0.7995391705069125,38,45,37.0,39.0,-2.0,14,-17,1.1842105263157894,Meio,13875000.0,16.445599217596772,9.0,1.348901061189376,-0.16469053487358654
2022,Criciúma,0.49429696285136615,0.8543046357615894,0.06593406593406594,0.23826019691731354,0.7883705698275235,0.4811521766566976,0.8410596026490066,0.10144927536231885,0.22943138861972717,0.7396103272866877,0.37337484845336555,0.8940397350993378,0.057971014492753624,0.2653417150615993,0.8360687206065841,0.4392385054818936,0.9120879120879121,0.028985507246376812,0.2531285079946319,0.8831024048415352,38,56,43.0,31.0,12.0,8,-6,1.4736842105263157,Meio,6800000.0,15.732433170146335,16.0,1.1614461727024121,0.3122380378239036
2022,Cruzeiro,0.37787391694248845,0.8969072164948454,0.02197802197802198,0.31431384508384297,0.8749291945168234,0.45815106826029295,0.9484536082474226,0.03296703296703297,0.30064727266077673,0.9154865752803897,0.5464130223569017,0.8723404255319149,0.12087912087912088,0.26380584200682666,0.751461304652794,0.5848400840490078,0.9602649006622517,0.17582417582417584,0.23244274633412412,0.7844407248380758,38,78,57.0,26.0,31.0,1,16,2.0526315789473686,Sobe,29750000.0,17.208339689955913,3.0,1.549386531160537,0.5032450477868315
2022,Grêmio,0.5865403849433356,1.0,0.0851063829787234,0.3048371192349636,0.9148936170212766,0.5726705354781055,1.0,0.05319148936170213,0.29979228699040766,0.9468085106382979,0.6034651866235701,0.9470198675496688,0.11702127659574468,0.30967177770358445,0.8299985909539241,0.6630192493886818,0.9107142857142857,0.12371134020618557,0.2533477596220386,0.7870029455081001,38,65,50.0,26.0,24.0,2,3,1.7105263157894737,Sobe,49775000.0,17.723023407914535,1.0,1.68467056396174,0.025855751827733586
2022,Guarani,0.36640652119831163,0.8303571428571429,0.054945054945054944,0.2623992022867951,0.7754120879120879,0.4148873726402658,0.7246376811594203,0.16483516483516483,0.1781003388165909,0.5598025163242555,0.51837696969393,0.8695652173913043,0.09933774834437085,0.2805210986803261,0.7702274690469335,0.5930945799229239,0.9230769230769231,0.13245033112582782,0.3580652824053096,0.7906265919510953,38,51,33.0,36.0,-3.0,10,-11,1.3421052631578947,Meio,11025000.0,16.215675979297185,12.0,1.2884659982049644,0.053639264952930255
2022,Ituano,0.49736739343275904,0.8041237113402062,0.22321428571428573,0.18727526612598636,0.5809094256259205,0.41389519204251995,0.5797101449275363,0.10714285714285714,0.17102005344571328,0.4725672877846791,0.37784140313338155,0.7835051546391752,0.05319148936170213,0.23651180424195897,0.7303136652774731,0.46194648925791554,0.8172043010752689,0.08602150537634409,0.25829785273863987,0.7311827956989247,38,57,42.0,34.0,8.0,6,-5,1.5,Meio,6500000.0,15.687312734865866,17.0,1.149586317351445,0.3504136826485551
2022,Londrina,0.3133730136492938,0.5625,0.07142857142857142,0.1640812361875691,0.4910714285714286,0.3156492780398773,0.5494505494505495,0.13186813186813187,0.11726514186793903,0.41758241758241765,0.4783110347974041,0.9175257731958762,0.13829787234042554,0.22331120726711076,0.7792279008554507,0.6067375202308151,0.979381443298969,0.27956989247311825,0.24824605993251359,0.6998115508258508,37,52,35.0,36.0,-1.0,9,-10,1.4054054054054055,Meio,7200000.0,15.789591583986283,15.0,1.176470197094437,0.22893520831096859
2022,Novorizontino,0.3520088232057389,0.7589285714285714,0.08791208791208792,0.24180979811634357,0.6710164835164835,0.41277522387709026,0.8928571428571429,0.10989010989010989,0.24624943538617317,0.7829670329670331,0.4275176119258662,0.7252747252747253,0.0989010989010989,0.19755732290532643,0.6263736263736264,0.455561351067003,0.8924731182795699,0.18115942028985507,0.25711261281904046,0.7113136979897148,38,44,44.0,49.0,-5.0,15,-18,1.1578947368421053,Meio,11300000.0,16.240313283682568,11.0,1.2949418857807853,-0.13704714893867997
