ano,clube,jogador,posicao,setor,idade,minutos,jogos,fatia,sc_player_id,matches,minutes_played,minutos_sc,psv99,psv99_top5,distance_p90,m_per_min,running_distance_p90,hsr_distance_p90,hsr_count_p90,sprint_distance_p90,sprint_count_p90,hi_distance_p90,hi_count_p90,high_accel_p90,high_decel_p90,medium_accel_p90,medium_decel_p90,expl_accel_sprint_p90,expl_accel_hsr_p90,cod_count_p90,minutes_tip,distance_p30tip,m_per_min_tip,running_distance_p30tip,hsr_distance_p30tip,hsr_count_p30tip,sprint_distance_p30tip,sprint_count_p30tip,hi_distance_p30tip,hi_count_p30tip,high_accel_p30tip,high_decel_p30tip,medium_accel_p30tip,medium_decel_p30tip,expl_accel_sprint_p30tip,expl_accel_hsr_p30tip,cod_count_p30tip,minutes_otip,distance_p30otip,m_per_min_otip,running_distance_p30otip,hsr_distance_p30otip,hsr_count_p30otip,sprint_distance_p30otip,sprint_count_p30otip,hi_distance_p30otip,hi_count_p30otip,high_accel_p30otip,high_decel_p30otip,medium_accel_p30otip,medium_decel_p30otip,expl_accel_sprint_p30otip,expl_accel_hsr_p30otip,cod_count_p30otip,peak_velocity,peak_velocity_top3,runs_total,runs_p30tip,runs_avg_distance,runs_above_hsr_p30tip,runs_penalty_area_p30tip,runs_targeted_p30tip,runs_received_p30tip,runs_dangerous_p30tip,runs_dangerous_targeted_p30tip,runs_dangerous_received_p30tip,runs_shot_within_10s_p30tip,runs_goal_within_10s_p30tip
2022,Bahia,Rildo,"LAMF, RAMF, LW",Extremo,22.0,976,15,0.26307277628032344,32945,14.0,68.41,957.74,28.54,30.12,9939.67,110.44,1530.26,602.18,56.01,170.75,9.4,772.93,65.41,4.79,19.55,102.24,80.72,1.41,3.48,50.93,18.32,4404.08,146.8,857.54,402.04,37.31,136.28,6.9,538.32,44.22,2.81,6.32,52.52,31.58,1.17,1.87,34.98,16.35,4386.93,146.23,935.46,327.99,27.27,62.92,3.15,390.91,30.41,1.44,6.69,44.05,30.41,0.13,0.92,26.22,,,322.0,41.92,12.87,9.89,9.76,13.28,10.41,20.83,4.69,2.86,1.56,0.39
2022,Bahia,Vitor Jacaré,"LAMF, LW, RW",Extremo,22.0,2098,36,0.5654986522911051,32951,35.0,58.01,2030.35,30.07,31.88,9632.11,107.02,1239.39,651.03,68.39,303.27,16.71,954.3,85.1,8.69,22.65,97.56,73.84,2.79,6.65,38.38,15.1,4145.63,138.19,708.0,411.46,41.88,192.96,9.88,604.43,51.76,5.05,7.09,51.7,30.25,1.59,3.69,24.8,13.12,4377.44,145.91,766.79,391.04,41.41,184.84,10.19,575.88,51.6,2.74,9.21,42.52,28.41,0.65,1.76,23.45,,,531.0,34.02,14.24,13.01,5.89,12.11,8.97,14.1,3.52,2.24,1.79,0.32
2022,Bahia,André Dhominique,RB,Lateral,18.0,1283,20,0.345822102425876,175732,20.0,64.26,1285.2,30.95,33.64,9513.24,105.7,1200.83,581.05,57.78,276.55,14.08,857.61,71.85,9.52,20.38,100.99,82.85,2.52,7.0,29.9,16.23,3889.97,129.67,585.67,362.44,36.14,210.66,9.52,573.1,45.66,4.25,7.3,43.44,29.95,0.83,3.05,14.42,15.89,4339.43,144.65,771.35,333.13,31.82,124.54,6.52,457.67,38.34,4.25,6.04,52.22,32.86,1.42,3.02,21.62,,,258.0,27.77,15.82,13.03,1.08,8.93,6.78,4.09,1.08,0.65,0.97,0.0
2022,Bahia,Djalma Silva,LB,Lateral,27.0,480,9,0.1293800539083558,175734,9.0,53.51,481.59,29.93,31.46,9459.39,105.1,1196.51,451.17,48.03,179.42,9.72,630.59,57.75,8.22,17.19,95.32,77.75,3.18,6.17,31.96,12.48,4193.23,139.77,670.69,318.12,30.72,131.68,6.68,449.8,37.39,4.27,6.68,41.4,28.31,1.07,3.47,16.03,13.48,4217.56,140.59,707.34,250.54,25.47,95.96,4.95,346.5,30.42,4.2,5.44,50.21,33.64,1.48,2.47,23.5,,,87.0,24.52,15.29,9.58,0.85,9.02,7.61,4.79,1.41,0.85,1.13,0.28
2022,Bahia,Douglas Borel,RB,Lateral,20.0,1110,15,0.2991913746630728,32999,13.0,84.42,1097.46,30.23,31.34,9947.01,110.52,1356.54,547.18,55.28,236.11,12.22,783.28,67.49,7.46,22.06,100.38,78.32,2.71,5.99,30.51,21.92,4384.2,146.14,737.14,379.52,37.48,184.76,9.47,564.28,46.95,3.16,8.21,44.64,30.64,1.05,2.95,16.74,20.15,4338.78,144.63,795.23,284.77,27.02,86.79,4.58,371.56,31.6,2.98,6.53,52.44,32.75,0.8,1.83,20.15,,,283.0,32.67,14.26,12.24,1.27,12.12,10.16,3.46,0.69,0.35,0.92,0.0
2022,Bahia,Matheus Bahia,LB,Lateral,22.0,1212,14,0.3266846361185984,32902,14.0,86.53,1211.42,30.35,31.44,9930.57,110.34,1284.42,563.65,59.06,231.34,12.85,794.99,71.91,7.43,18.94,98.29,79.42,2.82,5.42,31.28,21.72,4236.9,141.23,717.06,306.94,31.65,131.15,6.45,438.1,38.1,3.77,6.85,44.35,29.76,1.19,2.68,14.48,22.35,4309.34,143.64,720.94,360.13,35.37,130.08,7.29,490.21,42.66,3.45,6.81,50.13,32.59,1.63,2.11,22.62,,,191.0,25.26,14.45,8.47,1.98,10.32,8.99,5.95,1.85,1.32,0.79,0.13
2022,Bahia,Gregory,"AMF, RW, LDMF",Meia,21.0,121,7,0.03261455525606469,175736,7.0,17.34,121.38,27.46,28.14,10692.46,118.81,1817.8,589.62,51.92,126.82,8.9,716.44,60.82,9.64,17.06,106.06,87.52,0.74,5.19,55.62,4.16,4758.76,158.63,1114.64,323.85,25.82,48.42,4.3,372.27,30.13,3.23,5.38,52.72,37.66,0.0,1.08,24.75,4.48,4883.42,162.78,1038.19,367.84,29.15,72.36,4.02,440.2,33.17,4.02,7.04,50.25,31.16,0.0,2.01,38.19,,,30.0,30.87,10.88,6.17,3.09,8.23,4.12,9.26,2.06,0.0,1.03,1.03
2022,Bahia,Miquéias,"RCMF, DMF, AMF",Meia,21.0,158,7,0.042587601078167114,175733,7.0,22.41,156.87,28.73,30.52,10128.66,112.54,1460.31,494.04,49.35,182.47,10.33,676.51,59.67,6.89,16.07,111.32,85.5,0.57,4.59,46.48,5.28,4257.57,141.92,658.47,242.88,25.19,112.44,4.5,355.32,29.69,0.9,4.5,45.88,26.09,0.0,0.9,20.69,6.13,4815.64,160.52,956.77,316.4,30.28,79.48,3.78,395.88,34.06,3.03,7.57,53.74,34.06,0.0,2.27,28.76,,,38.0,30.79,14.17,9.72,2.43,14.59,10.53,4.86,0.81,0.81,1.62,0.0
2022,Bahia,Patrick Verhon,"AMF, RW",Meia,17.0,33,3,0.00889487870619946,183988,3.0,10.66,31.98,24.93,24.93,12057.84,133.98,2132.99,661.28,64.72,154.77,8.44,816.05,73.16,11.26,14.07,126.63,118.19,0.0,5.63,47.84,4.12,4972.47,165.75,1012.96,204.05,19.43,31.58,0.0,235.63,19.43,7.29,7.29,53.44,46.15,0.0,0.0,17.0,1.66,5576.29,185.88,1308.25,835.05,55.67,157.73,9.28,992.78,64.95,9.28,9.28,74.23,55.67,0.0,9.28,55.67,,,17.0,41.23,11.25,0.0,2.43,16.98,16.98,12.13,0.0,0.0,2.43,0.0
2022,Bahia,Emerson Santos,"RDMF, LDMF, LCMF",Volante,30.0,966,22,0.26037735849056604,177403,21.0,44.84,941.6400000000001,26.86,29.9,9687.77,107.64,1237.05,399.89,37.85,94.14,5.83,494.04,43.68,5.73,13.86,92.04,81.05,0.96,3.35,30.68,10.98,3978.93,132.63,492.46,112.99,10.81,28.61,1.19,141.61,12.0,1.85,3.56,34.41,27.03,0.13,0.79,10.15,11.2,4816.65,160.56,993.0,370.04,32.88,84.91,4.27,454.95,37.15,2.85,7.51,53.33,37.28,0.52,1.55,27.7,,,63.0,8.92,10.24,1.27,0.14,3.26,2.97,0.99,0.28,0.14,0.42,0.0
