ano,clube,data,distance_p90,hsr_distance_p90,sprint_distance_p90,sprint_count_p90,hi_count_p90,expl_accel_sprint_p90,high_accel_p90,psv99,n_jog,resultado,mando,Golos esperados,adversario,pts,n_jogo,turno
2022,Guarani,2022-04-08,9863.15472412329,531.9867175791787,184.78685807773005,9.778436906783893,59.79715918173644,0.900118643221101,6.7427091867319415,28.433217604156255,9.0,D,fora,0.33,Brusque,0.0,1.0,1
2022,Brusque,2022-04-08,9808.812154861878,506.7806927297667,170.48183278129076,8.731842651142559,55.305339478291906,0.8537164174110876,7.127073672588579,28.784304147568225,20.0,V,casa,1.1,Guarani,3.0,1.0,1
2022,Vasco,2022-04-08,9545.698470455456,482.81564391356494,160.51529509276023,8.359380657904019,53.8583078605187,0.5283197347692163,5.608395565378918,29.070657668884767,10.0,E,casa,1.46,Vila Nova,1.0,1.0,1
2022,Bahia,2022-04-09,9390.311357797123,448.543258656382,112.29643535717325,5.998765845220202,47.599192638175985,0.7651697246405582,5.358969174488841,27.415599920596655,8.0,V,casa,2.26,Cruzeiro,3.0,1.0,1
2022,Grêmio,2022-04-09,9298.015700458594,409.85274098244986,130.86396287150544,7.441070641150012,49.70696710468295,1.4886941088279388,6.647540567951318,28.807454361054766,10.0,E,fora,1.63,Ponte Preta,1.0,1.0,1
2022,Chapecoense,2022-04-09,9848.842889624852,488.52471444070125,162.9111873465426,7.812020784560042,51.49339039570605,1.6433246159995432,7.606289156626507,28.30120367726832,10.0,E,casa,1.22,Ituano,1.0,1.0,1
2022,Ponte Preta,2022-04-09,9475.876738722127,411.1207737139865,140.55666473152797,7.991557558993273,52.24795205409283,1.639726803947683,7.171275142574189,29.73066625687259,10.0,E,casa,0.14,Grêmio,1.0,1.0,1
2022,Sampaio Corrêa,2022-04-09,9252.530907483002,413.6214079406167,137.3012093971263,7.782692577640276,51.24132090939208,1.2124453528133545,6.115170833871431,28.49262199812462,20.0,D,fora,0.56,Sport,0.0,1.0,1
2022,Sport,2022-04-09,9416.360058299815,454.6342268495504,145.9189698106386,8.949213630406291,56.03001355809645,2.238015094680707,6.712308943824288,28.947042075292632,10.0,V,casa,1.31,Sampaio Corrêa,3.0,1.0,1
2022,Cruzeiro,2022-04-09,9594.721201839355,557.0920929473225,159.53545466913366,7.957920929473226,58.03768556813235,1.1021555289508056,5.26311302786243,29.43918970396169,8.0,D,fora,0.52,Bahia,0.0,1.0,1
2022,Londrina,2022-04-10,9700.85518539907,390.888037729493,114.88424192112417,6.929804374503717,49.37527611347722,1.6245258548088257,5.953209653745278,28.018778122668976,9.0,V,casa,1.09,Náutico,3.0,1.0,1
2022,Náutico,2022-04-10,10387.2580274288,584.5977366234546,78.15679763751939,6.305915711497071,47.0729996496321,0.7879248210621153,5.63042144251464,27.332679313278938,9.0,D,fora,0.62,Londrina,0.0,1.0,1
2022,Tombense,2022-04-10,8860.534411496352,346.79542582784404,125.68080369859358,7.108664433861492,47.86717909916325,1.4032051139398254,7.510783113761794,28.4304177051807,10.0,E,casa,1.59,Operário-PR,1.0,1.0,1
2022,Operário-PR,2022-04-10,9287.684427499478,424.3811217258389,109.9499307533755,6.566208805206235,47.94050881215405,1.4585516107367007,6.567068482364113,27.66960559531254,10.0,E,fora,0.3,Tombense,1.0,1.0,1
2022,Brusque,2022-04-13,10019.429164072548,521.5996353409214,178.3752417639211,9.62820446869629,58.19674835638995,1.513882044686963,7.679527409526328,29.36474561603827,9.0,D,fora,0.45,Cruzeiro,0.0,2.0,1
2022,Cruzeiro,2022-04-13,9910.646263239385,513.3639742131728,179.05434964306755,8.879002096378608,57.21823643862269,0.24770151953194577,7.3985819985476065,28.54511324555033,8.0,V,casa,1.76,Brusque,3.0,2.0,1
2022,Londrina,2022-04-14,9822.182405482608,418.2573647951223,140.10352576874146,7.452370076094002,51.20200472887012,0.6483181305360185,5.2928835305696245,28.384856813653712,9.0,D,fora,0.73,Criciúma,0.0,2.0,1
