ano,clube,dist,hsr,spr_d,spr_n,hi_n,acc,expl,psv,spr_otip,spr_tip,hsr_otip,hsr_tip,runs,runs_area,runs_per,min_rastreados,jogos,pontos,gp,gc,sg,pos,dist_g4,ppj,faixa,valor_eur,log_valor,posto_valor,ppj_esperado,rendimento,cobertura
2022,Bahia,9563.164379393302,489.24669733382893,173.4629427814061,9.468412519962587,58.247564761830866,6.613475236181397,1.5100251634107063,28.903832520534408,103.1553914368842,107.82825604936154,334.20084521217865,259.5492977866546,23.843725845780597,3.3689205431185067,7.756642197606803,29379.96,38,62,43.0,29.0,14.0,3,0,1.631578947368421,Sobe,21700000.0,16.892822818510687,4.0,1.4664532785695537,0.16512566879886736,0.8590631578947369
2022,Brusque,9674.729688857811,486.8182999343029,155.2699542462839,8.48615449469005,55.844218098245044,6.861985654659503,1.224106618100458,28.512666874485262,91.15095424328183,85.3436361788479,311.22918103985586,253.8659884313528,24.439380531988643,3.2570015257267686,7.919133046324081,30731.93,38,34,21.0,38.0,-17.0,18,-28,0.8947368421052632,Cai,4375000.0,15.291417077773852,19.0,1.045525591917353,-0.15078874981208978,0.8985944444444445
2022,CRB,9662.081180231018,477.86250615068286,156.8321797323263,7.96022283803705,51.60188051798787,6.418610435075168,1.0764670477684513,28.503636054763724,93.97637396218114,87.7350452620581,302.18733644160557,240.97182409926302,20.895990149617127,2.6631878338083004,6.614215315540401,30138.93,38,50,35.0,43.0,-8.0,11,-12,1.3157894736842106,Meio,15925000.0,16.583400759422503,7.0,1.3851220405091595,-0.06933256682494893,0.8812552631578947
2022,CSA,9986.98125781236,528.3770274784666,177.4131999487398,8.968099224943925,58.62884884385983,6.956180559777689,1.139865143373906,28.41090139724163,89.94511551572047,109.88416853657087,322.31709747707225,280.0917525401734,25.230071426125612,3.7460684485799653,8.57319939356276,27467.69,38,42,29.0,37.0,-8.0,17,-20,1.105263157894737,Cai,13750000.0,16.436549382076855,10.0,1.3465223221646054,-0.2412591642698685,0.8031488304093567
2022,Chapecoense,9862.828566697342,501.2867584508849,163.26493214851467,8.478138418599038,55.87344759289712,6.641607733506329,1.362949416894226,28.351671740788486,93.36738478946337,101.14756880750564,320.3752733823152,278.14862702594354,26.206281007196417,3.703274088378619,8.261277528174645,33141.5,38,45,37.0,39.0,-2.0,14,-17,1.1842105263157894,Meio,13875000.0,16.445599217596772,9.0,1.348901061189376,-0.16469053487358654,0.9690497076023392
2022,Criciúma,9780.236624810459,507.33937312819245,149.42722218511278,8.208629448815289,55.91309645901844,6.871751058344732,1.2352321678714324,28.193795055281754,90.23605152789193,83.48002247863224,342.75857682442046,255.13368745730398,24.72378222510062,3.2863940285445716,9.042523144181741,30989.43,38,56,43.0,31.0,12.0,8,-6,1.4736842105263157,Meio,6800000.0,15.732433170146335,16.0,1.1614461727024121,0.3122380378239036,0.9061236842105264
2022,Cruzeiro,9723.262696110758,536.6441744468138,197.0692123976281,10.335457928239647,61.99089616804932,7.047301999225994,1.6284363060359128,28.835659160504466,146.804461390784,101.0319663807211,424.6099305598013,255.1486161665491,23.848567306083282,4.662577248309459,9.880950726930601,32221.97,38,78,57.0,26.0,31.0,1,16,2.0526315789473686,Sobe,29750000.0,17.208339689955913,3.0,1.549386531160537,0.5032450477868315,0.9421628654970761
2022,Grêmio,9983.433933324992,538.8786778451117,190.6856733685298,10.590485890238458,64.52966838023234,6.916751118319458,1.694786778988026,28.890682836713175,101.91366230159666,122.46585810652026,332.81434195815666,297.70304644634405,31.000851298101367,4.563582281507987,11.33111935197564,24212.67,38,65,50.0,26.0,24.0,2,3,1.7105263157894737,Sobe,49775000.0,17.723023407914535,1.0,1.68467056396174,0.025855751827733586,0.7079728070175438
2022,Guarani,9629.286814600797,511.3569128042502,186.56501298159898,9.254851810004888,58.12818844066008,6.4371550096703585,1.2479882921521381,28.8636323811567,111.94658348851087,113.87223936758224,330.96148438257757,281.2893092453266,24.99863392276173,3.0369048810426897,6.739917655809698,31136.38,38,51,33.0,36.0,-3.0,10,-11,1.3421052631578947,Meio,11025000.0,16.215675979297185,12.0,1.2884659982049644,0.053639264952930255,0.9104204678362573
2022,Ituano,9670.28919716627,503.93530929612444,182.00536271283272,9.577544426919767,59.23864532786588,7.1548824922262,1.4593648548296705,28.782005192964064,89.89627417672958,134.85679818824093,294.8612810489406,293.9590622888275,24.81332142440011,2.913383961789797,8.20481743301767,32278.29,38,57,42.0,34.0,8.0,6,-5,1.5,Meio,6500000.0,15.687312734865866,17.0,1.149586317351445,0.3504136826485551,0.9438096491228071
2022,Londrina,9513.46235264401,464.2437617901292,157.64842575531165,8.519266795695705,54.842126763679175,6.700057876811142,1.4204223059687422,28.686943897202003,93.4732785488187,92.74520365206861,288.19976022230554,255.0741462108367,22.47299617664909,2.821331533621282,7.740934685322793,30602.93,37,52,35.0,36.0,-1.0,9,-10,1.4054054054054055,Meio,7200000.0,15.789591583986283,15.0,1.176470197094437,0.22893520831096859,0.9190069069069069
2022,Novorizontino,9573.149076265348,463.25913621489633,144.13458428310435,7.475761682605935,51.060272943091405,6.210996364698572,1.0143802807269926,28.204478381522602,82.81905039358512,86.91057443418973,302.7847519113614,238.37061118821842,21.267682309606787,2.017675061798436,5.527320501715497,23689.920000000002,38,44,44.0,49.0,-5.0,15,-18,1.1578947368421053,Meio,11300000.0,16.240313283682568,11.0,1.2949418857807853,-0.13704714893867997,0.6926877192982457
2022,Náutico,9870.601475962805,526.6223292434502,148.6885729267286,8.147444800185983,55.23391217025961,6.445628383662342,0.8976060867115091,28.210985298196345,94.3874122831863,81.1411801463854,354.2014652917813,272.23586941040503,26.118896799999405,3.1799555345755404,8.00718048021313,27185.78,38,30,32.0,65.0,-33.0,20,-32,0.7894736842105263,Cai,13925000.0,16.449196343777622,8.0,1.349846561735168,-0.5603728775246417,0.7949058479532164
2022,Operário-PR,9611.256465618439,484.70387058696286,157.75694495688467,8.240942347473935,53.63106249366961,6.88249290738137,1.2740587014404976,28.448441299417855,97.92307896385793,87.67461346701064,327.10444199640517,248.50867381889216,23.07315047544493,2.1536445810951625,6.109591290748437,29125.35,38,34,31.0,53.0,-22.0,19,-28,0.8947368421052632,Cai,10925000.0,16.206564298945928,13.0,1.2860710033362661,-0.39133416123100295,0.8516184210526315
2022,Ponte Preta,9427.894801181385,507.2698675137785,176.58341425299014,9.745674854759782,59.87326885057482,7.302255378746553,1.465003138277974,28.93751262379384,140.83830063661367,87.90977946640648,407.63219389587834,250.29676890994767,21.656381492582263,3.2469691972585535,7.540956473914796,33601.23,38,49,34.0,36.0,-2.0,12,-13,1.2894736842105263,Meio,20500000.0,16.835935444108635,5.0,1.4515004965870464,-0.16202681237652006,0.982492105263158
2022,Sampaio Corrêa,9216.726943411435,432.15475524992746,164.79521760011988,8.07502533155822,48.96057594332036,6.32369337865431,1.197933367311147,28.873389057593688,77.22942846539786,103.60569258863784,244.5851614656711,242.71372662975617,19.82156182960837,3.1768133720137794,7.2562322803440935,30961.38,38,58,48.0,42.0,6.0,5,-4,1.5263157894736843,Meio,4500000.0,15.319587954740548,18.0,1.0529302750472498,0.4733855144264345,0.9053035087719299
2022,Sport,9468.133871035709,451.46828866789923,157.84060530646204,8.577424413360985,54.302434211069915,6.566956548130172,1.4473680233034834,28.69302812129964,96.97932397079562,87.37431003535819,301.518410985129,228.18384920299462,23.203479740702345,3.0238240810715133,7.502968496059624,31466.54,38,57,37.0,31.0,6.0,7,-5,1.5,Meio,16300000.0,16.60667566577699,6.0,1.3912398233043755,0.10876017669562454,0.920074269005848
2022,Tombense,9366.385256093472,439.45857319764167,159.72484948135178,8.497033473184272,53.52070201945002,6.175097346059675,1.3520818181292245,28.89928939096787,96.9910123405591,91.11754470099514,290.4185889213573,218.65920317848028,21.34513610118229,2.356101772998141,6.341716747188287,32842.11,37,44,37.0,46.0,-9.0,16,-18,1.1891891891891893,Meio,3950000.0,15.189226136877304,20.0,1.0186648187515188,0.17052437043767044,0.9862495495495496
2022,Vasco,9865.902923233381,547.0510687768143,174.60960203603116,8.979026384500905,56.247832925780166,6.510459816497864,1.3430885126407381,28.919171728495453,121.56201160705227,103.74279715597565,402.5251546633027,285.6873717254137,22.177067617250454,2.5264277432017224,7.284658110742794,34396.33,38,62,48.0,36.0,12.0,4,0,1.631578947368421,Sobe,31125000.0,17.253521912749147,2.0,1.5612626272893104,0.0703163200791106,1.005740643274854
