ano,clube,psv_min_kmh,psv_max_kmh,psv_amp_kmh,psv_media_kmh,mais_lento,mais_lento_setor,pontos,pos,faixa,rendimento,ppj,log_valor,dist_g4
2022,Bahia,27.72,31.03,3.3100000000000023,29.378000000000004,Lucas Mugni,Volante,62,3,Sobe,0.16512566879886736,1.631578947368421,16.892822818510687,0
2022,Brusque,26.3,30.06,3.759999999999998,28.595,Matheus Trindade,Volante,34,18,Cai,-0.15078874981208978,0.8947368421052632,15.291417077773852,-28
2022,CRB,27.55,31.46,3.91,28.707,Rafael Longuine,Meia,50,11,Meio,-0.06933256682494893,1.3157894736842106,16.583400759422503,-12
2022,CSA,26.63,31.16,4.530000000000001,28.587,Werley,Zaga,42,17,Cai,-0.2412591642698685,1.105263157894737,16.436549382076855,-20
2022,Chapecoense,26.64,30.53,3.8900000000000006,28.387999999999998,Marcelo Freitas,Meia,45,14,Meio,-0.16469053487358654,1.1842105263157894,16.445599217596772,-17
2022,Criciúma,25.41,29.55,4.140000000000001,28.093,Léo Costa,Volante,56,8,Meio,0.3122380378239036,1.4736842105263157,15.732433170146335,-6
2022,Cruzeiro,26.37,31.23,4.859999999999999,28.759000000000004,Willian Oliveira,Meia,78,1,Sobe,0.5032450477868315,2.0526315789473686,17.208339689955913,16
2022,Grêmio,27.47,30.58,3.1099999999999994,28.837,Ai Kesen,Atacante,65,2,Sobe,0.025855751827733586,1.7105263157894737,17.723023407914535,3
2022,Guarani,26.58,30.52,3.9400000000000013,28.674,Leandro Vilela,Volante,51,10,Meio,0.053639264952930255,1.3421052631578947,16.215675979297185,-11
2022,Ituano,26.82,30.12,3.3000000000000007,28.572999999999997,Rafael Pereira,Zaga,57,6,Meio,0.3504136826485551,1.5,15.687312734865866,-5
2022,Londrina,27.33,31.68,4.350000000000001,28.957000000000004,Gegé,Meia,52,9,Meio,0.22893520831096859,1.4054054054054055,15.789591583986283,-10
2022,Novorizontino,26.46,29.79,3.3299999999999983,28.269,Gustavo Bochecha,Meia,44,15,Meio,-0.13704714893867997,1.1578947368421053,16.240313283682568,-18
2022,Náutico,25.63,29.23,3.6000000000000014,27.984,Victor Ferraz,Lateral,30,20,Cai,-0.5603728775246417,0.7894736842105263,16.449196343777622,-32
2022,Operário-PR,26.88,31.0,4.120000000000001,28.663,Giovanni Pavani,Extremo,34,19,Cai,-0.39133416123100295,0.8947368421052632,16.206564298945928,-28
2022,Ponte Preta,25.64,30.04,4.399999999999999,28.685999999999996,Élvis,Meia,49,12,Meio,-0.16202681237652006,1.2894736842105263,16.835935444108635,-13
2022,Sampaio Corrêa,27.69,30.46,2.7699999999999996,29.115,André Luiz,Volante,58,5,Meio,0.4733855144264345,1.5263157894736843,15.319587954740548,-4
2022,Sport,25.6,30.39,4.789999999999999,28.437,Ronaldo Henrique,Volante,57,7,Meio,0.10876017669562454,1.5,16.60667566577699,-5
2022,Tombense,27.33,30.91,3.580000000000002,29.086000000000006,Zé Ricardo,Volante,44,16,Meio,0.17052437043767044,1.1891891891891893,15.189226136877304,-18
2022,Vasco,27.62,30.24,2.6199999999999974,28.763000000000005,Andrey Santos,Volante,62,4,Sobe,0.0703163200791106,1.631578947368421,17.253521912749147,0
2022,Vila Nova,26.12,30.3,4.18,28.373,Arthur Rezende,Volante,47,13,Meio,0.0046557676533542924,1.236842105263158,16.00156183470237,-15
2023,ABC,26.96,31.3,4.34,28.401999999999997,Fabrício,Zaga,28,20,Cai,-0.5097111342256536,0.7368421052631579,16.056220247240233,-36
2023,Atlético-GO,27.96,30.27,2.3099999999999987,29.127999999999997,Matheus Sales,Volante,64,4,Sobe,0.18558960744544706,1.6842105263157894,17.0152035634157,0
